,ARPA Puglia,
,Scuola Elementare,
Parm,SO2,NO2



19/01/2008 5.00,"2,36191797","12,7133818"
19/01/2008 6.00,"2,36191797","15,25554954"
19/01/2008 7.00,"2,45426393","17,8168715"
19/01/2008 8.00,"3,01011395","33,33799755"
19/01/2008 9.00,"2,94973397","39,03776613"
19/01/2008 10.00,"2,57857609","30,720492"
19/01/2008 11.00,"2,58745503","17,09674382"
19/01/2008 12.00,"2,92842388","14,84951876"
19/01/2008 13.00,"3,03497601","9,99629611"
19/01/2008 14.00,"3,09713197","8,08488222"
19/01/2008 15.00,"2,87692308","7,4681738"
19/01/2008 16.00,"2,85383701","6,2998753"
19/01/2008 17.00,"2,9639411","8,40281261"
19/01/2008 18.00,"3,12021899","26,4494934"
19/01/2008 19.00,"3,18947792","54,6227352"
19/01/2008 20.00,"3,02964902","42,97550796"
19/01/2008 21.00,"2,88757801","49,02768189"
19/01/2008 22.00,"2,79168105","43,01892144"
19/01/2008 23.00,"2,50398898","29,41558587"
20/01/2008 0.00,"2,47379899","33,20777592"
20/01/2008 1.00,,"19,05921369"
20/01/2008 2.00,"2,51109195","20,35264572"
20/01/2008 3.00,"2,37257409","16,15571338"
20/01/2008 4.00,"2,42407393","11,76725761"
20/01/2008 5.00,"2,51286793","18,34037261"
20/01/2008 6.00,"2,48267794","11,82598808"
20/01/2008 7.00,"2,061795","17,24229184"
20/01/2008 8.00,"2,329952","27,92295594"
20/01/2008 9.00,"2,48445392","40,20477615"
20/01/2008 10.00,"2,58390307","25,83918414"
20/01/2008 11.00,"2,53240299","27,88084035"
20/01/2008 12.00,"2,502213","16,17104353"
20/01/2008 13.00,"2,79523301","6,79273115"
20/01/2008 14.00,"2,87869906","4,90046961"
20/01/2008 15.00,"3,05628705","4,06925571"
20/01/2008 16.00,"2,85028505","4,79576939"
20/01/2008 17.00,"2,7579391","5,60272591"
20/01/2008 18.00,"2,79700899","32,83238475"
20/01/2008 19.00,"2,79700899","49,90486743"
20/01/2008 20.00,"2,76504302","55,55226897"
20/01/2008 21.00,"2,59988594","48,59354709"
20/01/2008 22.00,"2,56791997","39,68127504"
20/01/2008 23.00,"2,66914511","43,27810443"
21/01/2008 0.00,"2,40276408","26,71762995"
21/01/2008 1.00,"2,329952","23,42725308"
21/01/2008 2.00,"2,37790108","17,55512095"
21/01/2008 3.00,"2,34060788","7,74014007"
21/01/2008 4.00,"2,22695208","11,65106636"
21/01/2008 5.00,"2,39210796","10,9232736"
21/01/2008 6.00,"2,35659099","12,06348125"
21/01/2008 7.00,"2,47024703","31,72408074"
21/01/2008 8.00,"2,31929708","34,9850952"
21/01/2008 9.00,"2,43295407","27,28582362"
21/01/2008 10.00,"2,45248795","26,40354057"
21/01/2008 11.00,"2,72952509","33,63038019"
21/01/2008 12.00,"2,62829995","23,68389672"
21/01/2008 13.00,"2,62652397","23,06973141"
21/01/2008 14.00,"2,53062701","19,7269875"
21/01/2008 15.00,"2,55904102","15,54411939"
21/01/2008 16.00,"2,78102589","9,16380313"
21/01/2008 17.00,"2,66736889","10,19164737"
21/01/2008 18.00,"2,7241981","15,37301987"
21/01/2008 19.00,"2,69578409","24,80749326"
21/01/2008 20.00,"2,92131996","48,26284848"
21/01/2008 21.00,"2,66026592","32,47870032"
21/01/2008 22.00,"2,54661012","14,1625832"
21/01/2008 23.00,"2,385005","19,27244385"
22/01/2008 0.00,"2,52885103","17,9049719"
22/01/2008 1.00,,"14,70651009"
22/01/2008 2.00,"2,62652397","13,55226078"
22/01/2008 3.00,"2,36369395","20,12026698"
22/01/2008 4.00,"2,42940211","22,31001432"
22/01/2008 5.00,"2,26424503","26,47247922"
22/01/2008 6.00,"2,52352309","15,76883494"
22/01/2008 7.00,"2,45426393","22,36619979"
22/01/2008 8.00,"2,74905992","40,50739143"
22/01/2008 9.00,"2,3423841","31,64618853"
22/01/2008 10.00,"2,50043702","13,92509943"
22/01/2008 11.00,"2,46491909","14,13695646"
22/01/2008 12.00,"2,32817698",
22/01/2008 13.00,"2,40809107","9,27871907"
22/01/2008 14.00,"2,74550796","16,16721193"
22/01/2008 15.00,"3,02076888","44,21019636"
22/01/2008 16.00,"2,9053371","42,23238129"
22/01/2008 17.00,"2,87692308","25,7268132"
22/01/2008 18.00,"2,93907905","20,66419575"
22/01/2008 19.00,"2,87692308","28,07108469"
22/01/2008 20.00,"2,82187104","24,47553438"
22/01/2008 21.00,"2,71886992","32,32035774"
22/01/2008 22.00,"2,79523301","36,69477372"
22/01/2008 23.00,"2,69223189","27,75441834"
23/01/2008 0.00,"2,60876608","13,32498519"
23/01/2008 1.00,"2,7206459","10,02054973"
23/01/2008 2.00,"2,9017849","12,55633335"
23/01/2008 3.00,"2,58212709","17,42360895"
23/01/2008 4.00,"2,5483861","12,74913773"
23/01/2008 5.00,"2,38678098","3,58150488"
23/01/2008 6.00,"2,33350396","4,72299161"
23/01/2008 7.00,"2,52529907","6,82209921"
23/01/2008 8.00,"2,67980099","8,41047392"
23/01/2008 9.00,"2,40809107","16,99075887"
23/01/2008 10.00,"2,57147193","15,89652286"
23/01/2008 11.00,"2,64783502","6,99447029"
23/01/2008 12.00,"3,05273509","10,60916541"
23/01/2008 13.00,"2,95861411","9,86988915"
23/01/2008 14.00,"3,15928793","11,95877915"
23/01/2008 15.00,"2,84140611","3,30826518"
23/01/2008 16.00,"2,79345703","6,87189492"
23/01/2008 17.00,"2,6655941","8,83182732"
23/01/2008 18.00,"2,93730307","12,44907873"
23/01/2008 19.00,"2,38322902","9,16763285"
23/01/2008 20.00,"2,42584991","16,29617141"
23/01/2008 21.00,"2,55371308","17,44403285"
23/01/2008 22.00,"2,45071197","14,07959725"
23/01/2008 23.00,"2,55016208","6,58205539"
24/01/2008 0.00,"2,708215","2,83711418"
24/01/2008 1.00,,"6,24752519"
24/01/2008 2.00,"2,49688506",
24/01/2008 3.00,"2,48267794","6,7684719"
24/01/2008 4.00,"2,63895512","4,91323972"
24/01/2008 5.00,"2,49510908","3,70408213"
24/01/2008 6.00,"2,57680011","12,34310507"
24/01/2008 7.00,"2,60521412","27,3713715"
24/01/2008 8.00,"2,55726504","35,32218921"
24/01/2008 9.00,"2,54661012","31,47765093"
24/01/2008 10.00,"2,61231709","14,42688628"
24/01/2008 11.00,"2,7579391","7,50775568"
24/01/2008 12.00,"2,98702788","9,3885262"
24/01/2008 13.00,"3,296031","8,60710613"
24/01/2008 14.00,"3,26051307","7,52180111"
24/01/2008 15.00,"3,60148096","5,97173108"
24/01/2008 16.00,"3,52689505","7,43114632"
24/01/2008 17.00,"3,40258288","11,26162788"
24/01/2008 18.00,"3,27649593","20,43435636"
24/01/2008 19.00,"2,98347592","22,68156825"
24/01/2008 20.00,"3,04030395","34,20750861"
24/01/2008 21.00,"3,63522291","59,52960585"
24/01/2008 22.00,"3,54642892","66,20358195"
