, Brindisi,,
,Quartiere Bozzano,,
Parm,SO2,NO2,PM10



09/01/2008 1.00,"2,224594","50,478118",
09/01/2008 2.00,"1,10101","5,92219","5,372406"
09/01/2008 3.00,"1,096641","3,332935",
09/01/2008 4.00,"0,622595","7,467956","8,791209"
09/01/2008 5.00,"0,750391","8,65421",
09/01/2008 6.00,"0,767868","3,099319","6,349206"
09/01/2008 7.00,"0,824666","30,285831",
09/01/2008 8.00,"1,856863","57,860426","1,953602"
09/01/2008 9.00,"4,288989","56,958403",
09/01/2008 10.00,"1,402478","38,605191","32,234421"
09/01/2008 11.00,"0,77879","7,945572",
09/01/2008 12.00,"0,78498","5,656126","18,07081"
09/01/2008 13.00,"0,73073","2,756681",
09/01/2008 14.00,"0,728545","6,542573","4,395605"
09/01/2008 15.00,"0,739468","1,705403",
09/01/2008 16.00,"0,76095","3,386148","2,442003"
09/01/2008 17.00,"0,809737","41,589",
09/01/2008 18.00,"4,387293","57,356844","31,746031"
09/01/2008 19.00,"9,493666","91,863376",
09/01/2008 20.00,"8,250296","75,681491","67,88765"
09/01/2008 21.00,"6,122185","65,302408",
09/01/2008 22.00,"4,558415","49,870713","69,352852"
09/01/2008 23.00,"2,672426","35,970513",
10/01/2008 0.00,"2,534071","48,641641","64,95726"
10/01/2008 1.00,,"53,316578",
10/01/2008 2.00,"2,391706",,"57,631241"
10/01/2008 3.00,"2,856558","25,631659",
10/01/2008 4.00,"2,614106","26,065147","58,119652"
10/01/2008 5.00,"2,769056","1,512021",
10/01/2008 6.00,"2,415404","23,374658","35,653221"
10/01/2008 7.00,"3,325055","42,02249",
10/01/2008 8.00,"10,06449","60,12911","41,025631"
10/01/2008 9.00,"8,994419","64,29916",
10/01/2008 10.00,"8,010028","69,590587","64,468849"
10/01/2008 11.00,"4,229237","62,693692",
10/01/2008 12.00,"2,041701","6,016936","33,699631"
10/01/2008 13.00,"1,821123","3,103212",
10/01/2008 14.00,"2,504729","6,81902","25,88522"
10/01/2008 15.00,"1,859405","13,377158",
