,ARPA Puglia,,,
13/01/2008 22.00,"57,45347091",,"51,28205109","3,26988912"
13/01/2008 23.00,"30,50726184",,,"3,10571194"
14/01/2008 0.00,"10,03970207",,"35,16482162","1,31947803"
14/01/2008 1.00,"13,92637099",,,"0,087936"
14/01/2008 2.00,,,"23,93161964","0,092052"
14/01/2008 3.00,"13,8548723",,,"0,060862"
14/01/2008 4.00,"11,98813968",,"17,09399986","0,114794"
14/01/2008 5.00,"13,68377277",,,"0,058047"
14/01/2008 6.00,"30,45747177",,"8,30280876","0,093351"
14/01/2008 7.00,"46,01053908",,,"0,187135"
14/01/2008 8.00,"99,22749012",,"15,62880993","1,50076604"
14/01/2008 9.00,"165,6162189",,,"6,96797991"
14/01/2008 10.00,"125,18534655",,"29,7924099","14,50753975"
14/01/2008 11.00,"122,63809635",,,"9,8269949"
14/01/2008 12.00,"112,86144837",,"33,21123123","9,10032845"
14/01/2008 13.00,"97,37863641",,,"8,68100643"
14/01/2008 14.00,"88,90815483",,"30,28083038","8,00653934"
14/01/2008 15.00,"83,81615616",,,"7,18110704"
14/01/2008 16.00,"64,12872609",,"17,58241081","3,20361209"
14/01/2008 17.00,"85,35729708",,,"3,76696801"
14/01/2008 18.00,"78,45985818",,"36,14162064","6,24997807"
14/01/2008 19.00,"150,35427396",,,"7,06068182"
14/01/2008 20.00,"121,73916645",,"45,90964127",
14/01/2008 21.00,"187,91475912",,,
14/01/2008 22.00,"166,61721186",,"64,95726013",
14/01/2008 23.00,"137,34337815",,,
15/01/2008 0.00,"108,34270326",,"93,77288055",
15/01/2008 1.00,"91,85252175",,,
15/01/2008 2.00,"61,05413754",,"105,98290253",
15/01/2008 3.00,"44,71071165",,,"8,71132946"
15/01/2008 4.00,"42,77632887",,"87,4236908","7,51335907"
15/01/2008 5.00,"43,92802755",,,"6,37213612"
15/01/2008 6.00,"40,52909817",,"68,37606049","4,67102194"
15/01/2008 7.00,"39,86898003",,,"3,05134797"
15/01/2008 8.00,"44,44641234",,"56,16604996","2,26815104"
15/01/2008 9.00,"70,84229724",,,"1,630288"
15/01/2008 10.00,"92,46922641",,"55,67765045","5,53067589"
15/01/2008 11.00,"47,57208885",,,"7,10616589"
15/01/2008 12.00,"38,54874375",,"27,35042","2,40482092"
15/01/2008 13.00,"29,35428408",,,"2,69916892"
15/01/2008 14.00,"56,83548717",,"14,16361046","2,97142601"
15/01/2008 15.00,"32,63956344",,,"2,21205401"
15/01/2008 16.00,"37,96395966",,"17,58241081","0,59108001"
15/01/2008 17.00,"47,2796874",,,"1,14728796"
15/01/2008 18.00,"69,64208757",,"30,76922989","2,130615"
15/01/2008 19.00,"48,54119886",,,"5,50056982"
15/01/2008 20.00,"52,22485521",,"33,21123123","5,57832623"
15/01/2008 21.00,"57,43941984",,,"3,93352699"
15/01/2008 22.00,"68,97557403",,"48,84004974","3,66798496"
15/01/2008 23.00,"71,37347283",,,"4,3909688"
16/01/2008 0.00,"63,29879127",,"67,88764954","5,00630713"
16/01/2008 1.00,"43,85141442",,,"4,4028821"
16/01/2008 2.00,,,"58,11965179","2,72537708"
16/01/2008 3.00,"15,81607814",,,"1,63851798"
16/01/2008 4.00,"14,84696813",,"31,74603081","0,622702"
16/01/2008 5.00,"13,05301704",,,"0,63851303"
16/01/2008 6.00,"17,71983447",,"25,88521957","0,656057"
16/01/2008 7.00,"26,72530443",,,"0,458958"
16/01/2008 8.00,"60,38380557",,"17,09399986","0,83106297"
16/01/2008 9.00,"83,56208949",,,"2,92507505"
16/01/2008 10.00,"64,06360587",,"25,39682007","6,50858879"
16/01/2008 11.00,"50,49602811",,,"2,65000296"
16/01/2008 12.00,"74,00884788",,"32,72283173","3,24086595"
16/01/2008 13.00,"59,67004131",,,"4,18390703"
16/01/2008 14.00,"52,83006696",,"27,35042","3,85793591"
16/01/2008 15.00,"48,54119886",,,"2,94370198"
16/01/2008 16.00,"54,81937494",,"30,76922989","1,93264997"
16/01/2008 17.00,"112,12082343",,,"3,95280409"
16/01/2008 18.00,"179,00628669",,"57,14284134","7,43213701"
16/01/2008 19.00,"115,99090569",,,
16/01/2008 20.00,"109,98214524",,"69,84127045","9,64007568"
16/01/2008 21.00,"88,5366009",,,
16/01/2008 22.00,"75,51549126",,"87,4236908","7,38621998"
16/01/2008 23.00,"61,91599293",,,"5,42021418"
17/01/2008 0.00,"41,70889899",,"86,93527985","3,69310999"
17/01/2008 1.00,"16,84647865",,,"2,16310406"
17/01/2008 2.00,"10,87730196",,"62,02685165","0,35217899"
17/01/2008 3.00,"9,21232353",,,"0,079056"
17/01/2008 4.00,"4,94132869",,"40,04883957","0,051116"
17/01/2008 5.00,"3,58405928",,,"0,011263"
17/01/2008 6.00,"5,30011815",,"30,76922989","0,002383"
17/01/2008 7.00,"11,94601092",,,"0,004765"
17/01/2008 8.00,"25,93366677",,"31,25761986","0,110679"
17/01/2008 9.00,"39,3046236",,,"0,215509"
17/01/2008 10.00,"33,841071",,"25,88521957","1,60473001"
17/01/2008 11.00,"27,6305733",,,"2,82370901"
17/01/2008 12.00,"26,33842035",,"16,11721039","1,99654496"
17/01/2008 13.00,"27,6127038",,,"1,82998598"
17/01/2008 14.00,"37,38683124",,"23,44322014","0,89019299"
17/01/2008 15.00,"27,34328817",,,"1,54928195"
17/01/2008 16.00,"22,09040757",,"28,81562042","0,0953"
17/01/2008 17.00,"31,36018248",,,"0,21529201"
17/01/2008 18.00,"33,93427455",,"39,07204056","1,49751699"
17/01/2008 19.00,"36,79437267",,,"1,14663804"
17/01/2008 20.00,"28,75290957",,"28,81562042","0,89972299"
17/01/2008 21.00,"31,61172861",,,"0,37492099"
17/01/2008 22.00,"21,27834225",,"34,18803024","0,57072002"
17/01/2008 23.00,"15,54539095",,,"0,33723399"
18/01/2008 0.00,"8,33769427",,"21,97801971","0,27983701"
18/01/2008 1.00,"6,38031626",,,"0,025341"
18/01/2008 2.00,,,"26,86202049","0,004765"
18/01/2008 3.00,"7,4260394",,,"0,0013"
18/01/2008 4.00,"5,56569842",,"17,58241081","0,000866"
18/01/2008 5.00,"4,04882617",,,"0,000217"
18/01/2008 6.00,"6,58971482",,"14,16361046","0,000217"
18/01/2008 7.00,"12,67380556",,,"0,000217"
18/01/2008 8.00,"42,12640575",,"22,95482063","0,005848"
18/01/2008 9.00,"67,1101299",,,"0,235652"
18/01/2008 10.00,"64,36750023",,"24,90842056","2,37947893"
18/01/2008 11.00,"71,66969271",,,"2,96861005"
18/01/2008 12.00,"43,01254485",,"25,88521957","2,89648509"
18/01/2008 13.00,"49,08003012",,,"2,588274"
18/01/2008 14.00,"43,42111686",,"24,90842056","3,37623596"
18/01/2008 15.00,"37,62686565",,,"1,69981396"
18/01/2008 16.00,"57,68840781",,"20,02441978","1,14208901"
18/01/2008 17.00,,,,
18/01/2008 18.00,"83,64761856",,"31,74603081","3,73361301"
18/01/2008 19.00,"166,29548562",,,"4,76350689"
18/01/2008 20.00,"166,29288984",,"66,42247009","11,9799099"
18/01/2008 21.00,"136,93988484",,,"11,72671986"
18/01/2008 22.00,"169,40835252",,"114,77410126","12,80815983"
18/01/2008 23.00,"135,0373662",,,"16,1909008"
19/01/2008 0.00,"99,17770005",,"128,93760681","13,40573978"
19/01/2008 1.00,"84,59248248",,,"7,53956699"
19/01/2008 2.00,"64,5079545",,"111,3553009","5,83282185"
19/01/2008 3.00,"33,28820748",,,"3,09899807"
19/01/2008 4.00,"21,84015933",,"66,91085052","0,63591403"
19/01/2008 5.00,"14,71289421",,,"0,198182"
19/01/2008 6.00,"14,55967923",,"45,42124176","0,188868"
19/01/2008 7.00,"31,23377928",,,"0,244532"
19/01/2008 8.00,"54,69679017",,"34,67642975","0,69829297"
19/01/2008 9.00,"81,44254107",,,"2,73209095"
19/01/2008 10.00,"62,98596216",,"47,37483978","8,44145584"
19/01/2008 11.00,"56,04640767",,,"4,62012291"
19/01/2008 12.00,"67,16375721",,"32,72283173","3,48539805"
19/01/2008 13.00,"60,08119029",,,"3,90883493"
19/01/2008 14.00,"56,7129024",,"35,16482162","4,03619099"
19/01/2008 15.00,"42,94486647",,,"4,79902792"
19/01/2008 16.00,"33,53847453",,"33,21123123","1,92723501"
19/01/2008 17.00,"41,83912062",,,"1,27789295"
19/01/2008 18.00,"54,04688586",,"34,67642975","1,70956099"
19/01/2008 19.00,"68,33716263",,,"3,1239059"
19/01/2008 20.00,"56,63886624",,"35,65322113","3,48799706"
19/01/2008 21.00,"80,91392364",,,"2,18714595"
19/01/2008 22.00,"69,15688362",,"28,81562042","3,67231703"
19/01/2008 23.00,"47,92705236",,,"2,01019001"
20/01/2008 0.00,"55,09772532",,"32,23442078","1,10202003"
20/01/2008 1.00,"76,93150806",,,"0,95993602"
20/01/2008 2.00,,,"42,97924042","2,24302602"
20/01/2008 3.00,"57,44069892",,,"2,40915298"
20/01/2008 4.00,"25,92982953",,"34,67642975","1,29522002"
20/01/2008 5.00,"35,03108565",,,"0,179555"
20/01/2008 6.00,"27,76463217",,"34,18803024","0,31514099"
20/01/2008 7.00,"30,00292812",,,"0,163744"
20/01/2008 8.00,"36,611784",,"31,25761986","0,30734399"
20/01/2008 9.00,"45,89816814",,,"0,92701399"
20/01/2008 10.00,"46,95538419",,"28,32722092","0,85380602"
20/01/2008 11.00,"38,17463166",,,"1,35370004"
20/01/2008 12.00,"40,54314924",,"20,02441978","0,980079"
20/01/2008 13.00,"40,48314534",,,"0,82413298"
20/01/2008 14.00,"38,76579234",,"23,93161964","0,80095702"
20/01/2008 15.00,"19,60060311",,,"1,28807199"
20/01/2008 16.00,"30,86478351",,"21,48962021","0,141868"
20/01/2008 17.00,"31,35764313",,,"0,341782"
20/01/2008 18.00,"67,39869411",,"28,32722092","0,50227702"
20/01/2008 19.00,"91,57035294",,,"2,03076601"
20/01/2008 20.00,"95,58468909",,"45,90964127","4,30779791"
20/01/2008 21.00,"137,07648306",,,"4,28223991"
20/01/2008 22.00,"98,18816238",,"66,91085052","4,61254311"
20/01/2008 23.00,"75,34695366",,,"3,07842207"
21/01/2008 0.00,"59,09930829",,"54,70085144","2,72126198"
21/01/2008 1.00,"52,47000594",,,"1,513978"
21/01/2008 2.00,"55,83061935",,"48,84004974","1,795331"
