NetC,Provincia di TARANTO,,,,,,
Stat,SS7 Wind,,,,,,
Parm,SO2,NOX,NO,NO2,PM10,CO,BENZENE
PtId,1,2,3,4,5,6,7
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,mg/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver,Aver,Aver,Aver
,,,,,,,,,,,,,,,
,,,,,,,,,,,,
06/01/2007 2.00,"3,600106","27,886251","0,805284","26,669952","21,001221","0,119336",
06/01/2007 3.00,"3,750265","29,619001","2,181543","26,292293",,"0,045108",
06/01/2007 4.00,"3,766948","34,138951","2,062272","30,998375","13,67521","0,02411",
06/01/2007 5.00,"3,792902","35,129844","2,469989","31,364351",,"0,022316",
06/01/2007 6.00,"3,59269","43,675604","2,437","39,966651","14,16361","0,011564",
06/01/2007 7.00,"3,770657","40,243794","4,40707","33,509749",,"0,035046",
06/01/2007 8.00,"3,598252","34,537125","2,301658","31,029523","9,27961","0,031711",
06/01/2007 9.00,"3,459216","35,874302","2,785505","31,625243",,"0,01984",
06/01/2007 10.00,"3,661281","41,180236","3,641543","35,621381","5,372406","0,019582",
06/01/2007 11.00,"3,448093","26,187211","1,336501","24,154677",,"0,006422",
06/01/2007 12.00,"3,422139","16,061734","0,917787","14,664649","4,395605","0,004838",
06/01/2007 13.00,"3,425847","18,567489","0,878876","17,233143",,"0,009484",
06/01/2007 14.00,"3,422139","19,2056","1,196084","17,383694","3,907204","0,024314",
06/01/2007 15.00,"3,414724","17,06689","0,760452","15,911911",,"0,015296",
06/01/2007 16.00,"3,431408","21,818997","0,91102","20,437577","5,860806","0,011525",
06/01/2007 17.00,"4,315677","57,620661","1,641021","55,142669",,"0,019272",
06/01/2007 18.00,"5,346397","80,271037","2,016594","77,232467","5,372406","0,012515",
06/01/2007 19.00,"6,210275","80,38258","1,629178","77,938512",,"0,029786",
06/01/2007 20.00,"3,848516","39,760039","1,734914","37,125627","3,418803","0,044773",
06/01/2007 21.00,"4,007944","53,248586","3,277812","48,256183",,"0,034045",
06/01/2007 22.00,"3,590837","39,919578","2,571496","36,00166","9,27961","0,026135",
06/01/2007 23.00,"3,729872","42,996002","2,252596","39,569509",,"0,045563",
07/01/2007 0.00,"4,222987","56,055232","2,206918","52,707872","23,44322","0,072487",
07/01/2007 1.00,"4,56038","51,485991","1,185088","49,703297",,"0,033471",
07/01/2007 2.00,"5,515094","71,225936","1,311124","69,263537","17,582411","0,030846",
07/01/2007 3.00,"5,633738","64,316964","1,150406","62,596358",,"0,041967",
07/01/2007 4.00,"4,743908","55,350985","1,37372","53,281532","10,74481","0,041903",
07/01/2007 5.00,"4,252647","43,902558","1,680778","41,354092",,"0,018576",
07/01/2007 6.00,"5,083156","62,130268","1,245146","60,262778","6,349206","0,005754",
07/01/2007 7.00,"5,49841","64,08479","1,32635","62,09407",,"0,012299",
07/01/2007 8.00,"5,581832","64,774775","1,604647","62,357547","3,907204","0,016678",
07/01/2007 9.00,"5,574417","75,563004","1,82204","72,819683",,"0,038975",
07/01/2007 10.00,"6,047139","82,175007","4,838472","74,808033","2,930403","0,039912",
07/01/2007 11.00,"6,017478","66,171642","10,168396","50,615706",,"0,069809",
07/01/2007 12.00,"4,686439","42,986922","3,08072","38,289808","5,860806","0,066515",
07/01/2007 13.00,"4,528866","34,885987","2,408239","31,2151",,"0,043514",
07/01/2007 14.00,"4,091365","36,346412","3,301496","31,305958","6,349206","0,039682",
07/01/2007 15.00,"5,14804","42,326765","2,316038","38,802471",,"0,023541",
07/01/2007 16.00,"4,747616","46,470587","2,019131","43,40473","10,74481","0,03153",
07/01/2007 17.00,"5,754237","99,938363","4,459515","93,165141",,"0,0399",
07/01/2007 18.00,"5,767214","80,2827","2,750823","76,117581","14,16361","0,033113",
07/01/2007 19.00,"7,114936","91,941214","1,779746","89,274126",,"0,136943",
07/01/2007 20.00,"6,304819","85,720942","1,522596","83,444074","19,53602","0,246854",
07/01/2007 21.00,"6,252912","90,642928","4,70313","83,489507",,"0,284396",
07/01/2007 22.00,"6,306673","78,645913","2,000522","75,63088","21,48962","0,280015",
07/01/2007 23.00,"6,249204","76,363269","2,375249","72,771676",,"0,213075",
08/01/2007 0.00,"6,277012","70,34531","1,261217","68,458852","16,60561","0,167544",
08/01/2007 1.00,"6,180614","73,634426","1,487915","71,402415",,"0,217962",
08/01/2007 2.00,"6,286281","78,561613","1,94131","75,637378","21,97802","0,297041",
08/01/2007 3.00,"6,167637","80,005175","1,47269","77,800938",,"0,431153",
08/01/2007 4.00,"6,219544","70,454256","1,437162","68,297902","21,48962","0,190542",
08/01/2007 5.00,"6,060116","61,876046","1,51583","59,593081",,"0,07555",
08/01/2007 6.00,"5,224046","53,802397","3,676225","48,199051","11,23321","0,055576",
08/01/2007 7.00,"5,539194","69,646223","3,51043","64,308248",,"0,055886",
08/01/2007 8.00,"5,199946","68,10672","6,02948","58,90262","7,814408","0,074779",
08/01/2007 9.00,"7,298464","102,795598","6,181741","93,381888",,"0,105839",
08/01/2007 10.00,"7,8509","127,120368","25,030619","88,80299","16,11721","0,14408",
08/01/2007 11.00,"7,943591","107,355758","11,120023","90,368233",,"0,240495",
08/01/2007 12.00,"7,309585","77,463094","13,085855","57,438621","23,44322","0,150169",
08/01/2007 13.00,"6,286281","76,116815","11,044735","59,223185",,"0,136285",
08/01/2007 14.00,"7,760062","86,60159","16,747708","60,964939","32,722832","0,148424",
08/01/2007 15.00,"6,206567","65,102911","6,856758","54,627424",,"0,151293",
08/01/2007 16.00,"7,467159","97,46892","17,476006","70,722336","38,09523","0,185578",
08/01/2007 17.00,"8,484904","144,67492","30,357179","98,196992",,"0,307357",
08/01/2007 18.00,"9,789988","155,872968","24,446973","118,470994","46,88644","0,272917",
08/01/2007 19.00,"9,001067","129,724686","7,915808","117,833838",,"0,215712",
08/01/2007 20.00,"9,919755","130,786896","5,247882","122,82537","35,164822","0,32702",
08/01/2007 21.00,"9,979077","139,721768","8,001243","127,541856",,"0,616769",
08/01/2007 22.00,"10,195963","143,56212","6,44735","133,769043","53,724041","0,829146",
08/01/2007 23.00,"8,81859","111,493117","3,106942","106,803093",,"0,451786",
09/01/2007 0.00,"8,262446","104,394778","1,929467","101,506567","51,770451","0,3283",
09/01/2007 1.00,"8,661016","104,514088","2,120638","101,332649",,"0,366424",
09/01/2007 2.00,"8,234639","96,12138","2,643395","92,132032","36,141621","0,245071",
09/01/2007 3.00,"8,282838","94,952805","2,283047","91,515546",,"0,3098",
09/01/2007 4.00,"8,27913","95,701161","1,970916","92,743339","33,211231","0,383644",
09/01/2007 5.00,"7,602489","79,859899","1,938772","76,940449",,"0,220521",
09/01/2007 6.00,"7,23358","79,757437","5,999029","70,608131","17,582411","0,142954",
09/01/2007 7.00,"5,665253","83,504401","23,742343","47,133515",,"0,132289",
09/01/2007 8.00,"6,301111","101,69058","36,592205","45,616305","10,25641","0,174796",
09/01/2007 9.00,"7,279925","95,162915","4,954358","87,627129",,"0,171305",
09/01/2007 10.00,"8,501588","132,768682","32,50066","82,993725","21,97802","0,244451",
09/01/2007 11.00,"7,452329","105,720292","29,942689","59,851355",,"0,297817",
09/01/2007 12.00,"6,538399","71,305058","10,067744","55,907126","19,53602","0,301888",
09/01/2007 13.00,"6,23252","60,116069","9,072135","46,23799",,"0,254418",
09/01/2007 14.00,"5,56144","59,576503","7,848983","47,574784","29,30402","0,101845",
09/01/2007 15.00,"8,662869","74,246593","11,807726","56,180982",,"0,087573",
09/01/2007 16.00,"7,087128","80,412411","10,878944","63,776136","46,88644","0,083034",
09/01/2007 17.00,"7,965836","129,928311","6,690119","119,753263",,"0,095485",
09/01/2007 18.00,"8,407043","115,368472","3,300651","110,383979","45,909641","0,161221",
09/01/2007 19.00,"8,445974","108,015933","2,401473","104,405981",,"0,126665",
09/01/2007 20.00,"7,137182","91,766114","3,889387","85,862009","34,67643","0,146677",
09/01/2007 21.00,"4,916313","67,578838","8,644965","54,36135",,"0,147958",
09/01/2007 22.00,"4,352754","48,01269","4,275958","41,48516","29,79241","0,092888",
09/01/2007 23.00,"3,802171","38,438428","2,363407","34,83876",,"0,145205",
10/01/2007 0.00,"5,051641","60,305395","2,371021","56,70921","35,164822","0,184181",
10/01/2007 1.00,,"72,196086","1,558969","69,854057",,"0,122167",
10/01/2007 2.00,"2,382699",,,,"19,0476","0,051787",
10/01/2007 3.00,"0,267631","43,967432","3,673687","38,361202",,,
10/01/2007 4.00,"0,395453","41,418871","3,375088","36,269015","16,60561","0,21585",
10/01/2007 5.00,"1,110462","55,579237","12,055572","37,120427",,"0,220335",
10/01/2007 6.00,"0,984637","59,296377","15,192961","36,026324","23,44322","0,2123",
10/01/2007 7.00,"1,186357","92,139661","33,674748","40,535126",,"0,298812",
10/01/2007 8.00,"5,005064","217,579093","111,704415","46,337911","19,0476","0,449797",
10/01/2007 9.00,"5,358574","213,769622","107,603515","48,818137",,"0,373349",
10/01/2007 10.00,,,,,,,
10/01/2007 11.00,,,,,,,
10/01/2007 12.00,,,,,,,
10/01/2007 13.00,,,,,,,
10/01/2007 14.00,,,,,,,
10/01/2007 15.00,,,,,,,
10/01/2007 16.00,,,,,,,
10/01/2007 17.00,,,,,,,
10/01/2007 18.00,,"210,459755",,,,"0,788907",
10/01/2007 19.00,,"300,46086","157,410182","59,149209",,"0,225874",
10/01/2007 20.00,"1,424028","265,95366","110,619103","96,411108","123,076797","0,37604",
10/01/2007 21.00,"0,599171","174,196656","59,83632","82,508307",,"0,601915",
10/01/2007 22.00,"0,818867","91,707779","2,723756","87,734849","89,865692","0,470119",
10/01/2007 23.00,"1,204332","90,384848","5,113386","82,601761",,"0,43131",
11/01/2007 0.00,"1,545859","78,574595","1,101344","76,939143","62,026852","0,335827",
11/01/2007 1.00,"1,489936","81,772949","1,305202","79,826895",,"0,308797",
11/01/2007 2.00,"1,803502","76,358069","1,289978","74,431657","41,514042","0,391642",
11/01/2007 3.00,"2,454599","79,243851","1,595343","76,85089",,"0,378809",
11/01/2007 4.00,"1,625748","72,823797","1,391484","70,739199","33,699631","0,278529",
11/01/2007 5.00,"1,707634","75,696596","1,364415","73,655512",,"0,246508",
11/01/2007 6.00,"1,939313","73,557908","1,560662","71,214215","20,02442","0,225132",
11/01/2007 7.00,"1,699646","75,443716","6,406745","65,665824",,"0,223768",
11/01/2007 8.00,"1,052543","65,755303","5,799399","56,902592","16,60561","0,21507",
11/01/2007 9.00,"0,625136","63,032959","7,363445","51,778585",,"0,242841",
11/01/2007 10.00,"2,546472","151,06251","60,607779","58,174511","15,62881","0,317807",
