,,,Provincia di Lecce,,,
,,,Galatina,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5
,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,
06/01/2009 22.00,"1,8","29,8","106,7","1,1","7,8","31,8"
06/01/2009 23.00,"1,7","23,3","99,7","1,1","6,1","31,8"
07/01/2009 0.00,"1,1","21,7","77,4","1,0","5,8","31,8"
07/01/2009 1.00,"1,0","22,3","74,1","1,2","5,7",
07/01/2009 2.00,"0,7","18,8","67,3","0,9","5,8",
07/01/2009 3.00,"0,6","16,0","59,0","0,7","6,7",
07/01/2009 4.00,"0,5","13,7","51,9","0,5","7,2",
07/01/2009 5.00,"0,5","12,1","51,1","0,5","8,0","32,3"
07/01/2009 6.00,"0,4","13,5","49,5","0,5","10,4","32,3"
07/01/2009 7.00,"0,5","15,6","50,6","0,5","14,2","32,3"
07/01/2009 8.00,"0,7","26,4","75,2","0,5","6,8","32,3"
07/01/2009 9.00,"1,5","33,5","110,3","0,7","7,2","32,3"
07/01/2009 10.00,"1,0","38,6","98,0","0,5","13,6","32,3"
07/01/2009 11.00,"0,5","33,1","73,4","0,5","21,8","32,3"
07/01/2009 12.00,"0,6","28,0","62,3","0,4","28,8","32,3"
07/01/2009 13.00,"0,5","16,8","36,5","0,2","47,8","32,3"
07/01/2009 14.00,"0,6","20,7","41,2","0,3","45,8","32,3"
07/01/2009 15.00,"0,2","22,6","41,6","0,3","40,1","32,3"
07/01/2009 16.00,"0,5","33,6","65,1","0,4","26,6","32,3"
07/01/2009 17.00,"0,5","30,0","62,9","0,6","24,3","32,3"
07/01/2009 18.00,"0,2","25,1","56,3","0,4","32,8","32,3"
07/01/2009 19.00,"0,1","20,6","43,4","0,3","38,6","32,3"
07/01/2009 20.00,"0,3","24,2","52,8","0,5","32,3","32,3"
07/01/2009 21.00,"0,3","23,2","53,5","0,5","32,5","32,3"
07/01/2009 22.00,"0,2","19,7","45,4","0,3","37,5","32,3"
07/01/2009 23.00,"0,1","18,3","45,0","0,3","34,5","32,3"
08/01/2009 0.00,"0,4","18,9","49,1","0,4","25,1","32,3"
08/01/2009 1.00,"0,4","17,6","52,8","0,4","23,1",
08/01/2009 2.00,"0,3",,,"0,3","25,8",
08/01/2009 3.00,"0,5","12,5","47,1",,"27,2",
08/01/2009 4.00,,"12,6","46,7","0,3","26,0",
08/01/2009 5.00,"0,3","11,3","44,7","0,3",,"19,4"
08/01/2009 6.00,"0,2","11,9","46,7","0,2","22,3","19,4"
08/01/2009 7.00,"0,2","13,6","48,7","0,2","20,8","19,4"
08/01/2009 8.00,"0,3","24,8","65,0","0,3","11,6","19,4"
08/01/2009 9.00,"2,3","45,1","158,0","0,8","6,6","19,4"
08/01/2009 10.00,"0,7","30,1","74,9","0,4","30,4","19,4"
08/01/2009 11.00,"0,3","18,4","46,7","0,2","48,6","19,4"
