Stat,BR-Via Crati-Rione_PERRINO,,,,,,  ,
,,,,,,,,,,,
Parm,SO2,NO2,NOX,CO,PM10,,,
05/01/2014 8.00,"2,3","5,0","7,3","0,7","16,1",,,
05/01/2014 9.00,"2,2","4,7","7,1","0,6",,,,
05/01/2014 10.00,"2,3","5,1","7,5","0,7","13,9",,,
05/01/2014 11.00,"2,0","5,2","7,7","0,6",,,,
05/01/2014 12.00,"2,3","4,9","7,3","0,6","14,4",,,
05/01/2014 13.00,"2,3","4,6","7,1","0,7",,,,
05/01/2014 14.00,"2,3","4,3","6,6","0,7","15,4",,,
05/01/2014 15.00,"2,5","4,3","6,7","0,7",,,,
05/01/2014 16.00,"2,2","4,6","7,0","0,7","14,2",,,
05/01/2014 17.00,"2,5","5,6","7,9","0,7",,,,
05/01/2014 18.00,"2,8","6,9","9,3","0,7","20,0",,,
05/01/2014 19.00,"2,9","9,0","11,4","0,7",,,,
05/01/2014 20.00,"2,6","14,6","17,0","0,8","13,9",,,
05/01/2014 21.00,"3,1","13,7","16,1","0,9",,,,
05/01/2014 22.00,"2,6","12,5","14,8","0,8","11,0",,,
05/01/2014 23.00,"2,7","14,4","16,8","0,8",,,,
06/01/2014 0.00,"2,6","9,5","11,8","0,7","12,7",,,
06/01/2014 1.00,,"9,6","11,9","0,8",,,,
06/01/2014 2.00,"2,2",,,"0,7","13,2",,,
06/01/2014 3.00,"2,2","6,1","8,4","0,7",,,,
06/01/2014 4.00,"2,3","6,0","8,3","0,7","7,8",,,
06/01/2014 5.00,"2,3","8,7","11,8","0,7",,,,
06/01/2014 6.00,"2,7","16,8","19,4","0,8","5,1",,,
06/01/2014 7.00,"2,4","10,4","12,8","0,8",,,,
06/01/2014 8.00,"2,5","12,6","15,6","0,8","9,8",,,
06/01/2014 9.00,"2,5","20,0","24,9","0,8",,,,
06/01/2014 10.00,"2,7","26,8","34,8","0,8","9,8",,,
06/01/2014 11.00,"2,8","12,8","18,1","0,7",,,,
06/01/2014 12.00,"2,9","21,0","28,2","0,7","11,7",,,
06/01/2014 13.00,"2,8","22,0","30,3","0,6",,,,
06/01/2014 14.00,"2,9","9,9","13,5","0,6","6,3",,,
06/01/2014 15.00,"3,0","14,2","18,0","0,6",,,,
06/01/2014 16.00,"3,1","16,1","19,5","0,6","3,7",,,
06/01/2014 17.00,"2,8","19,3","22,2","0,7",,,,
06/01/2014 18.00,"2,6","32,2","36,0","0,7","2,4",,,
06/01/2014 19.00,"2,7","23,7","26,3","0,7",,,,
06/01/2014 20.00,"2,5","35,6","39,1","0,7","4,2",,,
06/01/2014 21.00,"2,9","47,4","50,9","0,9",,,,
06/01/2014 22.00,"2,7","39,1","43,8","0,8","6,8",,,
06/01/2014 23.00,"2,8","24,1","27,0","0,8",,,,
07/01/2014 0.00,"2,9","21,6","24,0","0,7","9,0",,,
07/01/2014 1.00,"2,5","12,9","15,4","0,7",,,,
07/01/2014 2.00,"2,8","7,7","10,1","0,7","9,3",,,
07/01/2014 3.00,"2,8","8,0","10,4","0,7",,,,
07/01/2014 4.00,"2,6","6,9","9,3","0,7","12,0",,,
07/01/2014 5.00,"2,6","8,1","11,2","0,7",,,,
07/01/2014 6.00,"2,4","11,5","15,2","0,7","6,3",,,
07/01/2014 7.00,"3,0","18,7","22,7","0,7",,,,
07/01/2014 8.00,"3,0","27,7","40,0","0,8","11,2",,,
07/01/2014 9.00,"2,7","21,1","32,2","0,8",,,,
07/01/2014 10.00,"2,5","16,3","25,0","0,7","10,3",,,
07/01/2014 11.00,"2,7","13,9","21,8","0,7",,,,
07/01/2014 12.00,"2,6","15,3","23,7","0,7","7,3",,,
07/01/2014 13.00,"3,3","19,5","30,6","0,7",,,,
07/01/2014 14.00,"2,8","11,2","16,8","0,7","12,7",,,
07/01/2014 15.00,"2,5","16,0","24,5","0,7",,,,
07/01/2014 16.00,"2,7","19,8","24,7","0,7","7,1",,,
07/01/2014 17.00,"3,0","32,2","37,8","0,7",,,,
07/01/2014 18.00,"2,8","30,7","35,7","0,8","3,9",,,
07/01/2014 19.00,"2,5","49,4","56,8","0,8",,,,
07/01/2014 20.00,"3,0","57,2","65,2","0,9","9,5",,,
07/01/2014 21.00,"3,4","50,8","63,8","1,0",,,,
07/01/2014 22.00,"3,1","30,7","33,6","0,8","7,6",,,
07/01/2014 23.00,"2,9","25,2","27,9","0,8",,,,
08/01/2014 0.00,"2,7","14,2","16,6","0,7","20,0",,,
08/01/2014 1.00,,"10,1","12,4","0,7",,,,
08/01/2014 2.00,"2,8",,,"0,7","25,4",,,
08/01/2014 3.00,"2,5","6,0","8,4","0,7",,,,
08/01/2014 4.00,"2,8","6,1","8,5","0,7","20,5",,,
08/01/2014 5.00,"2,8","7,5","10,1","0,7",,,,
08/01/2014 6.00,"2,8","12,5","14,9","0,7","11,2",,,
08/01/2014 7.00,"2,6","27,7","33,3","0,8",,,,
08/01/2014 8.00,"3,2","46,4","64,3","0,9","6,8",,,
08/01/2014 9.00,"2,7","29,7","42,2","0,8",,,,
08/01/2014 10.00,"2,9","14,3","21,2","0,8","8,3",,,
08/01/2014 11.00,"2,7","14,9","23,9","0,7",,,,
08/01/2014 12.00,"3,0","18,2","29,6","0,7","14,9",,,
08/01/2014 13.00,"2,9","18,9","27,7","0,7",,,,
08/01/2014 14.00,"3,0","19,1","27,4","0,7","8,5",,,
08/01/2014 15.00,"2,9","16,9","25,1","0,7",,,,
08/01/2014 16.00,"2,6","14,3","18,8","0,7","14,2",,,
08/01/2014 17.00,"2,8","22,9","28,7","0,7",,,,
08/01/2014 18.00,"2,4","20,4","25,2","0,7","10,5",,,
08/01/2014 19.00,"2,3","13,3","17,3","0,7",,,,
08/01/2014 20.00,"2,6","13,1","16,4","0,7","10,5",,,
08/01/2014 21.00,"2,8","10,0","13,0","0,7",,,,
08/01/2014 22.00,"3,1","9,8","12,9","0,7","10,0",,,
08/01/2014 23.00,"2,9","11,6","14,6","0,7",,,,
09/01/2014 0.00,"2,7","8,4","11,1","0,7","9,8",,,
09/01/2014 1.00,"3,1","9,8","12,4","0,7",,,,
09/01/2014 2.00,"3,0","9,7","12,2","0,7","11,5",,,
09/01/2014 3.00,"2,8","9,3","11,8","0,7",,,,
09/01/2014 4.00,"2,9","7,6","9,9","0,7","18,1",,,
09/01/2014 5.00,"2,8","7,3","9,7","0,7",,,,
09/01/2014 6.00,"2,4","9,8","12,4","0,7","21,0",,,
09/01/2014 7.00,"2,9","12,3","16,6","0,7",,,,
09/01/2014 8.00,"2,7","18,4","23,8","0,8","19,3",,,
09/01/2014 9.00,"2,6","18,8","26,0","0,8",,,,
09/01/2014 10.00,"2,7","21,5","36,2","0,7","14,4",,,
09/01/2014 11.00,"2,4","11,6","17,8","0,7",,,,
09/01/2014 12.00,"3,0","14,8","22,8","0,7","21,5",,,
09/01/2014 13.00,"2,8","13,2","20,3","0,7",,,,
09/01/2014 14.00,"3,3","12,7","18,3","0,7","11,7",,,
09/01/2014 15.00,"3,2","13,8","19,1","0,7",,,,
09/01/2014 16.00,"2,9","16,7","20,6","0,8","6,8",,,
09/01/2014 17.00,"2,9","25,5","29,2","0,8",,,,
09/01/2014 18.00,"3,0","26,1","29,1","0,8","10,3",,,
09/01/2014 19.00,"3,5","54,7","60,1","1,0",,,,
09/01/2014 20.00,"3,3","51,2","55,5","1,0","16,6",,,
09/01/2014 21.00,"3,4","57,8","64,1","1,1",,,,
09/01/2014 22.00,"3,7","44,2","49,1","1,1","21,0",,,
09/01/2014 23.00,"4,1","41,3","46,0","1,2",,,,
10/01/2014 0.00,"4,4","39,3","43,8","1,4","32,7",,,
10/01/2014 1.00,,"34,4","37,5","1,2",,,,
10/01/2014 2.00,"3,6",,,"1,0","50,8",,,
10/01/2014 3.00,"3,2","8,0","10,4","0,8",,,,
10/01/2014 4.00,"3,1","6,9","9,2","0,7","48,8",,,
10/01/2014 5.00,"3,2","7,0","9,3","0,7",,,,
10/01/2014 6.00,"3,3","9,0","11,3","0,7","35,2",,,
10/01/2014 7.00,"3,0","14,3","17,5","0,7",,,,
10/01/2014 8.00,"3,6","42,9","54,6","0,8","28,1",,,
10/01/2014 9.00,"4,1","59,4","118,0","0,9",,,,
10/01/2014 10.00,"3,3","40,5","55,6","0,8","29,8",,,
10/01/2014 11.00,"3,7","21,1","27,6","0,8",,,,
10/01/2014 12.00,"3,2","16,8","22,4","0,7","25,4",,,
10/01/2014 13.00,"3,0","14,6","19,3","0,8",,,,
10/01/2014 14.00,"3,1","8,6","12,3","0,7","13,7",,,
10/01/2014 15.00,"2,6","9,6","12,9","0,7",,,,
10/01/2014 16.00,"2,6","16,7","19,7","0,7","9,5",,,
10/01/2014 17.00,"2,6","27,3","29,6","0,8",,,,
10/01/2014 18.00,"2,9","51,0","55,0","0,9","11,5",,,
10/01/2014 19.00,"3,0","31,3","33,8","0,9",,,,
10/01/2014 20.00,"2,8","52,2","61,4","1,0","19,5",,,
10/01/2014 21.00,"2,9","56,4","69,5","1,1",,,,
10/01/2014 22.00,"3,2","63,9","84,8","1,5","23,9",,,
10/01/2014 23.00,"2,7","61,1","75,4","1,4",,,,
11/01/2014 0.00,"3,0","42,6","46,9","1,1","39,6",,,
11/01/2014 1.00,"3,3","34,6","38,3","1,1",,,,
11/01/2014 2.00,"3,0","29,4","32,7","1,1","50,1",,,
11/01/2014 3.00,"2,7","22,5","24,9","1,0",,,,
11/01/2014 4.00,"2,9","26,1","29,5","1,0","44,9",,,
11/01/2014 5.00,"2,8","25,5","28,5","1,0",,,,
11/01/2014 6.00,"2,9","29,7","33,7","1,0","37,9",,,
11/01/2014 7.00,"3,3","43,9","70,8","1,0",,,,
11/01/2014 8.00,"3,6","55,9","134,9","1,3","36,9",,,
11/01/2014 9.00,"3,6","57,8","127,5","1,4",,,,
11/01/2014 10.00,"3,3","47,5","80,4","1,0","44,4",,,
11/01/2014 11.00,"3,1","28,1","40,0","0,9",,,,
11/01/2014 12.00,"3,3","20,4","28,2","0,8","44,4",,,
11/01/2014 13.00,"3,2","18,7","24,9","0,7",,,,
11/01/2014 14.00,"3,3","18,8","25,0","0,7","37,9",,,
11/01/2014 15.00,"3,1","9,0","11,9","0,7",,,,
11/01/2014 16.00,"3,2","9,2","11,6","0,7","27,6",,,
11/01/2014 17.00,"2,9","9,3","11,7","0,7",,,,
11/01/2014 18.00,"2,8","28,2","31,4","0,8","21,0",,,
11/01/2014 19.00,"3,1","45,5","51,9","1,0",,,,
11/01/2014 20.00,"3,3","61,5","79,0","1,1","20,0",,,
11/01/2014 21.00,"3,2","38,7","43,4","1,1",,,,
11/01/2014 22.00,"3,4","40,6","49,4","1,4","27,8",,,
11/01/2014 23.00,"3,2","36,8","49,4","1,3",,,,
12/01/2014 0.00,"2,8","24,9","28,0","1,2","34,9",,,
12/01/2014 1.00,,"20,5","22,9","1,1",,,,
12/01/2014 2.00,"2,8",,,"0,9","43,5",,,
12/01/2014 3.00,"3,1","13,5","15,8","1,0",,,,
12/01/2014 4.00,"3,2","19,0","21,4","1,0","51,3",,,
12/01/2014 5.00,"3,5","19,8","23,3","1,0",,,,
12/01/2014 6.00,"3,1","23,3","29,1","1,0","41,5",,,
12/01/2014 7.00,"3,1","32,0","39,6","1,0",,,,
12/01/2014 8.00,"2,9","36,6","51,1","1,2","42,7",,,
12/01/2014 9.00,"3,4","29,6","41,4","1,0",,,,
12/01/2014 10.00,"2,8","29,6","45,9","1,0","40,0",,,
12/01/2014 11.00,"2,7","14,1","20,3","0,7",,,,
12/01/2014 12.00,"2,8","16,1","20,7","0,6","49,8",,,
12/01/2014 13.00,"2,8","7,4","10,6","0,6",,,,
12/01/2014 14.00,"3,1","6,7","9,5","0,6","25,9",,,
12/01/2014 15.00,"2,7","9,2","12,0","0,7",,,,
12/01/2014 16.00,"3,0","10,0","12,5","0,7","13,2",,,
12/01/2014 17.00,"2,9","15,0","17,3","0,8",,,,
12/01/2014 18.00,"3,0","14,8","18,2","0,8","9,5",,,
12/01/2014 19.00,"3,5","17,3","19,7","0,8",,,,
12/01/2014 20.00,"2,7","27,6","30,2","0,9","19,8",,,
12/01/2014 21.00,"3,0","19,9","22,8","0,9",,,,
12/01/2014 22.00,"3,1","19,0","21,3","0,9","22,0",,,
12/01/2014 23.00,"2,7","19,2","21,8","0,9",,,,
13/01/2014 0.00,"2,8","13,9","16,5","0,8","40,5",,,
13/01/2014 1.00,"2,8","11,7","14,0","0,8",,,,
13/01/2014 2.00,"2,8","9,6","11,9","0,8","46,2",,,
13/01/2014 3.00,"3,0","8,1","10,4","0,8",,,,
13/01/2014 4.00,"2,8","7,9","10,3","0,8","39,3",,,
13/01/2014 5.00,"2,9","9,0","12,0","0,8",,,,
13/01/2014 6.00,"3,0","17,2","23,0","0,8","42,7",,,
13/01/2014 7.00,"2,8","21,1","26,0","0,8",,,,
13/01/2014 8.00,"3,1","45,3","74,3","0,9","32,2",,,
13/01/2014 9.00,"3,0","29,6","41,9","0,9",,,,
13/01/2014 10.00,"2,9","32,5","52,2","0,8","39,1",,,
13/01/2014 11.00,"3,0","23,8","38,2","0,8",,,,
13/01/2014 12.00,"3,0","21,4","32,5","0,8","38,8",,,
13/01/2014 13.00,"2,9","17,8","25,4","0,7",,,,
13/01/2014 14.00,"2,9","12,5","18,2","0,7","27,4",,,
13/01/2014 15.00,"3,0","13,3","17,9","0,7",,,,
13/01/2014 16.00,"2,6","15,1","18,8","0,7","13,9",,,
13/01/2014 17.00,"2,9","29,4","33,2","0,7",,,,
13/01/2014 18.00,"2,7","33,8","38,0","0,8","9,0",,,
13/01/2014 19.00,"2,7","58,6","72,8","0,9",,,,
13/01/2014 20.00,"3,0","57,9","71,6","0,9","10,7",,,
13/01/2014 21.00,"2,9","60,7","97,9","1,2",,,,
13/01/2014 22.00,"2,9","42,5","51,1","0,8","28,1",,,
13/01/2014 23.00,"2,6","43,0","47,5","0,9",,,,
14/01/2014 0.00,"3,0","43,9","53,1","1,0","32,0",,,
14/01/2014 1.00,,"23,9","27,5","1,0",,,,
14/01/2014 2.00,"3,1",,,"0,9","22,0",,,
14/01/2014 3.00,"2,7","16,0","19,1","0,9",,,,
14/01/2014 4.00,"2,9","14,2","16,6","0,8","25,9",,,
14/01/2014 5.00,"2,9","13,5","15,8","0,8",,,,
14/01/2014 6.00,"3,1","14,7","17,1","0,8","27,4",,,
14/01/2014 7.00,"2,6","35,8","47,0","0,8",,,,
14/01/2014 8.00,"2,9","33,0","41,7","0,8","23,0",,,
14/01/2014 9.00,"2,7","36,1","59,1","0,8",,,,
14/01/2014 10.00,"2,7","18,9","26,5","0,7","24,4",,,
14/01/2014 11.00,"2,8","16,1","21,6","0,7",,,,
14/01/2014 12.00,"2,7","12,9","19,1","0,7","35,7",,,
14/01/2014 13.00,"2,5","10,1","14,4","0,6",,,,
14/01/2014 14.00,"2,8","7,5","11,6","0,6","19,0",,,
14/01/2014 15.00,"2,8","9,8","13,9","0,6",,,,
14/01/2014 16.00,"2,8","14,1","17,3","0,6","9,3",,,
14/01/2014 17.00,"2,6","41,8","48,0","0,7",,,,
14/01/2014 18.00,"2,6","33,8","39,8","0,7","4,4",,,
14/01/2014 19.00,"2,6","25,3","29,1","0,8",,,,
14/01/2014 20.00,"2,8","28,9","32,6","0,8","7,1",,,
14/01/2014 21.00,"2,5","16,1","18,8","0,8",,,,
14/01/2014 22.00,"2,8","17,9","20,7","0,8","17,1",,,
14/01/2014 23.00,"2,8","13,1","15,5","0,7",,,,
15/01/2014 0.00,"2,5","9,4","11,8","0,7","20,5",,,
15/01/2014 1.00,"2,3","6,9","9,2","0,7",,,,
15/01/2014 2.00,"2,5","6,3","8,6","0,7","19,3",,,
15/01/2014 3.00,"2,9","4,4","6,8","0,7",,,,
15/01/2014 4.00,"2,8","4,4","6,8","0,7","10,3",,,
15/01/2014 5.00,"2,7","7,3","9,6","0,7",,,,
15/01/2014 6.00,"2,6","10,7","13,0","0,7","14,7",,,
15/01/2014 7.00,"2,5","22,8","26,2","0,7",,,,
15/01/2014 8.00,"2,4","24,7","29,5","0,7","12,2",,,
15/01/2014 9.00,"2,6","37,4","53,7","0,7",,,,
15/01/2014 10.00,"2,8","31,3","41,6","0,7","17,1",,,
15/01/2014 11.00,"2,6","34,7","43,9","0,7",,,,
15/01/2014 12.00,"2,8","22,1","28,2","0,8","17,1",,,
15/01/2014 13.00,"2,3","10,8","15,7","0,7",,,,
15/01/2014 14.00,"2,9","11,6","16,2","0,7","19,0",,,
15/01/2014 15.00,"2,4","22,4","30,1","0,7",,,,
15/01/2014 16.00,"2,6","22,3","28,6","0,7","10,5",,,
15/01/2014 17.00,"2,6","24,1","28,5","0,7",,,,
15/01/2014 18.00,"2,7","34,3","37,8","0,8","6,3",,,
15/01/2014 19.00,"2,6","36,2","41,2","0,8",,,,
15/01/2014 20.00,"2,5","32,2","35,6","0,8","7,6",,,
15/01/2014 21.00,"2,6","27,9","31,1","0,8",,,,
15/01/2014 22.00,"2,7","18,1","20,8","0,7","15,6",,,
15/01/2014 23.00,"2,9","17,5","19,9","0,7",,,,
16/01/2014 0.00,"2,7","14,9","17,3","0,7","15,9",,,
16/01/2014 1.00,,"12,3","14,7","0,7",,,,
16/01/2014 2.00,"3,0",,,"0,6","17,1",,,
16/01/2014 3.00,"2,8","10,5","12,9","0,7",,,,
16/01/2014 4.00,"2,8","9,8","12,1","0,7","18,3",,,
16/01/2014 5.00,"2,5","10,9","13,3","0,7",,,,
16/01/2014 6.00,"3,0","11,6","14,3","0,7","15,4",,,
16/01/2014 7.00,"2,9","15,2","19,6","0,8",,,,
16/01/2014 8.00,"2,9","23,6","32,3","0,8","10,5",,,
16/01/2014 9.00,"2,9","17,2","26,6","0,8",,,,
16/01/2014 10.00,"2,9","14,8","23,8","0,8","12,0",,,
16/01/2014 11.00,"3,0","17,2","30,7","0,8",,,,
16/01/2014 12.00,"2,9","17,1","29,2","0,7","18,1",,,
16/01/2014 13.00,"3,1","19,0","30,0","0,7",,,,
16/01/2014 14.00,"2,9","12,3","17,8","0,7","12,7",,,
16/01/2014 15.00,"3,1","14,5","20,7","0,7",,,,
16/01/2014 16.00,"2,9","20,6","25,5","0,7","13,2",,,
16/01/2014 17.00,"3,4","49,4","57,3","0,7",,,,
16/01/2014 18.00,"3,0","55,4","61,7","0,9","7,3",,,
16/01/2014 19.00,"3,7","69,6","121,6","1,3",,,,
16/01/2014 20.00,"4,0","81,1","202,3","1,7","13,2",,,
16/01/2014 21.00,"3,4","53,4","67,4","1,5",,,,
16/01/2014 22.00,"2,9","38,1","44,9","1,2","33,2",,,
16/01/2014 23.00,"3,4","24,5","28,9","1,1",,,,
17/01/2014 0.00,"3,6","20,8","25,4","1,3","37,6",,,
17/01/2014 1.00,"3,8","21,0","24,4","1,2",,,,
17/01/2014 2.00,"3,3","22,9","25,3","1,1","39,6",,,
17/01/2014 3.00,"3,4","20,2","22,7","1,0",,,,
17/01/2014 4.00,"3,3","12,8","15,2","0,8","40,3",,,
17/01/2014 5.00,"3,0","18,4","22,0","0,8",,,,
17/01/2014 6.00,"3,1","36,7","48,0","0,8","28,8",,,
17/01/2014 7.00,"3,2","37,4","49,8","0,7",,,,
17/01/2014 8.00,"3,1","18,3","23,6","0,7","29,5",,,
17/01/2014 9.00,"3,3","22,4","30,1","0,9",,,,
17/01/2014 10.00,"3,1","16,6","23,2","0,7","24,2",,,
17/01/2014 11.00,"3,4","8,3","12,6","0,7",,,,
17/01/2014 12.00,"3,2","5,3","8,7","0,6","33,2",,,
17/01/2014 13.00,"3,3","5,3","8,8","0,6",,,,
17/01/2014 14.00,"3,2","5,4","8,6","0,6","17,1",,,
17/01/2014 15.00,"2,9","5,6","8,1","0,6",,,,
17/01/2014 16.00,"2,9","7,1","9,6","0,6","9,3",,,
17/01/2014 17.00,"3,1","9,2","11,6","0,6",,,,
17/01/2014 18.00,"2,9","9,8","12,3","0,6","5,6",,,
17/01/2014 19.00,"2,9","7,4","9,7","0,6",,,,
17/01/2014 20.00,"2,9","7,8","10,2","0,6","8,8",,,
17/01/2014 21.00,"3,0","7,5","9,9","0,7",,,,
17/01/2014 22.00,"2,9","7,8","10,2","0,7","14,4",,,
17/01/2014 23.00,"3,0","5,9","8,3","0,7",,,,
18/01/2014 0.00,"2,7","3,6","6,0","0,6","18,8",,,
18/01/2014 1.00,,"3,2","5,6","0,6",,,,
18/01/2014 2.00,"2,8",,,"0,6","19,0",,,
18/01/2014 3.00,"2,8","2,3","4,7","0,6",,,,
18/01/2014 4.00,"2,8","2,4","4,7","0,6","21,2",,,
