Stat,LECCE Piazza_libertini,,,,,,  ,
,,,,,,
Parm,NO2,NOX,CO,PM10,BENZENE,,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3 293K,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,
,,,,,
,,,,,
06/01/2014 15.00,"18,6","27,5","0,5",,"0,3",,,
06/01/2014 16.00,"36,1","50,2","0,6","6,8","0,4",,,
06/01/2014 17.00,"72,1","117,0","2,2",,"1,3",,,
06/01/2014 18.00,"64,3","88,7","2,1","10,7","2,5",,,
06/01/2014 19.00,"76,8","126,5","3,1",,"2,0",,,
06/01/2014 20.00,"89,7","161,3","5,0","23,4","12,0",,,
06/01/2014 21.00,"60,4","76,0","1,4",,"2,4",,,
06/01/2014 22.00,"62,6","86,2","1,2","21,5","2,2",,,
06/01/2014 23.00,"39,4","48,1","0,8",,"1,4",,,
07/01/2014 0.00,"32,7","40,6","0,7","28,3","1,3",,,
07/01/2014 1.00,"24,5","32,5","0,6",,"0,7",,,
07/01/2014 2.00,"19,0","26,5","0,5","15,6","0,7",,,
07/01/2014 3.00,"12,7","20,1","0,5",,"0,4",,,
07/01/2014 4.00,"9,7","17,4","0,4","16,1","0,3",,,
07/01/2014 5.00,"11,3","19,7","0,5",,"0,3",,,
07/01/2014 6.00,"14,7","23,5","0,5","9,8","0,3",,,
07/01/2014 7.00,"32,7","51,0","0,5",,"0,6",,,
07/01/2014 8.00,"35,7","55,5","0,5","18,6","0,5",,,
07/01/2014 9.00,"32,1","55,0","0,6",,"0,7",,,
07/01/2014 10.00,"26,3","46,8","0,5","14,7","0,7",,,
07/01/2014 11.00,"30,1","55,4","0,6",,"1,0",,,
07/01/2014 12.00,"28,0","46,9","0,6","11,7","0,8",,,
07/01/2014 13.00,"25,5","42,5","0,6",,"0,9",,,
07/01/2014 14.00,"29,6","48,0","0,5","12,2","0,5",,,
07/01/2014 15.00,"22,8","36,9","0,5",,"0,6",,,
07/01/2014 16.00,"29,7","44,7","0,6","7,8","0,7",,,
07/01/2014 17.00,"47,2","67,5","0,8",,"1,0",,,
07/01/2014 18.00,"52,5","72,7","0,9","6,8","1,5",,,
07/01/2014 19.00,"53,4","69,1","0,9",,"1,7",,,
07/01/2014 20.00,"66,0","106,3","1,1","17,6","1,9",,,
07/01/2014 21.00,"62,7","94,9","0,9",,"1,9",,,
07/01/2014 22.00,"65,4","92,3","1,1","33,2","2,0",,,
07/01/2014 23.00,"52,5","66,9","1,0",,"2,4",,,
08/01/2014 0.00,"37,5","51,4","1,0","40,0","1,6",,,
08/01/2014 1.00,"24,8","31,0","0,6",,"1,2",,,
08/01/2014 2.00,"19,3","26,4","0,6","33,2","0,8",,,
08/01/2014 3.00,"14,7","22,3",,,"0,7",,,
08/01/2014 4.00,,,"0,5","21,0","0,5",,,
08/01/2014 5.00,"18,7","27,2","0,5",,"0,3",,,
08/01/2014 6.00,"35,3","55,9","0,5","12,2","0,3",,,
08/01/2014 7.00,"42,2","55,0","0,5",,"0,3",,,
08/01/2014 8.00,"60,6","112,4","0,7","16,1","0,7",,,
08/01/2014 9.00,"60,6","120,7","0,8",,"1,3",,,
08/01/2014 10.00,"34,5","54,0","0,6","25,4","1,1",,,
08/01/2014 11.00,"33,5","54,1","0,5",,"1,0",,,
08/01/2014 12.00,"27,7","44,2","0,5","14,2","0,6",,,
08/01/2014 13.00,"29,8","48,4","0,6",,"0,6",,,
08/01/2014 14.00,"27,0","42,3","0,5","12,7","0,9",,,
08/01/2014 15.00,"21,1","33,4","0,5",,"0,7",,,
08/01/2014 16.00,"24,6","36,5","0,5","10,7","0,6",,,
08/01/2014 17.00,"25,5","36,9","0,5",,"0,6",,,
08/01/2014 18.00,"34,0","46,7","0,6","7,8","0,7",,,
08/01/2014 19.00,"34,7","45,6","0,7",,"0,9",,,
08/01/2014 20.00,"37,9","52,4","0,7","15,6","1,1",,,
08/01/2014 21.00,"27,3","37,4","0,6",,"0,9",,,
08/01/2014 22.00,"26,4","35,4","0,6","18,6","0,9",,,
08/01/2014 23.00,"15,9","25,4","0,5",,"0,4",,,
09/01/2014 0.00,"14,4","24,4","0,5","12,7","0,3",,,
09/01/2014 1.00,"11,0","20,0","0,5",,"0,3",,,
09/01/2014 2.00,"6,6","15,7","0,5","18,1","0,3",,,
09/01/2014 3.00,"11,7","20,8","0,5",,"0,4",,,
09/01/2014 4.00,"9,1","18,3","0,5","24,4","0,4",,,
09/01/2014 5.00,"11,9","21,6","0,5",,"0,4",,,
09/01/2014 6.00,"14,6","24,2","0,5","2,0","0,3",,,
09/01/2014 7.00,"25,8","39,2","0,5",,"0,3",,,
09/01/2014 8.00,"35,3","52,2","0,5","15,6","0,4",,,
09/01/2014 9.00,"34,5","55,2","0,6",,"0,6",,,
09/01/2014 10.00,"28,8","50,2","0,6","12,2","0,6",,,
09/01/2014 11.00,"27,9","50,8","0,6",,"0,8",,,
09/01/2014 12.00,"25,1","43,8","0,5","12,7","0,8",,,
09/01/2014 13.00,"27,1","48,6","0,6",,"0,7",,,
09/01/2014 14.00,"25,5","43,8","0,5","13,2","1,5",,,
09/01/2014 15.00,"19,5","32,9","0,5",,"0,8",,,
09/01/2014 16.00,"33,4","52,8","0,6","14,2","0,6",,,
09/01/2014 17.00,"42,2","56,7","0,8",,"1,1",,,
09/01/2014 18.00,"49,6","62,7","1,0","20,5","1,5",,,
09/01/2014 19.00,"73,9","100,0","1,0",,"2,2",,,
09/01/2014 20.00,"79,6","126,9","1,1","30,8","1,8",,,
09/01/2014 21.00,"74,2","119,4","1,2",,"2,1",,,
09/01/2014 22.00,"50,7","63,3","1,1","56,2","2,6",,,
09/01/2014 23.00,"42,9","52,6","1,0",,"2,4",,,
10/01/2014 0.00,"51,4","96,4","1,2","52,7","2,2",,,
10/01/2014 1.00,"50,4","91,9","1,2",,"2,4",,,
10/01/2014 2.00,"44,1","80,4","1,4","63,5","2,6",,,
10/01/2014 3.00,"40,5","66,4",,,"2,9",,,
10/01/2014 4.00,,,"1,0","61,5","2,6",,,
10/01/2014 5.00,"34,3","44,1","0,7",,"1,5",,,
10/01/2014 6.00,"48,3","72,8","0,7","32,2","1,2",,,
10/01/2014 7.00,"77,4","151,3","0,7",,"1,1",,,
10/01/2014 8.00,"91,6","260,8","1,0","31,3","1,4",,,
10/01/2014 9.00,"85,5","175,1","1,0",,"1,5",,,
10/01/2014 10.00,"66,5","117,3","0,9","21,0","1,6",,,
10/01/2014 11.00,"58,5","101,4","0,9",,"1,6",,,
10/01/2014 12.00,"47,4","78,5","0,7","11,7","1,5",,,
10/01/2014 13.00,"48,0","76,5","0,8",,"1,1",,,
10/01/2014 14.00,"41,2","59,9","0,7","20,0","1,1",,,
10/01/2014 15.00,"41,1","58,8","0,6",,"0,7",,,
10/01/2014 16.00,"55,0","77,1","0,7","19,0","0,8",,,
10/01/2014 17.00,"77,5","121,4","1,1",,"1,4",,,
10/01/2014 18.00,"70,7","100,0","2,1","19,5","1,9",,,
10/01/2014 19.00,"90,9","197,3","4,6",,"3,6",,,
10/01/2014 20.00,"81,6","137,2","5,3","38,1","5,4",,,
10/01/2014 21.00,"78,0","117,3","1,2",,"2,7",,,
10/01/2014 22.00,"99,7","234,0","1,5","47,9","2,8",,,
10/01/2014 23.00,"91,4","199,1","1,4",,"3,2",,,
11/01/2014 0.00,"95,0","261,5","1,7","52,7","2,4",,,
11/01/2014 1.00,"69,6","194,9","1,6",,"3,3",,,
11/01/2014 2.00,"61,2","171,4","1,6","50,8","2,9",,,
11/01/2014 3.00,"53,5","100,1","1,4",,"2,8",,,
11/01/2014 4.00,"39,2","55,4","1,0","58,1","2,3",,,
11/01/2014 5.00,"33,3","39,9","0,9",,"1,9",,,
11/01/2014 6.00,"36,9","47,8","0,9","45,4","1,9",,,
11/01/2014 7.00,"68,1","161,6","1,0",,"1,6",,,
11/01/2014 8.00,"79,0","242,2","1,2","40,0","1,8",,,
11/01/2014 9.00,"77,1","190,7","1,2",,"2,4",,,
11/01/2014 10.00,"54,2","97,8","1,0","34,2","2,2",,,
11/01/2014 11.00,"28,8","42,3","0,7",,"2,0",,,
11/01/2014 12.00,"34,8","50,9","0,7","31,7","1,4",,,
11/01/2014 13.00,"35,7","51,4","0,7",,"1,2",,,
11/01/2014 14.00,"42,3","60,8","0,6","24,4","1,4",,,
11/01/2014 15.00,"22,8","30,3","0,5",,"0,9",,,
11/01/2014 16.00,"31,3","40,6","0,6","15,6","0,6",,,
11/01/2014 17.00,"58,6","80,2","0,9",,"0,9",,,
11/01/2014 18.00,"68,0","98,2","4,7","23,0","2,9",,,
11/01/2014 19.00,"75,8","139,4","4,1",,"5,5",,,
11/01/2014 20.00,"87,8","169,9","8,8","44,4","10,9",,,
11/01/2014 21.00,"98,5","226,0","6,0",,"16,2",,,
11/01/2014 22.00,"112,7","308,7","2,3","59,6","5,7",,,
11/01/2014 23.00,"94,5","173,6","1,4",,"3,8",,,
12/01/2014 0.00,"80,5","126,7","1,3","66,9","2,5",,,
12/01/2014 1.00,"69,2","111,1","1,2",,"2,4",,,
12/01/2014 2.00,"71,4","169,5","1,5","53,2","2,3",,,
12/01/2014 3.00,"65,3","188,9",,,"2,7",,,
12/01/2014 4.00,,,"1,6","40,0","2,8",,,
12/01/2014 5.00,"54,6","90,8","1,0",,"1,6",,,
12/01/2014 6.00,"46,5","62,7","0,9","29,3","1,5",,,
12/01/2014 7.00,"59,0","117,2","1,0",,"1,2",,,
12/01/2014 8.00,"77,2","284,3","1,2","31,7","1,3",,,
12/01/2014 9.00,"70,8","168,0","1,1",,"1,7",,,
12/01/2014 10.00,"57,2","92,3","0,9","23,4","1,5",,,
12/01/2014 11.00,"26,7","33,6","0,6",,"0,8",,,
12/01/2014 12.00,"19,5","25,0","0,5","13,2","0,4",,,
12/01/2014 13.00,"33,4","49,5","0,6",,"0,4",,,
12/01/2014 14.00,"41,1","59,0","0,6","12,7","0,7",,,
12/01/2014 15.00,"21,3","26,7","0,6",,"0,5",,,
12/01/2014 16.00,"25,7","31,4","0,6","22,5","0,5",,,
12/01/2014 17.00,"44,1","55,3","1,7",,"1,1",,,
12/01/2014 18.00,"54,5","76,2","2,2","25,4","3,0",,,
12/01/2014 19.00,"51,0","69,2","1,6",,"2,9",,,
12/01/2014 20.00,"65,4","104,4","2,9","42,5","2,0",,,
12/01/2014 21.00,"56,8","81,4","2,1",,"4,4",,,
12/01/2014 22.00,"58,6","82,9","1,1","44,9","2,1",,,
12/01/2014 23.00,"43,7","53,5","1,0",,"2,0",,,
13/01/2014 0.00,"33,7","43,6","0,9","46,4","1,6",,,
13/01/2014 1.00,"28,0","35,8","0,8",,"1,5",,,
13/01/2014 2.00,"22,5","28,5","0,8","45,9","1,3",,,
13/01/2014 3.00,"20,8","28,4","0,7",,"1,2",,,
13/01/2014 4.00,"14,5","20,8","0,6","46,4","1,0",,,
13/01/2014 5.00,"15,3","21,4","0,6",,"0,9",,,
13/01/2014 6.00,"26,2","42,3","0,7","38,6","0,8",,,
13/01/2014 7.00,"57,9","124,1","0,8",,"1,0",,,
13/01/2014 8.00,"54,5","115,1","0,9","31,7","1,2",,,
13/01/2014 9.00,"54,6","113,5","1,0",,"1,6",,,
13/01/2014 10.00,"45,2","78,8","0,8","35,7","1,7",,,
13/01/2014 11.00,"32,1","50,9","0,8",,"1,5",,,
13/01/2014 12.00,"31,4","50,2","0,7","20,0","1,2",,,
13/01/2014 13.00,"35,8","58,0","0,7",,"1,0",,,
13/01/2014 14.00,"37,6","59,4","0,7","11,7","1,2",,,
13/01/2014 15.00,"23,6","34,8","0,6",,"1,1",,,
13/01/2014 16.00,"38,3","54,8","0,7","25,4","0,7",,,
13/01/2014 17.00,"48,6","66,9","1,7",,"1,1",,,
13/01/2014 18.00,"58,5","84,5","2,7","24,4","1,5",,,
13/01/2014 19.00,"71,0","114,2","2,4",,"2,9",,,
13/01/2014 20.00,"69,0","108,4","1,4","30,8","2,4",,,
13/01/2014 21.00,"64,4","97,7","0,9",,"1,6",,,
13/01/2014 22.00,"56,0","73,2","0,7","30,8","1,2",,,
13/01/2014 23.00,"50,0","67,2","0,8",,"1,3",,,
14/01/2014 0.00,"51,3","78,1","0,8","27,8","1,3",,,
14/01/2014 1.00,"30,8","45,9","0,7",,"0,9",,,
14/01/2014 2.00,"21,1","28,2","0,7","24,4","0,8",,,
14/01/2014 3.00,"23,7","32,6",,,"1,0",,,
14/01/2014 4.00,,,"0,6","22,5","0,8",,,
14/01/2014 5.00,"18,7","25,5","0,6",,"0,4",,,
14/01/2014 6.00,"36,8","50,7","0,6","16,1","0,6",,,
14/01/2014 7.00,"66,0","111,1","0,6",,"0,5",,,
14/01/2014 8.00,"66,1","106,7","0,8","20,0","0,7",,,
14/01/2014 9.00,"68,1","131,1","1,0",,"1,3",,,
14/01/2014 10.00,"62,1","119,4","0,9","23,0","1,5",,,
14/01/2014 11.00,"51,5","89,5","0,9",,"1,3",,,
14/01/2014 12.00,"45,4","70,8","0,7","21,0","1,0",,,
14/01/2014 13.00,"44,3","73,2","0,7",,"0,8",,,
14/01/2014 14.00,"40,6","63,3","0,6","12,7","1,0",,,
14/01/2014 15.00,"28,6","41,8","0,5",,"0,4",,,
14/01/2014 16.00,"46,0","67,1","0,6","11,7","0,5",,,
14/01/2014 17.00,"64,1","94,1","1,0",,"1,1",,,
14/01/2014 18.00,"70,1","113,7","2,5","23,0","3,6",,,
14/01/2014 19.00,"69,4","116,8","2,3",,"2,7",,,
14/01/2014 20.00,"63,3","97,2","2,0","28,3","2,1",,,
14/01/2014 21.00,"47,1","65,2","0,9",,"1,8",,,
14/01/2014 22.00,"29,0","35,6","0,7","31,7","1,2",,,
14/01/2014 23.00,"23,5","30,4","0,6",,"0,7",,,
15/01/2014 0.00,"14,8","21,6","0,5","24,4","0,5",,,
15/01/2014 1.00,"14,0","23,1","0,5",,"0,3",,,
15/01/2014 2.00,"9,3","16,5","0,5","16,1","0,2",,,
15/01/2014 3.00,"8,9","15,9","0,5",,"0,1",,,
15/01/2014 4.00,"7,3","14,8","0,5","16,1","0,1",,,
15/01/2014 5.00,"6,9","14,6","0,4",,"0,1",,,
15/01/2014 6.00,"16,4","25,9","0,5","14,7",,,,
15/01/2014 7.00,"38,5","61,1","0,6",,"0,1",,,
15/01/2014 8.00,"57,9","109,2","0,7","13,7","0,3",,,
15/01/2014 9.00,"68,6","131,2","0,9",,"1,7",,,
15/01/2014 10.00,"54,6","89,5","0,8","27,8","1,2",,,
15/01/2014 11.00,"47,1","78,0","0,7",,"1,1",,,
15/01/2014 12.00,"43,7","83,0","0,8","15,6","1,0",,,
15/01/2014 13.00,"39,3","75,8","0,8",,"1,3",,,
15/01/2014 14.00,"22,9","38,7","0,6","12,7","0,9",,,
15/01/2014 15.00,"22,3","35,6","0,5",,"0,3",,,
15/01/2014 16.00,"38,5","60,5","0,6","10,7","0,3",,,
15/01/2014 17.00,"50,1","71,6","2,0",,"0,8",,,
15/01/2014 18.00,"51,3","65,2","3,0","9,8","1,6",,,
15/01/2014 19.00,"48,4","60,8","2,6",,"1,9",,,
15/01/2014 20.00,"53,2","68,0","2,6","23,0","1,3",,,
15/01/2014 21.00,"49,2","61,4","0,9",,"3,2",,,
15/01/2014 22.00,"37,7","46,0","0,8","21,5","1,5",,,
15/01/2014 23.00,"31,1","39,0","0,7",,"1,2",,,
16/01/2014 0.00,"19,2","27,9","0,6","29,8","0,9",,,
16/01/2014 1.00,"18,6","28,7","0,5",,"0,5",,,
16/01/2014 2.00,"14,4","25,5","0,5","25,4","0,4",,,
16/01/2014 3.00,"10,1","19,0",,,"0,3",,,
16/01/2014 4.00,,,"0,5","16,1","0,2",,,
16/01/2014 5.00,"20,1","29,4","0,5",,"0,3",,,
16/01/2014 6.00,"28,3","41,0","0,5","14,7","0,4",,,
16/01/2014 7.00,"39,5","61,1","0,5",,"0,3",,,
16/01/2014 8.00,"40,1","61,7","0,6","23,9","0,4",,,
16/01/2014 9.00,"38,3","64,9","0,6",,"0,5",,,
16/01/2014 10.00,"29,9","51,0","0,6","16,1","0,5",,,
16/01/2014 11.00,"29,4","49,8","0,6",,"0,9",,,
16/01/2014 12.00,"26,3","48,3","0,6",,"0,7",,,
16/01/2014 13.00,,,,,"0,8",,,
16/01/2014 14.00,,,,,"1,1",,,
16/01/2014 15.00,,,,,"0,6",,,
16/01/2014 16.00,"51,0","55,5","0,6",,"0,2",,,
16/01/2014 17.00,"71,8","81,7","1,0",,"1,0",,,
16/01/2014 18.00,"100,2","149,5","5,8","2,4","2,2",,,
16/01/2014 19.00,"108,0","182,2","7,2",,"9,3",,,
16/01/2014 20.00,"139,9","422,8","3,5","24,4","6,0",,,
16/01/2014 21.00,"124,6","363,7","2,5",,"5,9",,,
16/01/2014 22.00,"107,0","294,7","2,0","58,1","4,0",,,
16/01/2014 23.00,"102,5","274,8","1,9",,"3,8",,,
17/01/2014 0.00,"81,4","134,5","1,5","70,8","3,3",,,
17/01/2014 1.00,"60,6","80,5","1,0",,"2,0",,,
17/01/2014 2.00,"37,9","42,3","0,8","43,5","1,6",,,
17/01/2014 3.00,"22,1","22,1","0,7",,"0,8",,,
17/01/2014 4.00,"17,3","17,3","0,8","23,0","0,8",,,
17/01/2014 5.00,"14,1","14,1","0,7",,"0,9",,,
17/01/2014 6.00,"20,7","22,5","0,7","21,0","0,6",,,
17/01/2014 7.00,"49,5","66,2","0,7",,"0,7",,,
17/01/2014 8.00,"59,6","83,5","0,8","20,0","0,6",,,
17/01/2014 9.00,"59,8","89,0","0,7",,"1,1",,,
17/01/2014 10.00,"45,8","65,0","0,7",,"0,8",,,
17/01/2014 11.00,"39,4","56,9","0,7",,"0,8",,,
17/01/2014 12.00,"31,9","44,4","0,6",,"1,4",,,
17/01/2014 13.00,"32,1","46,5","0,6",,"0,5",,,
17/01/2014 14.00,"28,7","36,7","0,6","4,4","0,6",,,
17/01/2014 15.00,"22,2","28,5","0,5",,"0,2",,,
17/01/2014 16.00,"27,7","36,3","0,6","9,8","0,5",,,
17/01/2014 17.00,"30,1","38,0","1,0",,"0,5",,,
