Stat,LECCE Piazza_libertini,,,,,,  ,
,,,,,,
Parm,NO2,NOX,CO,PM10,BENZENE,,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3 293K,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,
,,,,,
,,,,,
22/06/2014 0.00,"37,1","48,5","1,1","29,3","0,5",,,
22/06/2014 1.00,"40,2","54,9","1,1",,"1,0",,,
22/06/2014 2.00,"46,8","60,6","1,1","24,4","0,5",,,
22/06/2014 3.00,"37,3","50,6","1,0",,"0,8",,,
22/06/2014 4.00,"25,5","33,1","0,9","17,6","0,3",,,
22/06/2014 5.00,"17,8","25,4","0,8",,"0,2",,,
22/06/2014 6.00,"26,1","37,1","0,8","9,8","0,1",,,
22/06/2014 7.00,"12,1","18,7","0,8",,"0,1",,,
22/06/2014 8.00,"9,8","16,8","0,8","5,9","0,2",,,
22/06/2014 9.00,"8,8","15,7","0,8",,"0,1",,,
22/06/2014 10.00,"9,9","17,7","0,8","12,7","0,1",,,
22/06/2014 11.00,"11,6","19,9","0,8",,"0,1",,,
22/06/2014 12.00,"9,5","18,0","0,8","8,3",,,,
22/06/2014 13.00,"9,6","18,1","0,8",,"0,8",,,
22/06/2014 14.00,"3,2","9,6","0,7","10,7","0,1",,,
22/06/2014 15.00,"4,1","10,9","0,7",,,,,
22/06/2014 16.00,"5,7","13,0","0,7","6,3","0,1",,,
22/06/2014 17.00,"11,8","19,7","0,8",,,,,
22/06/2014 18.00,"16,7","24,4","0,8","4,4","0,1",,,
22/06/2014 19.00,"43,1","56,9","1,7",,"0,2",,,
22/06/2014 20.00,"55,9","76,7","1,5","6,8","4,0",,,
22/06/2014 21.00,"73,9","110,1","3,0",,"1,2",,,
22/06/2014 22.00,"69,9","95,3","2,8","30,8","3,7",,,
22/06/2014 23.00,"66,9","92,8","1,3",,"1,0",,,
23/06/2014 0.00,"56,0","76,3","1,3","27,8","1,2",,,
23/06/2014 1.00,"29,0","37,5","1,0",,"0,5",,,
23/06/2014 2.00,"27,1","34,5","0,9","20,0","1,0",,,
23/06/2014 3.00,"17,5","24,5",,,"0,1",,,
23/06/2014 4.00,,,"0,9","25,4","0,2",,,
23/06/2014 5.00,"27,4","37,8","0,8",,"0,3",,,
23/06/2014 6.00,"28,0","39,7","0,9","18,6","0,2",,,
23/06/2014 7.00,"29,0","42,2","0,8",,"0,5",,,
23/06/2014 8.00,"28,3","42,2","0,9","22,0","0,1",,,
23/06/2014 9.00,"24,1","36,5","0,9",,"0,1",,,
23/06/2014 10.00,"25,5","39,5","0,9","21,0","0,4",,,
23/06/2014 11.00,"27,8","40,4","0,9",,"0,5",,,
23/06/2014 12.00,"27,4","40,7","0,9","13,7","0,2",,,
23/06/2014 13.00,"23,0","33,5","0,8",,"0,1",,,
23/06/2014 14.00,"15,8","24,1","0,8","16,6","0,1",,,
23/06/2014 15.00,"15,9","24,9","0,8",,,,,
23/06/2014 16.00,"15,3","24,2","0,8","17,6","0,1",,,
23/06/2014 17.00,"29,1","44,8","0,9",,"0,7",,,
23/06/2014 18.00,"33,8","50,1","1,0","24,4","0,8",,,
23/06/2014 19.00,"47,4","67,0","1,0",,"0,1",,,
23/06/2014 20.00,"47,7","64,9","1,0","24,4","0,9",,,
23/06/2014 21.00,"56,4","90,1","1,1",,"0,4",,,
23/06/2014 22.00,"55,5","78,9","1,1","26,4","0,8",,,
23/06/2014 23.00,"43,2","62,6","1,1",,"0,5",,,
24/06/2014 0.00,"27,7","38,4","0,9","24,4","0,3",,,
24/06/2014 1.00,"14,9","22,0","0,8",,"0,3",,,
24/06/2014 2.00,"12,1","19,3","0,8","18,6","0,1",,,
24/06/2014 3.00,"5,4","11,1","0,8",,"0,1",,,
24/06/2014 4.00,"15,7","22,7","0,8","25,4",,,,
24/06/2014 5.00,"15,4","22,6","0,8",,"0,1",,,
24/06/2014 6.00,"63,0","99,8","1,0","28,3","0,2",,,
24/06/2014 7.00,"43,4","64,7","1,0",,"0,2",,,
24/06/2014 8.00,"53,8","85,9","1,1","30,8","0,5",,,
24/06/2014 9.00,"49,9","77,3","1,1",,"0,6",,,
24/06/2014 10.00,"54,3","88,5","1,1","23,0","0,3",,,
24/06/2014 11.00,"47,6","76,9","1,0",,"0,4",,,
24/06/2014 12.00,"47,0","74,4","1,0","36,1","0,3",,,
24/06/2014 13.00,"37,0","58,6","1,0",,"0,1",,,
24/06/2014 14.00,"24,6","36,9","0,8","37,6","0,2",,,
24/06/2014 15.00,"24,5","36,5","0,9",,,,,
24/06/2014 16.00,"33,1","49,6","0,9","34,2","0,1",,,
24/06/2014 17.00,"34,4","48,3","0,9",,"0,4",,,
24/06/2014 18.00,"27,7","40,4","0,9","44,9","0,2",,,
24/06/2014 19.00,"35,5","50,0","0,9",,"0,2",,,
24/06/2014 20.00,"38,8","53,1","0,9","34,7","0,4",,,
24/06/2014 21.00,"24,4","35,4","0,9",,"0,1",,,
24/06/2014 22.00,"16,6","24,6","0,9","40,0","0,3",,,
24/06/2014 23.00,"12,2","18,8","0,8",,,,,
25/06/2014 0.00,"12,2","18,7","0,8","29,8","0,1",,,
25/06/2014 1.00,"5,0","10,5","0,8",,,,,
25/06/2014 2.00,"4,4","9,9","0,8","31,7",,,,
25/06/2014 3.00,"1,5","6,3",,,"0,2",,,
25/06/2014 4.00,,,"0,8","36,6","0,1",,,
25/06/2014 5.00,"4,2","9,7","0,8",,"0,1",,,
25/06/2014 6.00,"15,5","23,6","0,8","31,7",,,,
25/06/2014 7.00,"29,7","40,1","0,9",,"0,1",,,
25/06/2014 8.00,"39,4","56,4","1,0","37,1","0,2",,,
25/06/2014 9.00,"35,3","52,4","1,0",,"0,5",,,
25/06/2014 10.00,"35,5","56,8","1,0","30,8","0,2",,,
25/06/2014 11.00,"38,5","65,3","0,9",,"0,4",,,
25/06/2014 12.00,"32,4","50,4","0,9","35,2","0,3",,,
25/06/2014 13.00,"22,2","33,9","0,8",,"0,7",,,
25/06/2014 14.00,"9,2","17,0","0,8","43,0",,,,
25/06/2014 15.00,"10,1","18,4","0,8",,,,,
25/06/2014 16.00,"14,4","23,3","0,8","38,6",,,,
25/06/2014 17.00,"19,7","31,3","0,8",,,,,
25/06/2014 18.00,"22,4","33,6","0,9","41,0","0,1",,,
25/06/2014 19.00,"22,7","33,1","0,9",,"0,1",,,
25/06/2014 20.00,"20,9","30,8","0,9","31,3","0,2",,,
25/06/2014 21.00,"18,0","25,9","0,8",,"4,9",,,
25/06/2014 22.00,"24,3","33,4","0,9","40,5","0,1",,,
25/06/2014 23.00,"18,3","27,3","0,9",,"0,2",,,
26/06/2014 0.00,"11,2","18,3","0,8","34,2","0,4",,,
26/06/2014 1.00,"9,1","15,6","0,8",,"0,2",,,
26/06/2014 2.00,"5,8","11,2","0,8","32,7",,,,
26/06/2014 3.00,"5,4","10,7","0,8",,,,,
26/06/2014 4.00,"10,3","16,2","0,8","29,3","0,1",,,
26/06/2014 5.00,"14,3","21,3","0,8",,,,,
26/06/2014 6.00,"29,9","43,7","0,9","31,7","0,1",,,
26/06/2014 7.00,"24,0","34,2","0,9",,"0,1",,,
26/06/2014 8.00,"17,8","27,5","0,8","41,0","0,1",,,
26/06/2014 9.00,"30,9","45,7","0,9",,"0,2",,,
26/06/2014 10.00,"33,7","49,7","0,9","44,4","0,2",,,
26/06/2014 11.00,"33,9","53,2","0,9",,"0,2",,,
26/06/2014 12.00,"21,6","36,1","0,9","38,6","0,1",,,
26/06/2014 13.00,"20,8","35,0","0,9",,"0,1",,,
26/06/2014 14.00,"18,2","29,5","0,8","42,5","0,2",,,
26/06/2014 15.00,"17,9","30,2","0,9",,"0,1",,,
26/06/2014 16.00,"22,0","35,5","0,9","44,4","0,1",,,
26/06/2014 17.00,"28,4","44,6","0,9",,"0,3",,,
26/06/2014 18.00,"30,8","47,6","1,0","52,3","0,5",,,
26/06/2014 19.00,"53,0","94,6","1,2",,"0,5",,,
26/06/2014 20.00,"38,2","60,0","1,0","50,8","0,8",,,
26/06/2014 21.00,"34,5","51,8","1,0",,"0,4",,,
26/06/2014 22.00,"29,0","48,1","1,0","42,5","0,2",,,
26/06/2014 23.00,"24,1","39,1","0,9",,"0,1",,,
27/06/2014 0.00,"15,6","28,2","0,9","44,4","0,1",,,
27/06/2014 1.00,"10,7","18,6","0,9",,"0,2",,,
27/06/2014 2.00,"4,3","9,8","0,8","40,0",,,,
27/06/2014 3.00,"3,2","8,8",,,,,,
27/06/2014 4.00,,,"0,8","35,7",,,,
27/06/2014 5.00,"6,8","13,9","0,8",,,,,
27/06/2014 6.00,"15,6","25,9","0,8","39,1","0,1",,,
27/06/2014 7.00,"13,8","22,7","0,8",,,,,
27/06/2014 8.00,"15,3","25,3","0,8","29,8","0,1",,,
27/06/2014 9.00,"12,4","21,7","0,8",,"0,2",,,
27/06/2014 10.00,"17,5","28,8","0,9","35,2","0,1",,,
27/06/2014 11.00,"24,2","38,9","0,9",,"0,1",,,
27/06/2014 12.00,"25,6","41,4","0,9","21,0","0,2",,,
27/06/2014 13.00,"17,1","29,1","0,8",,"0,1",,,
27/06/2014 14.00,"8,8","18,4","0,8","29,8","0,1",,,
27/06/2014 15.00,"12,3","21,3","0,8",,,,,
27/06/2014 16.00,"15,5","24,7","0,8","20,5","0,1",,,
27/06/2014 17.00,"22,2","33,6","0,8",,"0,2",,,
27/06/2014 18.00,"31,6","45,0","0,9","21,5","0,2",,,
27/06/2014 19.00,"35,5","47,2","0,9",,"0,1",,,
27/06/2014 20.00,"18,4","25,9","0,8","17,6","0,1",,,
27/06/2014 21.00,"16,0","22,3","0,8",,"0,1",,,
27/06/2014 22.00,"15,4","22,2","0,8","23,0",,,,
27/06/2014 23.00,"14,1","21,2","0,8",,,,,
28/06/2014 0.00,"12,4","19,5","0,8","22,0","0,1",,,
28/06/2014 1.00,"8,5","14,1","0,8",,"0,1",,,
28/06/2014 2.00,"6,0","12,0","0,8","20,0",,,,
28/06/2014 3.00,"4,4","10,2","0,8",,"0,1",,,
28/06/2014 4.00,"4,9","10,4","0,7","16,1",,,,
28/06/2014 5.00,"7,9","13,9","0,8",,,,,
28/06/2014 6.00,"18,5","27,8","0,8","15,6","0,1",,,
28/06/2014 7.00,"11,5","20,2","0,8",,"0,1",,,
28/06/2014 8.00,"13,1","21,8","0,8","18,6","0,1",,,
28/06/2014 9.00,"17,3","28,2","0,9",,"0,1",,,
28/06/2014 10.00,"19,9","31,7","0,9","15,6","0,1",,,
28/06/2014 11.00,"14,9","24,7","0,8",,"0,2",,,
28/06/2014 12.00,"15,8","26,8","0,9","16,1","0,1",,,
28/06/2014 13.00,"13,5","23,3","0,8",,"0,1",,,
28/06/2014 14.00,"7,8","15,4","0,8","20,5","0,1",,,
28/06/2014 15.00,"5,7","13,0","0,8",,,,,
28/06/2014 16.00,"7,6","15,4","0,8","13,7",,,,
28/06/2014 17.00,"13,4","21,7","0,8",,"0,1",,,
28/06/2014 18.00,"20,2","28,7","0,9","8,3","0,1",,,
28/06/2014 19.00,"26,8","37,1","0,9",,"0,2",,,
28/06/2014 20.00,"37,6","48,5","1,0","15,1","0,1",,,
28/06/2014 21.00,"56,4","82,9","1,2",,"0,3",,,
28/06/2014 22.00,"59,8","82,6","1,2","20,0","0,9",,,
28/06/2014 23.00,"81,9","129,0","1,3",,"0,9",,,
29/06/2014 0.00,"74,9","110,8","1,4","28,3","0,9",,,
29/06/2014 1.00,"77,3","107,1","1,4",,"1,1",,,
29/06/2014 2.00,"68,4","108,0","1,3","39,1","1,1",,,
29/06/2014 3.00,"46,3","61,8",,,"1,3",,,
29/06/2014 4.00,,,"0,9","23,0","0,1",,,
29/06/2014 5.00,"10,0","16,3","0,8",,"0,1",,,
29/06/2014 6.00,"11,8","18,5","0,8","16,1",,,,
29/06/2014 7.00,"17,0","26,6","0,8",,,,,
29/06/2014 8.00,"10,3","18,2","0,8","20,0",,,,
29/06/2014 9.00,"13,7","22,7","0,8",,"0,1",,,
29/06/2014 10.00,"15,0","26,4","0,8","11,2","0,1",,,
29/06/2014 11.00,"11,1","19,1","0,8",,,,,
29/06/2014 12.00,"9,5","17,3","0,8","7,3",,,,
29/06/2014 13.00,"8,6","15,6","0,8",,,,,
29/06/2014 14.00,"4,9","11,0","0,8","10,7","0,1",,,
29/06/2014 15.00,"11,2","19,6","0,8",,,,,
29/06/2014 16.00,"16,2","25,4","0,8","14,7","0,1",,,
29/06/2014 17.00,"28,6","42,0","0,9",,"0,1",,,
29/06/2014 18.00,"37,9","55,9","0,9","10,3","0,1",,,
29/06/2014 19.00,"47,0","70,8","1,2",,"0,2",,,
29/06/2014 20.00,"50,9","78,6","1,3","33,2","0,6",,,
29/06/2014 21.00,"47,1","72,0","1,1",,"0,2",,,
29/06/2014 22.00,"31,4","46,4","1,0","27,8","0,2",,,
29/06/2014 23.00,"22,0","31,2","0,9",,"0,2",,,
30/06/2014 0.00,"13,4","20,6","0,9","29,3","0,1",,,
30/06/2014 1.00,"5,7","11,1","0,8",,"0,1",,,
30/06/2014 2.00,"4,4","10,1","0,8","21,5",,,,
30/06/2014 3.00,"1,2","6,9","0,8",,"0,1",,,
30/06/2014 4.00,"2,8","8,7","0,8","22,0",,,,
30/06/2014 5.00,"10,0","16,9","0,8",,"0,1",,,
30/06/2014 6.00,"14,2","22,7","0,8","25,9",,,,
30/06/2014 7.00,"24,0","34,8","0,9",,,,,
30/06/2014 8.00,"31,5","44,7","0,9","31,3","0,1",,,
30/06/2014 9.00,"38,4","57,3","1,0",,"0,2",,,
30/06/2014 10.00,"61,5","108,5","1,1","28,3","0,4",,,
30/06/2014 11.00,"39,7","65,7","1,0",,"0,6",,,
30/06/2014 12.00,"24,5","43,8","0,9","25,9","0,2",,,
30/06/2014 13.00,"20,8","36,2","0,9",,"0,5",,,
30/06/2014 14.00,"12,3","24,9","0,8","24,4",,,,
30/06/2014 15.00,"7,0","16,2","0,8",,"0,1",,,
30/06/2014 16.00,"5,5","13,3","0,8","21,0","0,1",,,
30/06/2014 17.00,"18,9","31,5","0,8",,"0,1",,,
30/06/2014 18.00,"22,4","32,3","0,9","16,6","0,1",,,
30/06/2014 19.00,"30,7","41,6","1,0",,"0,2",,,
30/06/2014 20.00,"21,9","30,1","0,9","30,3","0,1",,,
30/06/2014 21.00,"19,3","27,3","0,9",,"0,2",,,
30/06/2014 22.00,"14,4","21,8","0,9","19,5","0,1",,,
30/06/2014 23.00,"11,7","17,8","0,8",,"0,1",,,
01/07/2014 0.00,"9,4","15,3","0,8","19,0",,,,
01/07/2014 1.00,"8,8","14,1","0,8",,,,,
01/07/2014 2.00,"6,0","11,9","0,8","22,0",,,,
01/07/2014 3.00,"4,0","9,6",,,,,,
01/07/2014 4.00,,,"0,8","19,0",,,,
01/07/2014 5.00,"13,6","22,9","0,8",,,,,
01/07/2014 6.00,"20,3","30,2","0,8","26,9",,,,
01/07/2014 7.00,"15,6","24,7","0,8",,,,,
01/07/2014 8.00,"17,3","27,4","0,9","15,6",,,,
01/07/2014 9.00,"17,5","29,2","0,9",,"0,1",,,
01/07/2014 10.00,"19,4","31,9","0,9","16,1",,,,
01/07/2014 11.00,"19,2","32,3",,,"0,3",,,
01/07/2014 12.00,"17,9","28,8","0,8","14,7","0,1",,,
01/07/2014 13.00,"16,2","26,8","0,8",,"0,2",,,
01/07/2014 14.00,"12,2","20,7","0,8","20,0","0,1",,,
01/07/2014 15.00,"10,3","18,1","0,8",,,,,
01/07/2014 16.00,"12,6","21,5","0,8","15,6","0,1",,,
01/07/2014 17.00,"15,8","26,0","0,8",,,,,
01/07/2014 18.00,"22,6","33,7","0,9","9,8","0,1",,,
01/07/2014 19.00,"25,0","35,2","1,0",,"0,1",,,
01/07/2014 20.00,"26,5","36,6","1,0","11,7","0,2",,,
01/07/2014 21.00,"22,0","30,4","0,9",,"0,6",,,
01/07/2014 22.00,"19,2","26,4","1,0","14,7","0,1",,,
01/07/2014 23.00,"15,8","23,3","1,1",,"0,2",,,
02/07/2014 0.00,"15,0","21,6","1,0","19,0","0,1",,,
02/07/2014 1.00,"5,4","11,1","1,0",,"0,1",,,
02/07/2014 2.00,"4,1","10,3","0,9","13,7",,,,
02/07/2014 3.00,"3,1","8,6","0,9",,"0,1",,,
02/07/2014 4.00,"4,7","10,4","0,9","7,8","0,1",,,
02/07/2014 5.00,"13,8","21,9","0,9",,"0,2",,,
02/07/2014 6.00,"24,8","36,9","0,9","16,1","0,1",,,
02/07/2014 7.00,"16,7","26,1","0,9",,,,,
02/07/2014 8.00,"25,0","42,1","0,9","9,8","0,1",,,
02/07/2014 9.00,"14,7","26,0","0,9",,,,,
02/07/2014 10.00,"18,2","30,0","0,9","8,3","0,1",,,
02/07/2014 11.00,"21,8","35,6","0,9",,"0,1",,,
02/07/2014 12.00,"26,5","43,5","1,0","13,7","0,1",,,
02/07/2014 13.00,"15,9","26,9","0,8",,"0,1",,,
02/07/2014 14.00,"12,8","22,0","0,8","12,2","0,3",,,
02/07/2014 15.00,"12,6","21,7","0,8",,,,,
02/07/2014 16.00,"16,4","26,5","0,9","7,8","0,1",,,
02/07/2014 17.00,"21,2","31,9","0,9",,"0,1",,,
02/07/2014 18.00,"22,2","32,9","0,9","4,4","0,4",,,
02/07/2014 19.00,"36,0","54,3","1,1",,"0,2",,,
02/07/2014 20.00,"20,8","27,5","1,1","22,0","0,2",,,
02/07/2014 21.00,"29,0","39,6","1,1",,"0,4",,,
02/07/2014 22.00,"46,4","66,9","1,2","23,9","0,4",,,
02/07/2014 23.00,"44,8","66,8","1,2",,"0,6",,,
03/07/2014 0.00,"45,7","73,6","1,3","29,3","0,9",,,
03/07/2014 1.00,"21,6","30,7","0,9",,"0,3",,,
03/07/2014 2.00,"9,3","15,2","0,8","33,2","0,1",,,
03/07/2014 3.00,"5,9","11,5",,,"0,1",,,
03/07/2014 4.00,,,"0,8","23,9",,,,
03/07/2014 5.00,"10,7","16,8","0,8",,,,,
03/07/2014 6.00,"28,1","41,4","0,9","22,0","0,1",,,
03/07/2014 7.00,"29,2","43,2","0,9",,"0,2",,,
03/07/2014 8.00,"21,3","31,9","0,9","24,4","0,3",,,
03/07/2014 9.00,"23,1","35,0","1,0",,"0,2",,,
03/07/2014 10.00,"23,6","36,7","0,9","24,9","0,1",,,
03/07/2014 11.00,"20,1","31,5","0,9",,"0,2",,,
03/07/2014 12.00,"19,5","30,8","0,9","17,6","0,2",,,
03/07/2014 13.00,"16,6","28,6","0,9",,"0,1",,,
03/07/2014 14.00,"12,9","22,0","0,9","18,6",,,,
03/07/2014 15.00,"14,1","23,0","0,9",,"0,1",,,
03/07/2014 16.00,"17,4","26,2","0,9","28,3","0,1",,,
03/07/2014 17.00,"23,8","37,4","0,9",,"0,1",,,
03/07/2014 18.00,"26,7","38,6","0,8","24,4","0,1",,,
03/07/2014 19.00,"21,5","29,7","0,9",,"0,1",,,
03/07/2014 20.00,"16,7","23,6","0,9","17,1","0,1",,,
03/07/2014 21.00,"11,5","18,3","0,9",,"0,1",,,
03/07/2014 22.00,"14,6","21,8","0,8","24,4",,,,
03/07/2014 23.00,"15,2","22,6","0,9",,,,,
04/07/2014 0.00,"12,6","20,3","0,8","24,4","0,1",,,
04/07/2014 1.00,"9,4","15,3","0,8",,,,,
04/07/2014 2.00,"3,8","9,4","0,8","15,1",,,,
04/07/2014 3.00,"2,8","8,5","0,8",,,,,
04/07/2014 4.00,"7,2","12,9","0,8","16,1",,,,
04/07/2014 5.00,"10,5","18,1","0,8",,,,,
04/07/2014 6.00,"12,0","18,9","0,8","24,4","0,1",,,
04/07/2014 7.00,"16,6","26,8","0,8",,"0,1",,,
04/07/2014 8.00,"17,7","28,7","0,9","13,7","0,1",,,
04/07/2014 9.00,"18,2","30,2","0,9",,"0,1",,,
04/07/2014 10.00,"19,7","32,4","0,8","18,1","0,7",,,
04/07/2014 11.00,"22,6","37,2","0,9",,"0,1",,,
04/07/2014 12.00,"22,9","37,1","0,9","14,2","0,1",,,
04/07/2014 13.00,"20,0","33,5","0,9",,"0,2",,,
04/07/2014 14.00,"13,3","23,4","0,8","14,7",,,,
04/07/2014 15.00,"10,3","18,6","0,8",,,,,
04/07/2014 16.00,"12,7","20,8","0,8","12,7",,,,
04/07/2014 17.00,"16,4","25,6","0,9",,"0,1",,,
04/07/2014 18.00,"34,1","45,7","0,9","8,3","0,1",,,
04/07/2014 19.00,"32,9","44,3","0,9",,"0,2",,,
04/07/2014 20.00,"19,3","26,5","1,0","14,2","0,1",,,
04/07/2014 21.00,"23,4","30,9","1,0",,"0,5",,,
04/07/2014 22.00,"23,5","32,0","1,0","25,9","0,2",,,
04/07/2014 23.00,"19,8","27,6","0,9",,"0,2",,,
05/07/2014 0.00,"25,0","35,0","1,0","20,5","0,2",,,
05/07/2014 1.00,"25,9","33,7","0,9",,"0,3",,,
05/07/2014 2.00,"16,3","22,7","0,9","12,7","0,2",,,
05/07/2014 3.00,"9,2","15,6",,,,,,
05/07/2014 4.00,,,"0,8","20,5",,,,
05/07/2014 5.00,"15,8","22,7","0,9",,,,,
05/07/2014 6.00,"39,1","54,8","0,9","18,6","0,2",,,
05/07/2014 7.00,"30,5","45,2","1,0",,"0,3",,,
05/07/2014 8.00,"30,0","45,3","0,9","26,9","0,1",,,
05/07/2014 9.00,"21,0","34,1","0,9",,"0,3",,,
05/07/2014 10.00,"24,6","37,9","1,0","20,5","0,1",,,
05/07/2014 11.00,"30,2","47,7","1,0",,"0,3",,,
05/07/2014 12.00,"37,3","59,6","1,0","24,9","0,1",,,
05/07/2014 13.00,"34,2","53,4","1,0",,"0,3",,,
05/07/2014 14.00,"13,1","22,1","0,9","20,0","1,6",,,
05/07/2014 15.00,"19,7","31,2","0,9",,"0,1",,,
05/07/2014 16.00,"22,0","37,3","0,9","21,5","0,1",,,
05/07/2014 17.00,"29,1","42,1","0,9",,"0,1",,,
05/07/2014 18.00,"47,8","71,5","1,1","18,1","0,1",,,
05/07/2014 19.00,"56,0","86,7","1,2",,"0,2",,,
05/07/2014 20.00,"57,2","86,4","1,2","40,5","0,3",,,
05/07/2014 21.00,"40,2","58,1","1,3",,"0,4",,,
05/07/2014 22.00,"37,3","53,4","1,1","31,7","0,8",,,
05/07/2014 23.00,"35,3","52,5","1,1",,"0,2",,,
06/07/2014 0.00,"29,3","40,6","1,0","23,9","0,4",,,
06/07/2014 1.00,"21,4","29,6","0,9",,"0,2",,,
06/07/2014 2.00,"18,4","26,1","1,0","29,3","0,1",,,
06/07/2014 3.00,"7,1","12,7","0,9",,"0,1",,,
06/07/2014 4.00,"7,6","13,2","0,9","30,3",,,,
06/07/2014 5.00,"7,4","13,2","0,8",,"0,1",,,
06/07/2014 6.00,"13,8","22,3","0,9","35,7",,,,
06/07/2014 7.00,"7,6","14,0","0,9",,"0,1",,,
06/07/2014 8.00,"6,9","13,9","0,9","30,3","0,2",,,
06/07/2014 9.00,"7,0","13,6","0,9",,"0,2",,,
06/07/2014 10.00,"9,3","17,8","0,9","25,4",,,,
06/07/2014 11.00,"13,6","24,2","0,9",,"0,1",,,
06/07/2014 12.00,"8,4","16,7","0,9","35,7","0,1",,,
06/07/2014 13.00,"6,5","13,9","0,9",,"0,1",,,
06/07/2014 14.00,"3,5","9,4","0,9","25,4","0,1",,,
06/07/2014 15.00,"3,6","10,1","0,9",,,,,
06/07/2014 16.00,"3,3","9,4","0,9","30,8",,,,
06/07/2014 17.00,"6,3","13,5","0,9",,,,,
06/07/2014 18.00,"11,1","19,2","0,9","26,9",,,,
06/07/2014 19.00,"19,9","28,9","1,0",,"0,2",,,
06/07/2014 20.00,"34,9","47,5","1,1","35,2","0,2",,,
06/07/2014 21.00,"18,9","29,1","1,1",,"0,4",,,
06/07/2014 22.00,"17,7","26,7","1,0","35,2","0,6",,,
06/07/2014 23.00,"14,5","23,1","1,0",,"0,3",,,
07/07/2014 0.00,"11,1","18,6","1,0","34,2","0,2",,,
07/07/2014 1.00,"6,4","12,8","0,9",,"0,2",,,
07/07/2014 2.00,"8,7","14,9","0,9","26,9","0,1",,,
07/07/2014 3.00,"4,7","9,8",,,"0,1",,,
07/07/2014 4.00,,,"0,9","28,8",,,,
07/07/2014 5.00,"16,1","34,4","0,9",,"0,1",,,
07/07/2014 6.00,"18,2","28,5","0,9","29,8","0,1",,,
07/07/2014 7.00,"17,5","28,2","0,9",,"0,1",,,
07/07/2014 8.00,"18,2","29,6","1,0","16,1","0,2",,,
07/07/2014 9.00,"19,1","30,7","1,0",,"0,4",,,
07/07/2014 10.00,"22,8","37,3","1,0","11,2","0,3",,,
07/07/2014 11.00,"24,4","39,2","1,0",,"0,4",,,
07/07/2014 12.00,"21,0","35,2","1,0","18,6","0,5",,,
07/07/2014 13.00,"15,5","27,8","0,9",,"0,1",,,
07/07/2014 14.00,"10,0","19,1","0,8","29,3","0,1",,,
07/07/2014 15.00,"14,3","23,9","1,0",,"0,1",,,
07/07/2014 16.00,"15,2","24,3","0,9","19,0","0,1",,,
07/07/2014 17.00,"21,1","30,8","0,9",,"0,2",,,
07/07/2014 18.00,"42,1","58,0","1,0","18,6","0,2",,,
07/07/2014 19.00,"45,5","59,5","1,1",,"0,7",,,
07/07/2014 20.00,"58,9","87,3","1,4","26,9","0,6",,,
07/07/2014 21.00,"62,9","92,5","1,4",,"1,3",,,
07/07/2014 22.00,"37,1","52,6","1,1","27,8","1,2",,,
07/07/2014 23.00,"37,6","52,0","1,2",,"0,6",,,
08/07/2014 0.00,"29,3","39,2","1,1","38,1","0,4",,,
08/07/2014 1.00,"19,5","28,3","1,0",,"0,5",,,
08/07/2014 2.00,"14,0","20,3","0,9","39,1","0,2",,,
08/07/2014 3.00,"8,3","14,0","0,9",,"0,1",,,
08/07/2014 4.00,"3,3","9,0","0,9","27,8",,,,
08/07/2014 5.00,"21,1","30,9","0,9",,"0,1",,,
08/07/2014 6.00,"28,8","43,4","1,0","28,3","0,1",,,
08/07/2014 7.00,"44,9","68,6","1,0",,"0,2",,,
08/07/2014 8.00,"43,3","69,4","1,2","32,2","0,9",,,
08/07/2014 9.00,"37,4","60,6","1,1",,"1,2",,,
08/07/2014 10.00,"31,7","51,8","1,0","27,8","0,8",,,
08/07/2014 11.00,"37,8","61,3","1,1",,"0,6",,,
08/07/2014 12.00,"45,8","84,3","1,1","44,0","0,2",,,
08/07/2014 13.00,"28,7","48,5","1,0",,"0,5",,,
08/07/2014 14.00,"29,5","48,3","1,0","34,2","0,1",,,
08/07/2014 15.00,"28,7","46,6","0,9",,,,,
08/07/2014 16.00,"17,1","28,3","0,9","34,7",,,,
08/07/2014 17.00,"14,4","24,8","0,9",,,,,
08/07/2014 18.00,"18,7","31,0","1,0","40,5","0,1",,,
08/07/2014 19.00,"14,9","22,7","0,9",,,,,
08/07/2014 20.00,"18,2","26,9","1,0","46,4",,,,
08/07/2014 21.00,"25,4","40,3","1,0",,,,,
08/07/2014 22.00,"7,3","13,5","0,9","40,0","0,1",,,
08/07/2014 23.00,"5,9","12,0","0,9",,,,,
09/07/2014 0.00,"4,7","11,0","0,9","31,7",,,,
09/07/2014 1.00,"2,2","8,2","0,9",,,,,
09/07/2014 2.00,"4,6","11,0","0,9","21,5",,,,
09/07/2014 3.00,"3,4","9,3",,,,,,
09/07/2014 4.00,,,"0,8","14,7",,,,
09/07/2014 5.00,"31,5","48,9","0,9",,,,,
09/07/2014 6.00,"34,0","50,8","0,9","15,6",,,,
09/07/2014 7.00,"14,0","24,5","0,9",,,,,
09/07/2014 8.00,"14,3","25,6","0,9","22,0",,,,
09/07/2014 9.00,"8,6","18,2","0,9",,,,,
09/07/2014 10.00,"21,3","40,1","0,9","17,6",,,,
09/07/2014 11.00,"14,7","25,8","0,9",,,,,
