,ARPA Puglia,,,
,Molfetta ASM,,,
Parm,SO2,NO2,O3,PM10
,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,
09/01/2009 4.00,"9,17663406","8,76842435","30,0365205",
09/01/2009 5.00,"10,37766123","7,16036161","33,8262225",
09/01/2009 6.00,"4,26051505","6,81382882","35,8500303",
09/01/2009 7.00,"2,19437276","15,39794975","29,41286355",
09/01/2009 8.00,"8,92559066","23,37855936","23,10395535",
09/01/2009 9.00,"1,92526948","27,99638352","18,80653383",
09/01/2009 10.00,"8,29707856","29,13851672","18,24162764",
09/01/2009 11.00,"4,28760691","21,20851584","27,58145355",
09/01/2009 12.00,"3,40624522","20,81397464","28,6063449",
09/01/2009 13.00,"4,8637425","20,79061","27,7670484",
09/01/2009 14.00,"6,16952982","24,18324368","22,669983",
09/01/2009 15.00,"1,93791181","24,9723452","20,71713735",
09/01/2009 16.00,"7,25136458","26,37535168","19,49576643",
09/01/2009 17.00,"2,36775601","29,71607456","14,43281354",
09/01/2009 18.00,"10,93935033","30,04312216","12,096483",
09/01/2009 19.00,"5,76316408","30,40783616","10,07677094",
09/01/2009 20.00,"6,675229","29,13851672","11,45781966",
09/01/2009 21.00,"7,22427374","24,37402304","15,5477552",
09/01/2009 22.00,"8,92017209","23,76273752","14,92546283",
09/01/2009 23.00,"5,94738346","16,24805937","22,03814655",
10/01/2009 0.00,,"23,23579032","18,18567587",
10/01/2009 1.00,,"14,92681957","27,29624835",
10/01/2009 2.00,"8,13272628","7,73402088","48,8267472",
10/01/2009 3.00,"4,63075898","3,97797718",,
10/01/2009 4.00,"5,19425326","3,82482981","53,98691445",
10/01/2009 5.00,"8,67815863","5,18889267","51,44871585",
10/01/2009 6.00,"2,82649725","12,01439807","44,76734115",
10/01/2009 7.00,"9,4908891","21,5680292","36,89128065",
10/01/2009 8.00,"13,14998289","17,95216952","29,60414415",
10/01/2009 9.00,"5,72704329","17,01120166","27,6302712",
10/01/2009 10.00,"1,05113154","17,60952","24,54973185",
10/01/2009 11.00,"4,21897568","20,08066528","24,42548325",
10/01/2009 12.00,"4,00586028","21,22019816","26,44334595",
10/01/2009 13.00,"3,88124117","16,09101725","30,4545129",
10/01/2009 14.00,"6,16411124","11,53028923","33,68906625",
10/01/2009 15.00,"6,55241608","10,77233419","33,41726745",
10/01/2009 16.00,"4,02753255","11,54326789","32,5202955",
10/01/2009 17.00,"10,13565591","14,05984229","29,79051705",
10/01/2009 18.00,"7,61799614","16,10918316","26,5106772",
10/01/2009 19.00,"1,15227219","15,87556926","25,81172895",
10/01/2009 20.00,"2,44902855","17,50310382","23,9828127",
10/01/2009 21.00,"1,17575065","16,49075909","24,3180525",
10/01/2009 22.00,"4,06184817","16,40769607","24,29345415",
10/01/2009 23.00,"7,02018828","13,71720424","27,62897445",
11/01/2009 0.00,"7,09423707","13,05659486","27,9577305",
11/01/2009 1.00,"6,95336324","13,79637251","26,42782485",
11/01/2009 2.00,"4,36707326","12,16754545","29,06828715",
11/01/2009 3.00,"11,12356971","11,16948336","28,7472717",
11/01/2009 4.00,"10,24581735","10,89952426","29,30385675",
11/01/2009 5.00,"8,59327371","10,03774379","29,75169435",
11/01/2009 6.00,"6,27247564","9,02540289","31,1249925",
11/01/2009 7.00,"4,36526707","10,19089308","30,2241303",
11/01/2009 8.00,"5,30261664","10,79180409","30,4130967",
11/01/2009 9.00,"6,9064053","9,55234053","31,6647198",
11/01/2009 10.00,"0,97708275","9,87810518","30,6810252",
11/01/2009 11.00,"7,48615327","14,18184318","28,5466545",
11/01/2009 12.00,"7,20440664","15,14745672","30,02868015",
11/01/2009 13.00,"1,26424796","12,9306973","32,3714286",
11/01/2009 14.00,"8,06048267","14,33109582","31,5430647",
11/01/2009 15.00,"13,76945793","12,99818708","32,5500609",
11/01/2009 16.00,"3,16784415","16,53488614","29,6390766",
11/01/2009 17.00,"7,60535381","16,2831025","29,2792584",
11/01/2009 18.00,"4,26954601","27,98080072","15,8789651",
11/01/2009 19.00,"5,52115164","15,24998772","24,16401855",
11/01/2009 20.00,"4,85471154","20,91779624","22,15002615",
11/01/2009 21.00,"5,21050695","25,98209152","18,68120594",
11/01/2009 22.00,"5,56449719","18,11050415","24,21708555",
11/01/2009 23.00,"5,04976705","13,48229592","31,43044695",
12/01/2009 0.00,"3,12088621","11,12664882","31,27124595",
12/01/2009 1.00,,"10,54650978","30,8247051",
12/01/2009 2.00,"0,47499595",,"31,12110225",
12/01/2009 3.00,"1,63087951","13,07735535",,
12/01/2009 4.00,"5,32248374","8,30897649","32,32237155",
12/01/2009 5.00,"4,07087811","11,46279946","28,88442795",
12/01/2009 6.00,"3,4098576","12,25450321","27,2518995",
12/01/2009 7.00,"8,4867155","23,66279728","15,85533033",
12/01/2009 8.00,"9,70942409","35,93806672","6,08325375",
12/01/2009 9.00,"10,18803141","38,176904","6,77548883",
12/01/2009 10.00,"6,72941069","37,89266608","13,29880367",
12/01/2009 11.00,"7,85097965","41,4371508","13,85888994",
12/01/2009 12.00,"4,96849451","33,68626608","22,9402656",
12/01/2009 13.00,"9,95143653","24,56092104","34,0439169",
12/01/2009 14.00,"4,61089291","27,58625952","32,5082058",
12/01/2009 15.00,"8,8081953","33,18398368","26,1743202",
12/01/2009 16.00,"7,11590934","31,87833624","25,2102963",
12/01/2009 17.00,"0,87594312","35,93286608","16,8103089",
12/01/2009 18.00,"3,67896191","38,6571028","6,71715902",
12/01/2009 19.00,"3,34122638","33,97438536","6,9017025",
12/01/2009 20.00,"6,58131312","25,47072712","13,51432152",
12/01/2009 21.00,"6,68425894","29,20861064","8,48129961",
12/01/2009 22.00,"6,42057322","28,68814512","7,87604454",
12/01/2009 23.00,"4,80414223","34,09769024","2,58929853",
13/01/2009 0.00,"9,66427234","29,82377752","3,57964446",
13/01/2009 1.00,"3,7331436","31,0619696","3,02368784",
13/01/2009 2.00,"7,2134376","33,8445988","2,66053599",
13/01/2009 3.00,"8,26456914","18,55437113","5,53762125",
13/01/2009 4.00,"2,46528326","17,47973726","2,91476882",
13/01/2009 5.00,"3,68437946","23,81594848","1,55507657",
13/01/2009 6.00,"4,65965704","25,14756088","1,06674246",
13/01/2009 7.00,"11,52632205","49,592978","1,55430251",
13/01/2009 8.00,"11,41254009","37,65775776","4,41874146",
13/01/2009 9.00,"8,78291065","40,8582928","6,47350767",
13/01/2009 10.00,"3,2834323","38,3144724","6,88750608",
13/01/2009 11.00,"8,37293354","47,9213164","2,62595067",
13/01/2009 12.00,"6,34110585","56,46392208","0,86619708",
13/01/2009 13.00,"7,91599849","54,03040496","1,85809113",
13/01/2009 14.00,"9,12967612","41,28139928","11,12170605",
13/01/2009 15.00,"10,27652058","26,8399868","29,6793756",
13/01/2009 16.00,"9,19288877","24,93989856","32,1119988",
13/01/2009 17.00,"5,69092148","28,19366368","27,54227175",
13/01/2009 18.00,"15,1619445","32,40914568","25,33288905",
13/01/2009 19.00,"6,38084004","28,72189192","27,12543645",
13/01/2009 20.00,"8,73775992","18,89312399","35,60027625",
13/01/2009 21.00,"7,68843356","15,00079867","38,43684705",
13/01/2009 22.00,"11,14705224","16,37394736","35,5073691",
13/01/2009 23.00,"8,20496887","13,71071491","36,0403533",
14/01/2009 0.00,"6,14785653","10,31937183","45,44308755",
14/01/2009 1.00,,"15,2136559","47,5014687",
14/01/2009 2.00,,,,
14/01/2009 3.00,"11,36919555","21,35776656","35,64907395",
14/01/2009 4.00,"6,17494839","12,50628684","41,9961066",
14/01/2009 5.00,"7,45906243","20,93856056","29,43676365",
14/01/2009 6.00,"10,1374621","15,31229024","30,0910638",
14/01/2009 7.00,"7,97559774","45,90442408","10,20981549",
14/01/2009 8.00,"10,00923162","30,66740928","24,25403295",
14/01/2009 9.00,"10,54562895","18,74906053","35,87387055",
14/01/2009 10.00,"8,35848401","15,12669622","39,7815768",
14/01/2009 11.00,"11,8369647","12,18571136","42,57168405",
14/01/2009 12.00,"12,6460899","14,20001101","39,87448395",
14/01/2009 13.00,"11,29875813","13,80546598","40,18550445",
14/01/2009 14.00,"15,11497944","9,187638","46,1915916",
14/01/2009 15.00,"16,14805821","18,02744114","36,4016877",
14/01/2009 16.00,,"26,03920296","25,66972485",
14/01/2009 17.00,,"25,81335752","23,6255481",
14/01/2009 18.00,"13,47145659","34,27420608","6,56719886",
14/01/2009 19.00,"10,53840825","28,96850168","6,38936655",
14/01/2009 20.00,"13,41005013","23,12806824","15,78047594",
14/01/2009 21.00,"0,42803801","16,7723986","20,9838489",
14/01/2009 22.00,"6,4765611","31,13334456","6,14494115",
14/01/2009 23.00,"12,14760735","32,02498664","0,78799109",
15/01/2009 0.00,"11,85141627","32,63109064","0,87290627",
