,SIMAGE Brindisi,,,
,S. Pancrazio S.,,,
Parm,SO2,NO2,PM10,NOX



05/01/2010 1.00,"0,85181276","6,12206339","23,39999962","11,05152061"
05/01/2010 2.00,"1,54309613","5,92348881","23,39999962","11,02947334"
05/01/2010 3.00,"1,92255816","6,47248902","23,39999962","11,50416558"
05/01/2010 4.00,"1,61466446","7,4874245","23,39999962","12,40426443"
05/01/2010 5.00,"0,52549814","6,1506172","23,39999962","10,86346011"
05/01/2010 6.00,"0,62176838","6,79695733","23,39999962","11,48341464"
05/01/2010 7.00,"2,18274134","6,73725513","23,39999962","11,34723053"
05/01/2010 8.00,"1,43263265","11,65747738","23,39999962","17,30034578"
05/01/2010 9.00,"1,18078582","16,98784658","23,39999962","25,06532576"
05/01/2010 10.00,"0,74147131","12,91122932","23,39999962","18,60120939"
05/01/2010 11.00,"1,3962749","11,67306018","23,39999962","16,45860881"
05/01/2010 12.00,"1,42447936","12,93978122","23,39999962","18,40407072"
05/01/2010 13.00,"1,10565392","10,6879691","23,39999962","15,37304213"
05/01/2010 14.00,"1,10474778","8,9293593","23,39999962","13,13965022"
05/01/2010 15.00,"0,49765573","7,62629689","23,39999962","11,2162375"
05/01/2010 16.00,"0,56704971","7,97542426","23,39999962","11,6053295"
05/01/2010 17.00,"0,66833274","7,0695091","23,39999962","10,54829559"
05/01/2010 18.00,"0,39860807","8,09353042","23,39999962","11,40040707"
05/01/2010 19.00,"0,58649678","7,72623139","23,39999962","11,31091591"
05/01/2010 20.00,"0,95925576","6,29987174","23,39999962","9,69877678"
05/01/2010 21.00,"0,4102639","6,84887195","23,39999962","10,63000491"
05/01/2010 22.00,"0,29043995","5,91829773","23,39999962","9,73898232"
05/01/2010 23.00,"0,89813609","5,34593479","23,39999962","8,85833615"
06/01/2010 0.00,"0,74986563","4,86053153","23,39999962","8,43811679"
06/01/2010 1.00,,"4,72944672","41,20000076","8,36289298"
06/01/2010 2.00,"0,0064671",,"41,20000076",
06/01/2010 3.00,"0,2466225","4,93710713","41,20000076","8,67935574"
06/01/2010 4.00,"0,24103714","4,96176619","41,20000076","8,85703982"
06/01/2010 5.00,"0,47384369","5,28104151","41,20000076","9,42122322"
06/01/2010 6.00,"0,5077942","5,54970046","41,20000076","9,86608634"
06/01/2010 7.00,"0,27572294","5,61978673","41,20000076","9,81809897"
06/01/2010 8.00,"0,08098269","6,05068078","41,20000076","10,55607743"
06/01/2010 9.00,"0,1635814","8,62565914","41,20000076","14,22910974"
06/01/2010 10.00,"0,24000793","8,07536068","41,20000076","12,63383062"
06/01/2010 11.00,"0,04041761","7,59904133","41,20000076","11,03725518"
06/01/2010 12.00,"0,00808312","8,37776451","41,20000076","11,62348585"
06/01/2010 13.00,"0,00161703","8,95791311","41,20000076","12,3186661"
06/01/2010 14.00,"0,00161703","10,41152832","41,20000076","13,44962749"
06/01/2010 15.00,"0,00485007","8,41929698","41,20000076","11,03725518"
06/01/2010 16.00,"0,00323304","10,13768021","41,20000076","13,60656062"
06/01/2010 17.00,"0,01616725","11,46150886","41,20000076","14,37955737"
06/01/2010 18.00,"0,064669","16,75811787","41,20000076","20,00322928"
06/01/2010 19.00,"0,05981791","19,31232808","41,20000076","23,0978204"
06/01/2010 20.00,"0,07451559","19,09558376","41,20000076","23,16007512"
06/01/2010 21.00,"0,1166977","25,95094504","41,20000076","30,51651424"
06/01/2010 22.00,"0,06143494","16,50633233","41,20000076","20,31450288"
06/01/2010 23.00,"0,02425037","10,34403854","41,20000076","14,14740042"
07/01/2010 0.00,"0,0064671","8,77361543","41,20000076","12,76352732"
07/01/2010 1.00,"0,0258674","7,34206279","22,20000076","11,30183774"
07/01/2010 2.00,"0,00323304","5,42380864","22,20000076","9,754546"
07/01/2010 3.00,"0,0258674","5,06040436","22,20000076","9,54184174"
07/01/2010 4.00,"0,00970015","4,1687661","22,20000076","8,82202154"
07/01/2010 5.00,"0,00970015","5,41731931","22,20000076","10,05155417"
07/01/2010 6.00,"0,04365167","8,65421103","22,20000076","14,4742377"
07/01/2010 7.00,"0,07598516","12,69059217","22,20000076","18,94620494"
07/01/2010 8.00,"0,1503543","20,86848576","22,20000076","28,69296336"
07/01/2010 9.00,"0,15843741","41,17497736","22,20000076","65,14053984"
07/01/2010 10.00,"0,23074916","36,235268","22,20000076","55,41972152"
07/01/2010 11.00,"0,1180198","24,5713032","22,20000076","33,49693984"
07/01/2010 12.00,"0,27994756","16,33998259","22,20000076","21,99228288"
07/01/2010 13.00,"0,25294214","16,90997274","22,20000076","22,35724544"
07/01/2010 14.00,"0,13110045","16,3492883","22,20000076","22,30407272"
07/01/2010 15.00,"0,04850175","11,69641718","22,20000076","15,69598658"
07/01/2010 16.00,"0,01455022","12,04813722","22,20000076","16,24201362"
07/01/2010 17.00,"0,12771995","16,24416462","22,20000076","20,5985496"
07/01/2010 18.00,"0,06790204","24,39478736","22,20000076","29,91211192"
07/01/2010 19.00,"0,11316973","30,6881736","22,20000076","37,49942504"
07/01/2010 20.00,"0,00485007","28,4623188","22,20000076","34,70444432"
07/01/2010 21.00,"0,15358734","22,7711552","22,20000076","27,8629068"
