,Provincia di Taranto,,,
,Martina Franca,,,
Parm,NO2,CO,O3,Benzene
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,
,,,,,,,
12/01/2005 20.00,"56,810451","2,125877","16,583845","4,790422"
12/01/2005 21.00,"53,63066","1,81643","11,652163","4,400463"
12/01/2005 22.00,"52,864905","1,627096","11,355605","3,945364"
12/01/2005 23.00,"38,8479","1,240115","13,031998","3,881985"
13/01/2005 0.00,"33,404629","1,091801","12,567542","3,626706"
13/01/2005 1.00,"29,020411","0,837749","10,855938","3,563327"
13/01/2005 2.00,"19,909349","0,536538","25,450594","2,892563"
13/01/2005 3.00,"13,305784","0,320712","41,27342","2,343275"
13/01/2005 4.00,"12,872289","0,304474",,"1,823036"
13/01/2005 5.00,"13,775609","0,281011","41,537475","2,152257"
13/01/2005 6.00,"16,771096","0,277204","42,692543","1,73677"
13/01/2005 7.00,"37,178838","0,582376","18,860113","2,441865"
13/01/2005 8.00,"42,798628","0,934941","15,310975","2,686579"
13/01/2005 9.00,"46,661098","1,463712","15,997519","3,303648"
13/01/2005 10.00,"38,157438","1,231567","24,260317","3,556285"
13/01/2005 11.00,"33,446156","0,792532","34,475774","3,161925"
13/01/2005 12.00,"34,814115","0,999503","33,062077","3,153122"
13/01/2005 13.00,"37,459175","0,979381","29,671377","3,127594"
13/01/2005 14.00,"42,80901","1,231024","25,428908","4,099411"
13/01/2005 15.00,"40,265171","0,951567","28,81961","3,47178"
13/01/2005 16.00,"37,607128","0,940457","30,030196","3,008758"
13/01/2005 17.00,"47,896669","1,354865","21,816142","3,430407"
13/01/2005 18.00,"51,836996","1,947963","16,327915","4,103812"
13/01/2005 19.00,"51,818831","1,824432","15,37598","4,395181"
13/01/2005 20.00,"45,996562","1,38734","17,718595","4,074763"
13/01/2005 21.00,"44,067928","1,425642","17,939311","3,955047"
13/01/2005 22.00,"36,101599","0,958792","20,503991","3,629347"
13/01/2005 23.00,"27,486319","0,706994","25,5359","2,995554"
14/01/2005 0.00,"25,926279","0,623786","23,638776","2,539575"
14/01/2005 1.00,"20,820456","0,512998","32,366041","2,864395"
14/01/2005 2.00,,"0,441677","30,472987","2,49028"
14/01/2005 3.00,"29,050468",,"43,663429","2,244685"
14/01/2005 4.00,"14,912548","0,297606",,"1,690116"
14/01/2005 5.00,"12,446589","0,274577","49,242385","1,9005"
14/01/2005 6.00,"13,653609","0,295974","45,316806","2,008773"
14/01/2005 7.00,"22,442787","0,453297","34,894186","1,892578"
14/01/2005 8.00,"27,6862","0,88473","26,059946","2,264051"
14/01/2005 9.00,"44,436523","1,989574","16,769358","3,216501"
14/01/2005 10.00,"30,040541","1,075666","26,361911","3,640791"
14/01/2005 11.00,"32,013304","0,949621","31,996389","3,018441"
14/01/2005 12.00,"31,039905","0,778603","43,701352","2,991153"
14/01/2005 13.00,"34,915337","0,883641","45,30326","2,976188"
14/01/2005 14.00,"39,068527","1,103831","43,911248","3,418964"
14/01/2005 15.00,"29,861424","0,6184","51,541683","2,956823"
14/01/2005 16.00,"26,575212","0,704688","53,636493","2,811578"
14/01/2005 17.00,"32,309206","0,813848","48,149626","2,35824"
14/01/2005 18.00,"37,960158","1,101886","40,563856","2,899604"
14/01/2005 19.00,"40,921885","1,269324","36,689746","3,273719"
14/01/2005 20.00,"41,861555","1,256408","33,152792","3,513152"
14/01/2005 21.00,"44,750608","1,360747","28,267135","3,521955"
14/01/2005 22.00,"38,248277","1,050224","40,997191","3,230586"
14/01/2005 23.00,"23,982063","0,612955","55,709658","2,862633"
15/01/2005 0.00,"18,188379","0,524334","60,929752","2,320388"
15/01/2005 1.00,"17,65105","0,494845","58,908059","2,139053"
15/01/2005 2.00,"13,801569","0,391597","62,709076","1,798388"
15/01/2005 3.00,"11,037098","0,341023","64,083492","1,534308"
15/01/2005 4.00,"10,00919","0,318382",,"1,861768"
15/01/2005 5.00,"10,403737","0,322972","64,948778","1,536949"
15/01/2005 6.00,"10,341446","0,337056","65,021898","1,904021"
15/01/2005 7.00,"15,13578","0,406069","59,066483","1,815994"
15/01/2005 8.00,"20,708834","0,61451","50,438069","2,386409"
15/01/2005 9.00,"39,73306","1,313518","32,624693","2,731474"
15/01/2005 10.00,"26,902278","0,863099","45,980319","3,134637"
15/01/2005 11.00,"26,481772","0,858354","45,717638","3,207698"
15/01/2005 12.00,"26,191053","0,846761","48,800952","3,317733"
15/01/2005 13.00,"26,772492","0,83789","49,836857","2,808938"
15/01/2005 14.00,"31,883517","1,183427","46,466463","2,888161"
15/01/2005 15.00,"23,09172","0,614122","55,42934","2,681298"
15/01/2005 16.00,"19,551136","0,660805","59,058363","2,125848"
15/01/2005 17.00,"24,054737","0,82801","54,073877","2,144334"
15/01/2005 18.00,"27,912025","1,072164","47,492871","2,560701"
15/01/2005 19.00,"30,377969","1,117292","42,963364","3,335338"
15/01/2005 20.00,"29,736838","0,962691","45,916682","2,797493"
15/01/2005 21.00,"28,545394","0,892821","46,860495","3,011399"
15/01/2005 22.00,"30,886752","0,83789","36,800788","2,841507"
15/01/2005 23.00,"17,778248","0,511884","54,389385","2,742036"
16/01/2005 0.00,"16,181861","0,477416","53,693372","2,19275"
16/01/2005 1.00,"12,425828","0,463412","59,811256","1,946274"
16/01/2005 2.00,,"0,344524","64,180988","2,29574"
16/01/2005 3.00,"26,411009",,"59,140977","1,816875"
16/01/2005 4.00,"13,757443","0,222596",,"1,795748"
16/01/2005 5.00,"10,333653","0,188291","63,020513","2,017575"
16/01/2005 6.00,"8,628253","0,153673","64,273073","2,069512"
16/01/2005 7.00,"8,895616","0,189538","61,88035","1,681313"
16/01/2005 8.00,"9,90536","0,233745","62,302833","1,739411"
16/01/2005 9.00,"10,663311","0,299472","62,734791","2,282536"
16/01/2005 10.00,"14,460888","0,417513","57,771968","2,011413"
16/01/2005 11.00,"16,109183","0,528383","57,18428","2,402254"
16/01/2005 12.00,"18,157222","0,627712","54,871438","2,663693"
16/01/2005 13.00,"17,705572","0,584285","56,531596","2,606475"
16/01/2005 14.00,"21,67185","0,630754","52,24853","2,411056"
16/01/2005 15.00,"12,903436","0,395293","65,552711","2,213876"
16/01/2005 16.00,"14,956673","0,471623","64,228385","2,187467"
16/01/2005 17.00,"16,345394","0,530565","62,057747","1,850325"
16/01/2005 18.00,"23,198161","0,77546","53,085372","2,470034"
16/01/2005 19.00,"24,322111","0,756358","49,330406","2,461231"
16/01/2005 20.00,"26,564829","0,878455","44,96339","2,85119"
16/01/2005 21.00,"25,235819","0,71488","44,226757","2,697143"
16/01/2005 22.00,"29,181344","0,817874","39,614636","2,904886"
16/01/2005 23.00,"23,927551","0,642449","44,7833","2,848549"
17/01/2005 0.00,"20,495989","0,616407","45,00672","2,847669"
17/01/2005 1.00,"14,9411","0,48745","51,905928","1,898739"
17/01/2005 2.00,"11,808031","0,378842","54,416478","2,139933"
17/01/2005 3.00,"10,650333","0,295808","56,24318","2,212995"
17/01/2005 4.00,"8,799572","0,289726",,"1,744692"
17/01/2005 5.00,"7,953361","0,250274","60,730712","1,9005"
17/01/2005 6.00,"11,268119","0,268363","56,611497","1,96564"
17/01/2005 7.00,"18,933355","0,481212","43,104189","2,139053"
17/01/2005 8.00,"28,872462","0,758308","33,878592","2,612637"
17/01/2005 9.00,"44,516998","1,380328","25,592758","3,082701"
17/01/2005 10.00,"29,523975","0,872295","31,250259","3,157524"
17/01/2005 11.00,"27,997683","0,787","37,495428","3,573011"
17/01/2005 12.00,"28,633633","0,883445","41,461646","3,163685"
17/01/2005 13.00,"27,507083","0,7824","52,73196","3,055413"
17/01/2005 14.00,"29,165761","0,929212","54,294603","2,530772"
17/01/2005 15.00,"22,995681","0,583349","61,460584","2,878478"
17/01/2005 16.00,"25,762747","0,678704","58,1985","2,547497"
17/01/2005 17.00,"30,884152","0,855454","51,208557","2,207714"
17/01/2005 18.00,"40,483213","1,234686","36,589537","2,885521"
