,SIMAGE Brindisi,,,,,,
06/01/2009 22.00,"4,0","87,9","79,0","4,5","114,3",,
06/01/2009 23.00,"1,9","69,5","61,2","3,6","114,3",,
07/01/2009 0.00,"0,2","51,0","43,0","2,6","114,3",,
07/01/2009 1.00,"0,1","36,2","28,6","1,8",,,
07/01/2009 2.00,"0,0","28,7","21,2","1,5",,,
07/01/2009 3.00,"0,0","25,8","18,1","1,3",,,
07/01/2009 4.00,"0,0","23,9","16,1","1,1",,,
07/01/2009 5.00,"0,0","22,8","14,9","1,0",,,
07/01/2009 6.00,"0,0","27,2","19,2","1,0",,,
07/01/2009 7.00,"0,1","39,2","31,2","1,3",,,
07/01/2009 8.00,"0,1","44,7","36,9","1,1",,,
07/01/2009 9.00,"0,4","60,7","53,0","1,1",,,
07/01/2009 10.00,"0,4","59,5","52,1","0,9",,,
07/01/2009 11.00,"0,3","45,6","38,2","0,8",,,
07/01/2009 12.00,"0,2","32,9","26,1","0,8",,,
07/01/2009 13.00,"0,1","25,1","18,5","0,6",,,
07/01/2009 14.00,"0,1","24,2","17,6","0,5",,,
07/01/2009 15.00,"0,2","22,7","16,0","0,5",,,
07/01/2009 16.00,"0,1","21,3","14,8",,,,
07/01/2009 17.00,"0,1","22,0","16,3","0,7",,,
07/01/2009 18.00,"0,1","20,0","15,2","0,4",,,
07/01/2009 19.00,"0,0","20,5","15,0","0,5",,,
07/01/2009 20.00,"0,0","25,2","19,4","0,5",,,
07/01/2009 21.00,"0,0","26,7","20,4","0,6",,,
07/01/2009 22.00,"0,0","24,1","17,6","0,4",,,
07/01/2009 23.00,"0,0","19,0","12,4","0,2",,,
08/01/2009 0.00,"0,0","17,7","10,8","0,1",,,
08/01/2009 1.00,,"17,6","10,7","0,2","61,8",,
08/01/2009 2.00,"1,1","17,2","10,6",,"61,8",,
08/01/2009 3.00,"0,8","16,5","9,8","0,4","61,8",,
08/01/2009 4.00,"0,8",,,"0,2","61,8",,
08/01/2009 5.00,"0,6","14,1","8,4","0,3","61,8",,
08/01/2009 6.00,"0,6","14,9","9,1","0,3","61,8",,
08/01/2009 7.00,"0,8","19,1","13,2","0,4","61,8",,
08/01/2009 8.00,"1,4","32,7","26,6","1,0","61,8",,
08/01/2009 9.00,"2,7","88,4","81,7","1,4","61,8",,
08/01/2009 10.00,"2,3","106,0","99,3","1,6","61,8",,
08/01/2009 11.00,"2,4","120,6","113,4","2,1","61,8",,
08/01/2009 12.00,"2,6","111,3","104,3","2,1","61,8",,
08/01/2009 13.00,"1,8","77,5","71,0","1,2","61,8",,
08/01/2009 14.00,"1,0","43,7","37,3","0,8","61,8",,
08/01/2009 15.00,"0,7","28,5","22,0","0,5","61,8",,
08/01/2009 16.00,"0,4","23,5","17,0","0,4","61,8",,
08/01/2009 17.00,"0,7","22,9","16,3","0,5","61,8",,
08/01/2009 18.00,"0,7","22,3","15,9","0,6","61,8",,
08/01/2009 19.00,"0,9","24,7","18,5","0,8","61,8",,
08/01/2009 20.00,"0,8","27,9","21,8","0,8","61,8",,
08/01/2009 21.00,"0,7","31,3","25,2","0,9","61,8",,
08/01/2009 22.00,"0,6","33,1","26,9","0,9","61,8",,
08/01/2009 23.00,"0,6","31,4","25,1","0,9","61,8",,
09/01/2009 0.00,"1,0","25,2","19,0","0,6","61,8",,
09/01/2009 1.00,"1,2","21,9","15,6","0,5","17,0",,
09/01/2009 2.00,"1,2","20,6","14,2","0,5","17,0",,
09/01/2009 3.00,"1,1","20,2","13,7","0,5","17,0",,
09/01/2009 4.00,"0,8","18,1","11,7","0,4","17,0",,
09/01/2009 5.00,"1,2","16,2","9,7","0,2","17,0",,
09/01/2009 6.00,"1,3","15,1","8,6","0,2","17,0",,
09/01/2009 7.00,"1,3","16,0","9,5","0,2","17,0",,
09/01/2009 8.00,"1,4","17,2","10,7","0,3","17,0",,
09/01/2009 9.00,"1,4","16,2","9,6","0,2","17,0",,
09/01/2009 10.00,"1,1","15,1","8,7","0,2","17,0",,
09/01/2009 11.00,"1,4","15,6","9,1","0,4","17,0",,
09/01/2009 12.00,"1,4","15,6","9,1","0,3","17,0",,
09/01/2009 13.00,"1,0","17,3","10,8","0,3","17,0",,
09/01/2009 14.00,"1,0","16,5","10,0","0,3","17,0",,
09/01/2009 15.00,"1,3","15,2","8,8","0,3","17,0",,
09/01/2009 16.00,"0,9","15,0","8,6","0,3","17,0",,
09/01/2009 17.00,"1,1","14,8","8,4","0,3","17,0",,
09/01/2009 18.00,"0,9","15,0","8,8","0,3","17,0",,
09/01/2009 19.00,"0,9","15,3","9,0","0,2","17,0",,
09/01/2009 20.00,"1,3","15,3","9,0","0,3","17,0",,
09/01/2009 21.00,"1,2","14,8","8,6","0,6","17,0",,
09/01/2009 22.00,"1,1","15,3","9,1","0,6","17,0",,
09/01/2009 23.00,"0,8","15,3","9,0","0,4","17,0",,
10/01/2009 0.00,"0,5","14,2","7,9","0,0","17,0",,
10/01/2009 1.00,,"13,4","6,9","0,1","29,6",,
10/01/2009 2.00,"0,3","13,7","7,3",,"29,6",,
10/01/2009 3.00,"0,1","13,4","6,9",,"29,6",,
10/01/2009 4.00,"0,2",,,,"29,6",,
10/01/2009 5.00,"0,2","13,0","6,8",,"29,6",,
10/01/2009 6.00,"0,1","12,7","6,6",,"29,6",,
10/01/2009 7.00,"0,2","12,8","6,6",,"29,6",,
10/01/2009 8.00,"0,4","13,0","6,6",,"29,6",,
10/01/2009 9.00,"0,3","14,8","8,4",,"29,6",,
10/01/2009 10.00,"0,3","16,2","9,8",,"29,6",,
10/01/2009 11.00,"0,4","20,3","13,9","0,1","29,6",,
10/01/2009 12.00,"0,4","21,4","15,0","0,3","29,6",,
10/01/2009 13.00,"0,3","17,5","11,4","0,5","29,6",,
10/01/2009 14.00,"0,4","15,8","9,6","0,6","29,6",,
10/01/2009 15.00,"0,3","15,0","8,7","0,7","29,6",,
10/01/2009 16.00,"0,3","17,0","10,6","1,0","29,6",,
10/01/2009 17.00,"0,3","17,2","10,8","1,1","29,6",,
10/01/2009 18.00,"0,5","25,7","19,4","1,8","29,6",,
10/01/2009 19.00,"0,6","23,7","17,6","1,5","29,6",,
10/01/2009 20.00,"0,4","23,8","17,7","1,5","29,6",,
10/01/2009 21.00,"0,5","22,2","16,0","1,2","29,6",,
10/01/2009 22.00,"0,3","20,2","14,2","1,0","29,6",,
10/01/2009 23.00,"0,5","18,7","12,6","1,0","29,6",,
11/01/2009 0.00,"0,9","17,2","11,0","0,9","29,6",,
11/01/2009 1.00,"0,8","16,5","10,1","0,9","39,8",,
11/01/2009 2.00,"0,9","16,8","10,4","0,8","39,8",,
11/01/2009 3.00,"0,8","16,8","10,4","0,8","39,8",,
11/01/2009 4.00,"0,9","16,0","9,5","0,8","39,8",,
11/01/2009 5.00,"0,7","15,6","9,0","0,7","39,8",,
11/01/2009 6.00,"1,0","15,1","8,6","0,7","39,8",,
11/01/2009 7.00,"0,9","15,0","8,6","0,7","39,8",,
11/01/2009 8.00,"0,9","15,6","9,1","0,8","39,8",,
11/01/2009 9.00,"1,0","16,2","9,8","0,8","39,8",,
11/01/2009 10.00,"0,9","15,7","9,2","0,8","39,8",,
11/01/2009 11.00,"1,1","14,5","8,2","0,8","39,8",,
11/01/2009 12.00,"0,9","13,7","7,9","0,8","39,8",,
11/01/2009 13.00,"1,1","13,7","8,0","0,8","39,8",,
11/01/2009 14.00,"0,9","13,5","7,5","0,8","39,8",,
11/01/2009 15.00,"0,8","13,3","7,3","0,8","39,8",,
11/01/2009 16.00,"1,0","14,1","8,1","0,9","39,8",,
11/01/2009 17.00,"1,0","15,6","9,5","1,0","39,8",,
11/01/2009 18.00,"1,1","18,5","12,6","1,3","39,8",,
11/01/2009 19.00,"1,1","19,4","13,6","1,2","39,8",,
11/01/2009 20.00,"1,0","18,8","13,0","1,2","39,8",,
11/01/2009 21.00,"1,3","23,6","17,5","1,7","39,8",,
11/01/2009 22.00,"1,1","21,6","15,6","1,3","39,8",,
11/01/2009 23.00,"1,0","19,9","14,1","1,4","39,8",,
12/01/2009 0.00,"0,8","20,1","14,0","1,4","39,8",,
12/01/2009 1.00,,"19,4","13,5","1,4","60,9",,
12/01/2009 2.00,"1,2","19,5","13,4",,"60,9",,
12/01/2009 3.00,"1,2","18,9","12,7","0,7","60,9",,
12/01/2009 4.00,"1,0",,,"0,6","60,9",,
12/01/2009 5.00,"0,9","17,2","11,7","0,6","60,9",,
12/01/2009 6.00,"1,2","22,7","17,1","0,5","60,9",,
12/01/2009 7.00,"1,4","33,5","27,8","0,9","60,9",,
12/01/2009 8.00,"1,9","51,9","46,1","1,0","60,9",,
12/01/2009 9.00,"2,4","69,8","63,1","0,8","60,9",,
12/01/2009 10.00,"2,2","76,9","70,3","0,6","60,9",,
12/01/2009 11.00,"1,5","53,5","47,5","0,3","60,9",,
12/01/2009 12.00,"1,3","30,9","25,3","0,3","60,9",,
12/01/2009 13.00,"1,2","23,3","17,6","0,3","60,9",,
12/01/2009 14.00,"1,0","28,7","18,6","0,2","60,9",,
12/01/2009 15.00,"1,2","21,6","15,7","0,2","60,9",,
12/01/2009 16.00,"0,9","21,1","14,7","0,1","60,9",,
12/01/2009 17.00,"0,9","20,7","14,1","0,2","60,9",,
12/01/2009 18.00,"1,0","21,0","14,4","0,3","60,9",,
12/01/2009 19.00,"0,9","25,4","18,4","0,5","60,9",,
12/01/2009 20.00,"1,1","30,7","23,8","0,7","60,9",,
12/01/2009 21.00,"1,3","48,0","40,7","1,2","60,9",,
12/01/2009 22.00,"1,8","89,5","81,9","2,2","60,9",,
12/01/2009 23.00,"1,1","72,4","64,9","1,9","60,9",,
13/01/2009 0.00,"0,9","53,3","45,9","1,7","60,9",,
13/01/2009 1.00,"0,7","39,2","31,9","1,2","26,3",,
13/01/2009 2.00,"0,6","33,1","25,8","1,1","26,3",,
13/01/2009 3.00,"0,7","27,9","20,6","1,1","26,3",,
13/01/2009 4.00,"0,6","24,1","16,8","1,0","26,3",,
13/01/2009 5.00,"0,4","22,0","14,6","0,8","26,3",,
13/01/2009 6.00,"0,5","19,8","12,4","0,6","26,3",,
13/01/2009 7.00,"0,5","19,8","12,5","0,6","26,3",,
13/01/2009 8.00,"0,5","18,5","11,2","0,5","26,3",,
13/01/2009 9.00,"0,6","19,4","12,1","0,4","26,3",,
13/01/2009 10.00,"0,7","21,4","14,1","0,4","26,3",,
13/01/2009 11.00,"0,5","18,6","11,5","0,3","26,3",,
13/01/2009 12.00,"0,4","16,4","9,4","0,3","26,3",,
13/01/2009 13.00,"0,4","15,0","7,8","0,3","26,3",,
13/01/2009 14.00,"0,3","14,5","7,2","0,3","26,3",,
13/01/2009 15.00,"0,4","14,7","7,2","0,2","26,3",,
13/01/2009 16.00,"0,4","14,7","7,2","0,1","26,3",,
13/01/2009 17.00,"0,4","14,5","7,0","0,2","26,3",,
13/01/2009 18.00,"0,4","14,3","6,9","0,2","26,3",,
13/01/2009 19.00,"0,2","14,5","7,2","0,1","26,3",,
13/01/2009 20.00,"0,4","14,5","7,3","0,1","26,3",,
13/01/2009 21.00,"0,5","14,8","7,7","0,1","26,3",,
13/01/2009 22.00,"0,5","15,0","7,8","0,1","26,3",,
13/01/2009 23.00,"0,3","14,4","7,2","0,1","26,3",,
14/01/2009 0.00,"0,1","14,5","7,0","0,0","26,3",,
14/01/2009 1.00,,"14,2","6,7","0,1","68,5",,
14/01/2009 2.00,"0,6","14,1","6,5",,"68,5",,
14/01/2009 3.00,"0,8","14,2","6,7","0,1","68,5",,
14/01/2009 4.00,"0,6",,,"0,1","68,5",,
14/01/2009 5.00,"0,6","13,9","6,9","0,1","68,5",,
14/01/2009 6.00,"0,5","13,8","6,8","0,2","68,5",,
14/01/2009 7.00,"0,5","14,6","7,5","0,3","68,5",,
14/01/2009 8.00,"0,7","16,7","9,4","0,3","68,5",,
14/01/2009 9.00,"0,7","19,1","11,8","0,3","68,5",,
14/01/2009 10.00,"0,9","19,1","11,8","0,4","68,5",,
14/01/2009 11.00,"1,0","18,1","11,1","0,4","68,5",,
14/01/2009 12.00,"1,0","18,0","11,1","0,4","68,5",,
14/01/2009 13.00,"1,0","17,6","10,9","0,4","68,5",,
14/01/2009 14.00,"1,1","16,9","10,1","0,5","68,5",,
14/01/2009 15.00,"1,3","16,8","10,0","0,5","68,5",,
14/01/2009 16.00,"1,0","19,2","13,2",,"68,5",,
14/01/2009 17.00,"1,0","19,5","13,2","0,6","68,5",,
14/01/2009 18.00,"0,7","20,6","13,8","0,6","68,5",,
14/01/2009 19.00,"0,9","20,6","13,5","0,4","68,5",,
14/01/2009 20.00,"0,7","20,6","13,3","0,5","68,5",,
14/01/2009 21.00,"0,8","20,5","13,5","0,5","68,5",,
14/01/2009 22.00,"0,7","21,2","14,0","0,6","68,5",,
14/01/2009 23.00,"0,8","19,1","12,0","0,5","68,5",,
15/01/2009 0.00,"1,3","17,5","10,3","0,4","68,5",,
15/01/2009 1.00,"1,3","16,7","9,3","0,4","86,1",,
15/01/2009 2.00,"1,6","15,7","8,2","0,4","86,1",,
15/01/2009 3.00,"1,4","15,0","7,5","0,3","86,1",,
15/01/2009 4.00,"1,5","14,7","7,2","0,2","86,1",,
15/01/2009 5.00,"1,3","14,8","7,2","0,3","86,1",,
15/01/2009 6.00,"1,5","15,3","7,6","0,3","86,1",,
15/01/2009 7.00,"1,8","20,6","13,1","0,5","86,1",,
15/01/2009 8.00,"1,9","36,1","28,6","0,8","86,1",,
15/01/2009 9.00,"2,1","43,3","35,8","0,9","86,1",,
15/01/2009 10.00,"2,6","44,6","37,2","0,7","86,1",,
15/01/2009 11.00,"2,4","32,3","25,1","0,6","86,1",,
15/01/2009 12.00,"2,0","22,8","16,0","0,7","86,1",,
15/01/2009 13.00,"2,1","20,5","14,0","0,6","86,1",,
15/01/2009 14.00,"2,2","19,8","13,3","0,8","86,1",,
15/01/2009 15.00,"1,9","19,3","13,0","0,6","86,1",,
15/01/2009 16.00,"2,1","22,0","15,5","0,8","86,1",,
15/01/2009 17.00,"2,2","24,0","17,5","1,2","86,1",,
15/01/2009 18.00,"2,7","33,6","26,9","1,8","86,1",,
15/01/2009 19.00,"3,1","43,5","36,3","2,3","86,1",,
15/01/2009 20.00,"3,1","52,0","44,6","2,6","86,1",,
15/01/2009 21.00,"3,2","50,3","42,8","2,6","86,1",,
15/01/2009 22.00,"2,5","40,3","32,9","1,8","86,1",,
15/01/2009 23.00,"2,0","33,9","26,5","1,6","86,1",,
16/01/2009 0.00,"2,2","37,6","30,0","1,5","86,1",,
16/01/2009 1.00,,"34,3","26,8","1,2",,,
16/01/2009 2.00,"1,1","27,2","19,7",,,,
16/01/2009 3.00,"0,8","21,9","14,4","0,8",,,
16/01/2009 4.00,"1,0",,,"0,5",,,
16/01/2009 5.00,"0,8","18,5","11,8","0,4",,,
16/01/2009 6.00,"0,9","19,7","12,9","0,3",,,
16/01/2009 7.00,"1,0","20,4","13,5","0,2",,,
16/01/2009 8.00,"1,0","21,0","13,9","0,3",,,
16/01/2009 9.00,"1,0","20,7","13,4","0,2",,,
16/01/2009 10.00,"0,9","20,4","13,3","0,3",,,
16/01/2009 11.00,"1,0","20,2","13,5","0,3",,,
16/01/2009 12.00,"0,7","18,7","12,2","0,3",,,
16/01/2009 13.00,"0,9","18,9","12,4","0,3",,,
16/01/2009 14.00,"0,9","17,2","10,7","0,3",,,
16/01/2009 15.00,"0,8","16,7","10,3","0,4",,,
16/01/2009 16.00,"0,8","15,5","9,2","0,4",,,
16/01/2009 17.00,"0,7",,,"0,3",,,
16/01/2009 18.00,"0,5","20,4","13,3","0,4",,,
16/01/2009 19.00,"0,5","17,8","10,5","0,4",,,
16/01/2009 20.00,"0,6","17,3","9,8","0,3",,,
16/01/2009 21.00,"0,6","17,7","10,1","0,4",,,
16/01/2009 22.00,"0,6","18,2","10,5","0,4",,,
16/01/2009 23.00,"0,6","20,0","12,1","0,4",,,
17/01/2009 0.00,"0,5","19,0","10,9","0,4",,,
17/01/2009 1.00,"0,7","17,9","10,2","0,5","80,6",,
17/01/2009 2.00,"0,7","17,3","9,6","0,5","80,6",,
17/01/2009 3.00,"0,5","16,5","8,5","0,4","80,6",,
17/01/2009 4.00,"0,5","15,8","8,0","0,5","80,6",,
17/01/2009 5.00,"0,6","15,6","7,9","0,5","80,6",,
17/01/2009 6.00,"0,7","15,6","7,6","0,5","80,6",,
17/01/2009 7.00,"0,6","16,2","8,1","0,5","80,6",,
17/01/2009 8.00,"0,6","17,6","9,6","0,4","80,6",,
17/01/2009 9.00,"0,6","20,0","12,0","0,5","80,6",,
17/01/2009 10.00,"0,5","19,0","11,3","0,5","80,6",,
17/01/2009 11.00,"0,3","16,7","9,6","0,5","80,6",,
17/01/2009 12.00,"0,3","16,4","9,8","0,5","80,6",,
17/01/2009 13.00,"0,2","16,1","9,6","0,6","80,6",,
17/01/2009 14.00,"0,4","16,6","10,0","0,5","80,6",,
17/01/2009 15.00,"0,3","15,5","9,0","0,5","80,6",,
17/01/2009 16.00,"0,5","15,7","9,1","0,6","80,6",,
17/01/2009 17.00,"0,4","17,2","10,5","0,7","80,6",,
17/01/2009 18.00,"0,7","23,8","16,8","1,0","80,6",,
17/01/2009 19.00,"0,8","32,1","24,6","1,5","80,6",,
17/01/2009 20.00,"1,0","36,2","28,5","1,5","80,6",,
17/01/2009 21.00,"1,1","44,5","36,5","2,0","80,6",,
17/01/2009 22.00,"1,2","52,9","44,3","3,1","80,6",,
17/01/2009 23.00,"0,8","48,9","40,5","3,1","80,6",,
18/01/2009 0.00,"0,1","38,9","30,8","2,6","80,6",,
18/01/2009 1.00,,"31,0","23,0","2,2","101,8",,
18/01/2009 2.00,"1,1","27,4","19,4",,"101,8",,
18/01/2009 3.00,"0,8","24,5","16,4","1,5","101,8",,
18/01/2009 4.00,"0,8",,,"1,3","101,8",,
18/01/2009 5.00,"0,7","20,7","13,3","1,2","101,8",,
18/01/2009 6.00,"0,7","21,9","14,4","1,1","101,8",,
18/01/2009 7.00,"0,8","23,6","15,9","1,1","101,8",,
18/01/2009 8.00,"0,8","26,5","18,7","1,1","101,8",,
