Stat,LECCE-Via Garigliano,,,,,,,,  ,
Parm,SO2,NO2,NOX,CO,PM10,BENZENE,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,Aver,,,
08/01/2014 14.00,"4,2","7,2","9,1","0,7","17,9","1,1","9,1",,,
08/01/2014 15.00,"4,4","6,0","7,5","0,8","17,9","1,0","9,1",,,
08/01/2014 16.00,"4,1","5,8","7,6","0,7","17,9","1,1","9,1",,,
08/01/2014 17.00,"4,3","8,0","9,7","0,7","17,9","1,2","9,1",,,
08/01/2014 18.00,"3,8","11,0","12,9","0,8","17,9","1,0","9,1",,,
08/01/2014 19.00,"4,1","13,3","16,0","0,8","17,9","2,0","9,1",,,
08/01/2014 20.00,"4,2","8,5","10,4","0,7","17,9","1,9","9,1",,,
08/01/2014 21.00,"4,1","19,2","21,5","0,9","17,9","1,3","9,1",,,
08/01/2014 22.00,"4,1","4,8","6,6","0,7","17,9","2,1","9,1",,,
08/01/2014 23.00,"3,7","4,4","5,4","0,7","17,9","0,9","9,1",,,
09/01/2014 0.00,"4,5","5,9","7,0","0,7","17,9","0,7","9,1",,,
09/01/2014 1.00,"4,4","4,3","5,4","0,7","39,8","0,8","26,1",,,
09/01/2014 2.00,"4,6","7,7","8,9","0,7","39,8","1,0","26,1",,,
09/01/2014 3.00,"4,2","7,9","8,9","0,7","39,8","1,1","26,1",,,
09/01/2014 4.00,"4,2","6,3","7,7","0,7","39,8","1,3","26,1",,,
09/01/2014 5.00,"4,0","9,5","11,2","0,8","39,8","1,2","26,1",,,
09/01/2014 6.00,"3,9","12,9","14,8","0,8","39,8","1,0","26,1",,,
09/01/2014 7.00,"4,2","20,3","23,7","0,8","39,8","1,0","26,1",,,
09/01/2014 8.00,"4,5","26,8","35,7","0,9","39,8","1,3","26,1",,,
09/01/2014 9.00,"4,4","18,3","23,4","0,8","39,8","1,8","26,1",,,
09/01/2014 10.00,"4,4","11,3","14,9","0,8","39,8","1,3","26,1",,,
09/01/2014 11.00,"4,6","6,4","8,6","0,7","39,8","1,0","26,1",,,
09/01/2014 12.00,"4,5","6,6","9,2","0,8","39,8","0,9","26,1",,,
09/01/2014 13.00,"4,3","7,2","10,2","0,8","39,8","1,0","26,1",,,
09/01/2014 14.00,"4,4","5,6","7,2","0,7","39,8","0,8","26,1",,,
09/01/2014 15.00,"4,3","7,1","8,8","0,7","39,8","0,9","26,1",,,
09/01/2014 16.00,"4,3","13,3","15,2","0,8","39,8","1,4","26,1",,,
09/01/2014 17.00,"4,4","30,0","33,3","0,9","39,8","1,8","26,1",,,
09/01/2014 18.00,"4,9","60,2","74,7","1,4","39,8","3,0","26,1",,,
09/01/2014 19.00,"6,5","78,7","174,0","1,7","39,8","6,2","26,1",,,
09/01/2014 20.00,"7,2","83,4","202,0","1,8","39,8","6,8","26,1",,,
09/01/2014 21.00,"4,9","55,1","75,3","1,5","39,8","6,3","26,1",,,
09/01/2014 22.00,"5,0","49,3","62,0","1,4","39,8","6,6","26,1",,,
09/01/2014 23.00,"4,9","41,6","50,1","1,3","39,8","5,9","26,1",,,
10/01/2014 0.00,"4,8","44,1","58,2","1,4","39,8","5,2","26,1",,,
10/01/2014 1.00,"4,6","44,5","64,8","1,5","39,8","5,1","29,4",,,
10/01/2014 2.00,"4,9",,,"1,4","39,8","5,6","29,4",,,
10/01/2014 3.00,"4,9","47,3","54,5","1,5","39,8","5,1","29,4",,,
