Stat,LECCE-Via Garigliano,,,,,,,,  ,
Parm,SO2,NO2,NOX,CO,PM10,BENZENE,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,Aver,,,
11/07/2014 12.00,"1,7","2,2","3,6","0,1","12,3","0,3","1,7",,,
11/07/2014 13.00,"2,0","1,0","2,1","0,1","12,3","0,1","1,7",,,
11/07/2014 14.00,"1,6","1,1","2,5","0,1","12,3","0,1","1,7",,,
11/07/2014 15.00,"2,4","2,6","4,0","0,1","12,3","0,1","1,7",,,
11/07/2014 16.00,"2,7","3,4","4,6","0,1","12,3","0,1","1,7",,,
11/07/2014 17.00,"2,8","4,2","5,5","0,1","12,3","0,1","1,7",,,
11/07/2014 18.00,"2,3","2,7","3,8","0,1","12,3","0,2","1,7",,,
11/07/2014 19.00,"2,2","8,4","9,3","0,1","12,3","0,1","1,7",,,
11/07/2014 20.00,"2,1","12,2","13,1","0,2","12,3","0,2","1,7",,,
11/07/2014 21.00,"2,0","30,2","31,6","0,3","12,3","0,2","1,7",,,
11/07/2014 22.00,"1,8","19,7","21,1","0,2","12,3","0,8","1,7",,,
11/07/2014 23.00,"1,8","20,9","22,2","0,2","12,3","0,5","1,7",,,
12/07/2014 0.00,"1,5","16,3","17,2","0,3","12,3","0,7","1,7",,,
12/07/2014 1.00,"1,7","11,2","12,1","0,2","15,9","0,6","5,9",,,
12/07/2014 2.00,"1,5","11,1","12,1","0,2","15,9","0,5","5,9",,,
12/07/2014 3.00,"1,5","8,5","9,4","0,2","15,9","0,5","5,9",,,
12/07/2014 4.00,"1,5","10,3","11,4","0,2","15,9","0,3","5,9",,,
12/07/2014 5.00,"1,6","25,1","30,2","0,3","15,9","0,5","5,9",,,
12/07/2014 6.00,"1,7","24,5","29,7","0,2","15,9","1,3","5,9",,,
12/07/2014 7.00,"2,0","8,4","10,6","0,2","15,9","0,6","5,9",,,
12/07/2014 8.00,"1,7","6,3","8,3","0,2","15,9","0,5","5,9",,,
12/07/2014 9.00,"1,8","4,7","6,3","0,2","15,9","0,4","5,9",,,
12/07/2014 10.00,"1,7","3,3","4,5","0,2","15,9","0,2","5,9",,,
12/07/2014 11.00,"1,8","2,5","3,7","0,1","15,9","0,2","5,9",,,
12/07/2014 12.00,"2,1","2,0","3,2","0,1","15,9","0,2","5,9",,,
12/07/2014 13.00,"1,9","0,6","1,6","0,1","15,9","0,2","5,9",,,
12/07/2014 14.00,"2,0","0,1","1,0","0,1","15,9",,"5,9",,,
12/07/2014 15.00,"2,0","0,9","2,1","0,1","15,9","0,1","5,9",,,
12/07/2014 16.00,"1,8","1,4","2,6","0,1","15,9",,"5,9",,,
12/07/2014 17.00,"1,5","2,8","4,0","0,2","15,9","0,5","5,9",,,
12/07/2014 18.00,"1,8","11,6","13,4","0,2","15,9","0,2","5,9",,,
12/07/2014 19.00,"1,4","23,8","26,3","0,3","15,9","0,5","5,9",,,
12/07/2014 20.00,"1,3","24,2","26,5","0,2","15,9","0,8","5,9",,,
12/07/2014 21.00,"1,3","13,9","15,3","0,2","15,9","0,5","5,9",,,
12/07/2014 22.00,"1,5","16,3","17,7","0,2","15,9","0,4","5,9",,,
12/07/2014 23.00,"1,2","16,7","18,1","0,2","15,9","0,5","5,9",,,
13/07/2014 0.00,"1,5","13,4","14,6","0,2","15,9","0,5","5,9",,,
13/07/2014 1.00,"1,6","10,9","11,9","0,2","16,5","0,4","9,0",,,
13/07/2014 2.00,"1,3",,,"0,2","16,5","0,4","9,0",,,
13/07/2014 3.00,,"7,2","8,3","0,2","16,5","0,4","9,0",,,
13/07/2014 4.00,"1,9","5,0","5,9",,"16,5","0,2","9,0",,,
13/07/2014 5.00,"1,9","6,0","7,5","0,1","16,5","0,4","9,0",,,
13/07/2014 6.00,"2,0","3,7","5,5","0,1","16,5","0,2","9,0",,,
13/07/2014 7.00,"1,9","4,4","6,5","0,1","16,5","0,2","9,0",,,
13/07/2014 8.00,"2,0","5,3","7,8","0,1","16,5","0,1","9,0",,,
13/07/2014 9.00,"1,9","5,2","7,6","0,1","16,5","0,2","9,0",,,
13/07/2014 10.00,"2,0","3,6","5,9","0,1","16,5","0,1","9,0",,,
13/07/2014 11.00,"1,8","2,7","4,6","0,1","16,5","0,1","9,0",,,
13/07/2014 12.00,"2,0","3,0","5,2","0,1","16,5",,"9,0",,,
13/07/2014 13.00,"2,1","0,9","2,5","0,1","16,5",,"9,0",,,
13/07/2014 14.00,"2,1","1,2","2,5","0,1","16,5",,"9,0",,,
13/07/2014 15.00,"1,7","0,8","1,9","0,1","16,5",,"9,0",,,
13/07/2014 16.00,"2,3","2,7","4,0","0,1","16,5","0,2","9,0",,,
13/07/2014 17.00,"2,2","3,2","4,6","0,2","16,5","0,1","9,0",,,
13/07/2014 18.00,"2,2","6,6","7,6","0,2","16,5","0,3","9,0",,,
13/07/2014 19.00,"1,8","7,8","9,6","0,2","16,5","0,1","9,0",,,
13/07/2014 20.00,"2,4","12,4","19,0","0,2","16,5","0,2","9,0",,,
13/07/2014 21.00,"2,2","19,2","20,5","0,2","16,5","0,5","9,0",,,
13/07/2014 22.00,"2,3","16,2","17,4","0,2","16,5","0,5","9,0",,,
13/07/2014 23.00,"2,2","19,0","21,2","0,2","16,5","0,5","9,0",,,
14/07/2014 0.00,"2,0","10,1","11,4","0,2","16,5","0,5","9,0",,,
14/07/2014 1.00,"2,0","6,1","7,0","0,2","15,1","0,2","8,0",,,
14/07/2014 2.00,"2,0","4,3","5,2","0,2","15,1","0,2","8,0",,,
14/07/2014 3.00,"1,7","5,4","6,2","0,2","15,1","0,2","8,0",,,
14/07/2014 4.00,"1,9","8,3","9,2","0,2","15,1","0,3","8,0",,,
14/07/2014 5.00,"2,0","21,3","25,0","0,2","15,1","0,7","8,0",,,
14/07/2014 6.00,"1,9","15,0","19,5","0,2","15,1","0,7","8,0",,,
14/07/2014 7.00,"2,1","6,0","7,7","0,2","15,1","1,0","8,0",,,
14/07/2014 8.00,"2,1","2,9","4,5","0,2","15,1","0,3","8,0",,,
14/07/2014 9.00,"2,4","3,7","5,7","0,1","15,1","0,2","8,0",,,
14/07/2014 10.00,"2,3","2,7","4,4","0,1","15,1","0,2","8,0",,,
14/07/2014 11.00,"2,3","2,1","3,5","0,2","15,1","0,3","8,0",,,
14/07/2014 12.00,"2,4","1,3","2,5","0,1","15,1","0,1","8,0",,,
14/07/2014 13.00,"2,1","0,5","1,5","0,1","15,1","0,1","8,0",,,
14/07/2014 14.00,"2,4","2,1","3,6","0,1","15,1",,"8,0",,,
14/07/2014 15.00,"2,1","6,2","8,1","0,2","15,1","0,1","8,0",,,
14/07/2014 16.00,"2,2","8,2","10,0","0,2","15,1","0,2","8,0",,,
14/07/2014 17.00,"2,1","15,8","17,7","0,2","15,1","0,3","8,0",,,
14/07/2014 18.00,"1,9","7,2","8,3","0,2","15,1","0,3","8,0",,,
14/07/2014 19.00,"1,8","18,2","19,3","0,2","15,1","0,2","8,0",,,
14/07/2014 20.00,"1,9","15,0","16,9","0,2","15,1","0,5","8,0",,,
14/07/2014 21.00,"2,0","9,0","10,0","0,2","15,1","0,3","8,0",,,
14/07/2014 22.00,"1,9","8,2","9,5","0,2","15,1","0,1","8,0",,,
14/07/2014 23.00,"2,1","8,2","9,3","0,2","15,1","0,1","8,0",,,
15/07/2014 0.00,"1,9","5,5","6,4","0,2","15,1","0,2","8,0",,,
15/07/2014 1.00,"1,9","5,3","6,2","0,2","13,3","0,1","8,5",,,
15/07/2014 2.00,"1,6",,,"0,2","13,3","0,2","8,5",,,
15/07/2014 3.00,,"4,9","5,9","0,2","13,3","0,2","8,5",,,
15/07/2014 4.00,"2,9","4,6","5,4",,"13,3","0,1","8,5",,,
15/07/2014 5.00,"3,1","5,9","6,9","0,2","13,3","0,1","8,5",,,
15/07/2014 6.00,"3,0","12,5","15,2","0,2","13,3","0,2","8,5",,,
15/07/2014 7.00,"2,8","8,6","10,3","0,2","13,3","0,3","8,5",,,
15/07/2014 8.00,"2,9","11,5","14,1","0,2","13,3","0,1","8,5",,,
15/07/2014 9.00,"3,1","12,7","18,1","0,2","13,3","0,4","8,5",,,
15/07/2014 10.00,"2,9","2,9","4,7","0,1","13,3","0,3","8,5",,,
15/07/2014 11.00,"3,3","3,5","5,6","0,1","13,3","0,1","8,5",,,
15/07/2014 12.00,"3,0","2,6","4,3","0,1","13,3","0,1","8,5",,,
15/07/2014 13.00,"3,0","0,2","1,0","0,1","13,3","0,1","8,5",,,
15/07/2014 14.00,"2,8","0,8","1,7","0,1","13,3","0,1","8,5",,,
15/07/2014 15.00,"3,4","6,9","9,4","0,1","13,3","0,1","8,5",,,
15/07/2014 16.00,"3,7","6,0","8,0","0,1","13,3",,"8,5",,,
15/07/2014 17.00,"3,6","6,0","7,7","0,1","13,3",,"8,5",,,
15/07/2014 18.00,"3,8","4,8","6,4","0,2","13,3","0,1","8,5",,,
15/07/2014 19.00,"3,8","11,3","12,5","0,1","13,3","0,1","8,5",,,
15/07/2014 20.00,"3,5","8,0","8,9","0,2","13,3","0,1","8,5",,,
15/07/2014 21.00,"3,6","4,3","5,2","0,1","13,3","0,2","8,5",,,
15/07/2014 22.00,"3,2","2,4","3,3","0,1","13,3","0,1","8,5",,,
15/07/2014 23.00,"2,7","2,9","3,8","0,2","13,3","0,1","8,5",,,
16/07/2014 0.00,"3,2","3,4","4,5","0,2","13,3","0,2","8,5",,,
16/07/2014 1.00,"2,6","3,0","3,6","0,1","15,4","0,1","9,0",,,
16/07/2014 2.00,"2,9","3,0","4,0","0,1","15,4","0,1","9,0",,,
16/07/2014 3.00,"2,8","2,1","2,9","0,1","15,4","0,1","9,0",,,
16/07/2014 4.00,"2,9","2,8","3,9","0,1","15,4","1,1","9,0",,,
16/07/2014 5.00,"2,8","4,6","5,9","0,2","15,4","0,2","9,0",,,
16/07/2014 6.00,"2,5","3,3","4,9","0,2","15,4","0,2","9,0",,,
16/07/2014 7.00,"3,0","1,3","2,7","0,2","15,4","0,1","9,0",,,
16/07/2014 8.00,"3,2","2,2","3,9","0,1","15,4","0,2","9,0",,,
16/07/2014 9.00,"3,4","1,7","3,4","0,1","15,4","0,1","9,0",,,
16/07/2014 10.00,"3,3","0,7","2,1","0,1","15,4","0,1","9,0",,,
16/07/2014 11.00,"3,2","0,4","1,7","0,1","15,4","0,2","9,0",,,
16/07/2014 12.00,"3,1","0,5","1,8","0,2","15,4","0,1","9,0",,,
16/07/2014 13.00,"3,7","1,3","3,0","0,2","15,4","0,2","9,0",,,
16/07/2014 14.00,"3,1","2,3","4,5","0,2","15,4","0,4","9,0",,,
16/07/2014 15.00,"3,3","3,0","4,9","0,2","15,4","0,4","9,0",,,
16/07/2014 16.00,"9,1","10,5","13,7","0,2","15,4","0,3","9,0",,,
16/07/2014 17.00,"10,1","15,1","18,5","0,2","15,4","0,3","9,0",,,
16/07/2014 18.00,"10,0","17,2","19,8","0,2","15,4","0,2","9,0",,,
16/07/2014 19.00,"5,6","12,8","14,8","0,2","15,4","0,3","9,0",,,
16/07/2014 20.00,"4,0","8,9","10,9","0,2","15,4","0,3","9,0",,,
16/07/2014 21.00,"3,5","4,9","6,9","0,2","15,4","0,2","9,0",,,
16/07/2014 22.00,"3,1","7,6","9,5","0,2","15,4","0,3","9,0",,,
16/07/2014 23.00,"3,9","6,1","8,0","0,2","15,4","0,4","9,0",,,
17/07/2014 0.00,"3,4","5,5","7,6","0,2","15,4","0,2","9,0",,,
17/07/2014 1.00,"3,4","3,8","5,6","0,2","18,6","0,2","12,8",,,
17/07/2014 2.00,"3,5",,,"0,2","18,6","0,5","12,8",,,
17/07/2014 3.00,,"5,7","7,6","0,2","18,6","0,2","12,8",,,
17/07/2014 4.00,"3,8","6,0","7,9",,"18,6","0,3","12,8",,,
17/07/2014 5.00,"3,8","6,4","8,4","0,2","18,6","0,8","12,8",,,
17/07/2014 6.00,"3,8","9,7","12,9","0,2","18,6","0,3","12,8",,,
17/07/2014 7.00,"3,3","6,1","8,9","0,2","18,6","0,5","12,8",,,
17/07/2014 8.00,"4,0","5,4","8,0","0,2","18,6","0,4","12,8",,,
17/07/2014 9.00,"4,6","5,4","8,0","0,2","18,6","0,3","12,8",,,
17/07/2014 10.00,"4,7","8,6","12,0","0,2","18,6","0,3","12,8",,,
17/07/2014 11.00,"4,9","5,2","7,9","0,2","18,6","0,4","12,8",,,
17/07/2014 12.00,"4,2","2,3","4,4","0,1","18,6","0,4","12,8",,,
17/07/2014 13.00,"3,7","1,5","3,6","0,1","18,6","0,2","12,8",,,
17/07/2014 14.00,"5,4","4,4","6,9","0,2","18,6","0,3","12,8",,,
17/07/2014 15.00,"7,6","5,6","8,1","0,2","18,6","0,3","12,8",,,
17/07/2014 16.00,"4,6","2,8","4,9","0,2","18,6","0,4","12,8",,,
17/07/2014 17.00,"4,3","4,2","6,3","0,2","18,6","0,5","12,8",,,
17/07/2014 18.00,"4,1","3,0","5,0","0,2","18,6","0,7","12,8",,,
17/07/2014 19.00,"3,8","8,0","9,9","0,2","18,6","0,3","12,8",,,
17/07/2014 20.00,"3,6","11,1","13,1","0,2","18,6","0,4","12,8",,,
17/07/2014 21.00,"3,8","8,4","10,5","0,2","18,6","0,6","12,8",,,
17/07/2014 22.00,"3,2","6,1","8,0","0,2","18,6","0,4","12,8",,,
17/07/2014 23.00,"3,5","5,4","7,4","0,2","18,6","0,4","12,8",,,
18/07/2014 0.00,"3,5","4,9","6,8","0,4","18,6","0,3","12,8",,,
18/07/2014 1.00,"3,3","2,9","4,8","0,2","19,7","1,9","11,0",,,
18/07/2014 2.00,"3,6","3,1","5,0","0,2","19,7","0,3","11,0",,,
18/07/2014 3.00,"3,5","5,4","7,3","0,2","19,7","0,2","11,0",,,
18/07/2014 4.00,"4,0","5,2","7,1","0,2","19,7","0,2","11,0",,,
18/07/2014 5.00,"3,6","7,3","9,4","0,2","19,7","0,3","11,0",,,
18/07/2014 6.00,"3,3","9,8","12,6","0,2","19,7","0,4","11,0",,,
18/07/2014 7.00,"3,7","5,7","8,0","0,2","19,7","0,4","11,0",,,
18/07/2014 8.00,"5,6","5,0","7,8","0,2","19,7","0,4","11,0",,,
18/07/2014 9.00,"6,8","6,1","8,7",,"19,7","0,3","11,0",,,
18/07/2014 10.00,"3,9","6,5","9,3","0,2","19,7","0,4","11,0",,,
18/07/2014 11.00,"3,4","2,5","5,0","0,1","19,7","0,2","11,0",,,
18/07/2014 12.00,"3,8","2,0","4,2","0,1","19,7","0,3","11,0",,,
18/07/2014 13.00,"4,1","1,3","3,5","0,1","19,7","0,2","11,0",,,
18/07/2014 14.00,"3,7","1,2","3,1","0,1","19,7","0,1","11,0",,,
18/07/2014 15.00,"3,6","1,1","3,0","0,1","19,7","0,2","11,0",,,
18/07/2014 16.00,"3,8","2,8","4,9","0,2","19,7","0,1","11,0",,,
18/07/2014 17.00,"4,2","4,3","6,5","0,2","19,7","0,2","11,0",,,
18/07/2014 18.00,"4,0","6,1","8,1","0,2","19,7","0,4","11,0",,,
18/07/2014 19.00,"4,4","11,9","14,1","0,2","19,7","0,4","11,0",,,
18/07/2014 20.00,"5,3","12,3","14,3","0,2","19,7","0,3","11,0",,,
18/07/2014 21.00,"4,6","9,2","11,1","0,2","19,7","0,2","11,0",,,
18/07/2014 22.00,"4,2","11,8","13,9","0,2","19,7","0,2","11,0",,,
18/07/2014 23.00,"3,8","7,2","9,2","0,2","19,7","0,4","11,0",,,
19/07/2014 0.00,"3,9","4,3","6,3","0,2","19,7","0,2","11,0",,,
19/07/2014 1.00,"3,7","3,8","5,8","0,2","22,5","0,1","12,7",,,
19/07/2014 2.00,"4,1",,,"0,2","22,5","0,1","12,7",,,
19/07/2014 3.00,,"3,7","5,7","0,2","22,5","0,1","12,7",,,
19/07/2014 4.00,"3,3","4,1","6,1",,"22,5","0,2","12,7",,,
19/07/2014 5.00,"3,0","7,2","9,4","0,2","22,5","0,2","12,7",,,
19/07/2014 6.00,"3,0","9,2","12,1","0,2","22,5","0,4","12,7",,,
19/07/2014 7.00,"3,2","4,2","6,5","0,2","22,5","0,2","12,7",,,
19/07/2014 8.00,"3,4","3,7","6,1","0,2","22,5","0,2","12,7",,,
19/07/2014 9.00,"3,8","3,5","5,8","0,1","22,5","0,2","12,7",,,
19/07/2014 10.00,"3,8","4,1","6,5","0,2","22,5","0,2","12,7",,,
19/07/2014 11.00,"3,8","3,0","5,2","0,2","22,5","0,3","12,7",,,
19/07/2014 12.00,"2,8","2,4","4,7","0,2","22,5","0,2","12,7",,,
19/07/2014 13.00,"2,9","2,8","5,1","0,2","22,5","0,3","12,7",,,
19/07/2014 14.00,"3,4","3,3","5,5","0,2","22,5","0,4","12,7",,,
19/07/2014 15.00,"3,6","8,9","11,9","0,2","22,5","0,5","12,7",,,
19/07/2014 16.00,"3,4","7,8","10,5","0,1","22,5","0,3","12,7",,,
19/07/2014 17.00,"4,2","3,6","5,6","0,1","22,5","0,4","12,7",,,
19/07/2014 18.00,"4,2","6,1","8,2","0,2","22,5","0,1","12,7",,,
19/07/2014 19.00,"4,3","8,2","10,3","0,2","22,5","0,5","12,7",,,
19/07/2014 20.00,"3,8","9,7","11,9","0,2","22,5","0,4","12,7",,,
19/07/2014 21.00,"3,6","6,7","9,0","0,2","22,5","0,5","12,7",,,
19/07/2014 22.00,"3,1","6,4","8,3","0,1","22,5","0,2","12,7",,,
19/07/2014 23.00,"3,2","5,8","7,9","0,2","22,5","0,1","12,7",,,
20/07/2014 0.00,"3,1","6,5","8,6","0,2","22,5","0,1","12,7",,,
20/07/2014 1.00,"3,1","4,6","6,6","0,2","22,1","0,5","13,9",,,
20/07/2014 2.00,"3,1","4,1","6,1","0,2","22,1","0,1","13,9",,,
20/07/2014 3.00,"3,2","4,3","6,2","0,2","22,1","0,2","13,9",,,
20/07/2014 4.00,"3,2","5,0","7,1","0,2","22,1","0,1","13,9",,,
20/07/2014 5.00,"3,0","5,5","7,6","0,2","22,1",,"13,9",,,
20/07/2014 6.00,"3,8","5,5","7,6","0,2","22,1","0,1","13,9",,,
20/07/2014 7.00,"3,3","4,0","6,3","0,2","22,1","0,2","13,9",,,
20/07/2014 8.00,"2,7","3,1","5,4","0,2","22,1","0,4","13,9",,,
20/07/2014 9.00,"2,9","3,1","5,2","0,1","22,1","0,4","13,9",,,
20/07/2014 10.00,"3,4","2,6","4,8","0,2","22,1","0,4","13,9",,,
20/07/2014 11.00,"3,4","2,4","4,6","0,1","22,1","0,4","13,9",,,
20/07/2014 12.00,"3,5","3,3","5,7","0,1","22,1","0,1","13,9",,,
20/07/2014 13.00,"3,6","1,3","3,2","0,1","22,1","0,1","13,9",,,
20/07/2014 14.00,"3,3","1,5","3,6","0,1","22,1","0,1","13,9",,,
20/07/2014 15.00,"3,2","1,0","3,0","0,1","22,1","0,1","13,9",,,
20/07/2014 16.00,"3,3","1,3","3,1","0,1","22,1","0,1","13,9",,,
20/07/2014 17.00,"3,5","1,9","3,8","0,1","22,1","0,1","13,9",,,
20/07/2014 18.00,"3,3","4,6","6,6","0,2","22,1","0,1","13,9",,,
20/07/2014 19.00,"3,7","11,7","13,8","0,2","22,1","0,2","13,9",,,
20/07/2014 20.00,"2,9","18,6","20,8","0,3","22,1","0,6","13,9",,,
20/07/2014 21.00,"3,4","30,7","33,0","0,3","22,1","0,9","13,9",,,
20/07/2014 22.00,"3,0","18,7","20,8","0,3","22,1","0,9","13,9",,,
20/07/2014 23.00,"3,1","13,8","16,0","0,2","22,1","0,7","13,9",,,
21/07/2014 0.00,"3,9","9,0","11,1","0,2","22,1","0,6","13,9",,,
21/07/2014 1.00,"3,5","7,5","9,5","0,2","26,0","0,3","12,8",,,
21/07/2014 2.00,"3,6",,,"0,2","26,0","0,4","12,8",,,
21/07/2014 3.00,,"6,9","8,9","0,2","26,0","0,3","12,8",,,
21/07/2014 4.00,"3,3","14,0","16,0",,"26,0","0,6","12,8",,,
21/07/2014 5.00,"3,4","48,8","59,6","0,4","26,0","0,8","12,8",,,
21/07/2014 6.00,"3,0","45,3","57,2","0,4","26,0","1,3","12,8",,,
21/07/2014 7.00,"3,7","31,8","40,6","0,3","26,0","1,3","12,8",,,
21/07/2014 8.00,"4,9","31,5","40,0","0,3","26,0","0,9","12,8",,,
21/07/2014 9.00,"4,7","16,4","20,7","0,3","26,0","0,9","12,8",,,
21/07/2014 10.00,"3,9","10,8","14,2","0,2","26,0","0,8","12,8",,,
21/07/2014 11.00,"3,9","5,7","8,2","0,2","26,0","0,4","12,8",,,
21/07/2014 12.00,"4,0","4,4","6,9","0,2","26,0","0,3","12,8",,,
21/07/2014 13.00,"3,3","1,5","3,6","0,1","26,0","0,6","12,8",,,
21/07/2014 14.00,"2,7","1,3","3,0","0,1","26,0",,"12,8",,,
21/07/2014 15.00,"2,4","3,2","5,3","0,1","26,0",,"12,8",,,
21/07/2014 16.00,"3,1","3,1","5,1","0,1","26,0","0,1","12,8",,,
21/07/2014 17.00,"2,8","3,6","5,8","0,2","26,0","0,1","12,8",,,
21/07/2014 18.00,"2,9","7,4","9,7","0,2","26,0","0,2","12,8",,,
21/07/2014 19.00,"3,2","19,0","21,5","0,2","26,0","0,2","12,8",,,
21/07/2014 20.00,"3,4","24,9","27,5","0,3","26,0","0,6","12,8",,,
21/07/2014 21.00,"3,6","17,0","19,0","0,2","26,0","0,7","12,8",,,
21/07/2014 22.00,"4,1","12,7","14,9","0,2","26,0","0,4","12,8",,,
21/07/2014 23.00,"6,8","8,6","10,6","0,1","26,0","0,1","12,8",,,
22/07/2014 0.00,"3,7","5,9","7,9","0,1","26,0",,"12,8",,,
22/07/2014 1.00,"3,2","4,6","6,5","0,1","13,6",,"4,8",,,
22/07/2014 2.00,"2,9","4,4","6,5","0,1","13,6","0,1","4,8",,,
22/07/2014 3.00,"2,6","3,4","5,2","0,1","13,6","0,1","4,8",,,
22/07/2014 4.00,"2,6","3,1","4,9","0,1","13,6","0,1","4,8",,,
22/07/2014 5.00,"2,9","6,9","9,1","0,1","13,6",,"4,8",,,
22/07/2014 6.00,"3,3","8,9","11,6","0,1","13,6","0,2","4,8",,,
22/07/2014 7.00,"2,8","5,5","7,9","0,1","13,6","0,1","4,8",,,
22/07/2014 8.00,"2,8","8,5","11,7","0,1","13,6","0,2","4,8",,,
22/07/2014 9.00,"3,2","9,5","12,9","0,1","13,6","0,2","4,8",,,
22/07/2014 10.00,"3,9","9,5","13,0","0,1","13,6","0,1","4,8",,,
22/07/2014 11.00,"4,1","7,2","9,7","0,1","13,6","0,2","4,8",,,
22/07/2014 12.00,"4,8","5,6","8,2","0,2","13,6","0,4","4,8",,,
22/07/2014 13.00,"2,9","3,8","5,8","0,1","13,6","1,7","4,8",,,
22/07/2014 14.00,"3,4","4,3","6,5","0,1","13,6","1,4","4,8",,,
22/07/2014 15.00,"3,4","3,9","6,1","0,1","13,6","0,1","4,8",,,
22/07/2014 16.00,"3,9","6,4","9,1","0,2","13,6","0,1","4,8",,,
22/07/2014 17.00,"3,4","7,6","10,0","0,2","13,6","0,2","4,8",,,
22/07/2014 18.00,"3,2","18,1","21,7","0,2","13,6","0,2","4,8",,,
22/07/2014 19.00,"3,3","19,7","22,2","0,2","13,6","0,6","4,8",,,
22/07/2014 20.00,"3,4","24,1","27,0","0,2","13,6","0,5","4,8",,,
22/07/2014 21.00,"3,1","23,2","25,7","0,2","13,6","0,7","4,8",,,
22/07/2014 22.00,"3,3","15,5","17,6","0,2","13,6","0,6","4,8",,,
22/07/2014 23.00,"3,4","15,7","18,0","0,2","13,6","0,4","4,8",,,
23/07/2014 0.00,"3,3","13,1","15,3","0,2","13,6","0,6","4,8",,,
23/07/2014 1.00,"3,2","6,2","8,2","0,1","7,4","0,3","1,1",,,
23/07/2014 2.00,"3,4",,,"0,1","7,4",,"1,1",,,
23/07/2014 3.00,,"2,5","4,5","0,1","7,4",,"1,1",,,
23/07/2014 4.00,"2,3","1,9","3,8",,"7,4","0,1","1,1",,,
23/07/2014 5.00,"2,1","2,8","4,8","0,1","7,4",,"1,1",,,
23/07/2014 6.00,"1,8","3,5","5,5","0,1","7,4","0,1","1,1",,,
23/07/2014 7.00,"2,0","5,2","7,7","0,1","7,4",,"1,1",,,
23/07/2014 8.00,"1,9","5,0","7,1","0,2","7,4",,"1,1",,,
23/07/2014 9.00,"1,9","5,9","8,7","0,2","7,4",,"1,1",,,
23/07/2014 10.00,"2,0","3,3","5,7","0,1","7,4","0,2","1,1",,,
23/07/2014 11.00,"1,8","2,3","4,7","0,1","7,4","0,1","1,1",,,
23/07/2014 12.00,"1,9","2,3","4,2","0,1","7,4",,"1,1",,,
23/07/2014 13.00,"2,1","7,9","10,3","0,1","7,4",,"1,1",,,
23/07/2014 14.00,"2,2","6,1","8,6","0,1","7,4",,"1,1",,,
23/07/2014 15.00,"2,6","6,0","8,5","0,1","7,4","0,1","1,1",,,
23/07/2014 16.00,"2,7","5,7","8,5","0,1","7,4",,"1,1",,,
23/07/2014 17.00,"2,4","3,9","6,2","0,1","7,4","0,1","1,1",,,
23/07/2014 18.00,"2,7","4,0","6,3","0,1","7,4",,"1,1",,,
23/07/2014 19.00,"2,2","7,4","9,5","0,2","7,4","0,1","1,1",,,
23/07/2014 20.00,"2,4","10,1","12,2","0,2","7,4","0,1","1,1",,,
23/07/2014 21.00,"1,7","17,9","20,1","0,3","7,4","0,2","1,1",,,
23/07/2014 22.00,"2,0","27,3","29,8","0,2","7,4","0,7","1,1",,,
23/07/2014 23.00,"1,8","22,2","24,7","0,2","7,4","0,5","1,1",,,
24/07/2014 0.00,"1,9","16,2","18,6","0,2","7,4","0,4","1,1",,,
24/07/2014 1.00,"2,0","11,8","13,9","0,2",,"0,4",,,,
24/07/2014 2.00,"1,8","8,4","10,3","0,2",,"0,3",,,,
24/07/2014 3.00,"2,0","9,8","11,8","0,2",,"0,2",,,,
24/07/2014 4.00,"2,0","9,6","11,5","0,2",,"0,4",,,,
24/07/2014 5.00,"1,8","27,2","32,9","0,2",,"0,3",,,,
24/07/2014 6.00,"1,8","17,4","23,2","0,2",,"0,5",,,,
24/07/2014 7.00,"1,5","5,4","8,1","0,2",,"0,4",,,,
24/07/2014 8.00,"1,9","3,5","5,0","0,1",,"0,4",,,,
24/07/2014 9.00,,"3,9","6,0","0,2",,"0,6",,,,
24/07/2014 10.00,,"4,7","7,1","0,2",,"0,2",,,,
24/07/2014 11.00,,"8,8","12,0","0,1",,,,,,
24/07/2014 12.00,,"11,8","15,5",,,,,,,
24/07/2014 13.00,,"11,5","14,7",,,,,,,
24/07/2014 14.00,,"12,6","16,1",,,,,,,
24/07/2014 15.00,,"15,1","18,6",,,,,,,
24/07/2014 16.00,,"15,6","18,8",,,,,,,
24/07/2014 17.00,,"15,9","19,0",,,,,,,
24/07/2014 18.00,,"19,6","23,1",,,,,,,
24/07/2014 19.00,,"21,6","24,5",,,,,,,
24/07/2014 20.00,,"33,8","37,2",,,,,,,
24/07/2014 21.00,,"44,1","47,6",,,,,,,
24/07/2014 22.00,,"35,6","38,9",,,,,,,
24/07/2014 23.00,,"29,1","32,1",,,,,,,
25/07/2014 0.00,,"24,5","27,4",,,,,,,
25/07/2014 1.00,,"23,6","26,8",,"15,0",,,,,
25/07/2014 2.00,,,,,"15,0",,,,,
25/07/2014 3.00,,,,,"15,0",,,,,
25/07/2014 4.00,,,,,"15,0",,,,,
25/07/2014 5.00,,,,,"15,0",,,,,
25/07/2014 6.00,,,,,"15,0",,,,,
25/07/2014 7.00,,,,,"15,0",,,,,
25/07/2014 8.00,,,,,"15,0",,,,,
25/07/2014 9.00,,,,,"15,0",,,,,
