,BAT,,,,
,Andria,,,,
Parm,O3,NO2,CO,Benzene,PM10
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,,
08/01/2010 13.00,"60,5755017",,"0,54627782",,
08/01/2010 14.00,"61,23028065",,"0,5982543",,"22,95482063"
08/01/2010 15.00,"63,3161529",,"0,45243358",,
08/01/2010 16.00,"59,7384396",,"0,47162812",,"26,37360954"
08/01/2010 17.00,"55,3601328",,"0,52976744",,
08/01/2010 18.00,"52,9259136",,"0,62124208",,"22,95482063"
08/01/2010 19.00,"54,0437919",,"0,61752806",,
08/01/2010 20.00,"40,11364455",,"0,7308045",,"23,93161964"
08/01/2010 21.00,"27,6874878",,"0,83732744",,
08/01/2010 22.00,"23,80463925",,"0,88697392",,"24,90842056"
08/01/2010 23.00,"21,405552",,"0,96304492",,
09/01/2010 0.00,"36,695232",,"0,53667939",,"20,51280975"
09/01/2010 1.00,"54,92404575",,"0,37458595",,
09/01/2010 2.00,"61,21543785",,"0,32260714",,"26,86202049"
09/01/2010 3.00,"66,42673695",,"0,29819806",,
09/01/2010 4.00,"68,1616089",,"0,2966591",,"39,56044006"
09/01/2010 5.00,"67,38126465",,"0,32628155",,
09/01/2010 6.00,"59,0512419",,"0,35448154",,"42,49084091"
09/01/2010 7.00,"46,69259595",,"0,46941578",,
09/01/2010 8.00,"42,8853579",,"0,69727231",,"41,02563095"
09/01/2010 9.00,"36,53457465",,"0,99084998",,
09/01/2010 10.00,"56,33893965",,"0,60247975",,"32,72283173"
09/01/2010 11.00,"77,8794933",,"0,36064323",,
09/01/2010 12.00,"75,21040275",,"0,39761217",,"22,46640968"
09/01/2010 13.00,"67,605363",,"0,48825733",,
09/01/2010 14.00,"73,1515029",,"0,42747112",,"15,62880993"
09/01/2010 15.00,"83,8171719",,"0,29815962",,
09/01/2010 16.00,"75,1847271",,"0,38058803",,"9,27960968"
09/01/2010 17.00,"57,5351217",,"0,54398627",,
09/01/2010 18.00,"59,0539551",,"0,5802434",,"8,79120922"
09/01/2010 19.00,"66,1432275",,"0,48446409",,
09/01/2010 20.00,"60,1191654",,"0,53075536",,"11,23320961"
09/01/2010 21.00,"29,8449207",,"0,90652495",,
09/01/2010 22.00,"38,778411",,"0,76481202",,"6,83760691"
09/01/2010 23.00,"59,52244095",,"0,50587213",,
10/01/2010 0.00,"65,5424532",,"0,41893983",,"13,67521"
10/01/2010 1.00,"68,18185815",,"0,36249907",,
10/01/2010 2.00,,,"0,32422649",,"6,83760691"
10/01/2010 3.00,"67,3150905",,"0,32450376",,
10/01/2010 4.00,"64,4677866",,,,"5,37240601"
10/01/2010 5.00,"69,87349845",,"0,2786482",,
10/01/2010 6.00,"67,425813",,"0,31320792",,"2,93040299"
10/01/2010 7.00,"66,0122757",,"0,29890988",,
10/01/2010 8.00,"63,5740266",,"0,33560272",,"1,95360196"
10/01/2010 9.00,"63,4336185",,"0,37154413",,
10/01/2010 10.00,"66,299835",,"0,3852888",,"3,41880298"
10/01/2010 11.00,"71,5894578",,"0,37241322",,
10/01/2010 12.00,"76,83317565",,"0,36941102",,"4,88400507"
10/01/2010 13.00,"72,1713594",,"0,52364537",,
10/01/2010 14.00,"71,76902775",,"0,47905383",,"3,41880298"
10/01/2010 15.00,"78,0874122",,"0,38473543",,
10/01/2010 16.00,"78,9555165",,"0,38453854",,"1,95360196"
10/01/2010 17.00,"70,0382256",,"0,50184356",,
10/01/2010 18.00,"61,6083132",,"0,52838575",,"2,93040299"
10/01/2010 19.00,"54,4096749",,"0,52028784",,
10/01/2010 20.00,"49,52912685",,"0,541379",,"8,30280876"
10/01/2010 21.00,"42,694995",,"0,61132793",,
10/01/2010 22.00,"42,56944965",,"0,58747222",,"11,72161007"
10/01/2010 23.00,"49,19835585",,"0,50259382",,
11/01/2010 0.00,"53,5645131",,"0,4492741",,"15,62880993"
11/01/2010 1.00,"63,6145251","0,94874396","0,3584705",,
11/01/2010 2.00,"63,9371964","0,73329789","0,36423725",,"16,60560989"
11/01/2010 3.00,"64,9875639",,"0,3293222",,
11/01/2010 4.00,"68,86095615",,"0,31316831",,"11,72161007"
11/01/2010 5.00,"70,0112133","0,8332343","0,31368208",,
11/01/2010 6.00,"64,9024971","0,86827553","0,34251466",,"5,37240601"
11/01/2010 7.00,"51,77565645","1,47827618","0,4206384",,
11/01/2010 8.00,"42,66528945","1,71448849","0,56673639",,"6,34920597"
11/01/2010 9.00,"25,2559818","1,62623439","0,88701353",,
11/01/2010 10.00,"37,37837985","1,04868038","0,65639362",,"9,76801014"
11/01/2010 11.00,"46,9018515","0,75536237","0,54465731",,
11/01/2010 12.00,"53,3674071","1,36536111","0,51700953",,"20,51280975"
11/01/2010 13.00,"53,2364553","1,40300074","0,50255421",,
11/01/2010 14.00,"54,58653165","1,39780775","0,59497599",,"13,18680954"
11/01/2010 15.00,"52,20498045","1,50942458","0,52696329",,
11/01/2010 16.00,"46,57377375","1,100595","0,58071755",,"12,69841003"
11/01/2010 17.00,"40,3742115","1,48087268","0,63332779",,
11/01/2010 18.00,"34,22999055","2,72942589","0,7582554",,"11,23320961"
11/01/2010 19.00,"28,7850969","0,24919096","0,77037955",,
11/01/2010 20.00,"20,05411905","41,78368168","0,86572548",,"10,25640965"
11/01/2010 21.00,"22,8069198","73,18570048","1,04555255",,
11/01/2010 22.00,"24,54179175","63,98377984","0,97023297",,"17,58241081"
11/01/2010 23.00,"31,40020275","48,19905352","0,62440156",,
12/01/2010 0.00,"40,44305895","31,83808864","0,4856885",,"30,28083038"
12/01/2010 1.00,"46,10530785",,"0,43367242",,
12/01/2010 2.00,,,"0,36040673",,"19,53602028"
12/01/2010 3.00,"50,6955834",,"0,57984846",,
