,Comune Bari,,
,Piazza Kennedy,,
Parm,NO2,O3,PM10
,,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,,
,,,,,,,,
10/01/2009 13.00,"25,08784912","33,06283575",
10/01/2009 14.00,"21,68095192","36,56334255","32,45998001"
10/01/2009 15.00,"18,52063198","41,59948065",
10/01/2009 16.00,"16,29866236","43,300677","32,45552063"
10/01/2009 17.00,"21,08067952","35,37923025",
10/01/2009 18.00,"26,458734","27,45975855","32,4263916"
10/01/2009 19.00,"35,50490312","17,80543485",
10/01/2009 20.00,"35,98024544","15,2979014","32,4654007"
10/01/2009 21.00,"37,85404368","11,7617619",
10/01/2009 22.00,"35,49840232","13,59057641","32,46371078"
10/01/2009 23.00,"33,53699624","14,21260344",
11/01/2009 0.00,"27,93669088","18,10835565","32,51255035"
11/01/2009 1.00,"21,51871872","26,48137065",
11/01/2009 2.00,"19,76820624","28,19355945","32,54713058"
11/01/2009 3.00,,"30,11470455",
11/01/2009 4.00,"12,98682598","34,90785165","22,33245087"
11/01/2009 5.00,"14,72111322","30,77560815",
11/01/2009 6.00,"14,95473094",,"7,38129187"
11/01/2009 7.00,"24,46488128","19,75116833",
11/01/2009 8.00,"23,2546044","20,9800983","7,44132423"
11/01/2009 9.00,"17,8570915","28,58310315",
11/01/2009 10.00,"20,35387096","28,7515809","7,42911386"
11/01/2009 11.00,"18,23185306","36,23105535",
11/01/2009 12.00,"16,73119118","42,2265291","7,41419077"
11/01/2009 13.00,"17,79382342","45,01328475",
11/01/2009 14.00,"18,3924687","43,44904515","7,38468313"
11/01/2009 15.00,"13,8807376","46,98502305",
11/01/2009 16.00,"15,46090235","42,53936505","7,39417982"
11/01/2009 17.00,"19,64815176","40,79705175",
11/01/2009 18.00,"32,40136384","25,3343055","7,39587593"
11/01/2009 19.00,"44,36287408","13,82789762",
11/01/2009 20.00,"38,23529648","20,9496147","7,36874199"
11/01/2009 21.00,"46,52490632","16,77028122",
11/01/2009 22.00,"34,65641488","23,5277931","7,37382984"
11/01/2009 23.00,"44,10492616","14,82741057",
12/01/2009 0.00,"36,4409992","19,7078489","7,42741823"
12/01/2009 1.00,"27,36400864","27,71356245",
12/01/2009 2.00,"24,68550696","31,6875426","7,52577686"
12/01/2009 3.00,,"31,21905675",
12/01/2009 4.00,"20,1624224","30,46662255","13,70370007"
12/01/2009 5.00,"17,40122098","33,31113345",
12/01/2009 6.00,"26,12128512",,"22,58749962"
12/01/2009 7.00,"45,7142948","8,80824221",
12/01/2009 8.00,"57,00578288","3,98715713","22,64245033"
12/01/2009 9.00,"76,60041776","4,52496723",
12/01/2009 10.00,"53,83409992","14,98824747","22,59053993"
12/01/2009 11.00,"40,68179608","22,37673795",
12/01/2009 12.00,"36,26578352","27,86207025","22,60919952"
12/01/2009 13.00,"30,86176408","36,5086596",
12/01/2009 14.00,"24,53300584","44,73745605","22,62244034"
12/01/2009 15.00,"32,46788232","34,8279918",
12/01/2009 16.00,"40,342722","26,4039048","22,59494972"
12/01/2009 17.00,"55,50348624","10,54811961",
12/01/2009 18.00,"75,94821544","3,24126653","22,62413025"
12/01/2009 19.00,"74,69740416","3,06999777",
12/01/2009 20.00,"73,10912488","4,02237087","22,62343979"
12/01/2009 21.00,"66,25961432","3,66703344",
12/01/2009 22.00,"58,49345272","3,29408615","22,6414299"
12/01/2009 23.00,"45,48066752","4,47054563",
13/01/2009 0.00,"43,55008288","3,63566007","22,64278984"
13/01/2009 1.00,"39,1957132","2,62742498",
13/01/2009 2.00,"34,08698304","2,46336216","22,68041992"
13/01/2009 3.00,,"3,62701574",
13/01/2009 4.00,"27,00382608","7,48612379","32,19067001"
13/01/2009 5.00,"20,25003024","15,55487136",
13/01/2009 6.00,"23,99277024",,"45,93508148"
13/01/2009 7.00,"39,82680704","2,65566021",
13/01/2009 8.00,"52,33667888","2,4378501","45,96186066"
13/01/2009 9.00,"69,47670728","4,0286651",
13/01/2009 10.00,"59,41658544","3,94153946","45,97544098"
13/01/2009 11.00,"54,86428552","7,56846941",
13/01/2009 12.00,"46,2143784","14,99495067","45,98968124"
13/01/2009 13.00,"36,93255528","23,9509326",
13/01/2009 14.00,"29,20048464","35,623917","45,93677139"
13/01/2009 15.00,"19,70656336","47,93899215",
13/01/2009 16.00,"22,9366388","44,244312","45,94831085"
13/01/2009 17.00,"22,90256696","45,82868115",
13/01/2009 18.00,"19,64002576","49,53626895","45,95882034"
13/01/2009 19.00,"20,08942224","46,29654855",
13/01/2009 20.00,"17,09946341","49,02642675","45,96289063"
13/01/2009 21.00,"19,03978204","43,5166557",
13/01/2009 22.00,"21,64200448","37,9633338","45,94152069"
13/01/2009 23.00,"19,08521116","40,11723555",
14/01/2009 0.00,"7,63148797","59,05050375","45,94152069"
14/01/2009 1.00,"5,97345702","68,5889379",
14/01/2009 2.00,"7,8456377","63,3615192",
14/01/2009 3.00,,"70,34431845",
14/01/2009 4.00,"7,48223342","61,4431671",
14/01/2009 5.00,"7,41247219","57,7049361",
14/01/2009 6.00,"14,07379798",,
14/01/2009 7.00,"18,93108675","43,8941097",
14/01/2009 8.00,"22,64622512","40,98637725",
14/01/2009 9.00,"32,34457744","31,5127806",
14/01/2009 10.00,"14,97906306","49,6618542",
14/01/2009 11.00,"10,99946067","54,6561771",
14/01/2009 12.00,"7,43680813","58,83923325",
14/01/2009 13.00,"8,36965381","57,97037085",
14/01/2009 14.00,"11,20874819","55,32264675",
14/01/2009 15.00,"9,15486632","57,0439128",
14/01/2009 16.00,"10,83074197","55,849227",
14/01/2009 17.00,"14,29929734","50,68870065",
14/01/2009 18.00,"19,28636312","43,72295865",
14/01/2009 19.00,"19,29447","40,87282185",
14/01/2009 20.00,"28,20112048","24,5421309",
14/01/2009 21.00,"39,99229064","4,24558743",
14/01/2009 22.00,"42,59939824","4,46609478",
14/01/2009 23.00,"46,4686744","2,64115058",
15/01/2009 0.00,"52,4940556","2,90279682",
15/01/2009 1.00,"33,86796344","16,03779303",
15/01/2009 2.00,"33,890678","17,09095952",
15/01/2009 3.00,,"29,9099976",
15/01/2009 4.00,"8,2252653","42,04448535",
15/01/2009 5.00,"8,23986534","43,2506823",
15/01/2009 6.00,"11,55430395",,
15/01/2009 7.00,"29,95000776","19,1819669",
15/01/2009 8.00,"47,89472048","7,33011678",
15/01/2009 9.00,"45,24218376","10,39070414",
15/01/2009 10.00,"38,57924616","18,78331802",
15/01/2009 11.00,"36,57564224","20,15821815",
15/01/2009 12.00,"37,60259656","20,96363955",
15/01/2009 13.00,"40,03286328","26,35097745",
15/01/2009 14.00,"47,07867888","26,31682305",
15/01/2009 15.00,"32,9691896","38,40460785",
15/01/2009 16.00,"32,7436692","36,7156608",
15/01/2009 17.00,"51,00636664","15,38267094",
15/01/2009 18.00,"66,34882824","4,49407067",
15/01/2009 19.00,"82,4797604","2,65218293",
15/01/2009 20.00,"107,07985832","3,30953543",
15/01/2009 21.00,"83,84739488","3,31441719",
15/01/2009 22.00,"61,4380092","4,77881303",
15/01/2009 23.00,"55,17576944","3,44946672",
16/01/2009 0.00,"42,75027416","3,31441719",
16/01/2009 1.00,"39,75380688","2,31534513",
16/01/2009 2.00,"42,18084232","2,26818533",
16/01/2009 3.00,,"5,16769239",
16/01/2009 4.00,"29,59959552","17,34984069",
16/01/2009 5.00,"19,82984912","25,3307943",
16/01/2009 6.00,"22,04922224",,
16/01/2009 7.00,"38,2320652","11,74759541",
16/01/2009 8.00,"48,59556408","7,50683588",
16/01/2009 9.00,"46,45246064","16,4046855",
16/01/2009 10.00,"30,40751112","35,6591088",
16/01/2009 11.00,"19,74386648","47,7520008",
16/01/2009 12.00,"18,72342826","49,75591845",
16/01/2009 13.00,"14,02837077","55,89816435",
16/01/2009 14.00,"15,04395825","58,42742535",
16/01/2009 15.00,"12,24379218","63,66106845",
16/01/2009 16.00,"15,22890218","62,83011105",
16/01/2009 17.00,"18,18318118","59,53760295",
16/01/2009 18.00,"24,59791824","51,90521175",
16/01/2009 19.00,"38,04386704","21,72090165",
16/01/2009 20.00,"41,66007088","11,39902103",
16/01/2009 21.00,"40,44331232","12,50588693",
16/01/2009 22.00,"35,31670496","18,10461702",
16/01/2009 23.00,"23,50121416","30,622053",
17/01/2009 0.00,"20,14458344","36,48677445",
17/01/2009 1.00,"22,77763688","35,72025555",
17/01/2009 2.00,"18,59526307","41,4940848",
17/01/2009 3.00,,"45,46722705",
17/01/2009 4.00,"12,02153939","49,01413755",
17/01/2009 5.00,"18,94892762","41,65434315",
17/01/2009 6.00,"13,07443573",,
17/01/2009 7.00,"27,20825712","32,85076725",
17/01/2009 8.00,"30,66058344","27,613194",
17/01/2009 9.00,"28,54181976","34,2565839",
17/01/2009 10.00,"26,6745032","39,19965525",
17/01/2009 11.00,"14,4209732","54,71876025",
17/01/2009 12.00,"12,28597473","60,35986215",
17/01/2009 13.00,"13,69091998","63,2495598",
17/01/2009 14.00,"19,82499264","61,0269702",
17/01/2009 15.00,"17,12054894","64,64396505",
17/01/2009 16.00,"17,60887757","66,08068425",
17/01/2009 17.00,"27,39645528","56,4841557",
17/01/2009 18.00,"68,57955864","15,97794104",
17/01/2009 19.00,"99,97670184","4,56884726",
17/01/2009 20.00,"72,16329672","3,76018598",
17/01/2009 21.00,"52,5410908","8,40550557",
17/01/2009 22.00,"45,69320544","10,46375505",
17/01/2009 23.00,"39,59644928","12,39998435",
18/01/2009 0.00,"35,90562008","15,0700325",
18/01/2009 1.00,"36,66973176","13,44619826",
18/01/2009 2.00,"25,30361832","24,59170665",
18/01/2009 3.00,,"30,9210636",
18/01/2009 4.00,"9,36576948","46,16519775",
18/01/2009 5.00,"9,63832317","43,09976055",
18/01/2009 6.00,"10,48031061",,
18/01/2009 7.00,"11,03352678","41,3218764",
18/01/2009 8.00,"10,80802741","43,61375235",
18/01/2009 9.00,"12,56664868","47,7727488",
18/01/2009 10.00,"15,21755064","47,43357885",
18/01/2009 11.00,"14,51507419","53,2319466",
18/01/2009 12.00,"10,707439","60,92811795",
18/01/2009 13.00,"10,73664098","66,2887827",
18/01/2009 14.00,"14,0802873","64,85292135",
18/01/2009 15.00,"9,77784372","66,7361814",
18/01/2009 16.00,"15,72858426","58,368114",
18/01/2009 17.00,"19,07384814","51,16295205",
18/01/2009 18.00,"22,81170872","45,4695612",
18/01/2009 19.00,"20,32142432","46,02678465",
18/01/2009 20.00,"21,7344688","46,30620435",
18/01/2009 21.00,"26,4035728","43,01130225",
18/01/2009 22.00,"23,93925336","44,18875125",
18/01/2009 23.00,"13,62116257","55,4576085",
19/01/2009 0.00,"12,33789318","57,42485805",
19/01/2009 1.00,"8,9942545","58,84457985",
19/01/2009 2.00,"9,7437757","57,560538",
19/01/2009 3.00,,"54,42717105",
19/01/2009 4.00,"7,93811158","52,76194455",
19/01/2009 5.00,"9,20191299","49,64471715",
19/01/2009 6.00,"19,90772488",,
19/01/2009 7.00,"30,6881736","22,1564301",
19/01/2009 8.00,"47,8298272","9,67675149",
19/01/2009 9.00,"66,32936408","9,06079524",
19/01/2009 10.00,"51,71046064","21,3537219",
19/01/2009 11.00,"29,0025544","43,0219755",
19/01/2009 12.00,"20,30681664","53,61939555",
19/01/2009 13.00,"22,04272144","53,25570705",
19/01/2009 14.00,"23,75753688","52,41369735",
19/01/2009 15.00,"35,5762972","41,6442684",
19/01/2009 16.00,"44,92259296","30,5652354",
19/01/2009 17.00,"77,5965124","8,47432509",
19/01/2009 18.00,"58,06516472","19,89082431",
19/01/2009 19.00,"40,37679384","34,28553135",
19/01/2009 20.00,"43,98974728","27,6820215",
19/01/2009 21.00,"37,05911056","32,3148105",
19/01/2009 22.00,"48,13481032","18,41645348",
19/01/2009 23.00,"41,84014304","20,46580725",
20/01/2009 0.00,"21,60470136","39,86191545",
20/01/2009 1.00,"16,10009925","44,41115385",
20/01/2009 2.00,"10,54682526","49,8827007",
20/01/2009 3.00,,"50,3397552",
20/01/2009 4.00,"8,39561112","51,5241468",
20/01/2009 5.00,"9,48420067","53,18855535",
20/01/2009 6.00,"16,31586462",,
20/01/2009 7.00,"21,86913096","45,4080753",
20/01/2009 8.00,"28,42664088","44,9047368",
20/01/2009 9.00,"38,30181496","37,6179195",
20/01/2009 10.00,"26,0255704","51,09879285",
20/01/2009 11.00,"14,10137475","61,2235176",
20/01/2009 12.00,"10,73664098","65,3313423",
20/01/2009 13.00,"12,30058241","64,74854295",
20/01/2009 14.00,"13,42648273","67,9722036",
20/01/2009 15.00,"13,32913898","70,5932346",
20/01/2009 16.00,"16,60627066","65,55651795",
20/01/2009 17.00,"29,657988","47,72608575",
20/01/2009 18.00,"27,07036368","47,60522865",
20/01/2009 19.00,"27,93506568","40,6445739",
20/01/2009 20.00,"34,25894832","28,89559995",
20/01/2009 21.00,"25,28577936","40,67603505",
20/01/2009 22.00,"16,37751706","49,75599825",
20/01/2009 23.00,"12,40116126","51,1550718",
21/01/2009 0.00,"12,76294225","47,32540995",
21/01/2009 1.00,"8,17335068","53,10552345",
21/01/2009 2.00,"5,23042514","54,96821505",
21/01/2009 3.00,,"53,9118426",
21/01/2009 4.00,"5,41861565","49,5473811",
21/01/2009 5.00,"7,40598286","51,9399048",
21/01/2009 6.00,"3,49289896",,
21/01/2009 7.00,"6,84465408","59,47104975",
21/01/2009 8.00,"14,45666642","53,35868895",
21/01/2009 9.00,"24,5573456","50,7580269",
21/01/2009 10.00,"23,0388352","50,87212095",
21/01/2009 11.00,"15,64097451","56,07847245",
21/01/2009 12.00,"21,22505464","46,87047015",
21/01/2009 13.00,"13,91155713","58,7915328",
21/01/2009 14.00,"25,41556592","46,3033515",
21/01/2009 15.00,"13,48975081","71,9474805",
21/01/2009 16.00,"18,90998974","62,58177345",
21/01/2009 17.00,"18,78831389","61,1237277",
21/01/2009 18.00,"19,22957672","59,53145835",
21/01/2009 19.00,"12,88137535","66,22603995",
21/01/2009 20.00,"12,45795148","67,50287985",
21/01/2009 21.00,"11,77980332","68,71595955",
21/01/2009 22.00,"9,94007883","68,58173595",
21/01/2009 23.00,"7,86672706","68,0397942",
22/01/2009 0.00,"9,32196556","64,303239",
22/01/2009 1.00,"20,40578176","45,2865798",
22/01/2009 2.00,"20,77080168","28,1289813",
22/01/2009 3.00,,"11,44468658",
22/01/2009 4.00,"35,50490312","7,17780053",
22/01/2009 5.00,"35,63954616","6,70297257",
22/01/2009 6.00,"28,38769344",,
22/01/2009 7.00,"26,65503904","16,04150772",
22/01/2009 8.00,"33,8874276","10,76509182",
22/01/2009 9.00,"37,76806104","8,97342023",
22/01/2009 10.00,"35,25506208","13,02976196",
22/01/2009 11.00,"31,47825024","16,71505962",
22/01/2009 12.00,"26,39221552","22,6733745",
22/01/2009 13.00,"27,4807936","19,64492061",
22/01/2009 14.00,"30,959104","14,43368735",
22/01/2009 15.00,"26,85620056","18,86941823",
22/01/2009 16.00,"27,96588712","16,43761896",
22/01/2009 17.00,"34,8640772","9,66368424",
22/01/2009 18.00,"37,66098904","10,96732098",
22/01/2009 19.00,"40,36868696","9,38958521",
22/01/2009 20.00,"47,29282288","4,61623848",
22/01/2009 21.00,"48,03423912","3,70201577",
22/01/2009 22.00,"44,75385896","3,41788787",
22/01/2009 23.00,"35,2972408","8,32995492",
23/01/2009 0.00,"28,14920968","12,89772089",
23/01/2009 1.00,"19,58811496","20,40703455",
23/01/2009 2.00,"12,72563339","32,57605575",
23/01/2009 3.00,,"42,7545258",
23/01/2009 4.00,"4,63016038","62,65682535",
23/01/2009 5.00,"4,41763202","63,05796",
23/01/2009 6.00,"5,3877923",,
23/01/2009 7.00,"10,39432797","58,8247296",
23/01/2009 8.00,"17,91225461","49,93506945",
23/01/2009 9.00,"22,67706568","41,3377566",
23/01/2009 10.00,"23,71858944","35,27987925",
23/01/2009 11.00,"22,40451008","33,3608688",
23/01/2009 12.00,"24,51025304","33,98296965",
23/01/2009 13.00,"21,23318064","35,6045256",
23/01/2009 14.00,,"33,1839123",
23/01/2009 15.00,,,
