"NetC","SIMAGE Brindisi","","",""
"Stat","S. Pancrazio S.","","",""
Parm,SO2,NOX,NO2,PM10
,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,,,
13/01/2011 6.00,"0,4","16,3","6,9","39,4"
13/01/2011 7.00,"0,3","17,2","7,7","39,4"
13/01/2011 8.00,"0,2","20,1","9,6","39,4"
13/01/2011 9.00,"0,2","20,5",10,"39,4"
13/01/2011 10.00,"0,3","20,8","10,5","39,4"
13/01/2011 11.00,"0,2","19,9","10,3","39,4"
13/01/2011 12.00,"0,4",19,"9,7","39,4"
13/01/2011 13.00,"0,3","17,9","9,1","39,4"
13/01/2011 14.00,"0,5","17,5","9,6","39,4"
13/01/2011 15.00,"0,2","15,7","9,5","39,4"
13/01/2011 16.00,"0,8","17,9","10,2","39,4"
13/01/2011 17.00,,,,"39,4"
13/01/2011 18.00,"0,5","22,2","14,4","39,4"
13/01/2011 19.00,"0,4","21,8","13,4","39,4"
13/01/2011 20.00,"0,5","25,7","16,6","39,4"
13/01/2011 21.00,"0,7","34,9","24,4","39,4"
13/01/2011 22.00,"0,8",38,"26,2","39,4"
13/01/2011 23.00,"0,9","38,5","26,3","39,4"
14/01/2011 0.00,"0,6",29,"18,7","39,4"
14/01/2011 1.00,,"30,1","20,2","52,6"
14/01/2011 2.00,"0,8",,,"52,6"
14/01/2011 3.00,"0,7","26,5","16,1","52,6"
14/01/2011 4.00,"0,4","22,2","11,7","52,6"
14/01/2011 5.00,"0,5","20,3","9,4","52,6"
14/01/2011 6.00,"0,5","20,5","9,4","52,6"
14/01/2011 7.00,"0,6","23,2","11,3","52,6"
14/01/2011 8.00,"0,4","35,9","20,6","52,6"
14/01/2011 9.00,"0,6","37,7","22,9","52,6"
14/01/2011 10.00,"0,6","26,7","13,8","52,6"
14/01/2011 11.00,"0,5",20,"10,4","52,6"
14/01/2011 12.00,"0,5","18,4",10,"52,6"
14/01/2011 13.00,"0,4","18,3","9,8","52,6"
14/01/2011 14.00,"0,5","15,6","8,3","52,6"
14/01/2011 15.00,"0,6","14,4","7,8","52,6"
14/01/2011 16.00,"0,7","13,7","7,9","52,6"
14/01/2011 17.00,"0,7","16,4","10,5","52,6"
14/01/2011 18.00,"0,6","18,8","12,7","52,6"
14/01/2011 19.00,"0,8","25,3","17,5","52,6"
14/01/2011 20.00,"0,6","24,3","16,1","52,6"
14/01/2011 21.00,"0,7","28,4","18,5","52,6"
14/01/2011 22.00,"0,8","32,2","22,2","52,6"
14/01/2011 23.00,"0,9","37,1","26,1","52,6"
15/01/2011 0.00,"0,9","37,3","27,6","52,6"
15/01/2011 1.00,1,"39,4","27,8","48,2"
15/01/2011 2.00,"0,8","33,6","21,9","48,2"
15/01/2011 3.00,"0,8",27,"15,3","48,2"
15/01/2011 4.00,"0,7","27,8",16,"48,2"
15/01/2011 5.00,"0,6","22,8","12,1","48,2"
15/01/2011 6.00,"0,6","21,9","10,7","48,2"
15/01/2011 7.00,"0,6","27,6","14,9","48,2"
15/01/2011 8.00,"0,7","41,9","20,5","48,2"
15/01/2011 9.00,"1,4","71,9","29,4","48,2"
15/01/2011 10.00,"1,3","69,7","30,6","48,2"
15/01/2011 11.00,"1,2","49,3","27,9","48,2"
15/01/2011 12.00,"0,7","25,9","15,8","48,2"
15/01/2011 13.00,"0,6","18,2","10,6","48,2"
15/01/2011 14.00,"0,6","17,4","10,7","48,2"
15/01/2011 15.00,"0,3","14,5","9,2","48,2"
15/01/2011 16.00,"0,5","13,7",8,"48,2"
15/01/2011 17.00,"0,4","13,5","8,1","48,2"
15/01/2011 18.00,"0,6","14,6","8,8","48,2"
15/01/2011 19.00,"0,5","15,2","8,7","48,2"
15/01/2011 20.00,"0,6","14,6","7,5","48,2"
15/01/2011 21.00,"0,5","14,1",7,"48,2"
15/01/2011 22.00,"0,6","15,1","7,6","48,2"
15/01/2011 23.00,"0,6","16,7","8,6","48,2"
16/01/2011 0.00,"0,5","19,8","11,6","48,2"
16/01/2011 1.00,,"20,2","11,6",27
16/01/2011 2.00,"0,4",,,27
16/01/2011 3.00,"0,6","19,2","11,5",27
16/01/2011 4.00,"0,6","18,6","10,6",27
16/01/2011 5.00,"0,5","19,5",11,27
16/01/2011 6.00,"0,5","19,3","10,6",27
16/01/2011 7.00,"0,5","19,7","10,8",27
16/01/2011 8.00,"0,3","24,4","13,2",27
16/01/2011 9.00,"0,5","20,4","10,6",27
16/01/2011 10.00,"0,6","20,8","10,8",27
16/01/2011 11.00,"0,7","17,7","9,3",27
16/01/2011 12.00,"0,6","14,2","7,2",27
16/01/2011 13.00,"0,5","13,1","6,6",27
16/01/2011 14.00,"0,4","13,5","7,4",27
16/01/2011 15.00,"0,5",14,8,27
16/01/2011 16.00,"0,5","14,5","8,6",27
16/01/2011 17.00,"0,5","14,1","8,7",27
16/01/2011 18.00,"0,5","14,1","8,2",27
