, Brindisi,
,S. Pietro  Vernotico,
Parm,SO2,NO2
,,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,,,,
,,,,,,,,,
09/01/2008 8.00,"0,744555","31,251448"
09/01/2008 9.00,"0,5544","24,26112"
09/01/2008 10.00,"0,423114","19,526472"
09/01/2008 11.00,"0,702707","14,621826"
09/01/2008 12.00,"0,719817","12,10395"
09/01/2008 13.00,"0,929654","9,70419"
09/01/2008 14.00,"1,044668","6,637317"
09/01/2008 15.00,"0,58883","7,495212"
09/01/2008 16.00,"0,458201","12,446589"
09/01/2008 17.00,"0,678867","33,679765"
09/01/2008 18.00,"1,584113","49,037503"
09/01/2008 19.00,"2,78367","58,890935"
09/01/2008 20.00,"3,009809","60,746898"
09/01/2008 21.00,"2,103456","49,612439"
09/01/2008 22.00,"2,033461","45,294419"
09/01/2008 23.00,"1,365481","39,309934"
10/01/2008 0.00,"1,236588","32,640172"
10/01/2008 1.00,,"22,832147"
10/01/2008 2.00,"0,275822",
10/01/2008 3.00,"0,303178","14,954081"
10/01/2008 4.00,"0,168376","13,689954"
10/01/2008 5.00,"0,225041","16,054672"
10/01/2008 6.00,"0,220567","22,645268"
10/01/2008 7.00,"0,216663","32,882881"
10/01/2008 8.00,"0,525096","37,986105"
10/01/2008 9.00,"1,053285","50,236729"
10/01/2008 10.00,"0,785572","50,87138"
10/01/2008 11.00,"0,257503","24,187125"
10/01/2008 12.00,"0,278224","11,405694"
10/01/2008 13.00,"0,267984","12,229848"
10/01/2008 14.00,"4,152726","16,126059"
10/01/2008 15.00,"0,582272","16,845074"
10/01/2008 16.00,"0,218345","16,671167"
10/01/2008 17.00,"0,188976","21,878213"
10/01/2008 18.00,"0,289394","24,396088"
10/01/2008 19.00,"0,55948","35,906919"
10/01/2008 20.00,"1,298537","50,811684"
10/01/2008 21.00,"0,988241","40,40924"
10/01/2008 22.00,"1,233733","38,254761"
10/01/2008 23.00,"1,022716","36,867335"
11/01/2008 0.00,"0,605395","26,428561"
11/01/2008 1.00,"0,317081","18,739967"
11/01/2008 2.00,"0,310865","15,465438"
11/01/2008 3.00,"0,28543","15,298009"
11/01/2008 4.00,"0,207985","12,959251"
11/01/2008 5.00,"0,246693","14,724359"
11/01/2008 6.00,"0,289214","21,047582"
11/01/2008 7.00,"0,697856","33,344915"
11/01/2008 8.00,"0,52969","33,914692"
11/01/2008 9.00,"0,382426","31,31634"
11/01/2008 10.00,"0,345129","16,728271"
11/01/2008 11.00,"0,445488","14,882694"
11/01/2008 12.00,"0,686686","13,456337"
11/01/2008 13.00,"0,613293","11,299266"
11/01/2008 14.00,"0,412666","13,307074"
11/01/2008 15.00,"0,327081","12,586757"
11/01/2008 16.00,"0,187054","15,523846"
11/01/2008 17.00,"0,344468","18,819145"
11/01/2008 18.00,"0,357682","22,124804"
11/01/2008 19.00,"0,280145","22,964535"
11/01/2008 20.00,"0,269034","25,953526"
11/01/2008 21.00,"0,30528","22,014499"
11/01/2008 22.00,"0,206243","15,501782"
11/01/2008 23.00,"0,159187","15,384968"
12/01/2008 0.00,"0,13159","13,614673"
12/01/2008 1.00,,"10,719125"
12/01/2008 2.00,"0,150377",
12/01/2008 3.00,"0,098685","10,211652"
12/01/2008 4.00,"0,186405","9,149998"
12/01/2008 5.00,"0,169174","7,519871"
12/01/2008 6.00,"0,198936","9,788551"
12/01/2008 7.00,"0,269667","11,968971"
12/01/2008 8.00,"0,170981","16,896992"
12/01/2008 9.00,"0,233397","14,896975"
12/01/2008 10.00,"0,161342","12,155866"
12/01/2008 11.00,"0,316418","9,351169"
12/01/2008 12.00,"0,279065","8,00268"
12/01/2008 13.00,"0,341481","8,671084"
12/01/2008 14.00,"0,249061","7,748295"
12/01/2008 15.00,"0,169174","7,579573"
12/01/2008 16.00,"0,391848","8,979977"
12/01/2008 17.00,"0,239904","12,733415"
12/01/2008 18.00,"0,296055","11,387528"
12/01/2008 19.00,"0,159776","11,528996"
12/01/2008 20.00,"0,241229","13,003376"
12/01/2008 21.00,"0,273522","11,628925"
