,SIMAGE Brindisi,,,
02/01/2010 23.00,"0,01628319","23,74501328","17,26299486",
03/01/2010 0.00,,"18,68810979","12,88657217","20,51280975"
03/01/2010 1.00,,"24,00699552","17,50698709",
03/01/2010 2.00,,"22,10822656","15,54201322","17,09399986"
03/01/2010 3.00,,"18,58564762","10,56857235",
03/01/2010 4.00,,"15,1421796","8,41021115","13,18680954"
03/01/2010 5.00,,"10,74413793","5,78591467",
03/01/2010 6.00,,"8,6780575","5,49259475","9,76801014"
03/01/2010 7.00,,"10,34856042","7,78463726",
03/01/2010 8.00,,"14,43273391","9,57310485","13,67521"
03/01/2010 9.00,,"14,70250564","9,33170146",
03/01/2010 10.00,,"18,75165894","11,07603436","14,16361046"
03/01/2010 11.00,,"19,06682537","11,39401717",
03/01/2010 12.00,,"20,18091144","11,55365387","6,83760691"
03/01/2010 13.00,,"22,26516352","12,81648781",
03/01/2010 14.00,,"11,99182691","6,34270054","8,30280876"
03/01/2010 15.00,,"11,19029739","6,32582906",
03/01/2010 16.00,,"16,61035469","10,48031061","10,7448101"
03/01/2010 17.00,,"21,27686984","14,39599101",
03/01/2010 18.00,,"12,22917303","7,40436149","6,34920597"
03/01/2010 19.00,,"10,84530185","6,12465989",
03/01/2010 20.00,,"13,64936074","8,70223282","17,09399986"
03/01/2010 21.00,,"14,62079632","9,05006195",
03/01/2010 22.00,,"14,69472189","9,31223348","10,25640965"
03/01/2010 23.00,,"23,39223016","13,34211764",
04/01/2010 0.00,,"22,38059096","12,86710227","8,79120922"
04/01/2010 1.00,,"23,69830312","13,4770991",
04/01/2010 2.00,"0,3207079",,,"7,32600689"
04/01/2010 3.00,"0,38364596","14,1240549","9,56531727",
04/01/2010 4.00,"1,05007284","9,24353723","6,92285106","6,34920597"
04/01/2010 5.00,"1,00777581","11,14231002","7,11104157",
04/01/2010 6.00,"0,76406396","14,44829759","9,49393466","4,88400507"
04/01/2010 7.00,"1,03095121","36,54483992","27,71994656",
04/01/2010 8.00,"3,62624673","185,1833375","85,9269052","5,86080599"
04/01/2010 9.00,"3,65663977","191,5122296","80,0916724",
04/01/2010 10.00,"3,14945882","141,7294665","75,84372464","18,07081032"
04/01/2010 11.00,"2,8132376","106,541267","60,09016392",
04/01/2010 12.00,"2,40863331","83,62501016","50,65723544","20,02441978"
04/01/2010 13.00,"3,07195732","93,76346664","54,4210648",
04/01/2010 14.00,"4,84765864","92,1993168","58,8727744","10,7448101"
04/01/2010 15.00,"3,26533173","75,62527864","47,58516768",
04/01/2010 16.00,"2,65069965","57,82561024","45,10364024","14,65200996"
04/01/2010 17.00,"1,91943495","53,49370656","35,592836",
04/01/2010 18.00,"1,20501279","64,72422096","39,05686376",
04/01/2010 19.00,"2,08950786","63,965482","39,83558312",
04/01/2010 20.00,"2,35354649","90,51843936","57,84744528",
04/01/2010 21.00,"2,99179636","70,56578248","48,13936088",
04/01/2010 22.00,"2,31555543","49,21369456","32,31310592",
04/01/2010 23.00,"1,77988119","30,5203956","18,59720566",
05/01/2010 0.00,"1,74758839","26,80197624","17,53424647",
05/01/2010 1.00,"2,10160202","11,44709811","7,53674454",
05/01/2010 2.00,"2,34784722","21,2989152","15,46933427","21,0012207"
05/01/2010 3.00,"1,91664939","19,26785496","13,95341654",
05/01/2010 4.00,"1,93944341","18,25362118","14,14939654","9,76801014"
05/01/2010 5.00,"1,98313373","21,86568936","15,82754556",
05/01/2010 6.00,"2,17498773","31,8225632","24,49862808","9,27960968"
05/01/2010 7.00,"2,42762883","36,9494956","27,84065112",
05/01/2010 8.00,"3,0582807","58,89042216","43,74346256","13,18680954"
05/01/2010 9.00,"3,03168615","50,17086088","35,69147608",
05/01/2010 10.00,"3,43629147","45,87006544","32,411746","20,02441978"
05/01/2010 11.00,"3,58825568","40,01814088","27,57197688",
05/01/2010 12.00,"3,58445616","44,11917056","29,53305792","12,69841003"
05/01/2010 13.00,"3,59965319","42,8961024","28,187182",
05/01/2010 14.00,"3,70222883","40,25549656","25,33445888","21,97801971"
05/01/2010 15.00,"3,61294945","29,39592928","18,81135349",
05/01/2010 16.00,"3,61484921","30,33623176","19,61603016","25,39682007"
05/01/2010 17.00,"3,55406312","36,28802008","25,34094056",
05/01/2010 18.00,"3,56926015","41,90002688","29,30853176","21,97801971"
05/01/2010 19.00,"3,62814648","45,36298392","29,71607456",
05/01/2010 20.00,"3,64714201","43,08936736","27,30462192","30,76922989"
05/01/2010 21.00,"4,20181076","47,83760904","29,83157848",
05/01/2010 22.00,"3,59015543","31,42827056","19,96774256","31,25761986"
05/01/2010 23.00,"3,60155193","24,66197024","15,17731069",
06/01/2010 0.00,"3,71552509","19,21596328","11,3927151","32,23442078"
06/01/2010 1.00,,"17,88268744","10,22852698",
06/01/2010 2.00,"0,05033947",,,"38,0952301"
06/01/2010 3.00,"0,01227824","20,42734912","13,90279826",
06/01/2010 4.00,"0,03740323","15,92944369","9,99361483","38,0952301"
06/01/2010 5.00,,"14,30044263","8,68276484",
06/01/2010 6.00,,"17,82172906","12,5556107","49,81684113"
06/01/2010 7.00,,"27,61516896","19,1617772",
06/01/2010 8.00,"0,06384523","33,80305104","22,70756208","47,37483978"
06/01/2010 9.00,"0,02946758","33,06117592","21,66536912",
06/01/2010 10.00,"0,05156699","24,06664992","15,56666846","53,23564148"
06/01/2010 11.00,"0,80771055","28,3298172","16,66337636",
06/01/2010 12.00,"0,88335501","38,87551056","23,1903612","49,81684113"
06/01/2010 13.00,"1,21282335","39,83267688","23,46421696",
06/01/2010 14.00,"1,38351663","36,93393192","22,57905656","39,07204056"
06/01/2010 15.00,"0,98642898","18,13300266","11,46150886",
06/01/2010 16.00,"0,81980879","22,029108","14,96835012","28,32722092"
06/01/2010 17.00,"0,52172405","33,53196768","23,70042544",
06/01/2010 18.00,"0,00859467","35,2971452","25,91589808","37,11843109"
06/01/2010 19.00,"0,03806123","41,99472824","30,77125",
06/01/2010 20.00,"0,00122752","47,22542488","33,391646","37,6068306"
06/01/2010 21.00,"0,18964914","80,94417584","54,03558648",
06/01/2010 22.00,"0,33027685","101,8916272","72,07731408","34,67642975"
06/01/2010 23.00,"0,05893413","66,46605296","47,3489592",
07/01/2010 0.00,"0,33698498","105,7462001","71,02733928","28,32722092"
07/01/2010 1.00,"0,87347181","129,73637","72,5082024",
07/01/2010 2.00,,"53,54687928","39,07242744","21,97801971"
07/01/2010 3.00,,"31,13776128","22,64006848",
07/01/2010 4.00,,"13,40034186","9,0085314","15,62880993"
07/01/2010 5.00,,"13,89449062","9,32780863",
07/01/2010 6.00,,"25,53223616","18,73347773","19,04759979"
07/01/2010 7.00,"0,01350576","51,73371056","34,7141764",
07/01/2010 8.00,"0,03069509","64,08611008","39,86024792","23,44322014"
07/01/2010 9.00,"0,02701152","83,47975552","52,28866856",
07/01/2010 10.00,"0,03192261","79,03502472","51,73187504","22,95482063"
07/01/2010 11.00,,,,
07/01/2010 12.00,"0,08349062","75,33865072","48,2094548","30,76922989"
07/01/2010 13.00,"0,49198697","68,1949216","39,12823872",
07/01/2010 14.00,"0,67699453","71,81607752","42,46766144","21,97801971"
07/01/2010 15.00,"0,51558442","47,00235184","31,35917088",
07/01/2010 16.00,"0,21854822","58,91246752","41,24247096","18,07081032"
07/01/2010 17.00,"0,01718933","92,460018","65,62689528",
07/01/2010 18.00,"0,06998486","109,7577673","74,37844432","22,46640968"
07/01/2010 19.00,"0,12646293","125,8752772","82,25393408",
07/01/2010 20.00,"0,11720925","113,7744778","68,62756896","31,74603081"
07/01/2010 21.00,"0,16698021","125,5575028","75,68539192",
07/01/2010 22.00,,"88,15145984","57,45418512","39,07204056"
07/01/2010 23.00,,"60,91500072","44,72726304",
08/01/2010 0.00,,"43,43306848","30,92828256","32,72283173"
08/01/2010 1.00,,"32,17144584","23,27603792",
08/01/2010 2.00,"0,67740031",,,"24,90842056"
08/01/2010 3.00,"0,20124599","16,40413593","11,3927151",
08/01/2010 4.00,"0,58652526","11,32258867","6,24536062","22,95482063"
08/01/2010 5.00,"1,2480085","11,31999409","6,56463786",
08/01/2010 6.00,"1,32309056","16,0176366","10,61529207","25,88521957"
08/01/2010 7.00,"1,27416676","27,66316016","18,42328823",
08/01/2010 8.00,"1,30452014","42,12053784","27,42532648","30,76922989"
08/01/2010 9.00,"1,43617587","48,2396644","30,433782",
08/01/2010 10.00,"1,04158089","38,59406416","24,70369008","35,65322113"
08/01/2010 11.00,"0,13566475","37,9611348","23,48238096",
08/01/2010 12.00,"1,47695554","43,43306848","26,59597736","40,04883957"
08/01/2010 13.00,"1,37145908","52,74793096","31,74983072",
08/01/2010 14.00,"1,74532455","47,86353576","26,73356488","43,46763992"
08/01/2010 15.00,"1,3677572","36,30360288","21,7120984",
08/01/2010 16.00,"1,42698321","27,11843136","16,97356586","36,63003159"
08/01/2010 17.00,"1,41217671","25,87723744","16,64520854",
08/01/2010 18.00,"1,34727482","28,5243632","17,90674231","41,02563095"
08/01/2010 19.00,"1,31346567","30,17669448","18,86976126",
08/01/2010 20.00,"1,30057214","34,81725232","21,94830688","37,11843109"
08/01/2010 21.00,"1,32888949","34,64348976","21,67705144",
08/01/2010 22.00,"1,3399331","23,50375712","14,85154795","42,49084091"
08/01/2010 23.00,"0,99635897","18,13040807","10,68408392",
09/01/2010 0.00,"1,20895672","15,6933939","8,34791437","35,65322113"
09/01/2010 1.00,"1,01431207","13,41331096","6,72167998",
09/01/2010 2.00,"1,06965111","11,45487995","5,60291333","42,00244141"
09/01/2010 3.00,"0,94441264","10,21886373","4,38810501",
09/01/2010 4.00,"1,3677572","10,79082897","5,04742379","56,65444183"
09/01/2010 5.00,"1,33030821","9,36675034","3,81314749",
09/01/2010 6.00,"0,60441632","10,54829559","5,07078652","51,28205109"
09/01/2010 7.00,"1,15287629","16,43526329","9,62372314",
09/01/2010 8.00,"1,29687026","22,93180144","14,11045866","68,37606049"
09/01/2010 9.00,"1,22203534","29,30642856","17,77954078",
09/01/2010 10.00,"1,2801518","31,08716976","19,3149284","85,95848083"
09/01/2010 11.00,"1,50101573","27,49325984","15,10333158",
09/01/2010 12.00,"1,41402765","24,63472424","13,32913898","104,5177002"
09/01/2010 13.00,"1,53433061","23,33255664","12,56210194",
09/01/2010 14.00,"1,9137489","36,61487648","20,86848576","74,23686981"
09/01/2010 15.00,"1,43253603","27,29223216","18,03522106",
09/01/2010 16.00,"1,2428879","25,28969896","17,5511237","48,35165024"
09/01/2010 17.00,"0,72428808","38,7484008","27,61220536",
09/01/2010 18.00,"0,71990786","46,10483992","34,2703056","34,67642975"
09/01/2010 19.00,"1,27095914","76,1233164","52,81949712",
09/01/2010 20.00,"1,24837869","103,7086773","66,38485032","30,76922989"
09/01/2010 21.00,"1,40791955","110,1027494","69,3154492",
09/01/2010 22.00,"0,56579575","50,05543344","35,88225544","32,72283173"
09/01/2010 23.00,"0,37306408","53,961898","38,25996128",
10/01/2010 0.00,"0,77185418","77,20889264","53,63196328","31,25761986"
10/01/2010 1.00,,"61,76192112","42,71165176",
10/01/2010 2.00,"0,50163118",,,"16,11721039"
10/01/2010 3.00,"0,37049107","62,32869528","44,20549736",
10/01/2010 4.00,"0,32948054","35,887284","27,36691488","9,76801014"
10/01/2010 5.00,"0,33880135","30,28824056","23,45643512",
10/01/2010 6.00,"0,33143827","18,5493311","14,07153034","13,18680954"
10/01/2010 7.00,"0,72336668","53,934652","41,55135456",
10/01/2010 8.00,"0,50209697","44,70410872","30,69595544","10,25640965"
10/01/2010 9.00,"0,33926713","22,03040816","15,45765769",
10/01/2010 10.00,"0,35259593","32,2025732","22,97361688","12,21000957"
10/01/2010 11.00,"1,31801675","33,14677616","22,47653512",
10/01/2010 12.00,"1,36508554","33,89901432","20,799692","10,25640965"
10/01/2010 13.00,"1,74834606","34,06373312","20,8606848",
10/01/2010 14.00,"1,70332855","26,15608352","16,56733469","5,37240601"
10/01/2010 15.00,"1,0886385","13,88541053","9,27459385",
10/01/2010 16.00,"0,68934701","16,61294927","11,48226744","3,41880298"
10/01/2010 17.00,"0,63249162","33,14807632","26,10927776",
10/01/2010 18.00,"0,44822444","36,2374668","28,35719704","6,34920597"
10/01/2010 19.00,"0,33078535","35,36068096","27,00352016",
10/01/2010 20.00,"0,29359671","44,71189056","31,32932456","11,23320961"
10/01/2010 21.00,"0,29816406","51,01908144","33,4344748",
10/01/2010 22.00,"0,18985966","36,04162064","27,44219032","16,11721039"
10/01/2010 23.00,"0,11352364","30,29862272","24,1027676",
11/01/2010 0.00,"0,04567042","26,44011112","18,48428868","12,69841003"
11/01/2010 1.00,"0,00065291","19,8916832","14,54395113",
11/01/2010 2.00,"0,05219549","18,36775419","14,47905594","7,81440783"
11/01/2010 3.00,,"14,45218851","11,7275713",
11/01/2010 4.00,,"14,00991997","11,4576122","12,21000957"
11/01/2010 5.00,"0,50890172","30,53077776","27,66153496",
11/01/2010 6.00,"0,56454484","31,1221976","28,11448776","13,67521"
11/01/2010 7.00,"1,92795334","61,8553032","49,42686344",
11/01/2010 8.00,"3,02544686","144,4453478","73,92679168","22,46640968"
11/01/2010 9.00,"4,48877053","196,2308544","85,33378368",
11/01/2010 10.00,"1,87389369","120,0738868","65,59702984","29,30401993"
11/01/2010 11.00,"1,83717084","112,8536203","63,80338264",
11/01/2010 12.00,"1,69410131","59,5739048","37,33977304","25,39682007"
11/01/2010 13.00,"1,43349913","56,65701496","36,72068656",
11/01/2010 14.00,"2,0281492","119,3800029","64,14861336","21,0012207"
11/01/2010 15.00,"1,55522488","97,97476136","61,76052536",
11/01/2010 16.00,"0,57656883","75,89376168","56,36918248","19,04759979"
11/01/2010 17.00,"0,35035853","62,03556656","45,5513924",
11/01/2010 18.00,"0,27663315","62,82671392","45,5215652","19,04759979"
11/01/2010 19.00,"0,29695281","76,9040816","52,7403212",
11/01/2010 20.00,"0,52036534","91,33553256","57,93960368","17,09399986"
11/01/2010 21.00,"1,43247298","171,6416166","91,01586528",
11/01/2010 22.00,"2,10644193","193,5291984","94,90299952","20,02441978"
11/01/2010 23.00,"0,37897285","126,4589152","78,72113168",
12/01/2010 0.00,"2,03579195","59,85407016","33,88224608","20,51280975"
12/01/2010 1.00,,"54,30171776","36,80634416",
12/01/2010 2.00,"0,24318199",,,"16,11721039"
12/01/2010 3.00,"0,28968126","21,92276256","17,18381894",
12/01/2010 4.00,"0,21993235","16,24071729","13,19805418","10,7448101"
12/01/2010 5.00,"0,18851315","18,71664257","14,74382778",
12/01/2010 6.00,"0,10556765","17,17713267","13,12278256","8,79120922"
12/01/2010 7.00,"0,12630326","31,71361744","26,10019576",
12/01/2010 8.00,"0,28653975","42,92466768","30,52203992","14,16361046"
12/01/2010 9.00,"0,30287786","64,02125504","42,03287264",
12/01/2010 10.00,"0,3110464","60,5894636","36,35469152","11,23320961"
12/01/2010 11.00,"0,31230341","56,6233064","34,04836064",
12/01/2010 12.00,"0,31858745","37,86647168","22,39995952","6,83760691"
12/01/2010 13.00,"0,36194522","28,65145384","16,76331469",
12/01/2010 14.00,"1,065098","35,45798264","19,43043232","3,90720391"
12/01/2010 15.00,"0,78924082","31,93150896","18,76722644",
12/01/2010 16.00,"0,46499884","34,28548688","20,67508696","3,90720391"
12/01/2010 17.00,"0,43483666","39,67185856","23,95999856",
12/01/2010 18.00,"0,41661405","40,0505684","23,86915944","6,34920597"
12/01/2010 19.00,"0,35628968","43,75732456","27,30592208",
12/01/2010 20.00,"0,3430941","62,93957928","40,98159768","6,83760691"
12/01/2010 21.00,"0,244439","53,99432552","33,6642016",
12/01/2010 22.00,"0,26957314","48,79217504","34,48963112","6,34920597"
12/01/2010 23.00,"0,15897947","36,434594","26,04568464",
13/01/2010 0.00,"0,10745215","45,30461056","30,52203992","14,65200996"
13/01/2010 1.00,"0,07163545","34,51507984","23,32014776",
13/01/2010 2.00,"0,00314151","21,10825056","16,03130931","7,32600689"
13/01/2010 3.00,"0,03644623","17,50267362","12,69318484",
13/01/2010 4.00,"0,07163545","16,81657536","13,03063563","16,60560989"
13/01/2010 5.00,"0,01382408","13,95025983","11,03320174",
13/01/2010 6.00,"0,0314192","17,48710994","14,17535386","14,65200996"
13/01/2010 7.00,"0,05215481","32,16754536","23,53171056",
13/01/2010 8.00,"0,38833637","95,77376256","51,81363216","19,04759979"
13/01/2010 9.00,"1,97938507","160,2477027","70,0682036",
13/01/2010 10.00,"2,85911244","205,6778552","83,7438792","20,51280975"
13/01/2010 11.00,"2,84842987","183,7073691","85,345466",
13/01/2010 12.00,"2,03216838","120,817043","64,61844912","26,37360954"
13/01/2010 13.00,"2,19994491","113,9158702","64,26023592",
13/01/2010 14.00,"2,65426118","146,9977913","76,26296888","26,37360954"
13/01/2010 15.00,"1,62875093","79,96626432","53,38407248",
13/01/2010 16.00,"1,05630095","58,83723032","43,6292588","25,39682007"
13/01/2010 17.00,"1,70352788","98,42350776","62,64308544",
13/01/2010 18.00,"2,25461374","119,8093234","71,44524512","19,53602028"
13/01/2010 19.00,"2,74788925","131,443155","78,10074504",
13/01/2010 20.00,"2,93514539","167,0619751","95,32092448","24,42000961"
13/01/2010 21.00,"5,87594633","312,127308","130,6788522",
13/01/2010 22.00,"4,96731378","267,8677584","104,3138253","38,58362961"
13/01/2010 23.00,"2,81135514","156,3385996","84,5096352",
14/01/2010 0.00,"1,35163775","75,00015024","49,82010448","42,00244141"
14/01/2010 1.00,,"51,67405616","37,69148544",
14/01/2010 2.00,"0,05203277",,,"30,76922989"
14/01/2010 3.00,"0,04244755","39,66015712","29,14629856",
14/01/2010 4.00,"0,00410766","21,32356088","16,99952508","27,35042"
14/01/2010 5.00,,"18,33014324","14,4440128",
14/01/2010 6.00,,"27,02894976","22,54012824","18,07081032"
14/01/2010 7.00,"0,0356011","57,67513584","40,90502208",
14/01/2010 8.00,"0,02875466","57,05650824","42,23405328","18,07081032"
14/01/2010 9.00,"0,18759074","81,62377712","49,83826848",
14/01/2010 10.00,"0,83953859","208,3701424","48,4288568",
14/01/2010 11.00,"3,9822069","65,0069484","37,11782808",
14/01/2010 12.00,"5,79775326","79,35796152","44,00693616","13,18680954"
14/01/2010 13.00,"6,35136433","75,19985864","40,62338448",
14/01/2010 14.00,"8,21723898","118,1725366","57,9019564","12,69841003"
14/01/2010 15.00,"7,10442436","71,51516696","41,38784032",
14/01/2010 16.00,"5,48832695","31,19353432","20,7231164","18,07081032"
14/01/2010 17.00,"4,69798675","44,32277944","29,92631808",
14/01/2010 18.00,"6,21529177","170,4911854","86,43956976","20,51280975"
14/01/2010 19.00,"5,54424771","135,1175028","77,0883984",
14/01/2010 20.00,"4,54141045","96,27702008","59,25693344","33,21123123"
14/01/2010 21.00,"5,09688466","121,251545","74,84697992",
14/01/2010 22.00,"5,01673286","143,52189","93,46106472","25,39682007"
14/01/2010 23.00,"4,1350559","95,14343352","58,84420912",
15/01/2010 0.00,"4,14810401","82,52909","48,13157904","29,30401993"
15/01/2010 1.00,"4,07913513","79,05838936","43,41251448",
15/01/2010 2.00,"3,73988529","62,14971296","37,90564856","34,67642975"
15/01/2010 3.00,"2,6438471","33,0287484","26,1936352",
15/01/2010 4.00,"2,59911131","27,73579704","21,42786048","37,6068306"
15/01/2010 5.00,"3,57026088","36,31138472","23,47719944",
15/01/2010 6.00,"3,82749374","56,01502272","25,83932248","34,18803024"
15/01/2010 7.00,"4,85269991","108,4088895","37,95365888",
15/01/2010 8.00,"5,46782321","142,9343706","48,07056712","39,56044006"
15/01/2010 9.00,"6,59182178","331,7398392","70,14737952",
15/01/2010 10.00,"8,22283146","284,4795968","73,45565576","43,9560318"
15/01/2010 11.00,"8,30671057","251,6102136","77,69580256",
15/01/2010 12.00,"4,12200779","77,00396448","41,82781064","38,58362961"
15/01/2010 13.00,"4,38514331","71,04047472","38,47022392",
15/01/2010 14.00,"2,94972307","79,54084432","40,43260512","22,46640968"
15/01/2010 15.00,"3,05229362","73,68630032","38,09252744",
15/01/2010 16.00,"2,81917892","54,15516296","30,79719584","19,53602028"
15/01/2010 17.00,"2,71101385","48,32138328","28,53241272",
15/01/2010 18.00,"1,91842304","49,79341296","33,20994864","17,09399986"
15/01/2010 19.00,"2,41822158","58,47668448","37,402066",
15/01/2010 20.00,"2,89564105","70,18707264","42,06013776","19,04759979"
15/01/2010 21.00,"2,72593324","65,65804176","38,6999316",
15/01/2010 22.00,"2,67930989","49,64687728","31,2242028","20,51280975"
15/01/2010 23.00,"2,49841305","57,65049016","33,21643032",
16/01/2010 0.00,"2,24291926","51,68443832","29,05804064","22,95482063"
16/01/2010 1.00,,"37,89109824","22,8840588",
16/01/2010 2.00,"0,69465066",,,"26,37360954"
16/01/2010 3.00,"0,78818924","16,64277838","10,1545517",
16/01/2010 4.00,"0,89617735","15,76213222","10,51924849","29,30401993"
16/01/2010 5.00,"0,62837379","12,23047128","7,42901864",
16/01/2010 6.00,"0,7110264","12,33811879","7,67950976","28,32722092"
16/01/2010 7.00,"0,80273539","26,17812888","16,29996443",
16/01/2010 8.00,"1,68041656","65,70343264","33,36178056","26,37360954"
16/01/2010 9.00,"4,03246195","132,9541513","52,92851936",
16/01/2010 10.00,"4,4023774","121,0349345","48,48849208","35,65322113"
16/01/2010 11.00,"4,65476832","92,30568136","37,82647264",
16/01/2010 12.00,"3,92071704","63,58027136","28,12096944","33,21123123"
16/01/2010 13.00,"2,5239011","37,36713376","17,5433323",
16/01/2010 14.00,"2,19637117","41,46686328","18,99564543","33,21123123"
16/01/2010 15.00,"1,96064684","20,48960384","10,36999777",
16/01/2010 16.00,"1,76673037","17,11098703","9,07472102","25,39682007"
16/01/2010 17.00,"1,52975309","15,71673942","9,08640334",
16/01/2010 18.00,"1,03797766","19,39624576","10,94495146","33,69963074"
16/01/2010 19.00,"1,57252506","25,50370912","13,65620379",
16/01/2010 20.00,"0,77990374","20,67764904","12,14158622","22,95482063"
16/01/2010 21.00,"0,94193523","28,76169976","16,1130779",
16/01/2010 22.00,"1,16629255","21,78917112","12,17662745","21,0012207"
16/01/2010 23.00,"0,50882544","22,2029088","11,90407376",
17/01/2010 0.00,"1,04048253","22,90975608","12,53224606","17,09399986"
17/01/2010 1.00,"0,90561714","23,52970296","13,90669491",
17/01/2010 2.00,"1,4453665","36,99100512","21,28509144","8,79120922"
17/01/2010 3.00,"1,88232869","58,88782184","35,8498088",
17/01/2010 4.00,"1,94744923","61,17440176","36,96467688","21,48962021"
17/01/2010 5.00,"1,57281389","28,39077176","19,15139504",
17/01/2010 6.00,"1,49738605","18,73609526","12,89824875","22,95482063"
17/01/2010 7.00,"0,44264518","21,9123804","16,1234658",
17/01/2010 8.00,"0,59436836","30,98082432","22,0053992","26,37360954"
17/01/2010 9.00,"1,43515481","36,1713116","22,61670384",
17/01/2010 10.00,"2,45839512","54,9203836","30,46364744","30,76922989"
17/01/2010 11.00,"3,15198607","56,63887008","31,395518",
17/01/2010 12.00,"4,13457384","68,22086744","36,99972384","27,35042"
17/01/2010 13.00,"4,45054353","75,59543232","42,383304",
17/01/2010 14.00,"4,03053575","76,03771616","45,48001744","28,81562042"
17/01/2010 15.00,"3,42942265","59,1796504","39,42544",
17/01/2010 16.00,"2,68959176","51,55992888","33,8627628","37,11843109"
17/01/2010 17.00,"2,01719408","53,04626032","36,70640392",
17/01/2010 18.00,"2,04773153","63,73850848","42,54035568","37,11843109"
17/01/2010 19.00,"1,34893761","67,55291024","46,61566896",
17/01/2010 20.00,"2,06921363","88,9996804","54,97265768","48,84004974"
17/01/2010 21.00,"2,15013225","83,0167456","47,23475544",
17/01/2010 22.00,"1,86518207","85,967344","52,35226168","57,14284134"
17/01/2010 23.00,"1,75131671","64,78127504","41,73307104",
18/01/2010 0.00,"1,69804524","70,4269904","43,04780048","49,32844162"
18/01/2010 1.00,,"46,41871384","29,18654616",
18/01/2010 2.00,"1,08515019",,,"35,65322113"
18/01/2010 3.00,"1,26636332","24,78127904","18,49856941",
18/01/2010 4.00,"1,22458902","24,16393248","18,52322656","41,5140419"
18/01/2010 5.00,"1,2957597","21,1731056","16,06765261",
18/01/2010 6.00,"0,64497835","20,250948","15,35252063","33,69963074"
18/01/2010 7.00,"0,77803551","32,51254664","23,15273304",
18/01/2010 8.00,"1,94518742","73,02356288","45,9861812","32,23442078"
18/01/2010 9.00,"1,35242491","75,24915","45,47353576",
18/01/2010 10.00,"1,37021732","66,44398848","38,48708776","21,0012207"
18/01/2010 11.00,"1,57289729","62,23921368","36,96079552",
18/01/2010 12.00,"1,41121768","62,36240384","36,012042","23,44322014"
18/01/2010 13.00,"2,50255733","49,80771472","26,22998232",
18/01/2010 14.00,"3,29355145","40,86378024","20,21565248","21,0012207"
18/01/2010 15.00,"4,16577235","23,11338408","12,41414182",
