NetC,Provincia di TARANTO,,,
05/01/2007 16.00,"0,811802","72,749897","14,065386","51,219209"
05/01/2007 17.00,"0,694187","88,40436","15,447574","64,763819"
05/01/2007 18.00,"0,8422","121,316398","27,141104","79,756824"
05/01/2007 19.00,"0,704982","110,346584","22,411757","76,03584"
05/01/2007 20.00,"0,710238","109,469837","23,166291","74,000767"
05/01/2007 21.00,"0,933822","136,158984","36,661575","80,002111"
05/01/2007 22.00,"0,97118","146,795461","44,258486","78,989767"
05/01/2007 23.00,"0,716346","99,300252","22,277269","65,188203"
06/01/2007 0.00,"1,152433","114,530616","31,946592","65,59315"
06/01/2007 1.00,,"94,986531","23,634066","58,789695"
06/01/2007 2.00,"0,776208",,,
06/01/2007 3.00,"0,913048","71,229839","12,903145","51,481381"
06/01/2007 4.00,"0,890839","51,458763","5,449203","43,133474"
06/01/2007 5.00,"0,710593","53,39384","7,842216","41,398222"
06/01/2007 6.00,"0,773819","42,606913","1,73153","39,97963"
06/01/2007 7.00,"0,720445","30,991205","2,009826","27,936691"
06/01/2007 8.00,"0,659726","31,465897","1,583499","29,065821"
06/01/2007 9.00,"0,455898","28,585318","1,586038","26,17547"
06/01/2007 10.00,"0,533273","68,757814","12,819397","49,136124"
06/01/2007 11.00,"0,497749","59,125176","12,956442","39,286572"
06/01/2007 12.00,"0,361088","43,918141","9,626193","29,215091"
06/01/2007 13.00,"0,22174","39,189383","8,624661","25,98339"
06/01/2007 14.00,"0,162454","45,549746","9,989077","30,254684"
06/01/2007 15.00,"0,131528","20,142002","1,246838","19,03199"
06/01/2007 16.00,"0,283473","14,566323",0,"21,116356"
06/01/2007 17.00,"0,287652","36,241328","1,600418","34,375428"
06/01/2007 18.00,"0,412552","85,495253","17,275538","59,094699"
06/01/2007 19.00,"0,839852","259,944818","104,817107","99,300179"
06/01/2007 20.00,"1,000394","198,046679","71,342081","88,721235"
06/01/2007 21.00,"2,234768","425,750012","207,804566","107,202838"
06/01/2007 22.00,"3,607297","647,296295","341,131671","124,334757"
06/01/2007 23.00,"3,71118","546,267567","276,10238","123,012205"
07/01/2007 0.00,"2,364266","200,44069","77,206606","82,118947"
07/01/2007 1.00,"2,860403","335,829416","164,756638","83,270156"
07/01/2007 2.00,"2,353997","198,601729","82,363972","72,365431"
07/01/2007 3.00,"2,048373","158,814503","56,519614","72,204496"
07/01/2007 4.00,"1,812484","100,280766","21,021129","68,096742"
07/01/2007 5.00,"1,616119","69,297343","7,039469","58,544404"
07/01/2007 6.00,"1,620836","65,390859","7,508937","53,914899"
07/01/2007 7.00,"1,87374","74,406129","15,055929","51,393124"
07/01/2007 8.00,"2,352206","157,587571","63,379745","60,450974"
07/01/2007 9.00,"2,248142","115,249162","36,855285","58,780614"
07/01/2007 10.00,"2,306114","134,8646","44,112986","67,273888"
07/01/2007 11.00,"2,118525","178,498714","64,118206","80,24354"
07/01/2007 12.00,"1,440053","104,409023","29,551044","59,182957"
07/01/2007 13.00,"1,383155","65,597066","15,007708","42,61561"
07/01/2007 14.00,"1,519399","84,075074","20,200613","53,13878"
07/01/2007 15.00,"0,966364","43,941488","7,458183","32,528568"
07/01/2007 16.00,"0,515303","62,265158","12,691667","42,834954"
07/01/2007 17.00,"0,415776","75,324369","11,817035","57,245239"
07/01/2007 18.00,"0,853822","213,867139","84,031227","85,08329"
07/01/2007 19.00,"2,209693","375,915071","168,021773","118,373659"
07/01/2007 20.00,"2,487316","465,718647","223,374979","123,309453"
07/01/2007 21.00,"2,76237","433,352879","206,751478","116,426861"
07/01/2007 22.00,"2,3411","324,274618","140,429777","109,032864"
07/01/2007 23.00,"1,777319","226,987282","85,348259","96,191779"
08/01/2007 0.00,"1,867352","225,328432","91,570615","84,98465"
08/01/2007 1.00,,"313,233589","149,62117","83,881463"
08/01/2007 2.00,"0,4496",,,
08/01/2007 3.00,"0,406169","80,610836","13,118839","60,537933"
08/01/2007 4.00,"0,418418","63,300141","6,980257","52,633899"
08/01/2007 5.00,"0,403129","61,892909","9,061985","48,031636"
08/01/2007 6.00,"0,2642","57,018879","6,906665","46,461218"
08/01/2007 7.00,"0,83305","156,512378","67,064418","53,721499"
08/01/2007 8.00,"1,494873","338,278116","172,982088","73,100038"
08/01/2007 9.00,"2,557444","482,171019","252,463248","95,141785"
08/01/2007 10.00,"1,980848","296,907018","130,395791","97,041874"
08/01/2007 11.00,"1,439537","227,112894","88,107572","92,084003"
08/01/2007 12.00,"0,828088","210,384616","72,704812","98,97701"
08/01/2007 13.00,"0,324671","133,791989","36,292761","78,199386"
08/01/2007 14.00,"0,167872","135,100654","37,867799","77,092297"
08/01/2007 15.00,"0,162279","129,242193","31,787563","80,558905"
08/01/2007 16.00,"0,101205","80,976601","13,781183","59,8877"
08/01/2007 17.00,"0,057602","91,168213","15,061852","68,121387"
08/01/2007 18.00,"0,083219","161,277484","42,361152","96,392961"
08/01/2007 19.00,"0,468103","284,509419","107,29558","120,079065"
08/01/2007 20.00,"0,378","308,984745","125,411035","116,775967"
08/01/2007 21.00,"1,178606","493,519522","244,095755","119,336734"
08/01/2007 22.00,"0,548969","313,230905","140,047454","98,568169"
08/01/2007 23.00,"0,313971","206,173247","73,67504","93,274167"
09/01/2007 0.00,"0,195583","157,60706","51,259032","79,067657"
09/01/2007 1.00,"0,121601","131,670164","34,6196","78,643251"
09/01/2007 2.00,"0,07401","77,451431","11,412699","59,994122"
09/01/2007 3.00,"0,041968","40,984389","5,860304","32,021087"
09/01/2007 4.00,"0,032673","34,963843","5,083778","27,187817"
09/01/2007 5.00,"0,04128","28,284407","4,991578","20,64524"
09/01/2007 6.00,"0,046385","37,592807","5,226733","29,59927"
09/01/2007 7.00,"0,075962","66,546473","15,304618","43,110112"
09/01/2007 8.00,"0,270139","238,350109","108,564443","71,94104"
09/01/2007 9.00,"0,905943","429,596564","225,272289","84,251363"
09/01/2007 10.00,"1,447196","478,82712","241,311088","108,907041"
09/01/2007 11.00,"0,478344","153,935309","45,510386","84,213735"
09/01/2007 12.00,"0,1463","147,294817","42,159834","82,709467"
09/01/2007 13.00,"0,119163","125,545818","34,299844","73,0053"
09/01/2007 14.00,"0,069593","99,940945","23,247497","64,340712"
09/01/2007 15.00,"0,111532","99,528508","21,847552","66,075964"
09/01/2007 16.00,"0,220971","114,142824","27,648646","71,799571"
09/01/2007 17.00,"0,201922","174,448274","51,689596","95,259892"
09/01/2007 18.00,"0,11529","104,761826","17,245087","78,37458"
09/01/2007 19.00,"0,111876","178,440364","51,647298","99,319661"
09/01/2007 20.00,"0,110184","154,443709","38,135105","96,038626"
09/01/2007 21.00,"0,17665","188,857622","60,985879","95,415663"
09/01/2007 22.00,"0,843721","439,234577","215,087803","109,522228"
09/01/2007 23.00,"0,830326","394,405828","189,371035","104,133386"
10/01/2007 0.00,"0,51142","239,007447","102,589067","81,767231"
10/01/2007 1.00,,"232,508365","100,489644","78,484905"
10/01/2007 2.00,"0,632336",,,
10/01/2007 3.00,"0,447343","114,690151","34,803158","61,369863"
10/01/2007 4.00,"0,524399","108,07429","34,693185","54,918144"
10/01/2007 5.00,"0,372086","60,812515","8,866585","47,250316"
10/01/2007 6.00,"0,557979","48,081426","3,987511","41,996543"
10/01/2007 7.00,"0,697999","98,736062","30,61602","51,887626"
10/01/2007 8.00,"1,344726","231,694053","106,965687","67,73334"
10/01/2007 9.00,"5,469151","1102,419208","638,193529","124,495671"
10/01/2007 10.00,"4,491715","569,378096","287,916076","128,013"
10/01/2007 11.00,"1,785173","134,711564","38,843949","75,20519"
10/01/2007 12.00,"0,607151","74,96382","17,62657","47,970646"
10/01/2007 13.00,"0,187392","81,185412","19,270127","51,674763"
10/01/2007 14.00,"0,181695","71,53721","15,4002","47,957663"
10/01/2007 15.00,"0,108238","62,122486","10,540586","45,992681"
10/01/2007 16.00,"0,146016","82,303398","15,365521","58,784516"
10/01/2007 17.00,"0,229968","92,977518","15,54484","69,190863"
10/01/2007 18.00,"0,639232","229,718569","80,60623","106,20091"
10/01/2007 19.00,"2,568321","582,817353","291,605834","135,800163"
10/01/2007 20.00,"3,026758","577,185741","290,34287","132,102578"
10/01/2007 21.00,"1,974964","433,946936","209,516699","112,77853"
10/01/2007 22.00,"1,367214","340,712257","157,577654","99,171708"
10/01/2007 23.00,"0,95675","181,130281","64,102132","82,901562"
11/01/2007 0.00,"0,71329","150,297313","55,238098","65,715151"
11/01/2007 1.00,"0,658122","142,270333","52,184431","62,300452"
11/01/2007 2.00,"0,698299","124,857118","43,379601","58,384774"
11/01/2007 3.00,"0,479125","59,186129","8,486781","46,205544"
11/01/2007 4.00,"0,569072","61,252202","9,352125","46,945315"
11/01/2007 5.00,"0,55678","52,242129","6,832227","41,795364"
11/01/2007 6.00,"0,605952","55,182365","8,93764","41,507223"
11/01/2007 7.00,"0,644329","113,162332","37,922791","55,054412"
11/01/2007 8.00,"0,680909","133,037149","42,011803","68,669115"
11/01/2007 9.00,"0,99003","211,842524","84,990452","81,585537"
11/01/2007 10.00,"1,296454","211,738502","84,003304","82,996307"
11/01/2007 11.00,"1,730004","279,874155","116,997943","100,55393"
11/01/2007 12.00,"1,743197","281,639318","109,767337","113,414482"
11/01/2007 13.00,"0,862904","159,33981","51,2675","80,788635"
11/01/2007 14.00,"0,71239","139,453286","39,589181","78,86778"
11/01/2007 15.00,"0,606851","99,965613","22,327174","65,777447"
11/01/2007 16.00,"0,507608","122,235936","26,458485","81,724402"
11/01/2007 17.00,"0,331609","78,181603","7,39728","66,885827"
11/01/2007 18.00,"0,496215","186,486761","55,72701","101,112007"
11/01/2007 19.00,"1,461359","435,167376","204,352616","121,923321"
11/01/2007 20.00,"2,72813","563,277295","277,156344","138,416749"
11/01/2007 21.00,"2,157858","490,450741","237,326172","126,718937"
11/01/2007 22.00,"1,855032","354,354016","158,743225","111,034161"
11/01/2007 23.00,"1,740499","380,039251","174,736367","112,198433"
12/01/2007 0.00,"1,453863","270,800383","115,971883","93,04834"
12/01/2007 1.00,,"256,04969","114,898454","79,934637"
12/01/2007 2.00,"0,785567",,,
12/01/2007 3.00,"0,548517","74,196019","10,891629","57,535959"
12/01/2007 4.00,"0,494505","62,435057","8,288844","49,76041"
12/01/2007 5.00,"0,523912","38,858647","4,317406","32,261195"
12/01/2007 6.00,"0,548217","40,772977","6,034556","31,542168"
12/01/2007 7.00,"0,51941","100,611484","31,161606","52,868807"
12/01/2007 8.00,"0,860883","207,881622","93,530535","64,51851"
12/01/2007 9.00,"1,745471","321,313696","160,365689","75,481629"
12/01/2007 10.00,"2,366903","441,985557","221,032611","103,254743"
12/01/2007 11.00,"2,202168","338,095131","149,783523","108,511139"
12/01/2007 12.00,"1,019917","201,084082","67,435778","97,754403"
12/01/2007 13.00,"1,912007","126,235802","33,97419","74,195443"
12/01/2007 14.00,"3,679381","60,164043","11,970142","41,839491"
12/01/2007 15.00,"1,518323","50,374489","8,930873","36,706403"
12/01/2007 16.00,"0,635536","39,392972","5,046561","31,677156"
12/01/2007 17.00,"0,268557","49,91534","6,65713","39,735641"
12/01/2007 18.00,"0,217246","54,584464","6,523478","44,613038"
12/01/2007 19.00,"0,223848","70,63972","11,651235","52,811694"
12/01/2007 20.00,"0,210645","64,79554","11,629243","46,997225"
12/01/2007 21.00,"0,289261","77,075302","15,847674","52,812996"
12/01/2007 22.00,"0,175837","68,943278","11,508282","51,333432"
12/01/2007 23.00,"0,116125","68,689056","10,051672","53,313978"
13/01/2007 0.00,"0,171336","76,769207","11,289197","59,50094"
13/01/2007 1.00,"0,358576","83,430464","15,61421","59,530786"
13/01/2007 2.00,"0,299464","41,129643","8,701637","27,806885"
13/01/2007 3.00,"0,157833","47,178732","11,452456","29,774466"
13/01/2007 4.00,"0,098121","26,09771","7,239099","15,008589"
13/01/2007 5.00,"0,042309","37,953353","7,330454","26,732264"
13/01/2007 6.00,"0,022505","32,664282","6,374603","22,906123"
13/01/2007 7.00,"0,051011","57,037044","9,281916","42,834954"
13/01/2007 8.00,"0,122726","65,763086","12,036964","47,339875"
13/01/2007 9.00,"0,170136","101,719106","24,477412","64,232969"
13/01/2007 10.00,"0,196541","123,178837","39,668691","62,399078"
13/01/2007 11.00,"0,941901","85,256596","23,735572","48,897314"
13/01/2007 12.00,"7,572407","72,284267","18,371801","44,145803"
13/01/2007 13.00,"13,756714","84,984249","21,697837","51,751339"
13/01/2007 14.00,"10,81129","100,154957","25,481485","61,127173"
13/01/2007 15.00,"4,943849","47,519833","7,782159","35,612301"
13/01/2007 16.00,"2,612355","46,898566","6,078543","37,604528"
13/01/2007 17.00,"1,594539","122,4331","29,998516","76,490092"
13/01/2007 18.00,"1,806384","297,967989","123,530736","108,637086"
13/01/2007 19.00,"2,198267","409,331658","189,296713","119,170518"
13/01/2007 20.00,"1,823187","314,714618","135,737573","106,665562"
13/01/2007 21.00,"2,593751","524,710538","266,435637","116,272351"
13/01/2007 22.00,"3,518847","710,097278","382,7044","123,392542"
13/01/2007 23.00,"2,678969","450,118821","223,162497","108,024423"
14/01/2007 0.00,"2,061139","336,418309","162,010863","88,0723"
14/01/2007 1.00,,"230,80956","95,065815","85,106652"
14/01/2007 2.00,"0,666611",,,
14/01/2007 3.00,"0,678228","218,423237","89,04989","81,942447"
14/01/2007 4.00,"0,665122","167,116442","53,776398","84,72118"
14/01/2007 5.00,"0,525425","113,568285","29,116251","68,972817"
14/01/2007 6.00,"0,466449","94,057875","19,890174","63,604821"
14/01/2007 7.00,"0,601678","141,948651","48,114884","68,222624"
14/01/2007 8.00,"0,691333","149,2571","49,189997","73,886562"
14/01/2007 9.00,"0,823286","146,668347","47,833184","73,377775"
14/01/2007 10.00,"0,495639","78,792487","16,865276","52,970047"
14/01/2007 11.00,"0,728269","124,460282","33,811769","72,66785"
14/01/2007 12.00,"0,740779","101,965545","24,393676","64,608062"
14/01/2007 13.00,"0,590061","84,29813","18,257613","56,343216"
14/01/2007 14.00,"0,258245","90,56641","17,715405","63,447751"
14/01/2007 15.00,"0,1531","71,22854","10,216618","55,602125"
14/01/2007 16.00,"0,105741","49,124192","6,05401","39,869328"
14/01/2007 17.00,"0,094719","61,052471","7,799923","49,12704"
14/01/2007 18.00,"0,287137","219,951311","87,771742","85,432425"
14/01/2007 19.00,"1,653719","531,147083","267,121605","121,661207"
14/01/2007 20.00,"1,233439","396,133502","189,703487","105,339152"
14/01/2007 21.00,"1,290926","369,688059","171,003473","107,567604"
14/01/2007 22.00,"0,525723","110,337503","17,958159","82,860039"
14/01/2007 23.00,"0,65827","243,05688","94,952476","97,536373"
15/01/2007 0.00,"0,841455","211,370447","75,220461","96,103525"
15/01/2007 1.00,"1,327562","302,847417","130,820527","102,334599"
15/01/2007 2.00,"0,637123","77,613548","10,008532","62,475647"
15/01/2007 3.00,"0,428621","27,918661","0,108273","30,263766"
15/01/2007 4.00,"0,532574","24,307887",0,"27,734209"
15/01/2007 5.00,"0,395558","11,663693",0,"16,067651"
15/01/2007 6.00,"0,360709","23,81763","0,031298","27,429208"
15/01/2007 7.00,"0,507851","86,761111","20,245443","56,582023"
15/01/2007 8.00,"0,806605","167,150197","55,752383","82,129348"
15/01/2007 9.00,"1,363902","234,344846","93,533076","90,996395"
15/01/2007 10.00,"1,305521","142,964197","40,663462","80,671826"
15/01/2007 11.00,"0,683291","97,815203","23,853151","61,284206"
15/01/2007 12.00,"0,230544","80,627721","18,976608","51,567038"
15/01/2007 13.00,"0,058679","69,983425","15,8629","45,692877"
15/01/2007 14.00,"0,017574","80,134864","19,202465","50,727329"
15/01/2007 15.00,"0,014595","67,619063","12,900602","47,872006"
15/01/2007 16.00,"0,01817","56,55717","9,039992","42,725935"
15/01/2007 17.00,"0,017574","75,923568","13,73634","54,899982"
15/01/2007 18.00,"0,041105","99,620591","21,02281","67,433526"
15/01/2007 19.00,"0,064039","122,842918","28,354111","79,423276"
15/01/2007 20.00,"0,045871","126,203374","29,167017","81,538806"
15/01/2007 21.00,"0,089656","137,018868","34,948646","83,490805"
15/01/2007 22.00,"0,288925","201,174903","67,008605","98,500695"
15/01/2007 23.00,"0,215949","106,720229","19,778517","76,447242"
16/01/2007 0.00,"0,362198","166,829814","49,771969","90,578474"
16/01/2007 1.00,,"319,116425","142,964059","99,982877"
16/01/2007 2.00,"1,194171",,,
16/01/2007 3.00,"0,836628","123,143813","28,60618","79,337619"
16/01/2007 4.00,"0,749903","61,713929","0,515991","62,304332"
16/01/2007 5.00,"0,951148","86,082789","15,706413","62,043459"
16/01/2007 6.00,"1,125169","110,011964","38,563112","50,919409"
16/01/2007 7.00,"1,143518","142,530995","56,846962","55,407445"
16/01/2007 8.00,"1,778273","245,32757","112,423348","73,002704"
16/01/2007 9.00,"1,934373","219,652853","95,236693","73,680201"
16/01/2007 10.00,"2,361062","307,55801","142,266113","89,486971"
16/01/2007 11.00,,"4,571835","3,162771","1,412085"
16/01/2007 12.00,,,,
16/01/2007 13.00,,,,
16/01/2007 14.00,"0,348447","86,361635","20,99575","54,20692"
16/01/2007 15.00,"0,105572","61,647775","12,876086","41,934233"
16/01/2007 16.00,"0,022563","58,136883","12,78811","38,555882"
16/01/2007 17.00,"0,012923","99,573919","22,639309","64,906564"
16/01/2007 18.00,"0,048498","132,559878","32,987039","82,038491"
16/01/2007 19.00,"0,015259","104,026432","17,61981","77,063749"
16/01/2007 20.00,"0,014608","109,10799","18,70677","80,48103"
16/01/2007 21.00,"0,079164","197,549744","65,043604","97,888104"
16/01/2007 22.00,"0,124469","230,379932","84,131037","101,454658"
16/01/2007 23.00,"0,044831","116,578555","23,151067","81,137762"
17/01/2007 0.00,"0,023126","83,403237","15,219186","60,109625"
17/01/2007 1.00,"0,003371","70,520373","14,573776","48,208154"
17/01/2007 2.00,"0,010675","52,885422","12,129164","34,311834"
17/01/2007 3.00,"0,003933","47,962097","12,619776","28,632351"
17/01/2007 4.00,"0,006743","34,812091","11,072652","17,847032"
17/01/2007 5.00,"0,006831","29,702002","9,174488","15,645846"
17/01/2007 6.00,"0,013484","41,643243","11,131863","24,592068"
17/01/2007 7.00,"0,005619","102,118582","34,231335","49,666971"
17/01/2007 8.00,"0,041933","181,738561","76,090893","65,115529"
17/01/2007 9.00,"0,090313","242,680788","112,077386","70,884569"
17/01/2007 10.00,"0,09883","200,207233","81,295633","75,611413"
17/01/2007 11.00,"0,042672","162,167213","48,752674","87,476557"
17/01/2007 12.00,"0,010675","81,97268","21,669916","48,780509"
17/01/2007 13.00,"0,002809","77,220556","18,710998","48,565068"
17/01/2007 14.00,"0,003371","97,541558","26,544763","56,880525"
17/01/2007 15.00,"0,010203","83,390254","19,62541","53,336042"
17/01/2007 16.00,"0,00899","81,619876","18,332895","53,547603"
17/01/2007 17.00,"0,016856","82,604307","17,611356","55,639772"
17/01/2007 18.00,"0,016383","97,406683","22,302633","63,254388"
17/01/2007 19.00,"0,039774","146,419354","37,502377","88,979505"
17/01/2007 20.00,"0,091614","205,058172","73,156515","92,953594"
17/01/2007 21.00,"0,124202","272,358084","119,564314","89,095008"
17/01/2007 22.00,"0,071978","193,843144","67,187076","90,889958"
17/01/2007 23.00,"0,051367","157,521432","50,399613","80,300635"
18/01/2007 0.00,"0,020227","92,638981","21,005902","60,473041"
18/01/2007 1.00,,"74,895084","16,744317","49,255526"
18/01/2007 2.00,"0,594875",,,
18/01/2007 3.00,"0,607971","49,723413","13,109548","29,64338"
18/01/2007 4.00,"0,522984","41,483726","12,882844","21,745825"
18/01/2007 5.00,"0,560273","42,390319","12,46498","23,294201"
18/01/2007 6.00,"0,377923","41,364398","12,571555","22,104059"
18/01/2007 7.00,"0,555398","86,9816","23,675504","50,715645"
18/01/2007 8.00,"1,334029","289,201661","141,815318","71,821642"
18/01/2007 9.00,"3,101898","572,680334","314,765373","90,12164"
18/01/2007 10.00,"2,551096","319,218916","151,240275","87,38702"
18/01/2007 11.00,"1,087697","138,691985","45,53408","68,92349"
18/01/2007 12.00,"0,568869","91,344611","26,889883","50,14977"
18/01/2007 13.00,"0,603439","89,968509","25,281005","51,241272"
18/01/2007 14.00,"0,657825","84,321492","22,037881","50,566375"
18/01/2007 15.00,"0,736999","79,000015","19,9054","48,513155"
18/01/2007 16.00,"0,677955","67,547708","13,026648","47,60723"
18/01/2007 17.00,"0,555241","65,927807","12,916687","46,154915"
18/01/2007 18.00,"0,684081","132,440568","32,277334","83,007984"
