NetC,Provincia di TARANTO,,,,
Stat,GROTTAGLIE,,,,
Parm,SO2,NOX,NO2,CO,O3
PtId,1,2,4,5,6
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver,Aver
,,,,,
,,,,,
06/01/2007 6.00,"4,421256","33,342621","32,182019","0,150859","45,317963"
06/01/2007 7.00,"4,432092","27,628151","27,068412","0,128107","50,919562"
06/01/2007 8.00,"4,8511","28,440044","27,382497","0,152841","52,742653"
06/01/2007 9.00,"4,883608","28,523062","26,663469","0,142852","51,696614"
06/01/2007 10.00,"4,605474","27,303895","24,693308","0,139285","53,117336"
06/01/2007 11.00,"3,864986","22,707428","21,316237","0,138413","60,321018"
06/01/2007 12.00,"4,161181","19,361237","17,786031","0,134053","67,034113"
06/01/2007 13.00,"4,681329","16,302972","14,85285","0,138334","69,52609"
06/01/2007 14.00,"4,222588","14,06958","12,986498","0,130485","72,76521"
06/01/2007 15.00,"4,081714","11,864724","10,894337","0,137621","74,707843"
06/01/2007 16.00,"3,781907","10,606659","9,759997","0,155774","76,362997"
06/01/2007 17.00,"4,706614","10,866054","10,266162","0,164098","72,610104"
06/01/2007 18.00,"3,828865","18,21212","16,854158","0,180983","64,035486"
06/01/2007 19.00,"3,937229","21,957771","20,804874","0,233463","50,378758"
06/01/2007 20.00,"3,976962","72,583878","58,339345","0,648147","11,584594"
06/01/2007 21.00,"3,92278","79,377442","63,818942","0,564195","10,230023"
06/01/2007 22.00,"5,710788","130,574183","78,939156","1,141708","13,245439"
06/01/2007 23.00,"5,006422","98,564879","68,039625","0,976659","16,010654"
07/01/2007 0.00,"4,128672","33,03653","29,129415","0,387176","34,547414"
07/01/2007 1.00,"3,565179","17,825619","16,594583","0,270642","52,800986"
07/01/2007 2.00,"4,782469","13,89838","12,963146","0,246384","59,555359"
07/01/2007 3.00,"5,114786","14,552056","13,305784","0,247256","58,674426"
07/01/2007 4.00,"5,331513","13,257674","12,267483","0,23925","60,133169"
07/01/2007 5.00,"6,021432","16,992961","16,277905","0,296089","43,426581"
07/01/2007 6.00,"5,118398","50,052833","31,644706","0,364106","24,266441"
07/01/2007 7.00,"4,107","52,742768","47,11275","0,576166","12,801973"
07/01/2007 8.00,"3,88666","74,334774","56,680663","0,733129","4,383077"
07/01/2007 9.00,"6,104511","102,29498","60,122608","1,146782","8,133414"
07/01/2007 10.00,"6,512683","83,366929","46,341813","0,95589","28,780748"
07/01/2007 11.00,"9,182052","34,214168","26,092413","0,32225","50,920997"
07/01/2007 12.00,"7,094237","12,603999","10,307695","0,164098","66,268454"
07/01/2007 13.00,"10,240407","16,642778","13,246076","0,176543","64,324389"
07/01/2007 14.00,"14,528007","16,134365","12,926802","0,177813","69,376646"
07/01/2007 15.00,"15,322681","14,33157","12,381691","0,165763","72,773771"
07/01/2007 16.00,"11,157883","9,190362","8,597105","0,154507","76,933687"
07/01/2007 17.00,"8,224835","15,677828","14,691911","0,18685","64,618985"
07/01/2007 18.00,"7,596324","48,6547","46,115985","0,39867","33,087256"
07/01/2007 19.00,"9,033954","125,017973","76,737961","1,514377","28,883212"
07/01/2007 20.00,"11,053132","198,133284","93,363705","2,291264","29,266051"
07/01/2007 21.00,"12,248747","203,409649","95,622002","2,134777","25,089041"
07/01/2007 22.00,"12,353499","238,049157","100,177553","2,274696","19,225595"
07/01/2007 23.00,"8,781104","99,545393","73,92419","1,070917","9,196523"
08/01/2007 0.00,"8,18149","70,176672","58,367889","0,867578","16,038257"
08/01/2007 1.00,"7,867234","46,206004","44,330101","0,669392","25,170157"
08/01/2007 2.00,"7,368759",,,"0,437436","35,549343"
08/01/2007 3.00,"7,448226","112,958684","110,892787",,"30,51558"
08/01/2007 4.00,"8,593273","63,808527","62,874109","0,453805",
08/01/2007 5.00,"9,39878","52,395165","51,299684","0,437666","50,231684"
08/01/2007 6.00,"7,914192","47,578208","45,695459","0,453172","33,302457"
08/01/2007 7.00,"8,120084","116,50982","72,008536","0,720188","16,486425"
08/01/2007 8.00,"12,389622","225,787497","83,341554","1,210624","10,206763"
08/01/2007 9.00,"16,326856","320,202253","99,315758","1,794178","12,731923"
08/01/2007 10.00,"13,079545","256,240318","87,305243","1,823292","12,178795"
08/01/2007 11.00,"9,153155","71,429547","53,643642","0,549536","41,221726"
08/01/2007 12.00,"9,113421","57,040943","48,602696","0,414565","51,527517"
08/01/2007 13.00,,,,,
08/01/2007 14.00,,,,,
08/01/2007 15.00,,,,,
08/01/2007 16.00,,,,,
08/01/2007 17.00,,,,,
08/01/2007 18.00,,,,,
08/01/2007 19.00,,,,,
08/01/2007 20.00,,,,,
08/01/2007 21.00,,,,,
08/01/2007 22.00,,,,,
08/01/2007 23.00,,,,,
09/01/2007 0.00,,,,,
09/01/2007 1.00,,,,,
09/01/2007 2.00,,,,,
09/01/2007 3.00,,,,,
09/01/2007 4.00,,,,,
09/01/2007 5.00,,,,,
09/01/2007 6.00,,,,,
09/01/2007 7.00,,,,,
09/01/2007 8.00,,,,,
09/01/2007 9.00,,,,,
09/01/2007 10.00,,,,,
09/01/2007 11.00,,,,,
09/01/2007 12.00,,,,,
09/01/2007 13.00,,,,,
09/01/2007 14.00,,,,,
09/01/2007 15.00,,,,,
09/01/2007 16.00,,,,,
09/01/2007 17.00,,,,,
09/01/2007 18.00,,,,,
09/01/2007 19.00,,,,,
09/01/2007 20.00,,,,,
09/01/2007 21.00,,,,,
09/01/2007 22.00,,,,,
09/01/2007 23.00,,,,,
10/01/2007 0.00,,,,,
10/01/2007 1.00,,,,,
10/01/2007 2.00,,,,,
10/01/2007 3.00,,,,,
10/01/2007 4.00,,,,,
10/01/2007 5.00,,,,,
10/01/2007 6.00,,,,,
10/01/2007 7.00,,,,,
10/01/2007 8.00,,,,,
10/01/2007 9.00,,,,,
10/01/2007 10.00,,,,,
10/01/2007 11.00,,,,,
10/01/2007 12.00,,,,,
10/01/2007 13.00,,,,,
10/01/2007 14.00,,,,,
10/01/2007 15.00,,,,,
10/01/2007 16.00,,,,,
10/01/2007 17.00,,,,,
10/01/2007 18.00,,,,,
10/01/2007 19.00,,,,,
10/01/2007 20.00,,,,,
10/01/2007 21.00,,,,,
10/01/2007 22.00,,,,,
10/01/2007 23.00,,,,,
11/01/2007 0.00,,,,,
11/01/2007 1.00,,,,,
11/01/2007 2.00,,,,,
11/01/2007 3.00,,,,,
11/01/2007 4.00,,,,,
11/01/2007 5.00,,,,,
11/01/2007 6.00,,,,,
11/01/2007 7.00,,,,,
11/01/2007 8.00,,,,,
11/01/2007 9.00,,,,,
11/01/2007 10.00,,,,,
11/01/2007 11.00,,"94,067321",,"0,038941","31,625378"
11/01/2007 12.00,,"40,901368","36,158712","0,003046","48,416676"
11/01/2007 13.00,,"40,198423","32,960756","0,120039","54,871777"
11/01/2007 14.00,,,,,"50,269451"
11/01/2007 15.00,,"56,195304","46,240572","0,281175","63,724708"
11/01/2007 16.00,"1,21729","20,092729","19,919732","0,084613","86,060753"
11/01/2007 17.00,"0,06863","21,514206","20,849002","0,07624","80,563384"
11/01/2007 18.00,"0,032509","32,665602","31,621344","0,238216","71,92831"
11/01/2007 19.00,0,"46,135966","43,569546","0,403884","51,872694"
11/01/2007 20.00,0,"67,512699","60,356236","0,420656","28,78404"
11/01/2007 21.00,0,"95,081196","59,437328","0,620106","26,108924"
11/01/2007 22.00,0,"44,263144","41,269737","0,356573","42,292624"
11/01/2007 23.00,0,"59,297676","44,685734","0,444786","29,788461"
12/01/2007 0.00,0,"64,732004","54,230282","0,571766","13,246862"
12/01/2007 1.00,0,"64,023837","44,924523","0,595027","17,456319"
12/01/2007 2.00,"0,007225","73,494336","51,829214","0,782293","12,78144"
12/01/2007 3.00,0,"31,858871","29,542138","0,368599","25,6633"
12/01/2007 4.00,0,"26,479019","25,220236","0,297949","28,402097"
12/01/2007 5.00,0,"30,162429","27,636889","0,278407","28,110667"
12/01/2007 6.00,0,"34,276441","26,621941","0,319864","30,408069"
12/01/2007 7.00,"0,003612","70,070344","52,247118","0,444153","19,990538"
12/01/2007 8.00,0,"62,200302","50,842832","0,646293","18,802221"
12/01/2007 9.00,"0,057794","136,415766","59,998024","1,313553","13,367105"
12/01/2007 10.00,0,"62,73725","36,428667","0,661484","35,763966"
12/01/2007 11.00,0,"32,930185","26,123559","0,291777","51,985871"
12/01/2007 12.00,0,"22,650355","17,523862","0,129171","62,322784"
12/01/2007 13.00,0,"10,764888","9,785956","0,117169","82,351528"
12/01/2007 14.00,0,"9,607987","8,615275","0,12081","84,510294"
12/01/2007 15.00,0,"8,510748","7,714553","0,112028","86,507768"
12/01/2007 16.00,0,"8,593753","7,950765","0,116615","85,185063"
12/01/2007 17.00,0,"9,605395","8,921573","0,119938","84,7154"
12/01/2007 18.00,0,"10,355046","9,871616","0,108467","81,143397"
12/01/2007 19.00,0,"9,823286","9,183743","0,097945","76,63346"
12/01/2007 20.00,0,"10,336887","9,770381","0,091773","69,216426"
12/01/2007 21.00,0,"10,985375","10,17531","0,104669","61,735693"
12/01/2007 22.00,0,"10,98797","10,575061","0,135841","56,975365"
12/01/2007 23.00,0,"8,754579","8,324553","0,104828","56,208625"
13/01/2007 0.00,0,"9,942608","9,121446","0,101979","60,055087"
13/01/2007 1.00,0,"8,28248","7,621106","0,08694","61,165581"
13/01/2007 2.00,0,"8,056806","7,919614","0,077138","59,827318"
13/01/2007 3.00,0,"6,3448","5,757361","0,117566","59,905122"
13/01/2007 4.00,0,"4,863655","4,389403","0,158468","67,656036"
13/01/2007 5.00,0,"8,60413","7,096765","0,148816","62,844776"
13/01/2007 6.00,0,"4,588697","4,212893","0,152614","67,460823"
13/01/2007 7.00,0,"7,600271","6,689233","0,13323","63,727542"
13/01/2007 8.00,0,"13,133165","12,08319","0,180858","57,295082"
13/01/2007 9.00,0,"20,481821","18,24289","0,274847","54,663817"
13/01/2007 10.00,0,"14,170746","11,93523","0,191776","64,050075"
13/01/2007 11.00,0,"9,66246","8,013061","0,166537","72,165973"
13/01/2007 12.00,0,"9,078822","7,314807","0,172313","76,002541"
13/01/2007 13.00,0,"9,024349","7,33817","0,179592","79,404773"
13/01/2007 14.00,0,"7,530234","6,17787","0,192409","85,213374"
13/01/2007 15.00,0,"6,718328","5,741786","0,159337","89,150368"
13/01/2007 16.00,0,"6,884341","6,01953","0,152456","87,21087"
13/01/2007 17.00,0,"12,79595","11,496549","0,215273","81,280626"
13/01/2007 18.00,0,"14,767353","13,910591","0,236396","76,854144"
13/01/2007 19.00,0,"45,617183","37,370918","0,556181","57,462007"
13/01/2007 20.00,0,"105,739737","74,435551","1,155401","26,660642"
13/01/2007 21.00,0,"310,150687","100,320305","2,72054","31,778874"
13/01/2007 22.00,0,"188,289589","76,444645","1,808103","33,023774"
13/01/2007 23.00,0,"20,89426","19,914531","0,381019","55,071236"
14/01/2007 0.00,0,"26,043237","23,455135","0,45175","52,526257"
14/01/2007 1.00,0,"17,778928","16,867137","0,434422","62,144531"
14/01/2007 2.00,0,"8,199474","7,27068","0,256571","74,743475"
14/01/2007 3.00,0,"13,325118","12,713945","0,258628","66,119725"
14/01/2007 4.00,0,"25,029017","23,520027","0,386241","46,986461"
14/01/2007 5.00,0,"22,341682","21,793856","0,381415","44,406128"
14/01/2007 6.00,0,"32,56702","27,566794","0,343123","39,573639"
14/01/2007 7.00,0,"41,254154","37,023089","0,408394","39,436421"
14/01/2007 8.00,0,"46,78186","37,612328","0,548823","35,150003"
14/01/2007 9.00,0,"129,87126","75,445284","1,241399","18,06519"
14/01/2007 10.00,0,"54,579282","42,165257","0,696769","47,218458"
14/01/2007 11.00,0,"33,334839","26,336404","0,566624","71,21673"
14/01/2007 12.00,"0,408172","21,379314","17,217569","0,498665","78,615393"
14/01/2007 13.00,"13,068704","30,056085","24,355857","0,486085","77,820365"
14/01/2007 14.00,"21,564437","38,281489","32,000322","0,561166","82,35292"
14/01/2007 15.00,"33,578422","52,706438","43,556582","0,736009","77,376159"
14/01/2007 16.00,"36,641503","59,162786","51,221809","0,837753","68,319511"
14/01/2007 17.00,"1,228126","23,340337","22,393478","0,320971","79,425999"
14/01/2007 18.00,0,"48,151464","46,855756","0,391384","48,501562"
14/01/2007 19.00,0,"29,246773","28,506447","0,337823","59,036541"
14/01/2007 20.00,0,"33,148077","31,50454","0,460294","56,221353"
14/01/2007 21.00,0,"23,39741","22,427224","0,421368","49,572459"
14/01/2007 22.00,0,"14,938553","14,398585","0,221997","65,691081"
14/01/2007 23.00,0,"36,691393","35,278749","0,385134","38,371193"
15/01/2007 0.00,0,"20,318402","19,037189","0,318677","61,410329"
15/01/2007 1.00,0,"10,451022","9,998808","0,240115","64,487197"
15/01/2007 2.00,0,"8,287669","7,839149","0,225241","65,334576"
15/01/2007 3.00,0,"7,693655","7,348552","0,199212","63,044254"
15/01/2007 4.00,0,"8,71048","7,813191","0,213137","57,603471"
15/01/2007 5.00,0,"10,661132","9,944297","0,250638","48,295021"
15/01/2007 6.00,0,"16,909955","16,519312","0,207283","49,562562"
15/01/2007 7.00,0,"9,841444","9,13702","0,159181","63,618616"
15/01/2007 8.00,0,"20,279494","18,803571","0,20657","56,338781"
15/01/2007 9.00,0,"9,45754","8,519233","0,148894","66,044756"
15/01/2007 10.00,0,"9,524982","8,106511","0,161553","66,358811"
