,ARPA Puglia,,
04/01/2008 23.00,"1,79925096","7,92272686","1,3622072"
05/01/2008 0.00,"1,72973299","6,56673277","1,32722995"
05/01/2008 1.00,"1,82659996","5,22095439","1,3590907"
05/01/2008 2.00,"1,91563404","5,04347639","1,31836575"
05/01/2008 3.00,"1,65828896","4,27227016","1,2994494"
05/01/2008 4.00,"1,74238396","3,96455549","1,29607415"
05/01/2008 5.00,"1,78780496","3,61215014","1,3005994"
05/01/2008 6.00,"1,73395002","3,57384545","1,29106705"
05/01/2008 7.00,"1,782745","3,86368498","1,3191811"
05/01/2008 8.00,"1,67431295","5,92959668","1,31079875"
05/01/2008 9.00,"1,81382895","8,0287024","1,3196641"
05/01/2008 10.00,"1,91454995","10,20824907","1,365211"
05/01/2008 11.00,"1,782745","11,51189117","1,4122414"
05/01/2008 12.00,"1,80780494","10,01289406","1,40081845"
05/01/2008 13.00,"1,91948998","10,2414412","1,43768515"
05/01/2008 14.00,"1,71997499","9,29531701","1,39673825"
05/01/2008 15.00,"1,50564003","8,1742617","1,4025607"
05/01/2008 16.00,"1,52660406","9,65027488","1,36621265"
05/01/2008 17.00,"1,77647996","8,87907052","1,3283052"
05/01/2008 18.00,"1,72491395","8,60838333","1,33739365"
05/01/2008 19.00,"1,68431199","9,09868479","1,3740384"
05/01/2008 20.00,"1,50660396","12,98918343","1,37567025"
05/01/2008 21.00,"1,43973804","16,57834398","1,3634676"
05/01/2008 22.00,"1,60009694","14,30431091","1,3574968"
05/01/2008 23.00,"1,41503894","7,55372168","1,30460485"
06/01/2008 0.00,"1,23227096","5,66146202","1,3200712"
06/01/2008 1.00,,"4,54168202","1,2698139"
06/01/2008 2.00,"0,67005002",,"1,26284145"
06/01/2008 3.00,"0,61370403","4,42932049",
06/01/2008 4.00,"0,70079499","3,89305303","1,2660856"
06/01/2008 5.00,"0,60341603","2,95075292","1,2228433"
06/01/2008 6.00,"0,54898399","2,99544171","1,2462918"
06/01/2008 7.00,"0,59061497","2,7988095","1,2357302"
06/01/2008 8.00,"0,70342702","2,94947572","1,2327034"
06/01/2008 9.00,"0,64492702","3,12950811","1,23857415"
06/01/2008 10.00,"0,68189299","3,72068007","1,23635925"
06/01/2008 11.00,"0,77915198","3,93135772","1,2041581"
06/01/2008 12.00,"0,73118103","4,03478074","1,22801255"
06/01/2008 13.00,"0,69768399","4,36547935","1,2442977"
06/01/2008 14.00,"0,86672199","5,12008576","1,2885014"
06/01/2008 15.00,"0,75881499","4,18161536","1,2527548"
06/01/2008 16.00,"0,73524803","3,94540126","1,29681015"
06/01/2008 17.00,"0,74888599","5,92065817","1,29559115"
06/01/2008 18.00,"0,84195799","7,99933622","1,29980015"
06/01/2008 19.00,"0,713117","11,33057406","1,3211821"
06/01/2008 20.00,"0,76754802","13,72591282","1,32812465"
06/01/2008 21.00,"0,95716202","12,13753434","1,2990998"
06/01/2008 22.00,"0,71730399","10,13035686","1,30692785"
06/01/2008 23.00,"0,69038701","10,95008162","1,32476435"
07/01/2008 0.00,"0,87270302","9,87116635","1,3057836"
07/01/2008 1.00,"0,57578099","5,82361738","1,23783585"
07/01/2008 2.00,"0,55771703","4,91196252","1,23403165"
07/01/2008 3.00,"0,56298101","3,93008052","1,2251318"
07/01/2008 4.00,"0,57362801","3,66577745","1,2369124"
07/01/2008 5.00,"0,57829303","3,13461502","1,21593755"
07/01/2008 6.00,"0,54132801","4,53657323","1,20127735"
07/01/2008 7.00,"0,63404101","12,1260452","1,307481"
07/01/2008 8.00,"0,71108299","50,26237029","1,3936344"
07/01/2008 9.00,"1,10538399","64,8871641","1,64744055"
07/01/2008 10.00,"1,09485602","97,29694458","1,7064505"
07/01/2008 11.00,"1,32047904","73,03206339","1,51069635"
07/01/2008 12.00,"1,23147404","12,45674381","1,3565584"
07/01/2008 13.00,"2,47837806","16,73794495","1,39987545"
07/01/2008 14.00,"2,6103301","17,519555","1,40921805"
07/01/2008 15.00,"1,04066396","9,80349549","1,4360648"
07/01/2008 16.00,"0,51991397","8,66711756","1,3878361"
07/01/2008 17.00,"0,432464","12,26522227","1,4314119"
07/01/2008 18.00,"0,49347499","17,12993594","1,52391675"
07/01/2008 19.00,"0,82879901","27,85657545","1,6392054"
07/01/2008 20.00,"1,03671598","39,171825","1,8642811"
07/01/2008 21.00,"1,21855402","53,90898975","2,03326325"
07/01/2008 22.00,"1,35469306","79,68946788","2,3159091"
07/01/2008 23.00,"1,51463795","75,23841996","2,3947876"
08/01/2008 0.00,"1,13828194","61,86108654","2,2201187"
08/01/2008 1.00,,"43,82459136","2,000471"
08/01/2008 2.00,"0,68611097",,"1,91623925"
08/01/2008 3.00,"0,55315799","32,08543965",
08/01/2008 4.00,"0,52226299","19,52143182","1,7395498"
08/01/2008 5.00,"0,487064","14,08341944","1,65114815"
08/01/2008 6.00,"0,50369102","8,06956148","1,41347075"
08/01/2008 7.00,"0,51589501","7,7490767","1,32599025"
08/01/2008 8.00,"0,48340899","12,0583687","1,3082285"
08/01/2008 9.00,"0,54000998","33,03156384","1,4597893"
08/01/2008 10.00,"0,644427","67,93880445","1,49483325"
08/01/2008 11.00,"0,53299397","54,27672525","1,44247145"
08/01/2008 12.00,"0,63269401","41,04876204","1,4253353"
08/01/2008 13.00,"0,55250901","25,59275433","1,45717305"
08/01/2008 14.00,"0,533288","17,98158503","1,39320315"
08/01/2008 15.00,"0,56919497","15,63860579","1,3050591"
08/01/2008 16.00,,,
08/01/2008 17.00,"0,82660002","16,22722147","1,2546937"
08/01/2008 18.00,"0,264256","7,46562128","1,1677951"
08/01/2008 19.00,"0,35870999","6,90892241","1,1225081"
08/01/2008 20.00,"0,48010701","5,97045389","1,12505075"
08/01/2008 21.00,"0,36808401","4,96814234","1,10843095"
08/01/2008 22.00,"0,39768201","7,13747707","1,2070768"
08/01/2008 23.00,"0,379051","6,7212287","1,19392195"
09/01/2008 0.00,"0,40976799","7,77333596","1,24072005"
09/01/2008 1.00,"0,368792","14,19195502","1,3412082"
09/01/2008 2.00,"0,351634","17,46063644","1,2807021"
09/01/2008 3.00,"0,32528001","10,78536809","1,2091399"
09/01/2008 4.00,"0,291201","6,31136821","1,162305"
09/01/2008 5.00,"0,241439","4,39739992","1,13931075"
09/01/2008 6.00,"0,204413","3,04140771","1,12490355"
09/01/2008 7.00,"0,29833499","4,03733326","1,12018625"
09/01/2008 8.00,"0,30629501","4,61573888","1,0999198"
09/01/2008 9.00,"0,241734","18,48720535","1,23821535"
09/01/2008 10.00,"0,34738901","19,30180626","1,2621664"
09/01/2008 11.00,"0,32981899","10,40232313","1,141559"
09/01/2008 12.00,"0,326518","5,23755421","1,12018625"
09/01/2008 13.00,"0,62968701","4,65021196","1,14038025"
09/01/2008 14.00,"0,56494999","3,87645321","1,16798025"
09/01/2008 15.00,"0,678388","4,45102723","1,15309235"
09/01/2008 16.00,"0,61400402","4,54551174","1,1641473"
09/01/2008 17.00,"0,483704","4,09479216","1,185742"
09/01/2008 18.00,"0,41418999","9,87244355","1,21816855"
09/01/2008 19.00,"0,40175","22,48878456","1,62483845"
09/01/2008 20.00,"0,515306","25,02456066","1,77006045"
09/01/2008 21.00,"0,392434","33,41715003","1,9095727"
09/01/2008 22.00,"0,40599501","59,60238174","1,9422948"
09/01/2008 23.00,"0,66983902","78,9169788","2,423878"
10/01/2008 0.00,"0,519315","89,18266797","2,1851679"
10/01/2008 1.00,,"76,26881295","2,16180565"
10/01/2008 2.00,"0,700019",,"1,76294885"
10/01/2008 3.00,"0,96975797",,
10/01/2008 4.00,"0,71520603",,"2,3114885"
10/01/2008 5.00,"0,78860599",,"2,20128745"
10/01/2008 6.00,"0,65879899",,"2,0955783"
10/01/2008 7.00,"0,63204199",,"2,03911215"
10/01/2008 8.00,"0,78499103",,"2,07009545"
10/01/2008 9.00,"0,83778101",,"2,10396065"
10/01/2008 10.00,"1,71714401",,"2,36409985"
10/01/2008 11.00,"1,84695101",,"2,2662475"
10/01/2008 12.00,"1,95650995",,"2,01007465"
10/01/2008 13.00,"1,23117995",,"1,6634221"
10/01/2008 14.00,"1,30747402",,"1,5578613"
10/01/2008 15.00,"1,06304598",,"1,5068956"
10/01/2008 16.00,"1,11547506",,"1,53915195"
10/01/2008 17.00,"1,23081899",,"1,54121045"
10/01/2008 18.00,"0,988922",,"1,54091145"
10/01/2008 19.00,"0,988922",,"1,67019445"
10/01/2008 20.00,"0,95131701",,"1,7985425"
10/01/2008 21.00,"1,19357598",,"2,08270635"
10/01/2008 22.00,"1,44342804",,"2,4844025"
10/01/2008 23.00,"1,34797096",,"2,3642873"
11/01/2008 0.00,"1,17043495",,"2,41192145"
11/01/2008 1.00,"0,818618",,"2,31886"
11/01/2008 2.00,"0,93468499",,"2,2990271"
11/01/2008 3.00,"0,84501302",,"2,4692846"
11/01/2008 4.00,"0,99145299",,"2,42527985"
11/01/2008 5.00,"0,949148",,"2,39332365"
11/01/2008 6.00,"0,86453801",,"2,210231"
11/01/2008 7.00,"0,722799",,"2,3049772"
11/01/2008 8.00,"0,92745298",,"2,3268295"
11/01/2008 9.00,"1,73847699",,"2,53099015"
11/01/2008 10.00,"2,14995599",,"2,52889485"
11/01/2008 11.00,"1,34290898",,"2,0004963"
11/01/2008 12.00,"1,97458899",,"1,7204874"
11/01/2008 13.00,"2,23456502",,"1,59958445"
11/01/2008 14.00,"2,47646189",,"1,48878655"
11/01/2008 15.00,"2,35388708",,"1,4763999"
11/01/2008 16.00,"1,88130105",,"1,50064765"
11/01/2008 17.00,"1,57793605",,"1,48047895"
11/01/2008 18.00,"0,932154",,"1,502406"
11/01/2008 19.00,"0,34097001",,"1,46255505"
11/01/2008 20.00,"0,43389601",,"1,63629245"
11/01/2008 21.00,"0,61070901","34,78975335","1,6854998"
11/01/2008 22.00,"0,58503699","26,11369728","1,58746"
11/01/2008 23.00,"0,47837099","25,52379687","1,51595185"
12/01/2008 0.00,"0,60239297","22,27299624","1,59984665"
12/01/2008 1.00,,"16,35234747","1,56141595"
12/01/2008 2.00,"0,485351",,"1,54154625"
12/01/2008 3.00,"0,447905","12,09284366",
12/01/2008 4.00,"0,49543199","7,35836855","1,31433845"
12/01/2008 5.00,"0,45312601","10,35891341","1,2903874"
12/01/2008 6.00,"0,44466501","11,07265698","1,25876125"
12/01/2008 7.00,"0,45960701","7,52946054","1,26222505"
12/01/2008 8.00,"0,48282999","8,4526102","1,25250295"
12/01/2008 9.00,"0,472929","14,88144121","1,2609957"
12/01/2008 10.00,"0,41748101","15,74713008","1,33572155"
12/01/2008 11.00,"0,32458699","9,76135921","1,33784445"
12/01/2008 12.00,"0,34529001","8,73734281","1,36939585"
12/01/2008 13.00,"0,52621698","8,13723422","1,3765109"
12/01/2008 14.00,"0,39785799","9,54174494","1,3774056"
12/01/2008 15.00,"0,44376501","9,95160731","1,38526585"
12/01/2008 16.00,"0,308745","9,1548665","1,3670119"
12/01/2008 17.00,"0,215131","7,22047055","1,32983585"
12/01/2008 18.00,"0,17138501","8,42068775","1,35971055"
12/01/2008 19.00,"0,16832501","10,9436975","1,38057155"
12/01/2008 20.00,"0,161484","10,80196979","1,3875739"
12/01/2008 21.00,"0,15932301","9,6643203","1,3896232"
12/01/2008 22.00,"0,159503","9,92862526","1,39547095"
12/01/2008 23.00,"0,173905","9,59154065","1,3563583"
13/01/2008 0.00,"0,144201","7,84483841","1,32413645"
13/01/2008 1.00,"0,150142","6,39308449","1,34123465"
13/01/2008 2.00,"0,144381","5,20435644","1,3001095"
13/01/2008 3.00,"0,164184","5,49164157","1,2494106"
13/01/2008 4.00,"0,108736","4,83918287","1,25045365"
13/01/2008 5.00,"0,47238901","3,16270588","1,21856645"
13/01/2008 6.00,"0,319727","2,89968","1,2048596"
13/01/2008 7.00,"0,29236299","3,08992622","1,2149911"
13/01/2008 8.00,"0,38255599","4,0143512","1,2421472"
13/01/2008 9.00,"0,624331","3,95689417","1,2072424"
13/01/2008 10.00,"0,58382499","5,68444407","1,2281402"
13/01/2008 11.00,"0,53089702","7,1936569","1,21454375"
13/01/2008 12.00,"0,62541097","8,19596656","1,2533965"
13/01/2008 13.00,"0,60146803","10,07034356","1,2921745"
13/01/2008 14.00,"0,56150198","9,88265738","1,32126835"
13/01/2008 15.00,"0,61136901","9,44981294","1,32763705"
13/01/2008 16.00,"0,76763201","6,9574428","1,36578255"
13/01/2008 17.00,"0,74134803","6,38670038","1,3207842"
13/01/2008 18.00,"0,71578401","16,37916677","1,3896991"
13/01/2008 19.00,"0,73972797","37,46342556","1,7686885"
13/01/2008 20.00,"0,69598103","30,70006434","1,6855826"
13/01/2008 21.00,"0,524957","29,32110324","1,59226815"
13/01/2008 22.00,"0,61479002","29,70924759","1,65522375"
13/01/2008 23.00,"0,55430102","22,48111008","1,557514"
14/01/2008 0.00,"0,61785001","9,7115635","1,3087506"
14/01/2008 1.00,,"6,22709564","1,22709715"
14/01/2008 2.00,"0,932118",,"1,23715505"
14/01/2008 3.00,"0,77160299","3,79090721",
14/01/2008 4.00,"0,78084499","2,96096675","1,18783385"
14/01/2008 5.00,"0,90182799","5,59378928","1,1840952"
14/01/2008 6.00,"0,76397002","10,09204842","1,185328"
14/01/2008 7.00,"0,60634702","11,33057406","1,21931855"
14/01/2008 8.00,"0,77497202","10,29251787","1,27847225"
14/01/2008 9.00,"0,76161498","41,33350782","1,2955969"
14/01/2008 10.00,"0,89720702","54,95345262","1,5397304"
14/01/2008 11.00,"1,02477896","21,52605114","1,32805335"
14/01/2008 12.00,"1,23815405","21,57328305","1,3536673"
14/01/2008 13.00,"1,99401498","24,33380103","1,49620635"
14/01/2008 14.00,"5,44155598","20,03727726","1,4642352"
14/01/2008 15.00,"5,25015306","11,08159361","1,4172715"
14/01/2008 16.00,"4,03555298","10,40232313","1,45189685"
14/01/2008 17.00,"2,96584511","10,12269931","1,4303953"
14/01/2008 18.00,"1,61478698","9,13826856","1,3324659"
14/01/2008 19.00,"1,25332904","33,39674118","1,58699425"
14/01/2008 20.00,"1,38215303","64,89228042","1,9463313"
14/01/2008 21.00,"1,53279996","70,58055609","2,12495275"
14/01/2008 22.00,"1,65977597","94,31424288","2,37039495"
14/01/2008 23.00,"2,84957194","47,59123743","2,80320665"
15/01/2008 0.00,"2,17480397","100,01912778","2,93314515"
15/01/2008 1.00,"2,03554511","68,54145804","2,7704144"
15/01/2008 2.00,"1,37422204","78,86972808","2,4420756"
15/01/2008 3.00,"1,219818","68,5261467","2,60069165"
15/01/2008 4.00,"1,194924","58,06635714","2,6244357"
15/01/2008 5.00,"0,96479398","54,29587383","2,4292117"
15/01/2008 6.00,"0,91449898","54,64827918","2,20089645"
15/01/2008 7.00,"0,89583498","53,08289217","1,83733315"
15/01/2008 8.00,"0,90144002","77,62866309","1,8099252"
15/01/2008 9.00,"1,93719006","46,40507883","2,1807795"
15/01/2008 10.00,"2,25488305","88,06035051","2,7086801"
15/01/2008 11.00,"1,35329294","56,75249745","1,75421115"
15/01/2008 12.00,"1,33650804","14,47924203","1,36391265"
15/01/2008 13.00,"1,24501097","8,97483223","1,3146685"
15/01/2008 14.00,"1,39082897","8,66584036","1,34372095"
15/01/2008 15.00,"1,27383995","8,35940101","1,32293125"
15/01/2008 16.00,"1,64826798","8,98887766","1,28849335"
15/01/2008 17.00,"1,26731098","10,90539094","1,31706165"
15/01/2008 18.00,"1,35657299","13,19219223","1,3682125"
15/01/2008 19.00,"1,05682802","15,3410993","1,3940139"
15/01/2008 20.00,"1,02710402","17,08269463","1,40612915"
15/01/2008 21.00,"1,31146502","20,56077837","1,4236287"
15/01/2008 22.00,"1,03026402","31,60407294","1,6314153"
15/01/2008 23.00,"1,30240202","34,28540082","1,71016385"
16/01/2008 0.00,"1,22837496","35,85846231","1,79690605"
16/01/2008 1.00,,"30,36043098","1,74998605"
16/01/2008 2.00,"0,56226301",,"1,59282705"
16/01/2008 3.00,"0,59196901","9,54940625",
16/01/2008 4.00,"0,57424098","5,87341498","1,32521055"
16/01/2008 5.00,"0,42237499","5,34863855","1,26944475"
16/01/2008 6.00,"0,50711203","7,36219638","1,29062085"
16/01/2008 7.00,"0,418919","10,61683237","1,26565435"
16/01/2008 8.00,"0,42073601","19,14859881","1,3602062"
16/01/2008 9.00,"0,514144","53,86303692","1,42381155"
16/01/2008 10.00,"0,64509302","52,54533999","1,40843145"
16/01/2008 11.00,"0,650069","26,83127997","1,409693"
16/01/2008 12.00,"0,72434801","14,16769764","1,4423507"
16/01/2008 13.00,"0,68215799","11,90898532","1,4125174"
16/01/2008 14.00,"0,637793","9,31957815","1,40415805"
16/01/2008 15.00,"0,94134599","9,78306595","1,4096194"
16/01/2008 16.00,"0,78971899","10,0282148","1,40415805"
16/01/2008 17.00,"1,06624699","10,84155732","1,38573045"
16/01/2008 18.00,"0,74377501","31,87858608","1,4862278"
16/01/2008 19.00,"0,699588","59,15301084","1,61886075"
16/01/2008 20.00,"0,70510101","77,91209217","1,8722759"
16/01/2008 21.00,"0,71555901","74,29101669","1,9931317"
16/01/2008 22.00,"0,65573001","63,69972642","2,04885955"
16/01/2008 23.00,"0,54250902","49,84102629","1,94360695"
17/01/2008 0.00,"0,67652702","33,45674508","1,7323232"
17/01/2008 1.00,"0,54060203","17,33806107","1,55150295"
17/01/2008 2.00,"0,50189799","9,09740759","1,38041745"
17/01/2008 3.00,"0,496654","6,50161443","1,2979774"
17/01/2008 4.00,"0,49495599","5,26564319","1,3055191"
17/01/2008 5.00,"0,46328399","4,59020054","1,26632365"
17/01/2008 6.00,"0,55475497","3,81133487","1,2557724"
17/01/2008 7.00,"0,47174501","4,27099296","1,2702624"
17/01/2008 8.00,"0,57623702","9,55451317","1,2748693"
17/01/2008 9.00,"0,44364899","12,75296933","1,27263945"
17/01/2008 10.00,"0,55844897","19,0949715","1,37384175"
17/01/2008 11.00,"0,42577201","14,1459815","1,32989105"
17/01/2008 12.00,"0,42773801","11,16203834","1,33226925"
17/01/2008 13.00,"0,50916803","9,82264784","1,29983465"
17/01/2008 14.00,"0,60409498","13,06706623","1,32888825"
17/01/2008 15.00,"0,501719","12,4669614","1,31941455"
17/01/2008 16.00,"0,55833","10,36401656","1,33041085"
17/01/2008 17.00,"0,50529498","10,8824164","1,3486901"
17/01/2008 18.00,"0,61684799","11,62552991","1,33839875"
17/01/2008 19.00,"0,63812101","12,16817583","1,3731736"
17/01/2008 20.00,"0,57936502","11,65105696","1,387291"
17/01/2008 21.00,"0,50925702","11,35356176","1,3464614"
17/01/2008 22.00,"0,613213","11,91536943","1,37443745"
17/01/2008 23.00,"0,491142","8,97993914","1,32353845"
18/01/2008 0.00,"0,369519","6,64589653","1,29467115"
18/01/2008 1.00,,"5,18903382","1,27167345"
18/01/2008 2.00,"0,33543301",,"1,2438469"
18/01/2008 3.00,"0,416482","4,64382785",
18/01/2008 4.00,"0,44831401","3,56362974","1,1828739"
18/01/2008 5.00,"0,340783","2,69027956","1,1670154"
18/01/2008 6.00,"0,42004901","2,81796184","1,16053745"
18/01/2008 7.00,"0,39642099","4,06797851","1,18075215"
18/01/2008 8.00,"0,406407","7,7912111","1,1979504"
18/01/2008 9.00,"0,41184601","16,93074933","1,25941215"
18/01/2008 10.00,"0,382065","29,0823291","1,33070065"
18/01/2008 11.00,"0,44055599","34,10792847","1,4024365"
18/01/2008 12.00,"0,49459001","26,76999699","1,3503944"
18/01/2008 13.00,"0,52651","10,23505709","1,30925775"
18/01/2008 14.00,"0,50457603","11,27184548","1,3318173"
18/01/2008 15.00,"0,76395202","12,56655094","1,3368428"
18/01/2008 16.00,"0,57011098","10,93221023","1,31398655"
18/01/2008 17.00,"0,61968601","14,00936823","1,3494261"
18/01/2008 18.00,"0,67719603","17,80920643","1,44450235"
18/01/2008 19.00,"0,64340299","24,37209819","1,5197756"
18/01/2008 20.00,"0,79346502","46,79706042","2,0639924"
18/01/2008 21.00,"1,15350699","62,36415999","2,85297635"
18/01/2008 22.00,"0,64438403","46,92984021","1,9995165"
18/01/2008 23.00,"1,01262903","48,91403187","2,28381605"
19/01/2008 0.00,"2,32475591","78,5913777","3,2609055"
19/01/2008 1.00,"2,3977809","52,95009357","3,08035665"
19/01/2008 2.00,"0,793019","47,76744951","1,99542135"
19/01/2008 3.00,"0,45571399","14,63117792","1,47908745"
19/01/2008 4.00,"0,42522001","8,93142063","1,29809125"
19/01/2008 5.00,"0,42334801","6,50033723","1,24690475"
19/01/2008 6.00,"0,33659199","6,2079433","1,2343203"
19/01/2008 7.00,"0,43155101","6,01641988","1,23134295"
19/01/2008 8.00,"0,562621","7,43242163","1,2511471"
19/01/2008 9.00,"0,390358","9,58132682","1,26060355"
19/01/2008 10.00,"0,46044001","14,54690912","1,3017011"
19/01/2008 11.00,"0,485495","11,01264556","1,2843545"
19/01/2008 12.00,"0,60220999","9,72050201","1,2887475"
19/01/2008 13.00,"0,98035198","10,86964629","1,28286525"
19/01/2008 14.00,"0,895468","9,32596038","1,2884485"
19/01/2008 15.00,"1,38559902","9,72050201","1,24675525"
19/01/2008 16.00,"1,14842498","7,97890668","1,26838445"
19/01/2008 17.00,"0,96171701","8,35429409","1,2611245"
19/01/2008 18.00,"0,81441897","8,05040914","1,2822684"
19/01/2008 19.00,"0,76956898","8,62625848","1,2637304"
19/01/2008 20.00,"0,82074898","8,57007865","1,28148755"
19/01/2008 21.00,"0,70742297","8,25980958","1,32950925"
19/01/2008 22.00,"0,68459702","10,62321648","1,33207835"
19/01/2008 23.00,"0,60417098","9,82392503","1,2689054"
20/01/2008 0.00,"0,64679199","3,71174344","1,2064374"
20/01/2008 1.00,,"3,89560555","1,21038535"
20/01/2008 2.00,"0,693479",,"1,30657825"
20/01/2008 3.00,"0,703915","8,20618227",
20/01/2008 4.00,"0,65767097","7,37496649","1,32866745"
20/01/2008 5.00,"0,77552998","6,81060818","1,3337815"
20/01/2008 6.00,"0,58389699","5,96151537","1,33605965"
20/01/2008 7.00,"0,66360903","5,75594653","1,34169695"
20/01/2008 8.00,"0,94718999","5,45589129","1,33609645"
20/01/2008 9.00,"0,57274097","5,62698705","1,32437335"
20/01/2008 10.00,"0,647955","5,98322211","1,34923865"
20/01/2008 11.00,"0,712192","7,1030021","1,3493134"
20/01/2008 12.00,"1,15339899","7,63671704","1,3741028"
