, Brindisi,,,
,Via Dei Mille,,,
Parm,SO2,NO2,NOX,PM10



17/01/2009 13.00,"2,3","23,1","39,0",
17/01/2009 14.00,"2,8","30,2","51,2","21,5"
17/01/2009 15.00,"1,9","25,6","40,6",
17/01/2009 16.00,"2,0","39,2","61,6","18,6"
17/01/2009 17.00,"0,6","31,3","42,9",
17/01/2009 18.00,"0,1","49,1","59,7","23,0"
17/01/2009 19.00,"0,0","69,0","90,4",
17/01/2009 20.00,"1,1","102,4","185,2","37,1"
17/01/2009 21.00,"2,0","108,6","234,5",
17/01/2009 22.00,"0,5","85,8","152,4","42,0"
17/01/2009 23.00,"0,4","77,0","146,8",
18/01/2009 0.00,"0,6","73,3","137,8","64,5"
18/01/2009 1.00,,"77,4","154,6",
18/01/2009 2.00,"1,7",,,"66,9"
18/01/2009 3.00,"2,2","78,2","171,2",
18/01/2009 4.00,"0,7","62,0","102,4","61,5"
18/01/2009 5.00,"0,2","46,5","69,4",
18/01/2009 6.00,"0,3","36,9","47,7","47,9"
18/01/2009 7.00,"0,3","46,0","64,2",
18/01/2009 8.00,"0,5","54,4","97,0","48,8"
18/01/2009 9.00,"0,4","47,6","62,7",
18/01/2009 10.00,"0,6","59,6","95,0","37,1"
18/01/2009 11.00,"0,3","51,7","78,7",
18/01/2009 12.00,"0,6","42,6","61,1","30,8"
18/01/2009 13.00,"1,0","44,5","65,6",
18/01/2009 14.00,"1,4","55,3","78,8","20,0"
18/01/2009 15.00,"0,7","22,8","28,4",
18/01/2009 16.00,"1,0","24,8","32,9","19,5"
18/01/2009 17.00,"1,0","42,9","56,9",
18/01/2009 18.00,"0,5","58,9","77,2","27,8"
18/01/2009 19.00,"1,1","78,5","110,3",
18/01/2009 20.00,"1,5","82,9","118,6","26,9"
18/01/2009 21.00,"1,3","73,6","101,7",
18/01/2009 22.00,"0,3","49,9","63,5","25,9"
18/01/2009 23.00,"1,2","69,3","97,4",
19/01/2009 0.00,"0,3","32,8","40,5","23,9"
19/01/2009 1.00,"0,3","21,1","25,6",
19/01/2009 2.00,"0,3","16,9","21,1","19,0"
19/01/2009 3.00,"0,7","12,0","14,8",
19/01/2009 4.00,"0,6","7,5","9,4","18,1"
19/01/2009 5.00,"0,7","7,7","9,7",
19/01/2009 6.00,"0,9","10,9","13,7","18,1"
19/01/2009 7.00,"0,8","28,3","35,5",
19/01/2009 8.00,"1,5","63,0","96,7","22,0"
19/01/2009 9.00,"4,5","99,6","238,5",
19/01/2009 10.00,"1,9","76,5","134,5","28,8"
19/01/2009 11.00,"2,0","67,1","110,7",
19/01/2009 12.00,"2,8","58,3","95,5","28,3"
19/01/2009 13.00,"3,8","53,1","83,8",
19/01/2009 14.00,"3,3","52,8","77,6","17,1"
19/01/2009 15.00,"2,8","55,8","83,8",
19/01/2009 16.00,"2,8","76,6","113,8","28,3"
19/01/2009 17.00,"2,1","70,4","99,6",
19/01/2009 18.00,"3,3","118,8","207,4","38,6"
19/01/2009 19.00,"3,0","101,3","177,9",
19/01/2009 20.00,"2,3","104,2","160,7","42,5"
19/01/2009 21.00,"2,3","92,9","138,0",
19/01/2009 22.00,"1,3","54,5","68,3","43,5"
19/01/2009 23.00,"1,2","47,2","57,1",
20/01/2009 0.00,"1,2","40,3","50,1","59,1"
20/01/2009 1.00,,"27,7","32,2",
20/01/2009 2.00,"0,0",,,"44,0"
20/01/2009 3.00,"0,0","21,8","24,7",
20/01/2009 4.00,"0,0","10,5","12,5","34,7"
20/01/2009 5.00,"0,0","10,1","11,9",
20/01/2009 6.00,"0,0","15,8","19,0","26,4"
20/01/2009 7.00,"0,0","39,1","46,3",
20/01/2009 8.00,"0,4","76,0","126,4","27,8"
20/01/2009 9.00,"1,5","86,3","151,3",
20/01/2009 10.00,"1,2","88,6","161,2","25,9"
20/01/2009 11.00,,"71,8","118,8",
20/01/2009 12.00,,"55,5","83,8","33,7"
20/01/2009 13.00,"0,4","56,5","85,4",
20/01/2009 14.00,"1,2","63,8","98,3","35,2"
20/01/2009 15.00,"0,9","57,4","85,3",
20/01/2009 16.00,"0,9","61,7","87,1","37,1"
20/01/2009 17.00,"0,6","49,4","66,8",
20/01/2009 18.00,"1,0","52,9","86,9","34,7"
20/01/2009 19.00,"1,0","57,5","90,7",
20/01/2009 20.00,"1,0","62,0","94,9","28,3"
20/01/2009 21.00,"1,0","72,7","114,3",
20/01/2009 22.00,"0,2","48,6","66,9","20,5"
20/01/2009 23.00,"0,3","34,3","43,7",
21/01/2009 0.00,"0,0","20,1","25,7","13,2"
21/01/2009 1.00,"0,0","14,8","18,9",
21/01/2009 2.00,"0,9","10,3","13,4","5,9"
21/01/2009 3.00,"0,5","6,9","9,1",
21/01/2009 4.00,"0,4","3,7","5,7","3,4"
21/01/2009 5.00,"0,6","3,1","4,9",
21/01/2009 6.00,"1,1","4,0","6,3","5,4"
21/01/2009 7.00,"0,3","11,9","15,5",
21/01/2009 8.00,"1,1","53,6","78,0","5,9"
21/01/2009 9.00,"2,7","81,9","155,2",
