,Provincia di TARANTO,Provincia di TARANTO
Stazione,TA V. Machiavelli,TA V. Machiavelli
,IPA TOT,IPA TOT 2
Unit,ng/m3,ng/m3
12/09/2013 18.00.00,,8
12/09/2013 19.00.00,,4
12/09/2013 20.00.00,,8
12/09/2013 21.00.00,,5
12/09/2013 22.00.00,,4
12/09/2013 23.00.00,,3
13/09/2013 00.00.00,,2
13/09/2013 01.00.00,,1
13/09/2013 02.00.00,,2
13/09/2013 03.00.00,,2
13/09/2013 04.00.00,,3
13/09/2013 05.00.00,,10
13/09/2013 06.00.00,,14
13/09/2013 07.00.00,,16
13/09/2013 08.00.00,,19
13/09/2013 09.00.00,,22
13/09/2013 10.00.00,,18
13/09/2013 11.00.00,,15
13/09/2013 12.00.00,,10
13/09/2013 13.00.00,,2
13/09/2013 14.00.00,,2
13/09/2013 15.00.00,,6
13/09/2013 16.00.00,,4
13/09/2013 17.00.00,,2
13/09/2013 18.00.00,,2
13/09/2013 19.00.00,,10
13/09/2013 20.00.00,,11
13/09/2013 21.00.00,,11
13/09/2013 22.00.00,,4
13/09/2013 23.00.00,,3
14/09/2013 00.00.00,,1
14/09/2013 01.00.00,,3
14/09/2013 02.00.00,,2
14/09/2013 03.00.00,,2
14/09/2013 04.00.00,,4
14/09/2013 05.00.00,,5
14/09/2013 06.00.00,,23
14/09/2013 07.00.00,,27
14/09/2013 08.00.00,,27
14/09/2013 09.00.00,,8
14/09/2013 10.00.00,,7
14/09/2013 11.00.00,,3
14/09/2013 12.00.00,,2
14/09/2013 13.00.00,,3
14/09/2013 14.00.00,,2
14/09/2013 15.00.00,,1
14/09/2013 16.00.00,,2
14/09/2013 17.00.00,,2
14/09/2013 18.00.00,,9
14/09/2013 19.00.00,,3
14/09/2013 20.00.00,,3
14/09/2013 21.00.00,,4
14/09/2013 22.00.00,,3
14/09/2013 23.00.00,,4
15/09/2013 00.00.00,,2
15/09/2013 01.00.00,,4
15/09/2013 02.00.00,,3
15/09/2013 03.00.00,,5
15/09/2013 04.00.00,,2
15/09/2013 05.00.00,,7
15/09/2013 06.00.00,,8
15/09/2013 07.00.00,,16
15/09/2013 08.00.00,,11
15/09/2013 09.00.00,,5
15/09/2013 10.00.00,,2
15/09/2013 11.00.00,,2
15/09/2013 12.00.00,,2
15/09/2013 13.00.00,,2
15/09/2013 14.00.00,,1
15/09/2013 15.00.00,,2
15/09/2013 16.00.00,,2
15/09/2013 17.00.00,,3
15/09/2013 18.00.00,,2
15/09/2013 19.00.00,,3
15/09/2013 20.00.00,,2
15/09/2013 21.00.00,,2
15/09/2013 22.00.00,,1
15/09/2013 23.00.00,,2
16/09/2013 00.00.00,,1
16/09/2013 01.00.00,,1
16/09/2013 02.00.00,,1
16/09/2013 03.00.00,,1
16/09/2013 04.00.00,,2
16/09/2013 05.00.00,,7
16/09/2013 06.00.00,,8
16/09/2013 07.00.00,,19
16/09/2013 08.00.00,,26
16/09/2013 09.00.00,,11
16/09/2013 10.00.00,,3
16/09/2013 11.00.00,,2
16/09/2013 12.00.00,,4
16/09/2013 13.00.00,,2
16/09/2013 14.00.00,,3
16/09/2013 15.00.00,,2
16/09/2013 16.00.00,,2
16/09/2013 17.00.00,,4
