,Provincia di TARANTO,,,,,,,
,MARTINA FRANCA,,,,,,,
Parm,NOX,NO,NO2,CO,O3,Benzene,Toluene,Xylene
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
05/01/2006 10.00,"64,161309","22,974278","28,955519","1,148595","24,200747","3,522395","14,187841","14,777589"
05/01/2006 11.00,"62,879922","22,534412","28,348114","0,84132","25,411313","3,536039","16,128074","16,850052"
05/01/2006 12.00,"53,964496","19,575506","23,966498","0,685278","32,03565","3,136838","13,036576","10,904802"
05/01/2006 13.00,"59,800897","21,774802","26,432462","0,770593","31,625338","3,167647","13,766366","10,237305"
05/01/2006 14.00,"83,156819","32,937122","32,677819","0,9879","27,852793","3,21078","12,464575","12,054378"
05/01/2006 15.00,"54,197971","18,986772","25,103431","0,681887","34,687006","3,414562","12,477033","11,194892"
05/01/2006 16.00,"64,851293","22,356776","30,593432","0,767753","31,273281","3,11395","9,355446","7,469839"
05/01/2006 17.00,"72,791405","25,797835","33,259258","0,891231","27,238015","3,40664","12,424099","12,877976"
05/01/2006 18.00,"85,652169","31,416233","37,508488","1,125414","20,690863","3,427766","12,249694","13,081335"
05/01/2006 19.00,"80,106338","29,912237","34,266405","1,217114","18,03952","3,894308","15,63912","15,406796"
05/01/2006 20.00,"86,793539","32,77303","36,568833","1,463518","13,882383","4,439635","17,918807","17,54566"
05/01/2006 21.00,"66,967954","24,236343","29,827678","1,028272","15,469411","3,907073","15,413855","14,38522"
05/01/2006 22.00,"51,993111","17,386347","25,352622","0,838561","17,151215","3,43877","12,824807","9,837772"
05/01/2006 23.00,"29,060008","7,218797","18,004076","0,626377","22,134345","3,290444","9,649232","7,99319"
06/01/2006 0.00,"19,841109","3,779421","14,055947","0,560932","23,442428","3,072137","7,655022","6,262248"
06/01/2006 1.00,"13,721992","2,29912","10,20386","0,5029","25,768796","3,069497","6,599265","5,578007"
06/01/2006 2.00,,,,"0,481531","26,680132","3,029004","6,793391","3,441545"
06/01/2006 3.00,"27,940916","0,926023","26,53942",,"29,293562","3,14872","5,916188","2,556935"
06/01/2006 4.00,"14,572806","0,43817","14,040374","0,499604",,"2,970467","5,942141","3,588682"
06/01/2006 5.00,"9,789564","0,282527","9,734041","0,425151","33,240809","2,977949","5,538316","2,425351"
06/01/2006 6.00,"6,715735","0,020301","7,452383","0,405554","34,144006","2,874957","4,916488","2,304531"
06/01/2006 7.00,"10,313542","0,928784","9,24085","0,445536","27,855487","2,768445","5,308893","1,44265"
06/01/2006 8.00,"25,630798","5,068553","17,871699","0,651893","17,004977","2,879359","6,57435","2,939728"
06/01/2006 9.00,"19,16149","3,07226","14,460888","0,576496","22,574442","3,098986","8,239478","7,342442"
06/01/2006 10.00,"19,872237","3,818333","14,027395","0,593102","27,029476","2,997314","7,488924","6,568482"
06/01/2006 11.00,"16,917738","3,787881","11,117567","0,625213","36,267263","3,126274","9,673107","10,517224"
06/01/2006 12.00,"25,132761","7,5064","13,632839","0,707614","38,967378","3,134197","10,070704","10,303094"
06/01/2006 13.00,"26,095128","7,513166","14,585483","0,713045","41,052713","3,481022","12,582924","10,054288"
06/01/2006 14.00,"38,717273","12,238284","19,966443","0,799855","38,913193","3,07742","9,566182","7,633722"
06/01/2006 15.00,"14,972275","2,952144","10,453061","0,51503","49,687889","2,95022","8,278926","6,196456"
06/01/2006 16.00,"13,527446","2,502133","9,6977","0,511802","45,579507","2,769765","6,689579","4,90154"
06/01/2006 17.00,"19,797019","4,344476","13,144845","0,578857","38,502901","2,984991","7,811777","6,654611"
06/01/2006 18.00,"34,092261","8,903804","20,45446","0,74791","29,487197","2,954622","9,776918","8,024889"
