, Brindisi,,,,,,
02/01/2009 1.00,,"10,2","11,2","0,6",,,"1,0"
02/01/2009 2.00,"0,3",,,"0,7",,"9,8","0,8"
02/01/2009 3.00,"0,2","10,2","11,2",,,,"0,8"
02/01/2009 4.00,"0,0","8,1","9,1","0,1",,"5,9","0,8"
02/01/2009 5.00,"0,2","8,2","9,3","0,1",,,"0,7"
02/01/2009 6.00,"0,2","12,0","13,0","0,2",,"3,9","0,9"
02/01/2009 7.00,"0,2","20,6","24,0","0,2",,,"0,9"
02/01/2009 8.00,"0,2","28,0","32,9","0,2",,"5,9","0,9"
02/01/2009 9.00,"0,4","23,3","28,3","0,3",,,"0,9"
02/01/2009 10.00,"0,3","16,4","21,3","0,2",,"11,2","1,0"
02/01/2009 11.00,"0,3","8,0","11,2","0,1",,,"0,9"
02/01/2009 12.00,"0,3","8,4","11,3","0,2",,"12,7","0,9"
02/01/2009 13.00,"0,2","12,0","15,1","0,2",,,"0,8"
02/01/2009 14.00,"0,3","16,3","19,8","0,2",,"10,3","0,9"
02/01/2009 15.00,"0,1","12,5","15,4","0,2",,,"0,9"
02/01/2009 16.00,"0,3","12,8","15,0","0,2",,"17,1","0,9"
02/01/2009 17.00,"0,2","19,5","21,3","0,2",,,"1,0"
02/01/2009 18.00,"0,3","50,9","55,2","0,3",,"14,7","1,1"
02/01/2009 19.00,"0,3","56,4","67,8","0,5",,,"1,7"
02/01/2009 20.00,"0,3","39,4","44,3","0,4",,"24,9","1,8"
02/01/2009 21.00,"0,3","37,1","44,2","0,3",,,"1,4"
02/01/2009 22.00,"0,3","29,1","32,4","0,4",,"16,1","1,6"
02/01/2009 23.00,"0,3","32,8","36,0","0,7",,,"2,3"
03/01/2009 0.00,"0,3","31,1","35,6","0,7",,"32,2","3,1"
03/01/2009 1.00,"0,3","31,1","34,7","0,6",,,"2,9"
03/01/2009 2.00,"0,3","36,4","42,9","0,4",,"23,4","2,6"
03/01/2009 3.00,"0,4","9,1","10,1","0,2",,,"1,2"
03/01/2009 4.00,"0,4","5,5","6,4","0,2",,"14,2","0,6"
03/01/2009 5.00,"0,3","4,8","5,7","0,2",,,
03/01/2009 6.00,"0,3","10,4","11,4","0,3",,"8,3",
03/01/2009 7.00,"0,1","22,0","23,8","0,3",,,"0,9"
03/01/2009 8.00,"0,4","31,8","36,7","0,5",,"8,8","1,1"
03/01/2009 9.00,"0,3","21,6","25,4","0,4",,,"1,2"
03/01/2009 10.00,"0,3","18,6","22,5","0,2",,"8,8","1,0"
03/01/2009 11.00,"0,4","7,0","9,3","0,3",,,"0,4"
03/01/2009 12.00,"0,4","14,8","21,3","0,4",,"7,3","1,0"
03/01/2009 13.00,"0,4","7,9","9,6","0,2",,,"1,4"
03/01/2009 14.00,"0,4","5,5","6,6","0,3",,"9,8","3,1"
03/01/2009 15.00,"0,4","5,8","7,4","0,4",,,"2,7"
03/01/2009 16.00,"0,4","6,5","7,9","0,3",,"11,7","2,3"
03/01/2009 17.00,"0,4","11,3","12,9","0,3",,,"1,6"
03/01/2009 18.00,"0,5","8,2","9,3","0,3",,"15,1","1,6"
03/01/2009 19.00,"0,4","12,2","13,5","0,2",,,"1,7"
03/01/2009 20.00,"0,4","5,7","6,9","0,3",,"13,2","1,2"
03/01/2009 21.00,"0,8","8,3","9,4","0,3",,,"1,1"
03/01/2009 22.00,"0,3","5,1","6,2","0,3",,"10,3","0,9"
03/01/2009 23.00,"0,6","7,3","8,4","0,3",,,"0,9"
04/01/2009 0.00,"0,7","6,3","7,6","0,2",,"9,3","0,7"
04/01/2009 1.00,,"9,1","10,6","0,2",,,"0,7"
04/01/2009 2.00,"4,4",,,"0,3",,"5,9","0,7"
04/01/2009 3.00,"1,3","8,7","9,7",,,,"0,8"
04/01/2009 4.00,"2,6","10,5","11,5","0,2",,"2,9","0,8"
04/01/2009 5.00,"1,6","8,2","9,3","0,2",,,"0,8"
04/01/2009 6.00,"2,3","12,1","13,6","0,3",,"7,3","0,8"
04/01/2009 7.00,"1,2","8,7","10,0","0,3",,,"0,8"
04/01/2009 8.00,"1,6","13,9","15,6","0,2",,"4,4","0,7"
04/01/2009 9.00,"1,5","13,4","15,5","0,2",,,"0,7"
04/01/2009 10.00,"1,1","8,3","9,8","0,1",,"7,8","0,8"
04/01/2009 11.00,"0,6","10,5","12,6","0,1",,,"0,9"
04/01/2009 12.00,"0,5","10,0","11,9","0,1",,"7,8","0,7"
04/01/2009 13.00,"0,4","6,5","8,1","0,1",,,"0,8"
04/01/2009 14.00,"0,4","5,7","7,3","0,2",,"17,1","0,9"
04/01/2009 15.00,"1,1","13,7","19,1","0,1",,,"0,8"
04/01/2009 16.00,"0,5","6,9","7,9","0,2",,"11,7","0,7"
04/01/2009 17.00,"0,4","12,5","14,0","0,3",,,"0,9"
04/01/2009 18.00,"0,3","15,0","16,8","0,3",,"13,7","0,9"
04/01/2009 19.00,"0,5","15,4","17,0","0,3",,,"1,1"
04/01/2009 20.00,"0,4","15,7","17,1","0,2",,"17,1","1,2"
04/01/2009 21.00,"0,4","19,2","21,0","0,2",,,"1,1"
04/01/2009 22.00,"0,4","27,5","30,0","0,2",,"19,5","1,1"
04/01/2009 23.00,"0,4","15,1","17,0","0,2",,,"1,1"
05/01/2009 0.00,"0,2","15,7","17,3","0,1",,"15,6","1,0"
05/01/2009 1.00,"0,3","15,8","17,6","0,1",,,"0,9"
05/01/2009 2.00,"0,4","10,4","11,5","0,1",,"9,8","0,9"
05/01/2009 3.00,"0,4","11,0","12,3","0,1",,,"0,8"
05/01/2009 4.00,"0,4","11,9","13,3","0,0",,"12,7","0,8"
05/01/2009 5.00,"0,3","8,3","9,3","0,1",,,"0,8"
05/01/2009 6.00,"0,6","22,0","31,2","0,1",,"14,2","0,7"
05/01/2009 7.00,"1,1","52,0","90,1","0,2",,,"1,1"
05/01/2009 8.00,"0,6","56,4","76,0","0,3",,"12,2","1,2"
05/01/2009 9.00,"0,6","50,1","78,6","0,3",,,"1,4"
05/01/2009 10.00,"0,3","28,8","43,6","0,1",,"20,5","1,5"
05/01/2009 11.00,"0,8","20,2","32,0","0,1",,,"1,1"
05/01/2009 12.00,"0,5","10,3","15,9","0,1",,"19,0","0,7"
05/01/2009 13.00,"0,9","8,8","13,3","0,0",,,"0,7"
05/01/2009 14.00,"1,3","6,4","9,3","0,0",,"13,7","0,6"
05/01/2009 15.00,"1,1","10,3","13,0","0,1",,,"0,7"
05/01/2009 16.00,"1,7","9,2","11,0","0,0",,"14,2","0,9"
05/01/2009 17.00,"0,9","11,1","12,2","0,1",,,"1,1"
05/01/2009 18.00,"1,2","33,2","35,9","0,1",,"12,2","0,7"
05/01/2009 19.00,"1,4","65,5","98,8","0,5",,,"1,9"
05/01/2009 20.00,"0,6","33,7","35,5","0,3",,"20,5","1,6"
05/01/2009 21.00,"0,4","23,8","25,0","0,3",,,"1,1"
05/01/2009 22.00,"0,3","23,5","25,3","0,3",,"21,5","1,2"
05/01/2009 23.00,"0,3","18,6","20,5","0,2",,,"1,2"
06/01/2009 0.00,"0,4","17,9","19,4","0,1",,"20,5","0,9"
06/01/2009 1.00,,"18,5","19,9","0,1",,,"0,9"
06/01/2009 2.00,"0,7",,,"0,1",,"10,7","0,9"
06/01/2009 3.00,"0,5","22,4","24,2",,,,"0,8"
06/01/2009 4.00,"0,6","17,4","18,8","0,2",,"6,3","0,8"
06/01/2009 5.00,"0,4","12,9","13,9","0,1",,,
06/01/2009 6.00,"0,4","12,4","13,5","0,1",,"14,2",
06/01/2009 7.00,"0,4","14,2","15,4","0,2",,,"0,7"
06/01/2009 8.00,"0,4","17,7","19,6","0,2",,"15,1","0,7"
06/01/2009 9.00,"0,4","24,3","26,4","0,2",,,"0,7"
06/01/2009 10.00,"0,4","23,4","27,7","0,1",,"14,2","0,7"
06/01/2009 11.00,"0,3","16,4","22,0","0,1",,,"0,8"
06/01/2009 12.00,"0,4","9,1","11,5","0,0",,"11,7","0,7"
06/01/2009 13.00,"0,3","9,8","12,1","0,1",,,"0,8"
06/01/2009 14.00,"0,5","8,9","10,2","0,1",,"14,7","0,9"
06/01/2009 15.00,"0,8","4,8","6,4","0,1",,,"1,0"
06/01/2009 16.00,"0,5","6,3","7,4","0,1",,"15,1","0,9"
06/01/2009 17.00,"0,7","8,3","9,3","0,1",,,"0,9"
06/01/2009 18.00,"0,4","11,3","12,5","0,1",,"11,7","0,9"
06/01/2009 19.00,"0,9","53,2","82,0","0,4",,,"1,6"
06/01/2009 20.00,"0,3","34,4","38,4","0,3",,"27,8","2,3"
06/01/2009 21.00,"0,4","35,6","38,9","0,3",,,"2,0"
06/01/2009 22.00,"0,4","41,4","49,3","0,5",,"28,3","2,3"
06/01/2009 23.00,"0,6","61,2","94,9","1,4",,,"5,4"
07/01/2009 0.00,"1,8","50,2","88,7","1,7",,"79,6","9,0"
07/01/2009 1.00,"1,6","52,8","71,0","1,6",,,"8,2"
07/01/2009 2.00,"0,5","24,7","29,2","0,8",,"70,3","6,4"
07/01/2009 3.00,"0,3","11,1","12,2","0,2",,,"2,3"
07/01/2009 4.00,"0,2","8,0","9,6","0,2",,"42,0","1,4"
07/01/2009 5.00,"0,3","23,2","27,6","0,1",,,"1,3"
07/01/2009 6.00,"0,2","30,2","51,8","0,1",,"29,8","1,3"
07/01/2009 7.00,"0,5","35,0","45,9","0,2",,,"1,4"
07/01/2009 8.00,"2,0","55,1","126,7","0,2",,"24,9","1,6"
07/01/2009 9.00,"1,3","56,2","116,2","0,1",,,"1,6"
07/01/2009 10.00,"0,6","49,5","81,3","0,1",,"29,8","1,4"
07/01/2009 11.00,"1,3","29,9","50,6","0,0",,,"1,3"
07/01/2009 12.00,"1,2","31,1","56,0","0,0",,,"1,1"
07/01/2009 13.00,"0,9","21,9","38,2","0,0",,,"0,7"
07/01/2009 14.00,"1,0","20,7","32,0","0,1",,,"0,7"
07/01/2009 15.00,"0,9","28,2","43,0","0,1",,,"0,8"
07/01/2009 16.00,"1,1","27,1","46,4","0,1",,,"0,6"
07/01/2009 17.00,"0,8","5,9","7,2","0,1",,,"0,5"
07/01/2009 18.00,"0,6","4,9","4,9","0,0",,,"0,5"
07/01/2009 19.00,"0,3","6,2","6,2","0,2",,,"0,5"
07/01/2009 20.00,"0,6","10,0","10,0","0,1",,,"0,8"
07/01/2009 21.00,"0,8","16,4","16,8","0,2",,,"1,1"
07/01/2009 22.00,"0,4","14,3","14,3","0,2",,,"0,9"
07/01/2009 23.00,"0,3","7,8","7,8","0,3",,,"0,6"
08/01/2009 0.00,"0,4","8,9","8,9","0,3",,,"0,5"
08/01/2009 1.00,,"9,4","9,4","0,4",,,"0,4"
08/01/2009 2.00,"0,1",,,"0,4",,"1,5","0,6"
08/01/2009 3.00,"0,0","13,3","13,3",,,,"0,6"
08/01/2009 4.00,"0,0","17,4","17,7","0,1",,"6,3","0,7"
08/01/2009 5.00,"0,0","9,4","9,6","0,1",,,"0,7"
08/01/2009 6.00,"0,0","22,9","25,5","0,0",,"6,3","0,7"
08/01/2009 7.00,"0,1","42,5","51,9","0,1",,,"0,7"
08/01/2009 8.00,"1,4","58,4","151,8","0,3",,"8,8","0,9"
08/01/2009 9.00,"3,0","57,9","223,5","0,4",,,"1,3"
08/01/2009 10.00,"2,7","56,2","203,2","0,3",,"17,1","1,7"
08/01/2009 11.00,"1,5","58,5","149,0","0,4",,,"1,7"
08/01/2009 12.00,"0,8","62,2","116,4","0,4",,"21,5","1,7"
08/01/2009 13.00,"2,9","78,9","160,0","0,4",,,"1,9"
08/01/2009 14.00,"0,3","37,3","44,0","0,2",,"25,9","2,4"
08/01/2009 15.00,"0,4","21,1","23,4","0,2",,,"2,9"
08/01/2009 16.00,"2,1","36,1","44,2","0,1",,"23,9","1,6"
08/01/2009 17.00,"0,2","29,9","32,8","0,2",,,"0,7"
08/01/2009 18.00,"0,1","35,9","38,2","0,2",,"17,6","0,8"
08/01/2009 19.00,"0,6","34,9","37,5","0,1",,,"1,1"
08/01/2009 20.00,"0,1","30,6","31,2","0,1",,"24,9","0,9"
08/01/2009 21.00,"0,1","34,1","34,8","0,2",,,"1,1"
08/01/2009 22.00,"0,8","65,4","97,4","0,5",,"24,4","1,8"
08/01/2009 23.00,"0,4","44,7","56,4","0,2",,,"1,9"
09/01/2009 0.00,"0,0","24,2","24,9","0,1",,"24,9","1,1"
09/01/2009 1.00,"0,0","25,1","26,0","0,1",,,"1,1"
09/01/2009 2.00,"0,1","7,1","7,2","0,0",,"11,7","1,0"
09/01/2009 3.00,"0,1","6,1","6,1","0,0",,,"1,8"
09/01/2009 4.00,"0,1","4,3","4,3","0,0",,"9,3","1,8"
09/01/2009 5.00,"0,1","3,5","3,5","0,0",,,
09/01/2009 6.00,"0,2","6,7","6,7","0,1",,"6,8","0,8"
09/01/2009 7.00,"0,1","7,4","7,4","0,1",,,"2,1"
09/01/2009 8.00,"0,2","14,8","16,0","0,1",,"15,6","1,3"
09/01/2009 9.00,"0,1","16,0","17,4","0,0",,,"1,0"
09/01/2009 10.00,"0,1","11,5","13,2","0,0",,"9,3","1,3"
09/01/2009 11.00,"0,0","8,3","9,4","0,0",,,"2,5"
09/01/2009 12.00,"0,1","6,9","7,6","0,1",,"11,7","2,4"
09/01/2009 13.00,"0,1","5,1","6,0","0,1",,,"1,6"
09/01/2009 14.00,"0,2","5,4","6,4","0,1",,"8,3","2,0"
09/01/2009 15.00,"0,0","6,7","7,0","0,1",,,"1,9"
09/01/2009 16.00,"0,1","10,0","10,6","0,1",,"18,1","2,2"
09/01/2009 17.00,"0,1","17,3","17,4","0,2",,,"2,4"
09/01/2009 18.00,"0,2","10,7","10,7","0,2",,"16,1","2,2"
09/01/2009 19.00,"0,1","8,8","8,8","0,1",,,"1,8"
09/01/2009 20.00,"0,0","10,9","10,9","0,1",,"20,0","2,3"
09/01/2009 21.00,"0,2","7,4","7,4","0,1",,,"2,0"
09/01/2009 22.00,"0,2","9,0","9,3","0,1",,"17,6","1,8"
09/01/2009 23.00,"0,2","7,7","8,3","0,1",,,"1,3"
10/01/2009 0.00,"0,1","5,7","5,7","0,1",,"18,6","1,4"
10/01/2009 1.00,,"13,7","13,9","0,2",,,"1,8"
10/01/2009 2.00,"1,8",,,"0,1",,,"1,5"
10/01/2009 3.00,"1,8",,,,,,"2,2"
10/01/2009 4.00,"1,6",,,"0,2",,,"1,2"
10/01/2009 5.00,"1,7",,,"0,2",,,"0,9"
10/01/2009 6.00,"1,8",,,"0,2",,,"0,9"
10/01/2009 7.00,"1,7",,,"0,2",,,"0,6"
10/01/2009 8.00,"1,5",,,"0,3",,,"0,8"
10/01/2009 9.00,"1,3",,,"0,2",,,"0,7"
10/01/2009 10.00,"1,4",,,"0,3",,,"0,7"
10/01/2009 11.00,"1,3",,,"0,2",,,"0,5"
10/01/2009 12.00,"1,3",,,"0,3",,,"0,5"
10/01/2009 13.00,"1,3",,,"0,3",,,"0,3"
10/01/2009 14.00,"0,7",,,"0,2",,,"0,2"
10/01/2009 15.00,"1,0",,,"0,2",,,"0,4"
10/01/2009 16.00,"0,5",,,"0,1",,,"0,6"
10/01/2009 17.00,"0,6",,,"0,2",,,"0,5"
10/01/2009 18.00,"1,5",,,"0,4",,,"1,0"
10/01/2009 19.00,"0,6",,,"0,3",,,"0,9"
10/01/2009 20.00,"0,7",,,"0,3",,,"0,9"
10/01/2009 21.00,"0,7",,,"0,3",,,"1,0"
10/01/2009 22.00,"0,4",,,"0,3",,,"1,0"
10/01/2009 23.00,"0,7",,,"0,3",,,"1,1"
11/01/2009 0.00,"1,1",,,"0,3",,,"1,2"
11/01/2009 1.00,"0,9",,,"0,3",,,"1,3"
11/01/2009 2.00,"0,9",,,"0,3",,,"1,2"
11/01/2009 3.00,"0,2",,,"0,2",,,"1,2"
11/01/2009 4.00,"0,8",,,"0,3",,,"1,2"
11/01/2009 5.00,"0,9",,,"0,3",,,"1,2"
11/01/2009 6.00,"1,1",,,"0,3",,,"1,1"
11/01/2009 7.00,"1,3",,,"0,1",,,"1,0"
11/01/2009 8.00,"1,6",,,"0,1",,,"0,8"
11/01/2009 9.00,"2,6",,,"0,0",,,"0,7"
11/01/2009 10.00,"2,4",,,"0,1",,,"0,7"
11/01/2009 11.00,"1,8",,,"0,1",,,"0,7"
11/01/2009 12.00,"3,0",,,"0,1",,,"0,7"
11/01/2009 13.00,"2,3",,,"0,1",,,"0,6"
11/01/2009 14.00,"4,8",,,"0,1",,,"0,7"
11/01/2009 15.00,"2,4",,,"0,1",,,"0,7"
11/01/2009 16.00,"3,0",,,"0,1",,,"0,7"
11/01/2009 17.00,"4,2",,,"0,1",,,"0,6"
11/01/2009 18.00,"3,1",,,"0,2",,,"0,7"
11/01/2009 19.00,"0,5",,,"0,3",,,"1,1"
11/01/2009 20.00,"1,2",,,"0,2",,,"1,0"
11/01/2009 21.00,"1,2",,,"0,3",,,"0,9"
11/01/2009 22.00,"1,4",,,"0,3",,,"1,3"
11/01/2009 23.00,"0,4",,,"0,2",,,"1,3"
12/01/2009 0.00,"0,3",,,"0,2",,,"1,3"
12/01/2009 1.00,,,,"0,4",,,"1,2"
12/01/2009 2.00,"0,6",,,"0,4",,,"1,2"
12/01/2009 3.00,"0,3",,,,,,"1,1"
12/01/2009 4.00,"0,8",,,"0,4",,,"1,1"
12/01/2009 5.00,"0,8",,,"0,4",,,
12/01/2009 6.00,"2,2",,,"0,4",,,"1,2"
12/01/2009 7.00,"3,4",,,"0,4",,,"1,3"
12/01/2009 8.00,"5,2",,,"0,6",,,"1,4"
12/01/2009 9.00,"7,7",,,"0,9",,,"2,4"
12/01/2009 10.00,,"53,7","107,7","0,3",,"5,9","3,0"
12/01/2009 11.00,"0,0","33,1","53,7","0,0",,,"1,5"
12/01/2009 12.00,"2,6","32,8","55,9","0,0",,"14,2","1,1"
12/01/2009 13.00,"3,2","23,3","34,2","0,0",,,"1,0"
12/01/2009 14.00,"0,0","19,0","25,1","0,0",,"23,4","1,0"
12/01/2009 15.00,"0,0","16,1","19,1","0,0",,,"1,1"
12/01/2009 16.00,"0,0","7,5","8,7","0,0",,"23,0","0,8"
12/01/2009 17.00,"0,0","28,5","31,7","0,0",,,"0,7"
12/01/2009 18.00,"0,0","26,4","27,5","0,0",,"22,0","0,8"
12/01/2009 19.00,"0,0","19,9","20,6","0,0",,,"0,6"
12/01/2009 20.00,"0,0","36,7","51,6","0,1",,"20,0","0,8"
12/01/2009 21.00,"1,5","67,4","178,0","0,6",,,"1,8"
12/01/2009 22.00,"3,8","81,2","267,5","1,1",,"39,1","4,8"
12/01/2009 23.00,"2,3","59,7","212,4","1,0",,,"5,1"
13/01/2009 0.00,"0,1","37,4","101,4","0,7",,"47,9","4,2"
13/01/2009 1.00,,"37,3","78,7","0,5",,,"3,7"
13/01/2009 2.00,,"21,6","26,0","0,4",,"32,7","2,6"
13/01/2009 3.00,,"17,2","19,4","0,3",,,"2,0"
13/01/2009 4.00,,"23,2","38,1","0,4",,"31,7","2,0"
13/01/2009 5.00,,"30,5","36,8","0,1",,,"1,7"
13/01/2009 6.00,,"13,5","13,6","0,0",,"23,9","0,9"
13/01/2009 7.00,,"8,2","8,2","0,0",,,"0,7"
13/01/2009 8.00,,"14,9","16,9","0,0",,"14,7","0,6"
13/01/2009 9.00,,"19,5","22,0","0,0",,,"0,6"
13/01/2009 10.00,,"22,0","28,0","0,0",,"20,5","0,6"
13/01/2009 11.00,,"14,4","17,9","0,0",,,"0,6"
13/01/2009 12.00,,"6,1","6,7","0,0",,"12,2","0,5"
13/01/2009 13.00,,"4,2","4,6","0,0",,,"0,4"
13/01/2009 14.00,,"8,8","9,8","0,1",,"8,8","0,4"
13/01/2009 15.00,,"4,1","4,5","0,1",,,"0,6"
13/01/2009 16.00,,"8,0","8,3","0,1",,,"0,4"
13/01/2009 17.00,,"6,7","7,2","0,2",,,"0,5"
13/01/2009 18.00,,"3,6","3,7","0,3",,,"0,3"
13/01/2009 19.00,,"3,3","3,3","0,3",,,"0,4"
13/01/2009 20.00,,"1,5","1,6","0,2",,,"0,5"
13/01/2009 21.00,,"1,6","1,6","0,3",,,"0,4"
13/01/2009 22.00,,"1,2","1,2","0,3",,,"0,3"
13/01/2009 23.00,,"2,9","3,1","0,4",,,"0,3"
14/01/2009 0.00,,"7,3","7,6","0,3",,,"0,4"
14/01/2009 1.00,,"6,2","6,3","0,3",,,"0,2"
14/01/2009 2.00,"0,7","2,3","2,4","0,3",,,"0,3"
14/01/2009 3.00,"0,1","6,2","6,3",,,,"0,2"
14/01/2009 4.00,"0,3","5,6","5,6","0,1",,,"0,3"
14/01/2009 5.00,"0,2","3,1","3,1","0,2",,,"0,4"
14/01/2009 6.00,"0,1","3,8","3,9","0,2",,,"0,1"
14/01/2009 7.00,"0,3","3,9","4,0","0,1",,,"0,1"
14/01/2009 8.00,"0,1","11,3","15,7","0,1",,,"0,1"
14/01/2009 9.00,"0,2","23,5","37,0","0,1",,,"0,3"
14/01/2009 10.00,"0,7","17,4","27,3","0,1",,,"0,4"
14/01/2009 11.00,"0,9","17,7","32,6","0,1",,,"0,1"
14/01/2009 12.00,"1,1","19,5","37,5","0,1",,,"0,2"
14/01/2009 13.00,"0,7","13,3","22,7","0,1",,,"0,3"
14/01/2009 14.00,"0,5","3,7","5,8","0,1",,,"0,1"
14/01/2009 15.00,"0,2","2,5","2,9","0,1",,,"0,1"
14/01/2009 16.00,"0,4","11,9","23,0","0,1",,,"0,1"
14/01/2009 17.00,"0,2","6,4","9,1","0,1",,,"0,3"
14/01/2009 18.00,"0,1","5,9","6,3","0,1",,,"0,4"
14/01/2009 19.00,"0,1","4,6","4,6","0,1",,,"0,5"
14/01/2009 20.00,"0,1","4,0","4,0","0,1",,,"0,5"
14/01/2009 21.00,"0,1","3,9","3,9","0,1",,,"0,5"
14/01/2009 22.00,"0,1","3,7","3,8","0,0",,,"0,4"
14/01/2009 23.00,"0,1","3,1","3,1","0,0",,,"0,6"
15/01/2009 0.00,"0,1","2,8","2,8","0,0",,,"0,6"
15/01/2009 1.00,"0,1","2,1","2,1","0,1",,,"0,7"
15/01/2009 2.00,"0,1","1,8","1,8","0,1",,,"0,6"
15/01/2009 3.00,"0,1","1,6","1,6","0,0",,,"0,6"
15/01/2009 4.00,"0,1","1,7","1,7","0,0",,,"0,6"
15/01/2009 5.00,"0,1","5,4","5,4","0,0",,,
15/01/2009 6.00,"0,1","11,8","14,6","0,0",,,"0,7"
15/01/2009 7.00,"0,0","8,3","8,7","0,0",,,"0,6"
15/01/2009 8.00,"0,0","34,0","41,4","0,0",,,"0,6"
15/01/2009 9.00,"0,0",,,,,,"0,7"
15/01/2009 10.00,"2,9",,,,,,"0,8"
15/01/2009 11.00,"4,0","16,7","21,2","1,1",,,"0,9"
15/01/2009 12.00,"4,2","14,9","19,2","1,4",,,"0,7"
15/01/2009 13.00,"4,6","8,5","10,6","1,3",,,"0,7"
15/01/2009 14.00,"2,7","6,3","7,3","1,2",,,"0,5"
15/01/2009 15.00,"2,4","12,5","13,9","1,0",,,"0,7"
15/01/2009 16.00,"2,5","16,4","18,5","1,1",,,"0,8"
15/01/2009 17.00,"2,4","30,2","34,7","1,3",,,"2,4"
15/01/2009 18.00,"2,9","55,7","68,6","1,4",,,"1,3"
15/01/2009 19.00,"3,2","58,3","79,5","1,4",,,"1,9"
15/01/2009 20.00,"3,9","56,2","90,6","1,5",,,"1,9"
15/01/2009 21.00,"2,9","48,4","64,9","1,5",,,"2,1"
15/01/2009 22.00,"3,6","41,2","69,4","1,5",,,"2,6"
15/01/2009 23.00,"6,0","57,5","131,8","1,8",,,"3,6"
16/01/2009 0.00,"3,2","39,7","52,8","1,4",,,"2,8"
16/01/2009 1.00,,"26,6","28,1","1,4",,,"1,6"
16/01/2009 2.00,"0,6","25,0","26,8","1,3",,,"1,6"
16/01/2009 3.00,"0,3","19,7","20,5",,,,"1,4"
16/01/2009 4.00,"0,1","15,8","16,5","0,5",,,"1,2"
16/01/2009 5.00,"0,2","23,4","24,3","0,5",,,"1,2"
16/01/2009 6.00,"0,0","21,6","22,5","0,5",,,"1,1"
16/01/2009 7.00,"0,1","18,3","20,4","0,5",,,"1,1"
16/01/2009 8.00,"0,1","17,3","20,0","0,4",,,"0,9"
16/01/2009 9.00,"0,1","16,5","21,7","0,4",,,"0,9"
16/01/2009 10.00,"0,2","13,9","20,2","0,4",,,"0,9"
16/01/2009 11.00,"0,2","12,9","19,2","0,5",,,"0,9"
16/01/2009 12.00,"0,1","10,8","15,0","0,4",,,"0,9"
16/01/2009 13.00,"0,1",,,"0,4",,,"1,0"
16/01/2009 14.00,"0,1",,,"0,3",,"27,8","0,9"
16/01/2009 15.00,"0,1","8,5","10,2","0,3",,,"0,8"
16/01/2009 16.00,"0,1","8,5","10,3","0,3",,"25,9","0,8"
16/01/2009 17.00,"0,2","9,2","10,7","0,3",,,"0,6"
16/01/2009 18.00,"0,7","13,9","15,9","0,3",,"30,3","0,6"
16/01/2009 19.00,"2,2","21,0","23,1","0,2",,,"0,6"
16/01/2009 20.00,"0,7","3,6","4,3","0,1",,"27,8","0,4"
16/01/2009 21.00,"0,0","4,8","4,9","0,1",,,"0,6"
16/01/2009 22.00,"0,0","12,0","12,5","0,3",,"45,9","0,6"
16/01/2009 23.00,"0,1","12,3","12,8","0,3",,,"0,9"
17/01/2009 0.00,"0,1","13,7","14,4","0,4",,"39,6","0,9"
17/01/2009 1.00,"0,2","15,9","16,8","0,5",,,"0,9"
17/01/2009 2.00,"0,2","11,0","11,5","0,4",,"24,9","0,9"
17/01/2009 3.00,"0,0","8,5","8,6","0,3",,,"0,8"
17/01/2009 4.00,"0,1","7,1","7,5","0,3",,"20,0","0,7"
