, Brindisi,,,,
,Torchiarolo,,,,
Parm,SO2,NOX,NO2,CO,PM10
,,,,
,,,,,
,,,,
,,,,,
,,,,,
05/01/2007 4.00,"3,40961861","36,26597472","28,91399056","1,19503219","65,8833313"
05/01/2007 5.00,"2,4205556","33,93792352","26,47787312","0,9598951","65,8833313"
05/01/2007 6.00,"1,98282863","30,46334152","21,77827272","0,72937862","65,8833313"
05/01/2007 7.00,"2,49415996","43,5368136","33,31247008","0,9214936","65,8833313"
05/01/2007 8.00,"3,14281679","80,02071808","58,1900948","1,14449166","65,8833313"
05/01/2007 9.00,"2,82846006","57,332754","42,49360728","0,97046784","65,8833313"
05/01/2007 10.00,"3,81495108","44,95442776","32,8283708","1,12373163","65,8833313"
05/01/2007 11.00,"2,68448744","49,07362144","35,34622624","1,3780683","65,8833313"
05/01/2007 12.00,"2,5256595","53,24338752","37,26059712","1,44822422","65,8833313"
05/01/2007 13.00,"2,70963378","77,62651168","54,99472216","1,44326256","65,8833313"
05/01/2007 14.00,"1,26862919","99,7386196","64,63791328","1,07618002","65,8833313"
05/01/2007 15.00,"2,32070959","82,73399904","55,0453328","1,21508442","65,8833313"
05/01/2007 16.00,"3,63258874","95,46378912","59,2309876","1,60140509","65,8833313"
05/01/2007 17.00,"3,29565359","102,54010112","58,30429856","1,45593653","65,8833313"
05/01/2007 18.00,"2,69993872","62,91621464","44,70129808","1,15633752","65,8833313"
05/01/2007 19.00,"2,08338247","31,44385336","23,50964608","0,63143482","65,8833313"
05/01/2007 20.00,"1,79040511","30,89004256","21,03848168","0,6297529","65,8833313"
05/01/2007 21.00,"1,80537637","30,66955072","20,69975176","0,60208882","65,8833313"
05/01/2007 22.00,"1,89167695","28,9160364","17,66143654","0,62623838","65,8833313"
05/01/2007 23.00,"1,85502529","26,35971152","14,49203268","0,5937201","65,8833313"
06/01/2007 0.00,"1,41519516","26,5814844","14,76718286","0,5738127","65,8833313"
06/01/2007 1.00,,"23,3247748","11,30835957","0,44672379","63,77248001"
06/01/2007 2.00,"1,17347969",,,"0,52104363","63,77248001"
06/01/2007 3.00,"1,2234632","31,71489848","18,12607548",,"63,77248001"
06/01/2007 4.00,"1,20027357","28,52824456","13,76522603","0,4022265","63,77248001"
06/01/2007 5.00,"1,40111582","27,82787896","12,37260936","0,28908","63,77248001"
06/01/2007 6.00,"1,10984702","25,99914656","11,69512466","0,29455208","63,77248001"
06/01/2007 7.00,"1,9510667","27,96407072","14,87491259","0,39790606","63,77248001"
06/01/2007 8.00,"1,94751025","39,86766648","25,47072712","0,30313688","63,77248001"
06/01/2007 9.00,"2,01963182","40,6134612","27,98212","0,26693122","63,77248001"
06/01/2007 10.00,"2,16061243","39,38651168","26,42466216","0,26561021","63,77248001"
06/01/2007 11.00,"1,48252361","35,19988176","23,39932368","0,33081498","63,77248001"
06/01/2007 12.00,"1,24617078","32,05599928","22,14168656","0,38741626","63,77248001"
06/01/2007 13.00,"1,24484258","34,18432296","25,4927916","0,30658949","63,77248001"
06/01/2007 14.00,"1,33308767","29,57879296","19,36553904","0,20402741","63,77248001"
06/01/2007 15.00,"0,8983761","24,5011328","11,8339894","0,13454075","63,77248001"
06/01/2007 16.00,"1,08581124","29,31161008","16,30775774","0,14376678","63,77248001"
06/01/2007 17.00,"1,31367517","40,28662392","27,38379784","0,55680429","63,77248001"
06/01/2007 18.00,"2,55647867","69,09631488","50,95573688","1,5246453","63,77248001"
06/01/2007 19.00,"2,61002575","62,14713176","45,45017112","1,24341309","63,77248001"
06/01/2007 20.00,"2,67122169","55,21219304","38,33393656","1,00474514","63,77248001"
06/01/2007 21.00,"3,0976864","73,6447908","51,78248568","1,60124507","63,77248001"
06/01/2007 22.00,"4,59700577","85,34739712","58,967514","2,47758146","63,77248001"
06/01/2007 23.00,"4,21534499","82,61208992","56,78058752","2,3947177","63,77248001"
07/01/2007 0.00,"3,66375572","68,86027848","47,49430944","1,78438864","63,77248001"
07/01/2007 1.00,"2,36906387","59,12905888","39,84984664","1,4159337","111,24440002"
07/01/2007 2.00,"2,03493767","45,80264832","32,53245056","0,96677813","111,24440002"
07/01/2007 3.00,"1,71884899","45,32795608","33,61099064","0,86899667","111,24440002"
07/01/2007 4.00,"1,73523489","38,8832924","32,05871432","0,88939229","111,24440002"
07/01/2007 5.00,"1,30985735","37,64858016","33,222912","0,94782382","111,24440002"
07/01/2007 6.00,"1,23336167","25,85777328","23,29030144","0,65140294","111,24440002"
07/01/2007 7.00,"1,62020914","30,55800464","27,47463696","0,61608496","111,24440002"
07/01/2007 8.00,"2,27726843","41,9389552","34,28068776","0,7714348","111,24440002"
07/01/2007 9.00,"2,58325221","48,19815488","37,8731828","0,83194888","111,24440002"
07/01/2007 10.00,"2,70947004","44,4317252","38,58572784","0,69774101","111,24440002"
07/01/2007 11.00,"2,16716801","31,71489848","25,39675184","0,36775648","111,24440002"
