NetC,SIMAGE Brindisi,,
19/01/2006 6.00,"0,101821","11,714593","17,78537"
19/01/2006 7.00,"0,064873","9,037083","17,78537"
19/01/2006 8.00,"0,040527","14,033885","17,78537"
19/01/2006 9.00,"0,082631","13,240888","17,78537"
19/01/2006 10.00,,"5,75217","17,78537"
19/01/2006 11.00,,,"17,78537"
19/01/2006 12.00,,,"17,78537"
19/01/2006 13.00,"0,483245","10,680187","17,78537"
19/01/2006 14.00,"0,747355","10,064999","17,78537"
19/01/2006 15.00,"0,842077","14,477763","17,78537"
19/01/2006 16.00,"0,871342","7,783341","17,78537"
19/01/2006 17.00,"0,674209","8,510147","17,78537"
19/01/2006 18.00,"0,717968","10,828147","17,78537"
19/01/2006 19.00,"0,508741","11,063056","17,78537"
19/01/2006 20.00,"0,374999","14,240251","17,78537"
19/01/2006 21.00,"0,418334","11,442039","17,78537"
19/01/2006 22.00,"0,459754","10,52704","17,78537"
19/01/2006 23.00,"0,525394","10,123403","17,78537"
20/01/2006 0.00,"0,490264","10,847605","17,78537"
20/01/2006 1.00,,"6,39851","48,241081"
20/01/2006 2.00,"0,317045",,"48,241081"
20/01/2006 3.00,"0,274221","5,948148","48,241081"
20/01/2006 4.00,"0,287673","5,260275","48,241081"
20/01/2006 5.00,"0,26478","5,075977","48,241081"
20/01/2006 6.00,"0,204369","5,765148","48,241081"
20/01/2006 7.00,"0,241208","11,140931","48,241081"
20/01/2006 8.00,"0,262497","21,530382","48,241081"
20/01/2006 9.00,"0,237012","35,764148","48,241081"
20/01/2006 10.00,"0,377269","34,657063","48,241081"
20/01/2006 11.00,"0,327349","18,144244","48,241081"
20/01/2006 12.00,"0,321487","8,463424","48,241081"
20/01/2006 13.00,"0,410713","10,016977","48,241081"
20/01/2006 14.00,"0,610456","13,530318","48,241081"
20/01/2006 15.00,"0,486612","11,974167","48,241081"
20/01/2006 16.00,"0,517219","10,852805","48,241081"
20/01/2006 17.00,"0,395102","11,998825","48,241081"
20/01/2006 18.00,"0,816121","23,896405","48,241081"
20/01/2006 19.00,"0,372333","34,889371","48,241081"
20/01/2006 20.00,"0,480935","28,303985","48,241081"
20/01/2006 21.00,"0,460264","36,615546","48,241081"
20/01/2006 22.00,"0,714553","40,125001","48,241081"
20/01/2006 23.00,"0,58312","36,638907","48,241081"
21/01/2006 0.00,"0,677406","30,602517","48,241081"
21/01/2006 1.00,"0,818219","57,264702","71,605751"
21/01/2006 2.00,"0,410528","33,882246","71,605751"
21/01/2006 3.00,"0,422684","31,174872","71,605751"
21/01/2006 4.00,"0,272123","19,12543","71,605751"
21/01/2006 5.00,"0,254105","21,826302","71,605751"
21/01/2006 6.00,"0,315564","20,952823","71,605751"
21/01/2006 7.00,"0,388931","39,759007","71,605751"
21/01/2006 8.00,"0,327103","59,525607","71,605751"
21/01/2006 9.00,"0,534805","37,242432","71,605751"
21/01/2006 10.00,"0,377084","49,390514","71,605751"
21/01/2006 11.00,"0,455635","22,532346","71,605751"
21/01/2006 12.00,"0,331052","19,244835","71,605751"
21/01/2006 13.00,"0,488155","19,736735","71,605751"
21/01/2006 14.00,"0,531164","17,996294","71,605751"
21/01/2006 15.00,"0,578986","16,04559","71,605751"
21/01/2006 16.00,"0,70505","12,747695","71,605751"
21/01/2006 17.00,"0,73467","16,359675","71,605751"
21/01/2006 18.00,"0,797857","30,13398","71,605751"
