NetC,Provincia di TARANTO,,,
Stat,S.VITO Colonia Marina,,,
Parm,SO2,NOX,NO,NO2
PtId,1,2,3,4
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver
,,,,,,,
,,,,,,,,,
11/01/2007 6.00,"0,868459","21,058977","5,116768","13,22272"
11/01/2007 7.00,"0,886312","26,82532","5,992262","17,649759"
11/01/2007 8.00,"1,128802","46,515975","12,48358","27,39418"
11/01/2007 9.00,"1,316262","52,271956","15,351991","28,753038"
11/01/2007 10.00,"1,226262","42,233384","9,273456","28,034031"
11/01/2007 11.00,"1,280066","48,099591","11,750214","30,104133"
11/01/2007 12.00,"1,360529","37,831442","9,24385","23,674478"
11/01/2007 13.00,"1,133081","26,091228","6,762018","15,734097"
11/01/2007 14.00,"1,258545","32,801775","9,913792","17,613416"
11/01/2007 15.00,"1,127946","32,205172","11,265517","14,942402"
11/01/2007 16.00,"1,527324","39,256821","13,264339","18,932053"
11/01/2007 17.00,"1,198259","58,280817","14,520479","36,041889"
11/01/2007 18.00,"1,76162","103,93305","40,71506","41,581218"
11/01/2007 19.00,"2,10377","136,337972","53,292552","54,663772"
11/01/2007 20.00,"2,29013","131,690892","50,543405","54,231566"
11/01/2007 21.00,"2,381476","127,573015","46,940784","55,638473"
11/01/2007 22.00,"3,208481","169,143624","72,194741","58,489895"
11/01/2007 23.00,"2,497279","117,671896","44,171358","49,979736"
12/01/2007 0.00,"2,400063","125,17877","52,935588","44,044581"
12/01/2007 1.00,,"81,994721","29,062969","37,459175"
12/01/2007 2.00,"1,041561",,,
12/01/2007 3.00,"0,834875","35,233608","5,129457","27,387677"
12/01/2007 4.00,"0,693279","28,624226","3,517197","23,247472"
12/01/2007 5.00,"0,859889","29,410192","3,034195","24,775065"
12/01/2007 6.00,"0,792149","19,061637","3,670302","13,443358"
12/01/2007 7.00,"0,765582","21,200332","3,802261","15,381082"
12/01/2007 8.00,"0,955655","63,06147","21,877157","29,538258"
12/01/2007 9.00,"1,008148","56,834695","19,658406","26,7115"
12/01/2007 10.00,"1,097706","48,237081","14,126302","26,595977"
12/01/2007 11.00,"1,225243","59,140741","15,515236","35,376091"
12/01/2007 12.00,"1,506882","69,19618","22,08018","35,365708"
12/01/2007 13.00,"1,224148","31,481462","11,056585","14,538764"
12/01/2007 14.00,"1,512085","30,786278","12,180761","12,118231"
12/01/2007 15.00,"2,015839","34,770579","13,849693","13,544589"
12/01/2007 16.00,"2,846149","42,213899","15,08638","19,095584"
12/01/2007 17.00,"2,824512","43,831241","14,221885","22,040445"
12/01/2007 18.00,"1,977405","43,800115","12,783882","24,215689"
12/01/2007 19.00,"1,404542","41,638043","11,693534","23,725089"
12/01/2007 20.00,"1,073422","41,437036","10,155718","25,88345"
12/01/2007 21.00,"1,004771","42,966157","10,071973","27,542129"
12/01/2007 22.00,"0,976835","29,404991","7,404048","18,065075"
12/01/2007 23.00,"0,914573","22,663318","5,534637","14,187032"
13/01/2007 0.00,"0,782837","19,091466","4,514498","12,177931"
13/01/2007 1.00,"0,721397","27,569777","4,686212","20,398649"
13/01/2007 2.00,"0,757001","32,892575","5,206433","24,926916"
13/01/2007 3.00,"0,698939","32,215537","6,170745","22,769855"
13/01/2007 4.00,"0,54794","23,686638","6,0667","14,3947"
13/01/2007 5.00,"0,647541","36,888542","8,961325","23,164395"
13/01/2007 6.00,"0,480566","27,848623","5,55071","19,351255"
13/01/2007 7.00,"0,550314","21,418223","3,4859","16,084527"
13/01/2007 8.00,"0,470981","16,605168","2,70007","12,47385"
13/01/2007 9.00,"0,401598","13,265456","2,83795","8,920275"
13/01/2007 10.00,"0,66023","16,920329","4,087324","10,660719"
13/01/2007 11.00,"4,191898","15,164226","4,694672","7,971529"
13/01/2007 12.00,"12,832129","22,684083","8,545148","9,588679"
13/01/2007 13.00,"9,50542","27,266285","11,444001","9,726254"
13/01/2007 14.00,"12,580157","36,334709","13,842935","15,120207"
13/01/2007 15.00,"17,992","43,27615","15,247942","19,910649"
13/01/2007 16.00,"9,86694","34,809469","13,845465","13,590016"
13/01/2007 17.00,"5,444162","74,041684","22,803402","39,108773"
13/01/2007 18.00,"3,287733","124,752088","47,665716","51,703328"
13/01/2007 19.00,"2,885131","123,759897","44,827752","55,064813"
13/01/2007 20.00,"1,937602","87,536694","26,351903","47,164659"
13/01/2007 21.00,"1,584116","115,426844","38,739063","56,068061"
13/01/2007 22.00,"1,728176","107,582731","38,410866","48,722097"
13/01/2007 23.00,"1,698049","115,205035","46,39603","44,261325"
14/01/2007 0.00,"1,160151","73,557908","21,31719","40,901138"
14/01/2007 1.00,,"84,640548","25,587218","45,439786"
14/01/2007 2.00,"0,58017",,,
14/01/2007 3.00,"0,5729","32,748601","4,939133","25,19299"
14/01/2007 4.00,"0,540971","23,623085","3,199989","18,729591"
14/01/2007 5.00,"0,455947","17,526018","2,179849","14,193521"
14/01/2007 6.00,"0,454474","25,191134","4,65407","18,389548"
14/01/2007 7.00,"0,559466","34,563069","6,312007","24,90227"
14/01/2007 8.00,"0,355555","25,744945","4,653223","18,623163"
14/01/2007 9.00,"0,489901","24,064067","4,20152","17,634187"
14/01/2007 10.00,"0,696573","25,396043","5,468657","17,022889"
14/01/2007 11.00,"1,003819","24,809825","5,719041","16,052079"
14/01/2007 12.00,"1,749436","29,2766","8,337061","16,50504"
14/01/2007 13.00,"2,867266","31,996365","11,338264","14,621826"
14/01/2007 14.00,"3,633863","29,941939","12,408312","10,924191"
14/01/2007 15.00,"3,049736","32,084546","13,968968","10,673698"
14/01/2007 16.00,"2,17649","33,138974","14,667662","10,656825"
14/01/2007 17.00,"1,761951","73,342619","26,571823","32,623309"
14/01/2007 18.00,"2,132782","116,350284","45,47233","46,661098"
14/01/2007 19.00,"2,125052","131,094268","52,192898","51,214009"
14/01/2007 20.00,"1,872464","141,680214","58,68423","51,737054"
14/01/2007 21.00,"1,206626","87,405684","25,654045","48,104332"
14/01/2007 22.00,"0,916586","38,539591","7,706875","26,741346"
14/01/2007 23.00,"0,898735","37,454033","6,227419","27,925008"
15/01/2007 0.00,"0,759788","24,091295","5,236039","16,074143"
15/01/2007 1.00,"0,834506","43,137376","8,479168","30,157344"
15/01/2007 2.00,"0,816839","30,747369","6,662205","20,5466"
15/01/2007 3.00,"0,480515","22,055054","5,144683","14,176655"
15/01/2007 4.00,"0,467449","16,417105","4,248043","9,910551"
15/01/2007 5.00,"0,59112","15,162931","3,739664","9,435531"
15/01/2007 6.00,"0,558638","27,825278","9,133039","13,861267"
15/01/2007 7.00,"0,538946","14,45997","3,084104","9,737934"
15/01/2007 8.00,"0,468645","15,292629","2,930152","10,807375"
15/01/2007 9.00,"0,562411","26,690429","4,597395","19,654958"
15/01/2007 10.00,"0,581827","39,019444","9,842739","23,944434"
15/01/2007 11.00,"0,542443","23,681458","6,614833","13,548483"
15/01/2007 12.00,"1,145066","29,410192","9,11866","15,439479"
15/01/2007 13.00,"7,035659","33,428202","11,608947","15,639356"
15/01/2007 14.00,"9,466762","34,870444","12,918371","15,073487"
15/01/2007 15.00,"5,776859","37,94557","13,423369","17,375902"
15/01/2007 16.00,"4,457328","41,37086","13,579855","20,563483"
15/01/2007 17.00,"3,299655","40,420214","13,231356","20,146858"
15/01/2007 18.00,"2,106925","46,637904","12,063184","28,161216"
15/01/2007 19.00,"1,400875","42,889638","10,627714","26,61286"
15/01/2007 20.00,"1,056177","28,382989","8,169574","15,867778"
