, Brindisi,,
,Mesagne,,
Parm,SO2,NOX,NO2



07/01/2007 6.00,"0,59192654","27,73579704","25,35910456"
07/01/2007 7.00,"0,75560354","27,5542144","24,78804752"
07/01/2007 8.00,"1,0677422","35,58897376","30,09763328"
07/01/2007 9.00,"0,68838899","36,00011112","29,36174272"
07/01/2007 10.00,"0,91248494","33,64869528","26,49733728"
07/01/2007 11.00,"0,78293237","20,30283968","16,0014649"
07/01/2007 12.00,"0,80981778","18,51172014","12,46605836"
07/01/2007 13.00,"0,85531632","21,16532376","12,90343601"
07/01/2007 14.00,"0,81336304","18,76592819","11,36287069"
07/01/2007 15.00,"0,8853046","19,57522808","10,9683161"
07/01/2007 16.00,"0,62693677","21,87865272","14,40897158"
07/01/2007 17.00,"0,85029336","40,28272344","30,3727892"
07/01/2007 18.00,"1,36924507","70,26747224","55,68778392"
07/01/2007 19.00,"1,76632458","113,39706808","72,42256392"
07/01/2007 20.00,"1,84447086","95,37172632","70,09804992"
07/01/2007 21.00,"1,83191396","88,04899576","64,17585936"
07/01/2007 22.00,"1,64327165","62,50897776","51,90058992"
07/01/2007 23.00,"1,41164177","44,92978208","38,0237528"
08/01/2007 0.00,"0,93449588","35,01051728","29,16446256"
08/01/2007 1.00,,"36,46702152","30,77903184"
08/01/2007 2.00,"0,55492707",,
08/01/2007 3.00,"0,30174492","25,91872784","21,601776"
08/01/2007 4.00,"0,40360967","17,13822347","14,19612582"
08/01/2007 5.00,"0,31033247","17,2134492","14,59846225"
08/01/2007 6.00,"0,30914868","23,81633088","20,20915168"
08/01/2007 7.00,"0,28220123","49,40045872","33,7186936"
08/01/2007 8.00,"0,49659195","52,98786784","42,38200384"
08/01/2007 9.00,"0,66893277","92,22138128","51,4450368"
08/01/2007 10.00,"0,50695518","58,47280312","42,23145296"
08/01/2007 11.00,"0,27154103","43,10104968","35,77453336"
08/01/2007 12.00,"0,07965551","28,4465448","22,4557708"
08/01/2007 13.00,"0,13266155","30,56578648","22,61152232"
08/01/2007 14.00,"0,19277337","34,79392592","25,06318432"
08/01/2007 15.00,"0,1294041","32,33098312","22,66861464"
08/01/2007 16.00,"0,2333415","37,04807832","27,05803128"
08/01/2007 17.00,"0,30559528","52,19151984","41,50594456"
08/01/2007 18.00,"0,34261001","59,17186856","47,57998616"
08/01/2007 19.00,"0,32691567","68,72926824","52,60923448"
08/01/2007 20.00,"0,29967227","67,39079176","50,7104464"
08/01/2007 21.00,"0,2214965","73,43730056","54,96747616"
08/01/2007 22.00,"0,19395817","63,97454488","49,6267248"
08/01/2007 23.00,"0,2416331","44,33188056","36,1223644"
09/01/2007 0.00,"0,20965252","34,51247952","27,991202"
09/01/2007 1.00,"0,09742352","27,18198624","21,7640092"
09/01/2007 2.00,"0,12673854","17,42226254","12,92939523"
09/01/2007 3.00,"0,07166087","16,67779666","12,50889098"
09/01/2007 4.00,"0,07639907","16,29129925","12,14548288"
09/01/2007 5.00,"0,14420958","15,52219151","11,70680125"
09/01/2007 6.00,"0,11015636","20,52461256","16,15590288"
09/01/2007 7.00,"0,04915568","49,14753936","27,96393688"
09/01/2007 8.00,"0,26443424","90,76227672","36,26513344"
09/01/2007 9.00,"0,135919","96,64794808","48,07056712"
09/01/2007 10.00,"0,07699097","47,12166064","35,8900564"
09/01/2007 11.00,"0,03997624","24,6451064","20,612794"
09/01/2007 12.00,"0,03731068","17,09801602","12,78533177"
09/01/2007 13.00,"0,011845","19,27951816","11,4381423"
09/01/2007 14.00,"0,01332575","18,7827863","11,47577811"
09/01/2007 15.00,"0,00740274","23,68924024","15,15914478"
09/01/2007 16.00,"0,04234483","26,73323984","17,47584252"
09/01/2007 17.00,"0,06603483","34,54880752","22,91002376"
09/01/2007 18.00,"0,05330097","52,60527664","35,40723816"
09/01/2007 19.00,"0,11370975","56,8956708","38,45724144"
09/01/2007 20.00,"0,24400169","70,79921856","42,62989464"
09/01/2007 21.00,"0,1311808","85,11266088","44,12115904"
09/01/2007 22.00,"0,15723939","69,74738912","39,82260064"
09/01/2007 23.00,"0,09801541","48,60411072","33,38384504"
10/01/2007 0.00,"0,12200135","27,9134792","20,9190964"
10/01/2007 1.00,,"21,8916352","16,23508071"
10/01/2007 2.00,"0,63277232",,
10/01/2007 3.00,"0,90325058","16,54291271","12,01958533"
10/01/2007 4.00,"0,90490524","14,98264997","10,75027162"
10/01/2007 5.00,"0,76499859","16,55977273","11,67306018"
10/01/2007 6.00,"0,98809381","18,20822647","13,58871402"
10/01/2007 7.00,"1,13485403","46,36940336","26,02622048"
10/01/2007 8.00,"1,11712874","69,17541432","35,9108016"
10/01/2007 9.00,"1,09715892","71,62541288","35,86799192"
10/01/2007 10.00,"0,98880266","36,29840224","21,94700672"
10/01/2007 11.00,"0,95725227","27,80323328","20,28442712"
10/01/2007 12.00,"0,52370618","23,48301192","14,97224678"
10/01/2007 13.00,"0,7510545","25,89150096","15,71203399"
10/01/2007 14.00,"0,47632212","21,5323704","12,19870149"
10/01/2007 15.00,"0,41794835","20,73990376","11,63412422"
10/01/2007 16.00,"0,49416437","23,03814688","13,77301743"
10/01/2007 17.00,"0,25547243","36,5033304","25,90421576"
10/01/2007 18.00,"0,52772333","75,45279712","48,08875024"
10/01/2007 19.00,"1,15045176","98,46759848","57,7033952"
10/01/2007 20.00,"1,40167008","113,67593328","55,94217552"
10/01/2007 21.00,"1,08959651","91,74278856","49,574814"
10/01/2007 22.00,"1,17940168","79,82097144","48,10433304"
10/01/2007 23.00,"1,37803703","74,96902288","45,93817088"
11/01/2007 0.00,"1,17621135","56,34962272","38,92317672"
11/01/2007 1.00,"0,85622145","50,0865608","30,75954856"
11/01/2007 2.00,"1,02661472","32,91462112","23,7783012"
11/01/2007 3.00,"0,96835994","30,02625832","22,31560208"
11/01/2007 4.00,"0,70497016","26,55553856","20,67118648"
11/01/2007 5.00,"0,96682325","22,09396304","19,20978752"
11/01/2007 6.00,"0,85811206","21,41434264","17,83016671"
11/01/2007 7.00,"1,2790148","43,5069864","30,54800488"
11/01/2007 8.00,"1,34849624","61,7593208","35,09185376"
11/01/2007 9.00,"0,98620321","67,68000088","37,31250792"
