, Brindisi,,
,S. Pietro  Vernotico,,
Parm,SO2,NOX,NO2
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,
09/01/2007 22.00,"0,66172122","60,53499072","46,38074152"
09/01/2007 23.00,"0,7301938","56,44822456","41,33461024"
10/01/2007 0.00,"0,54606696","39,21011056","28,7348744"
10/01/2007 1.00,,"30,02883952","20,09494792"
10/01/2007 2.00,"0,53443859",,
10/01/2007 3.00,"0,50107387","25,725482","15,63416014"
10/01/2007 4.00,"0,50849492","24,61267888","14,37652302"
10/01/2007 5.00,"0,45427356","23,67755792","13,92616481"
10/01/2007 6.00,"0,37973255","27,0367316","17,02807698"
10/01/2007 7.00,"0,45786357","34,64348976","24,06513944"
10/01/2007 8.00,"0,53303309","38,10898976","26,93082592"
10/01/2007 9.00,"0,77816874","47,84409072","32,17811872"
10/01/2007 10.00,"0,71568731","48,14756336","32,8893636"
10/01/2007 11.00,"0,77538521","51,72460944","35,42022064"
10/01/2007 12.00,"0,79597336","45,42393848","31,93282824"
10/01/2007 13.00,"0,91791267","38,7393188","26,52200208"
10/01/2007 14.00,"0,94191184","30,45295936","19,53425392"
10/01/2007 15.00,"0,88382894","34,64737112","23,95351688"
10/01/2007 16.00,"0,84106815","33,78358688","25,30719376"
10/01/2007 17.00,"0,80120989","36,71344008","27,39027952"
10/01/2007 18.00,"0,84076916","66,5542344","48,32755904"
10/01/2007 19.00,"1,22409273","89,496418","66,0240368"
10/01/2007 20.00,"1,90892934","129,3356148","73,69446456"
10/01/2007 21.00,"1,24925941","70,99898432","55,189402"
10/01/2007 22.00,"0,92940376","65,56726","51,49046592"
10/01/2007 23.00,"0,86958585","61,3131556","47,13999672"
11/01/2007 0.00,"0,77149518","48,89850136","37,36053736"
11/01/2007 1.00,"0,59763802","32,45807376","23,0709568"
11/01/2007 2.00,"0,51896798","29,47632888","20,19098768"
11/01/2007 3.00,"0,55912626","24,87986176","16,19095558"
11/01/2007 4.00,"0,49802185","23,03296536","14,38950168"
11/01/2007 5.00,"0,45442306","21,1160324","13,09812541"
11/01/2007 6.00,"0,39239114","25,5491","16,72178222"
11/01/2007 7.00,"0,38254557","45,4887744","32,24433128"
11/01/2007 8.00,"0,83553262","84,96738712","54,68451928"
11/01/2007 9.00,"0,75333156","51,30959072","37,79662632"
11/01/2007 10.00,"0,90911461","47,77143472","34,4844496"
11/01/2007 11.00,"0,70988227","39,84305904","30,1248984"
11/01/2007 12.00,"0,77999324","54,24336352","41,63573112"
11/01/2007 13.00,"0,77768973","41,79368144","29,8250968"
11/01/2007 14.00,"0,73373194","26,9524124","16,98784658"
11/01/2007 15.00,"0,51732248","29,55156608","20,09624808"
11/01/2007 16.00,"0,71598631","31,56058096","22,90224192"
11/01/2007 17.00,"0,76613864","31,05086088","21,89897728"
11/01/2007 18.00,"0,92670972","46,76371512","35,44228512"
11/01/2007 19.00,"0,9371238","49,34338552","37,44229448"
11/01/2007 20.00,"0,88679146","40,21656824","29,26960344"
11/01/2007 21.00,"0,96611949","55,8658676","41,53579088"
11/01/2007 22.00,"0,71461031","53,64416184","39,92382192"
11/01/2007 23.00,"0,82499955","44,85844536","34,64538264"
12/01/2007 0.00,"0,90627209","54,7375008","40,5247444"
12/01/2007 1.00,,"40,19582304","29,35007952"
12/01/2007 2.00,"0,46203022",,
12/01/2007 3.00,"0,38765904","27,08860416","17,73931421"
12/01/2007 4.00,"0,30233376","25,82534576","16,8463777"
12/01/2007 5.00,"0,27183698","23,82541288","15,15006086"
12/01/2007 6.00,"0,37897997","22,41950016","13,9949471"
12/01/2007 7.00,"0,30053876","26,26372912","17,91711491"
12/01/2007 8.00,"0,46660977","54,52999144","38,0237528"
12/01/2007 9.00,"0,45520717","48,72862016","36,3183444"
12/01/2007 10.00,"0,65874853","53,609134","37,27617992"
12/01/2007 11.00,"1,07148781","65,30393936","44,63250432"
12/01/2007 12.00,"0,95787976","56,14603296","42,65584048"
12/01/2007 13.00,"0,63504531","34,45542544","24,27278264"
12/01/2007 14.00,"0,58581336","23,44670304","13,7665281"
12/01/2007 15.00,"0,46619077","24,15873184","14,04686363"
12/01/2007 16.00,"0,57839129","25,71509984","16,9411173"
12/01/2007 17.00,"0,53418739","27,11194968","18,14813996"
12/01/2007 18.00,"0,47214632","28,98349176","19,16955904"
12/01/2007 19.00,"0,61795666","26,47772016","16,77499127"
12/01/2007 20.00,"0,50605513","29,55934792","20,06898296"
12/01/2007 21.00,"0,38966457","29,97436664","19,70816944"
12/01/2007 22.00,"0,52862033","24,48168776","14,38041777"
12/01/2007 23.00,"0,48872647","21,55441576","11,2901841"
13/01/2007 0.00,"0,45613467","20,16276656","9,66006261"
13/01/2007 1.00,"0,47789237","18,57916212","7,76387102"
13/01/2007 2.00,"0,4587687","18,33273782","7,35244686"
13/01/2007 3.00,"0,61574163","17,02798138","5,99487142"
13/01/2007 4.00,"0,60409902","17,84766916","6,59189342"
13/01/2007 5.00,"0,4701713","17,38335143","6,16878694"
13/01/2007 6.00,"0,4170056","18,49680463","7,11358835"
13/01/2007 7.00,"0,5793188","20,11217504","8,93585054"
13/01/2007 8.00,"0,72506913","24,55560568","13,52642106"
13/01/2007 9.00,"0,69720638","21,4934612","11,22399448"
13/01/2007 10.00,"0,66530208","18,68032604","8,80865857"
13/01/2007 11.00,"0,76816553","19,40920912","8,5763391"
13/01/2007 12.00,"1,30486694","21,0356328","10,00918998"
13/01/2007 13.00,"1,95909693","20,70489504","10,09874233"
13/01/2007 14.00,"2,37749277","22,66721888","12,0286788"
13/01/2007 15.00,"1,72239527","20,81772216","10,77492878"
13/01/2007 16.00,"0,80291235","22,38447232","11,90407376"
13/01/2007 17.00,"0,60101649","22,16009912","16,45831054"
13/01/2007 18.00,"0,79040223","44,03228928","35,06460776"
13/01/2007 19.00,"0,8306856","45,89863072","35,72262256"
13/01/2007 20.00,"0,85411931","50,70130704","40,48061544"
13/01/2007 21.00,"1,28095421","98,21339808","65,2037888"
13/01/2007 22.00,"1,43921467","94,1629408","65,67360544"
13/01/2007 23.00,"1,54150961","100,30541288","62,84684728"
14/01/2007 0.00,"1,038417","64,19631776","48,65850712"
14/01/2007 1.00,,"47,0295596","38,16652184"
14/01/2007 2.00,"0,6236661",,
14/01/2007 3.00,"0,54501844","51,20454544","41,88622224"
14/01/2007 4.00,"0,47552174","41,03108024","32,52596888"
14/01/2007 5.00,"0,3467014","38,61610952","30,04702264"
14/01/2007 6.00,"0,45283654","36,46053984","27,6239068"
14/01/2007 7.00,"0,52536288","59,51556968","41,72008856"
14/01/2007 8.00,"0,62612724","69,82130704","49,31912224"
14/01/2007 9.00,"1,1247542","67,02244496","49,93820872"
14/01/2007 10.00,"1,14908999","75,71736056","62,78455432"
14/01/2007 11.00,"1,19653101","26,35581104","20,33245656"
14/01/2007 12.00,"1,4619436","20,667286","12,38169136"
14/01/2007 13.00,"1,53402043","21,0680412","11,9066779"
14/01/2007 14.00,"1,54935374","20,38065808","11,61335225"
14/01/2007 15.00,"1,29195307","21,86698952","13,36807686"
14/01/2007 16.00,"0,87713606","24,09907744","16,08581852"
14/01/2007 17.00,"0,95953543","33,18566624","24,4856456"
14/01/2007 18.00,"0,7668597","52,1876576","40,1665312"
14/01/2007 19.00,"1,00679644","77,7069304","52,19130952"
14/01/2007 20.00,"0,93327954","103,6775308","56,23547632"
14/01/2007 21.00,"1,45459171","157,81974952","61,39193"
14/01/2007 22.00,"1,16931406","82,2087344","51,9200732"
14/01/2007 23.00,"0,57934625","34,45410616","25,78871184"
15/01/2007 0.00,"0,62153548","27,52568736","18,74645638"
15/01/2007 1.00,"0,52272275","25,82276456","16,54527021"
15/01/2007 2.00,"0,48023249","23,63086688","14,03129039"
15/01/2007 3.00,"0,40005424","22,55437264","13,00857306"
15/01/2007 4.00,"0,28983788","22,29369056","12,69059217"
15/01/2007 5.00,"0,33439875","21,15364144","11,60037359"
15/01/2007 6.00,"0,37403735","22,18604496","12,68669551"
15/01/2007 7.00,"0,49091505","23,798186","14,90865174"
15/01/2007 8.00,"0,43600214","29,52822056","20,01837232"
15/01/2007 9.00,"0,45964739","34,1778604","24,3078296"
15/01/2007 10.00,"0,47975246","37,32562424","26,42596232"
15/01/2007 11.00,"0,56389192","34,9742084","23,57063888"
15/01/2007 12.00,"0,46900989","31,00156952","19,50570776"
15/01/2007 13.00,"0,67395776","26,55553856","15,72631472"
15/01/2007 14.00,"0,55371989","25,51797264","14,84116197"
15/01/2007 15.00,"0,60638218","24,91357032","14,88009985"
15/01/2007 16.00,"0,5145603","24,52059696","15,007288"
15/01/2007 17.00,"0,54021718","26,2494656","16,46869652"
15/01/2007 18.00,"0,45922737","29,6916392","19,7860452"
15/01/2007 19.00,"0,48218309","29,37776528","19,250016"
15/01/2007 20.00,"0,51414028","28,5178624","18,02613715"
15/01/2007 21.00,"0,56545302","26,07048328","15,86258678"
15/01/2007 22.00,"0,4862338","24,24433208","14,21947899"
15/01/2007 23.00,"0,4880644","22,77098312","13,15133446"
16/01/2007 0.00,"0,4163181","19,72178288","10,23112156"
