,Provincia di TARANTO,,,,,,,,,
,TA V. Machiavelli,,,,,,,,,
Parm,SO2,NOX,NO2,CO,O3,CH4,NMHC,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug-C/m3,ug-C/m3,ug/m3,ug/m3 293K,ug/m3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,
,,,,,,,
04/01/2009 0.00,"2,176313","10,147528","10,847605","0,63321","64,913573","940,159585","47,953734","18,0723","1,385662","11,31651"
04/01/2009 1.00,,"19,121281","18,969696","0,85045","58,027888","950,482423","46,315741","24,352051","1,568214","13,55569"
04/01/2009 2.00,"2,201598",,,"0,633132","64,090273","970,926226","44,870437","24,352051","1,391764","13,55569"
04/01/2009 3.00,"2,331634","6,392787","8,068871","0,614702","66,201323","995,695212","45,970193","24,352051","1,343457","13,55569"
04/01/2009 4.00,"2,561005","8,375862","9,955977","0,655861",,"989,326169","41,614389","24,352051","1,306845","13,55569"
04/01/2009 5.00,"2,499599","34,826353","31,373453","1,062954","48,669601","970,002571","40,511321","24,352051","1,273284","13,55569"
04/01/2009 6.00,"2,671175","39,760039","35,444867","1,175224","44,578814","984,694736","45,72433","24,352051","2,79675","13,55569"
04/01/2009 7.00,"2,602545","56,158996","45,059511","1,175184","35,89352","986,033383","40,740559","24,352051","3,760357","13,55569"
04/01/2009 8.00,"2,420131","45,239734","38,137956","1,03754","41,127183","979,385067","41,059531","24,352051","3,6612","13,55569"
04/01/2009 9.00,"2,597126","44,890873","32,972419","0,992987","44,968816","982,900302","46,059904","24,352051","2,971674","13,55569"
04/01/2009 10.00,"2,58629","64,173008","38,658402","1,392226","42,016834","986,003476","48,561763","24,352051","3,158293","13,55569"
04/01/2009 11.00,"2,918607","57,996789","35,259286","1,2635","46,194265","975,029438","62,217261","24,352051","3,611875","13,55569"
04/01/2009 12.00,"2,793988","53,222621","31,940608","1,180551","49,992564","973,112086","53,1601","24,352051","3,534583","13,55569"
04/01/2009 13.00,"3,11005","58,109638","35,428","1,125186","47,6012","973,05574","55,735052","24,352051","4,332928","13,55569"
04/01/2009 14.00,"3,073928","51,663672","33,505869","0,908854","48,198363","972,720062","49,704701","24,352051","4,553617","13,55569"
04/01/2009 15.00,"3,288851","33,599422","24,65826","0,879573","52,258009","974,098964","42,278886","24,352051","3,968334","13,55569"
04/01/2009 16.00,"3,173263","43,002486","30,985392","1,388398","45,456276","988,641653","49,920654","24,352051","3,147615","13,55569"
04/01/2009 17.00,"3,189516","35,83411","28,178099","0,998473","45,808353","993,070793","44,425223","24,352051","4,212414","13,55569"
04/01/2009 18.00,"3,014328","42,139981","31,488957","0,724841","44,043953","971,87285","47,176281","24,352051","2,778952","13,55569"
04/01/2009 19.00,"3,046837","46,78186","36,109381","1,26358","40,122423","989,781417","42,45166","24,352051","2,079765","13,55569"
04/01/2009 20.00,"2,895127","55,060455","42,160057","1,47999","37,208367","1016,697144","42,800521","24,352051","2,9254","13,55569"
04/01/2009 21.00,"3,157008","43,23854","32,859516","0,925309","44,516531","993,336369","42,425084","24,352051","3,67798","13,55569"
