, Brindisi,,,
,Via Dei Mille,,,
Parm,SO2,NOX,NO2,PM10



08/01/2007 0.00,"1,89259835","94,91646","60,37180152","35,16482162"
08/01/2007 1.00,,"93,84388536","59,86953824",
08/01/2007 2.00,"0,5347386",,,"40,04883957"
08/01/2007 3.00,"0,61863907","69,0807512","51,91875392",
08/01/2007 4.00,"0,42733832","45,97122936","39,15290352","46,39804077"
08/01/2007 5.00,"0,23290317","36,15834824","30,52203992",
08/01/2007 6.00,"0,15405008","58,52595672","43,56696584","30,76922989"
08/01/2007 7.00,"1,47436016","147,82784784","79,46480408",
08/01/2007 8.00,"4,10453674","229,407496","89,4480444","57,63124084"
08/01/2007 9.00,"8,58332135","312,262104","109,34045416",
08/01/2007 10.00,"4,14283188","162,94538176","88,32537536","48,84004974"
08/01/2007 11.00,"4,08887087","134,90999344","77,38041816",
08/01/2007 12.00,"4,67200037","109,79405704","65,32579352","37,11843109"
08/01/2007 13.00,"5,1802807","95,84123704","61,7073144",
08/01/2007 14.00,"5,60152718","138,50130304","80,0735084","30,76922989"
08/01/2007 15.00,"3,97398547","117,0480512","74,36416168",
08/01/2007 16.00,"4,69462964","145,30393136","91,71282752","28,32722092"
08/01/2007 17.00,"5,18898418","192,8819864","106,80309632",
08/01/2007 18.00,"3,68677247","149,3440256","96,42801072","30,76922989"
08/01/2007 19.00,"4,02620639","176,31462112","105,66363992",
08/01/2007 20.00,"3,48311211","171,53005144","101,13149248","35,16482162"
08/01/2007 21.00,"5,02187786","193,8664752","101,55848032",
08/01/2007 22.00,"2,84950281","133,1305524","85,6206028","43,46763992"
08/01/2007 23.00,"1,53545846","64,80462056","50,33276904",
09/01/2007 0.00,"1,31386942","70,56578248","51,66698176","36,14162064"
09/01/2007 1.00,"1,22248282","57,52209936","42,54293688",
09/01/2007 2.00,"1,08862426","46,46410472","39,02441712","47,86323166"
09/01/2007 3.00,"0,76311612","28,90307304","27,11642376",
09/01/2007 4.00,"0,49052453","19,0681217","17,54073771","49,81684113"
09/01/2007 5.00,"0,17754989","17,97217669","17,2993305",
09/01/2007 6.00,"0,64266061","65,73456","50,180918","42,97924042"
09/01/2007 7.00,"1,62806343","107,36484192","60,47954272",
09/01/2007 8.00,"7,06544376","309,316668","96,67460136","47,37483978"
09/01/2007 9.00,"5,9984033","259,26242","94,06326824",
09/01/2007 10.00,"2,17133161","170,39260264","82,00084264","51,28205109"
09/01/2007 11.00,"2,39692459","84,70152352","53,16212752",
09/01/2007 12.00,"3,35430093","67,68650168","39,79275432","36,14162064"
09/01/2007 13.00,"4,25249499","58,0123744","38,03153464",
09/01/2007 14.00,"9,16819195","76,93264688","50,74679352","23,44322014"
09/01/2007 15.00,"10,03331418","98,53373456","68,86119624",
09/01/2007 16.00,"5,38742224","62,5465868","45,78762","22,46640968"
09/01/2007 17.00,"2,80250317","127,7986536","84,49927216",
09/01/2007 18.00,"5,00447191","204,1708168","105,24181448","37,6068306"
09/01/2007 19.00,"9,29178084","259,3519016","111,94526736",
09/01/2007 20.00,"8,06459745","267,771776","110,58772824","42,49084091"
09/01/2007 21.00,"5,54060278","240,5326592","102,83038096",
09/01/2007 22.00,"3,2533413","145,78384336","74,81065192","45,90964127"
09/01/2007 23.00,"4,29949361","139,17184144","56,9376392",
10/01/2007 0.00,"1,47523071","88,38233384","48,43008048","43,46763992"
10/01/2007 1.00,"0,28442744","43,04397648","35,25538712",
10/01/2007 2.00,"0,27259058","48,05680072","30,98149352","41,02563095"
10/01/2007 3.00,"0,24091103","22,20809032","20,64005912",
10/01/2007 4.00,"0,62612419","19,49610952","18,61667365","36,14162064"
10/01/2007 5.00,"0,40000949","17,40669695","16,12735098",
10/01/2007 6.00,"0,32777096","21,47011568","19,36163856","27,35042"
10/01/2007 7.00,"0,29295702","55,93332296","41,3605752",
10/01/2007 8.00,"0,80280353","84,88178688","50,06799528","27,35042"
10/01/2007 9.00,"2,207189","138,6258316","63,02336312",
10/01/2007 10.00,"1,50638854","61,49215704","35,08925344",
10/01/2007 11.00,"1,51213357","48,12941848","30,74656608",
