NetC,Provincia di TARANTO,,,,
Stat,Talsano,,,,
Parm,SO2,NOX,NO,NO2,PM10
PtId,1,2,3,4,5
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver,Aver,Aver
07/01/2007 13.00,"0,162467","18,331439","4,704822","11,125358",
07/01/2007 14.00,"1,382773","25,290999","4,766573","17,994992",
07/01/2007 15.00,"0,231063","14,448297","4,857928","7,004616",
07/01/2007 16.00,"0,180519","9,093089","3,848784","3,194063",
07/01/2007 17.00,"0,164272","11,301838","5,224197","3,293999",
07/01/2007 18.00,"0,287025","15,666157","6,421973","5,823552",
07/01/2007 19.00,"0,24009","18,171911","9,050989","4,297254",
07/01/2007 20.00,"0,126363","17,051325","6,477801","7,12402",
07/01/2007 21.00,"0,019857","13,701241","5,317244","5,552297",
07/01/2007 22.00,"0,131779","13,972309","5,746954","5,164233",
07/01/2007 23.00,"0,043324","13,399045","4,81225","6,024723",
08/01/2007 0.00,"0,120948","11,492492","5,887373","2,467254",
08/01/2007 1.00,,"10,681883","5,485575","2,273873",
08/01/2007 2.00,"0,216622","12,596217","5,916978","3,526319",
08/01/2007 3.00,"0,160662","10,390064","5,715658","1,631425",
08/01/2007 4.00,"0,131779","9,715636","5,577777","1,166786",
08/01/2007 5.00,"0,083039","9,2163","5,714811","0,76185",
08/01/2007 6.00,"0,041519","8,606724","4,909526","1,186254",
08/01/2007 7.00,"0,101091","9,518496","5,531253","1,081127",
08/01/2007 8.00,"0,104701","13,921727","8,593364","0,802086",
08/01/2007 9.00,"0,651672","35,530619","20,727595","3,761233",
08/01/2007 10.00,"1,093943","45,084098","23,690742","8,76583",
08/01/2007 11.00,"1,861148","38,33338","13,002107","18,41031",
08/01/2007 12.00,"1,2528","22,507681","5,953351","13,388846",
08/01/2007 13.00,"0,28883","17,131737","5,17429","9,204509",
08/01/2007 14.00,"0,456712","20,117356","5,101543","12,303827",
08/01/2007 15.00,"0,238285","18,339221","4,762342","11,04489",
08/01/2007 16.00,"0,234674","17,243277","4,971278","9,627616",
08/01/2007 17.00,"1,164345","28,953644","9,852043","13,857373",
08/01/2007 18.00,"1,433318","31,00545","15,908577","6,617851",
08/01/2007 19.00,"3,700633","66,118449","41,379075","2,769658",
08/01/2007 20.00,"4,11041","65,977097","38,346572","7,197999",
08/01/2007 21.00,"1,973069","28,969209","10,794358","12,42712",
08/01/2007 22.00,"1,69146","39,661475","16,309537","14,664649",
08/01/2007 23.00,"1,592174","35,739408","18,022454","8,1117",
09/01/2007 0.00,"0,707634","22,896773","9,711626","8,011763",
09/01/2007 1.00,"0,245506","13,616937","6,327233","3,918277",
09/01/2007 2.00,"0,249116","12,313477","5,746108","3,505553",
09/01/2007 3.00,"0,187739","13,764792","5,606538","5,172021",
09/01/2007 4.00,"0,250921","10,173468","5,129457","2,310212",
09/01/2007 5.00,"0,193155","10,566452","4,958587","2,965638",
09/01/2007 6.00,"0,175103","8,954313","4,831705","1,550957",
09/01/2007 7.00,"0,135389","10,09176","5,499109","1,66517",
09/01/2007 8.00,"0,120948","12,727213","6,111532","3,358892",
09/01/2007 9.00,"0,185934","27,647596","11,839872","9,500424",
09/01/2007 10.00,"1,783524","44,108806","18,475003","15,792504",
09/01/2007 11.00,"3,346816","50,668877","12,872694","30,952946",
09/01/2007 12.00,"2,133731","58,409248","14,958651","35,498078",
09/01/2007 13.00,"0,382699","32,114373","8,315067","19,378521",
09/01/2007 14.00,"0,846632","14,419764","3,961288","9,395296",
09/01/2007 15.00,"2,310639","3,002496","2,903929","0,009086",
09/01/2007 16.00,"1,214891","22,729473","6,080234","13,719799","24,908421"
09/01/2007 17.00,"0,436855","27,827878","5,775715","18,98527",
09/01/2007 18.00,"0,496426","15,784182","4,387614","9,063042","32,234421"
09/01/2007 19.00,"0,101091","11,639049","4,579631","4,620424",
09/01/2007 20.00,"0,209401","14,034561","4,907835","6,514021","39,56044"
09/01/2007 21.00,"0,144415","15,817902","6,251103","6,237573",
09/01/2007 22.00,"0,261752","22,994056","12,544496","3,762531","42,002441"
09/01/2007 23.00,"0,19496","22,62701","10,770668","6,116872",
10/01/2007 0.00,"0,24009","21,711353","10,573576","5,502977","39,072041"
10/01/2007 1.00,,"17,973472","8,774383","4,523084",
10/01/2007 2.00,"0,592101","15,963163","6,103919","6,608765","43,46764"
10/01/2007 3.00,"0,232869","11,767451","4,775877","4,447807",
10/01/2007 4.00,"0,222038","13,684379","5,196283","5,721019","30,28083"
10/01/2007 5.00,"0,157051","10,39655","4,566096","3,397828",
10/01/2007 6.00,"0,176908","11,738917","5,104926","3,914382","25,88522"
10/01/2007 7.00,"0,070402","18,43779","7,102911","7,552317",
10/01/2007 8.00,"2,882883","131,68831","84,049846","4,323212","30,76923"
10/01/2007 9.00,"4,861368","166,491298","110,568384","0,430894",
10/01/2007 10.00,"3,743957","122,330638","73,272399","9,99102","45,909641"
10/01/2007 11.00,"2,207743","40,127087","10,247912","24,431134",
10/01/2007 12.00,"1,521773","30,07553","5,949968","20,967105","32,722832"
10/01/2007 13.00,"0,232869","23,995313","5,850153","15,035841",
10/01/2007 14.00,"1,853927","30,578768","5,33247","22,418123","28,81562"
10/01/2007 15.00,"1,048814","26,076965","4,665065","18,93725",
10/01/2007 16.00,"1,575928","28,146934","5,372227","19,923632","21,97802"
10/01/2007 17.00,"0,77262","21,604987","6,812772","11,16689",
10/01/2007 18.00,"0,460323","29,730547","15,211567","6,433553","36,141621"
10/01/2007 19.00,"0,77262","37,386577","20,430699","6,064958",
10/01/2007 20.00,"0,947723","38,614808","22,864305","3,601596","108,424797"
10/01/2007 21.00,"0,96397","24,995289","14,069614","3,425084",
10/01/2007 22.00,"0,261752","33,777104","20,577034","2,23234","86,446869"
10/01/2007 23.00,"0,276194","37,381395","22,245968","3,274531",
11/01/2007 0.00,"0,129974","26,547757","15,51778","2,756681","67,88765"
11/01/2007 1.00,"0,232869","16,567554","7,925959","4,417957",
11/01/2007 2.00,"0,209401","22,708728","11,051503","5,767743","50,305241"
11/01/2007 3.00,"0,083039","16,152523","7,755936","4,263509",
11/01/2007 4.00,"0,14622","12,882849","6,307779","3,213531","42,97924"
11/01/2007 5.00,"0,028883","11,262928","5,582007","2,706063",
11/01/2007 6.00,"0,05596","12,278459","6,046398","3,009765","42,002441"
