,Regione Puglia,,,,,,
,ARNESANO,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE


08/01/2007 20.00,"1,49100031","34,92702024",,,,"84,4154129",
08/01/2007 21.00,"1,16646442","30,00289368",,,,"84,4154129",
08/01/2007 22.00,"0,97370428","22,30001928",,,,"84,4154129",
08/01/2007 23.00,"1,09341738","29,78874968",,,,"84,4154129",
09/01/2007 0.00,"0,76862724","22,51936392",,,,"84,4154129",
09/01/2007 1.00,"0,70840559","19,06574126",,,,"67,49436951",
09/01/2007 2.00,"0,79491263","16,48945702",,,,"67,49436951",
09/01/2007 3.00,"0,59643897","14,02998832",,,,"67,49436951",
09/01/2007 4.00,"0,86875293","10,97609794",,,,"67,49436951",
09/01/2007 5.00,"0,6985651","10,31677916",,,,"67,49436951",
09/01/2007 6.00,"0,57716886","9,84565854",,,,"67,49436951",
09/01/2007 7.00,"0,81802395","13,92097755",,,,"67,49436951",
09/01/2007 8.00,"0,98884741","19,69650624",,,,"67,49436951",
09/01/2007 9.00,"1,54023836","20,2883276",,,,"67,49436951",
09/01/2007 10.00,"0,90186441","27,95225456",,,,"67,49436951",
09/01/2007 11.00,"0,94859353","36,34040888",,,,"67,49436951",
09/01/2007 12.00,"0,53190015","12,27007645",,,,"67,49436951",
09/01/2007 13.00,"0,58440685","8,44525429",,,,"67,49436951",
09/01/2007 14.00,"0,51510643","9,16687177",,,,"67,49436951",
09/01/2007 15.00,"0,61485074","13,7665281",,,,"67,49436951",
09/01/2007 16.00,"0,7724054","10,11561573",,,,"67,49436951",
09/01/2007 17.00,"0,78259574","18,34801662",,,,"67,49436951",
09/01/2007 18.00,"0,99208553","22,3272844",,,,"67,49436951",
09/01/2007 19.00,"0,68913649","19,14489424",,,,"67,49436951",
09/01/2007 20.00,"1,24087628","28,92437272",,,,"67,49436951",
09/01/2007 21.00,"1,49208036","26,77379336",,,,"67,49436951",
09/01/2007 22.00,"1,48112829","25,11769544",,,,"67,49436951",
09/01/2007 23.00,"0,99830754","21,78865488",,,,"67,49436951",
10/01/2007 0.00,"0,83980097","18,47261018",,,,"67,49436951",
10/01/2007 1.00,,"16,32592557",,,,"53,69678116",
10/01/2007 2.00,"1,50514271",,,,,"53,69678116",
10/01/2007 3.00,"1,31428334","11,13054548",,,,"53,69678116",
10/01/2007 4.00,"1,17287152","8,76193502",,,,"53,69678116",
10/01/2007 5.00,"1,35869166","8,90210566",,,,"53,69678116",
10/01/2007 6.00,"1,32089791","11,84047873",,,,"53,69678116",
10/01/2007 7.00,"1,27396946","15,20716466",,,,"53,69678116",
10/01/2007 8.00,"1,83206041","17,78343743",,,,"53,69678116",
10/01/2007 9.00,"1,41916146","19,18642288",,,,"53,69678116",
10/01/2007 10.00,"1,5158507","13,3460143",,,,"53,69678116",
10/01/2007 11.00,"1,43522396","18,27533767",,,,"53,69678116",
10/01/2007 12.00,"1,44719202","16,94891062",,,,"53,69678116",
10/01/2007 13.00,"1,39176145","7,93389371",,,,"53,69678116",
10/01/2007 14.00,"1,29475694","9,59906216",,,,"53,69678116",
10/01/2007 15.00,"1,53915729","12,77494578",,,,"53,69678116",
10/01/2007 16.00,"1,37727327","12,6892901",,,,"53,69678116",
10/01/2007 17.00,"1,25507258","11,16039945",,,,"53,69678116",
10/01/2007 18.00,"1,19239792","14,30513659",,,,"53,69678116",
10/01/2007 19.00,"1,90197916","24,33379456",,,,"53,69678116",
10/01/2007 20.00,"2,11394027","24,38830568",,,,"53,69678116",
10/01/2007 21.00,"2,19204689","23,13585008",,,,"53,69678116",
10/01/2007 22.00,"1,91457674","22,4804356",,,,"53,69678116",
10/01/2007 23.00,"1,80402986","18,67508334",,,,"53,69678116",
11/01/2007 0.00,"1,66513715","17,78733409",,,,"53,69678116",
11/01/2007 1.00,"1,36121077","13,80805866",,,,"65,2009201",
11/01/2007 2.00,"1,55395973","11,59388235",,,,"65,2009201",
11/01/2007 3.00,"1,3734941","10,22981949",,,,"65,2009201",
11/01/2007 4.00,"1,13192812","9,31223348",,,,"65,2009201",
11/01/2007 5.00,"1,2683007","8,04421229",,,,"65,2009201",
11/01/2007 6.00,"1,1445257","6,65938128",,,,"65,2009201",
11/01/2007 7.00,"1,3760132","8,81125506",,,,"65,2009201",
11/01/2007 8.00,"1,28625278","12,82426965",,,,"65,2009201",
11/01/2007 9.00,"1,61380001","16,26103802",,,,"65,2009201",
11/01/2007 10.00,"2,0405566","18,88014534",,,,"65,2009201",
11/01/2007 11.00,"1,81316354","16,2182054",,,,"65,2009201",
11/01/2007 12.00,"1,67238124","14,75940102",,,,"65,2009201",
11/01/2007 13.00,"1,67773473","24,8931884",,,,"65,2009201",
11/01/2007 14.00,"1,25948229","12,15456488",,,,"65,2009201",
11/01/2007 15.00,"1,60372154","15,6640122",,,,"65,2009201",
11/01/2007 16.00,"1,26042709","18,65561153",,,,"65,2009201",
11/01/2007 17.00,"1,33034584","20,04173696",,,,"65,2009201",
11/01/2007 18.00,"1,68623888","21,12805888",,,,"65,2009201",
11/01/2007 19.00,"1,68277397","20,84640216",,,,"65,2009201",
11/01/2007 20.00,"2,34416771","23,36557688",,,,"65,2009201",
11/01/2007 21.00,"1,90796319","24,53885656",,,,"65,2009201",
11/01/2007 22.00,"1,5854552","18,68027059",,,,"65,2009201",
