NetC,Provincia di TARANTO,,,,
Stat,TA V.Archimede,,,,
Parm,SO2,NOX,NO2,CO,PM10
PtId,1,2,4,6,8
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3
Field,Aver,Aver,Aver,Aver,Aver
10/01/2007 11.00,"1,26297","204,492604","74,591286","0,697582",
10/01/2007 12.00,"0,754971","93,625993","56,304268","0,305117",
10/01/2007 13.00,"0,503376","53,817962","38,05878","0,130392",
10/01/2007 14.00,"0,450643","40,599197","29,374724","0,219228",
10/01/2007 15.00,"0,233387","33,574776","24,784165","0,101583",
10/01/2007 16.00,"0,243764","49,006183","38,442957","0,016158",
10/01/2007 17.00,"0,34876","64,914865","52,98171","0,027789",
10/01/2007 18.00,"0,422626","92,266768","66,984452","0,139434",
10/01/2007 19.00,"0,88789","200,422718","78,087763","0,275121",
10/01/2007 20.00,"0,610543","143,604905","60,558698","0,252643",
10/01/2007 21.00,"1,038921","230,199821","61,146636","0,652689",
10/01/2007 22.00,"0,32244","95,52086","41,757714","0,303609",
10/01/2007 23.00,"0,338571","63,847453","38,69475","0,237876",
11/01/2007 0.00,"0,494886","89,323935","36,724587","0,297584",
11/01/2007 1.00,"0,458662","108,843389","37,822569","0,284507",
11/01/2007 2.00,"0,419795","67,401156","33,377361","0,192777",
11/01/2007 3.00,"0,209238","35,888583","24,743917","0,079415",
11/01/2007 4.00,"0,211784","27,633333","19,670541","0,044233",
11/01/2007 5.00,"0,259518","35,979345","25,360404","0,014441",
11/01/2007 6.00,"0,291969","47,600253","25,891232","0,077129",
11/01/2007 7.00,"0,353949","108,403724","32,14179","0,042304",
11/01/2007 8.00,"0,819968","218,734707","39,365745","0,251",
11/01/2007 9.00,"1,021658","242,43165","41,29308","0,482771",
11/01/2007 10.00,"0,657616","181,647755","50,038147","0,261687",
11/01/2007 11.00,"0,672898","143,147079","55,173835","0,402134",
11/01/2007 12.00,"1,026564","188,366085","65,607431","0,567523",
11/01/2007 13.00,"1,079675","177,26268","71,417994","0,483554",
11/01/2007 14.00,"0,888267","128,524959","67,419259","0,393892",
11/01/2007 15.00,"0,706104","99,014908","61,223216","0,132886",
11/01/2007 16.00,"0,333761","38,754883","31,486356","0,012116",
11/01/2007 17.00,"0,275838","34,783561","27,834149","0,012502",
11/01/2007 18.00,"0,301781","42,215219","35,289132","0,049594",
11/01/2007 19.00,"0,392154","64,533557","52,170563","0,293585",
11/01/2007 20.00,"0,580071","109,085926","74,175983","0,463666",
11/01/2007 21.00,"0,875438","142,071886","73,83075","0,456899",
11/01/2007 22.00,"1,024394","166,84408","70,946858","0,690981",
11/01/2007 23.00,"0,609504","110,23634","61,286803","0,493994",
12/01/2007 0.00,"0,740443","138,628427","56,419793","0,458343",
12/01/2007 1.00,"0,717331","118,080452","44,921941","0,436763",
12/01/2007 2.00,"0,444699","98,414425","40,023779","0,38147",
12/01/2007 3.00,,"56,375586","33,913372","0,1948",
12/01/2007 4.00,"0,361698","40,457824","28,825731","0,116591",
12/01/2007 5.00,"0,27187","37,181668","23,937934","0,025175",
12/01/2007 6.00,"0,340088","36,71734","26,036601","0,057928",
12/01/2007 7.00,"0,517424","89,307072","31,2151","0,087403",
12/01/2007 8.00,"1,047645","205,004826","35,225541","0,355641",
12/01/2007 9.00,"1,318794","278,055661","42,356038","0,588031",
12/01/2007 10.00,"0,902835","121,61339","48,449543","0,664201",
12/01/2007 11.00,"0,904811","151,436035","58,482112","0,759476",
12/01/2007 12.00,"0,542265","84,302047","52,998591","0,563273",
12/01/2007 13.00,"0,597154","66,673544","42,157457","0,473972",
12/01/2007 14.00,"0,486656","28,381689","19,605647","0,012584",
12/01/2007 15.00,"0,367846","26,907021","18,407715","0,001601",
12/01/2007 16.00,"0,305556","25,824045","17,874294","0,002997",
12/01/2007 17.00,"0,357904","26,464756","19,266898","0,013768",
12/01/2007 18.00,"0,340903","29,066491","22,202678","0,011394",
12/01/2007 19.00,"0,431736","28,709827","21,814619","0,014977",
12/01/2007 20.00,"0,339242","25,305262","18,572545","0,014266",
12/01/2007 21.00,"0,37484","23,445403","16,7737","0,006065",
12/01/2007 22.00,"0,23464","30,655286","23,522629","1,49317",
12/01/2007 23.00,"0,324154","36,106475","28,309186","2,395819",
13/01/2007 0.00,"0,28611","40,130986","31,805642","2,039641",
13/01/2007 1.00,"0,383496","57,854136","43,178885","1,672571",
