NetC,Provincia di TARANTO,,,,
Stat,MANDURIA,,,,
Parm,NOX,NO2,CO,O3,Benzene
PtId,1,3,5,6,7
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver,Aver
09/01/2007 18.00,"121,228217","69,334913","1,60785","29,917818","3,164126"
09/01/2007 19.00,"153,600689","71,375166","2,163631","27,533215","6,099821"
09/01/2007 20.00,"191,627901","73,443973","2,281381","24,41876","8,863424"
09/01/2007 21.00,"183,968027","69,633415","2,121324","24,443118","8,252518"
09/01/2007 22.00,"175,555881","70,889748","2,776262","30,448628","8,623112"
09/01/2007 23.00,"123,874043","62,46397","2,620089","27,53862","11,620862"
10/01/2007 0.00,"73,232353","49,12964","1,980272","23,033493","8,463783"
10/01/2007 1.00,"37,697851","33,547378","1,225016","22,09237","4,615249"
10/01/2007 2.00,,,"1,00001","24,137086","2,552779"
10/01/2007 3.00,"21,822879","23,961297",,"24,443118","1,485454"
10/01/2007 4.00,"11,166952","14,878797","0,647134",,"0,915479"
10/01/2007 5.00,"10,300573","14,042966","0,566717","31,368063","0,52376"
10/01/2007 6.00,"9,86479","12,721736","0,589281","30,661215","0,422969"
10/01/2007 7.00,"29,661791","24,158577","0,85615","25,56433","1,08053"
10/01/2007 8.00,"75,110394","40,818063","1,186825","21,246051","1,538269"
10/01/2007 9.00,"124,382443","52,208191","1,614032","22,371332","2,208593"
10/01/2007 10.00,"214,133097","74,329129","3,29377","22,169558","6,778069"
10/01/2007 11.00,"121,254124","56,000584","1,452538","23,636061","4,301433"
10/01/2007 12.00,"102,318327","53,134881","1,177073","26,52574","2,318628"
10/01/2007 13.00,"90,290183","54,284777","1,075499","30,203542","2,056747"
10/01/2007 14.00,"93,859428","59,860454","1,286251","32,371467","2,312906"
10/01/2007 15.00,"74,879519","51,987546","1,039877","36,68432","2,471794"
10/01/2007 16.00,"65,40382","47,177642","0,929376","36,110178","2,434823"
10/01/2007 17.00,"95,226472","66,778092","1,362534","32,338971","2,439225"
10/01/2007 18.00,"161,379946","87,229972","2,259183","29,942177","5,525446"
10/01/2007 19.00,"229,413794","96,379978","3,057644","28,661188","10,811014"
10/01/2007 20.00,"242,116358","93,901032","3,329226","26,923862","12,791175"
10/01/2007 21.00,"253,407882","90,456486","4,16116","40,001906","14,14415"
10/01/2007 22.00,"267,967568","90,290351","4,352739","34,016704","17,809144"
10/01/2007 23.00,"229,805568","80,044962","4,414889","32,055958","18,47772"
11/01/2007 0.00,"194,086928","58,425003","3,670563","26,690945","12,75861"
11/01/2007 1.00,"121,474635","45,290535","3,355839","24,177724","11,250705"
11/01/2007 2.00,"78,274985","36,501341","2,332905","19,241974","7,458516"
11/01/2007 3.00,"37,202415","31,551248","1,427413","17,764637","4,112175"
11/01/2007 4.00,"25,794217","26,536284","1,259307","19,860807","3,102067"
11/01/2007 5.00,"20,370275","21,386331","1,125583","18,434922","2,779008"
11/01/2007 6.00,"19,132962","21,025517","1,014587","21,072726","2,616158"
11/01/2007 7.00,"36,769231","26,645306","1,193272","20,671911","2,084916"
11/01/2007 8.00,"115,827581","43,764244","1,769907","19,867573","2,506125"
11/01/2007 9.00,"170,243485","59,987642","2,390592","20,40516","4,246416"
11/01/2007 10.00,"90,887588","41,77542","1,781681",,"5,495843"
11/01/2007 11.00,"61,048591","40,335246","0,943345","40,806846","3,294406"
11/01/2007 12.00,"51,181198","37,604528","0,887226","46,494891","2,273734"
11/01/2007 13.00,"55,689485","41,072435","0,962849","52,696747","2,836226"
11/01/2007 14.00,"61,152336","44,504015","1,074589","55,364344","3,476181"
11/01/2007 15.00,"64,757912","48,901216","0,911442","56,818676","2,350757"
11/01/2007 16.00,"84,842875","59,333506","1,084755","53,647326","2,549698"
11/01/2007 17.00,"123,609457","80,320117","1,71635","46,03315","3,971772"
11/01/2007 18.00,"138,771063","79,219512","1,815776","40,577402","6,983612"
11/01/2007 19.00,"212,506558","98,23074","2,466463","34,991682","7,041268"
11/01/2007 20.00,"135,930691","88,821151","2,628371","45,427844","7,894689"
11/01/2007 21.00,"205,061994","101,137973","3,363194","44,924129","11,505544"
11/01/2007 22.00,"286,652017","107,383292","4,965407","54,237727","16,864625"
11/01/2007 23.00,"149,608583","80,20589","3,174839","36,223933","16,896315"
12/01/2007 0.00,"70,581326","53,799378","1,872969","29,609073","7,148221"
12/01/2007 1.00,"68,897867","47,665641","2,011486","31,652431","4,737606"
12/01/2007 2.00,,,"1,594858","28,43234","3,839292"
12/01/2007 3.00,"43,835143","36,423466",,"28,46079","3,808922"
12/01/2007 4.00,"25,897981","23,831511","0,973901",,"2,806296"
12/01/2007 5.00,"16,051359","17,191611","0,726856","37,32617","1,548393"
12/01/2007 6.00,"17,081157","16,607562","0,732222","35,28012","1,699799"
12/01/2007 7.00,"15,644108","14,362252","0,584968","43,545622","1,31248"
12/01/2007 8.00,"75,185614","38,409209","1,079553","33,090506","1,061164"
12/01/2007 9.00,"209,728226","61,770908","2,540447","31,040384","4,014905"
12/01/2007 10.00,"392,490386","88,662819","4,542973","34,812949","10,056629"
12/01/2007 11.00,"157,118061","65,879967","1,990063","38,1603","8,370475"
12/01/2007 12.00,"51,118924","37,176238","0,855454","52,397479","2,780769"
12/01/2007 13.00,"48,571683","37,24113","0,717942","53,154421","1,746893"
12/01/2007 14.00,"59,007149","39,130837","0,842082","59,04753","1,624535"
12/01/2007 15.00,"51,489871","35,945849","0,783892","60,633216","1,535189"
12/01/2007 16.00,"34,522841","26,494737","0,677992","60,115935","1,472689"
12/01/2007 17.00,"47,375859","33,923773","0,797924","55,331863","1,496456"
12/01/2007 18.00,"69,37516","42,80381","0,976541","52,25665","2,13201"
12/01/2007 19.00,"77,522763","48,078366","1,132793","47,82328","2,247326"
12/01/2007 20.00,"98,756806","58,840324","1,385451","42,345889","3,339739"
12/01/2007 21.00,"79,125824","53,794195","1,341374","42,67357","3,845454"
12/01/2007 22.00,"66,900516","45,152969","1,146741","44,906511","3,423364"
12/01/2007 23.00,"42,76903","33,498068","0,915297","45,783973","2,970026"
13/01/2007 0.00,"22,048552","19,019011","0,598092","50,64932","1,666789"
13/01/2007 1.00,"17,055216","15,395354","0,516954","50,194341","0,846818"
13/01/2007 2.00,"15,566289","14,533564","0,54213","54,645305","0,520679"
13/01/2007 3.00,"8,220225","9,025402","0,427644","62,151171","0,238993"
13/01/2007 4.00,"6,033526","6,889106","0,380927","65,751766","0,005722"
13/01/2007 5.00,"6,853214","7,486126","0,374818","67,03683",0
13/01/2007 6.00,"6,650886","7,332977","0,408743","70,33544","0,002641"
13/01/2007 7.00,"11,56642","11,353777","0,41774","62,755099",0
13/01/2007 8.00,"87,369391","51,691644","0,878814","43,863847","0,334502"
13/01/2007 9.00,"106,123648","61,145338","1,506785","38,708726","1,57392"
13/01/2007 10.00,"155,789966","69,33751","2,26154","39,158298","4,542186"
13/01/2007 11.00,"121,988235","58,887037","1,322884","43,71083","2,774166"
13/01/2007 12.00,"108,964019","57,371125","1,131554","50,058919","2,003491"
13/01/2007 13.00,"106,945903","56,85716","1,14897","50,259337","1,57524"
13/01/2007 14.00,"154,957332","72,976738","1,607733","46,981012","2,022858"
13/01/2007 15.00,"77,144038","47,380104","1,057514","55,549857","2,755681"
13/01/2007 16.00,"43,443449","32,753093","0,819715","61,333282","1,582722"
13/01/2007 17.00,"60,830699","40,122401","0,949551","56,061715","1,666348"
13/01/2007 18.00,"83,997258","57,376307","1,355158","48,708882","2,540895"
13/01/2007 19.00,"151,349138","89,384451","2,369256","44,054767","6,198411"
13/01/2007 20.00,"182,1549","93,758279","2,722615","42,325581","9,063245"
13/01/2007 21.00,"218,560709","102,708314","3,397386","51,926259","10,174576"
13/01/2007 22.00,"543,400909","132,027322","5,194138","54,121278","16,196498"
13/01/2007 23.00,"341,872101","97,83618","3,809183","40,054714","21,155492"
14/01/2007 0.00,"140,179579","76,473207","2,431079","35,93414","8,428132"
14/01/2007 1.00,"60,950009","50,44049","1,310173","28,172353","5,363477"
14/01/2007 2.00,,,"1,046125","27,741751","2,446266"
14/01/2007 3.00,"56,983869","52,49631",,"32,986248","2,059388"
14/01/2007 4.00,"42,867593","38,624654","0,805714",,"1,297516"
14/01/2007 5.00,"39,207508","35,426702","0,898892","37,678247","1,054122"
14/01/2007 6.00,"33,887351","30,115815","0,88959","36,803482","0,797964"
14/01/2007 7.00,"36,976741","33,692748","0,879957","36,386425","1,051041"
14/01/2007 8.00,"125,531551","61,376362","1,549973","32,620625",
14/01/2007 9.00,"123,347438","60,984406","1,789978","36,65994",
14/01/2007 10.00,"137,406659","81,656906","2,661629","44,404153",
14/01/2007 11.00,"147,709814","86,560272","2,979115","43,744685",
14/01/2007 12.00,"95,786745","59,107682","1,471577","51,620226",
14/01/2007 13.00,"70,264889","50,24321","1,080929","59,409085",
14/01/2007 14.00,"68,908232","51,774701","1,095877","59,750332",
14/01/2007 15.00,"33,145476","29,74202","0,712037","70,369298",
14/01/2007 16.00,"28,504897","24,246837","0,60308","71,63405",
14/01/2007 17.00,"28,437462","23,644632","0,611302","72,93804",
14/01/2007 18.00,"99,643953","63,982496","1,244863","47,890993",
14/01/2007 19.00,"191,331923","110,705813","3,698959","52,749555",
14/01/2007 20.00,"294,950089","121,506698","5,203174","51,678441",
14/01/2007 21.00,"268,665633","104,16197","4,011045","40,531356",
14/01/2007 22.00,"198,346289","83,201369","3,087573","34,727623",
14/01/2007 23.00,"100,678922","67,772274","1,86123","31,289521",
15/01/2007 0.00,"64,062764","42,37552","1,035003","30,245497",
15/01/2007 1.00,"33,622769","26,551867","0,627165","37,269314",
15/01/2007 2.00,"21,023949","19,416149","0,572022","40,527307",
15/01/2007 3.00,"16,256279","15,673097","0,561724","40,511048",
15/01/2007 4.00,"8,531499","9,998808","0,407757","44,646523",
15/01/2007 5.00,"6,850619","9,310935","0,386082","45,84492",
15/01/2007 6.00,"12,948995","13,422588","0,452269","44,657356",
15/01/2007 7.00,"43,010247","32,000322","0,617032","35,779787",
15/01/2007 8.00,"66,529588","44,491032","0,96209","33,496748",
15/01/2007 9.00,"127,775342","61,970784","2,046672","32,455417",
15/01/2007 10.00,"130,218819","63,185594","1,89204",,
15/01/2007 11.00,"83,120489","44,862231","0,841424",,
15/01/2007 12.00,"75,346433","42,912832","0,8239","48,209196",
15/01/2007 13.00,"74,887301","45,425505","0,808453","50,922854",
15/01/2007 14.00,"81,966195","49,840885","1,087573","52,902572",
15/01/2007 15.00,"67,803229","44,945306","0,856953","55,104352",
15/01/2007 16.00,"48,055501","34,598651","0,667442","56,271608",
15/01/2007 17.00,"62,64125","43,839519","1,003945","49,507802",
15/01/2007 18.00,"93,517047","59,642391","1,289292","42,199637",
15/01/2007 19.00,"92,84001","60,042151","1,412201","41,127183",
15/01/2007 20.00,"109,194872","67,992916","1,689657","38,154893",
15/01/2007 21.00,"94,596121","60,506785","1,518748","39,028283",
