NetC,Regione Puglia,,,,,,
Stat,c,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE
PtId,1,4,2,,,5,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,,,ug/m3,
Field,Aver,Aver,Aver,,,Aver,
14/01/2007 4.00,"0,33025346","19,64977696",,"0,74933499","71,6233329",,"2,6986095"
14/01/2007 5.00,"0,32142794","21,1423224",,"0,65929098","72,54097305",,"2,663523"
14/01/2007 6.00,"0,23911094","20,03523616",,"0,64562087","72,27607695",,"2,7301365"
14/01/2007 7.00,"0,64823377","18,3596932",,"0,80087459","73,3423845",,"3,004218"
14/01/2007 8.00,"1,4585692","18,64392538",,"0,92017409","71,46115935",,"2,974725"
14/01/2007 9.00,"0,61006474","24,2559188",,"0,97854758","67,16484705",,"2,848617"
14/01/2007 10.00,"0,4147387","28,52591192",,"0,98009703","62,96182095",,"2,7087795"
14/01/2007 11.00,"0,92032093","22,98011768",,"0,95384841","64,95658155",,"2,710305"
14/01/2007 12.00,"1,30248919","10,22333016",,"0,9690237","85,28658915",,"1,8758565"
14/01/2007 13.00,"1,38223114","9,62501947",,"0,93165749","97,22267415",,"0,95877675"
14/01/2007 14.00,"1,85922753","11,65098806",,"1,01049071","99,66882345",,"0,9748962"
14/01/2007 15.00,"1,11488727","12,8658002",,"1,40037893","98,56602735",,"1,12505625"
14/01/2007 16.00,"1,21256402","15,19937326",,"1,70559961","97,6308312",,"0,8779761"
14/01/2007 17.00,"0,70161203","21,29287328",,"1,87862541","89,2044699",,"0,81680355"
14/01/2007 18.00,"0,25384422","21,9872352",,"1,60548534","84,40543755",,"0,84578805"
14/01/2007 19.00,"0,22586756","38,95950472",,"1,42717393","64,17541935",,"1,10329245"
14/01/2007 20.00,"0,41174059","54,61834496",,"1,1007188","46,3388625",,"2,030949"
14/01/2007 21.00,"0,14077416","40,13798504",,"0,91365708","55,6625748",,"1,4599035"
14/01/2007 22.00,"0,173309","26,05088528",,"1,00971715","60,35080485",,"1,177686"
14/01/2007 23.00,"0,14444146","28,401326",,"1,18971431","57,26406105",,"1,65771"
15/01/2007 0.00,"0,31597885","30,01067552",,"1,18862038","62,44016835",,"3,346947"
15/01/2007 1.00,"0,11883645","23,8795416",,"1,06253126","69,0177033",,"1,890603"
15/01/2007 2.00,"0,82870245","20,56476456",,"1,16191741","72,07605825",,"1,4975325"
15/01/2007 3.00,"0,52347126","18,21822241",,"1,0521383","74,6722116",,"1,355661"
15/01/2007 4.00,"0,2429196","16,5076344",,"0,9976862","75,63445995",,"1,3551525"
15/01/2007 5.00,"0,15944831","16,27271843",,"1,0349627","75,04657335",,"1,3459995"
15/01/2007 6.00,"0,08631076","16,18705892",,"1,03259309","73,06262565",,"1,346508"
15/01/2007 7.00,"0,12373025","16,25195602",,"0,98150901","73,04506965",,"1,26108"
15/01/2007 8.00,"0,09649398","16,32592557",,"0,93662389","73,67078145",,"1,176669"
15/01/2007 9.00,"0,68058352","7,81448931",,"0,43966401",,,"1,0545273"
15/01/2007 10.00,,,,,"19,67954783",,"1,2310785"
15/01/2007 11.00,,,,,"23,1113169",,"1,14204015"
15/01/2007 12.00,,,,,"30,60651195",,"0,99264285"
15/01/2007 13.00,,,,,"38,5855344",,"0,83988945"
15/01/2007 14.00,,,,,"36,6421251",,"0,8646534"
15/01/2007 15.00,,,,,"34,6608906",,"0,9473355"
15/01/2007 16.00,,,,,"36,08127075",,"1,0415097"
15/01/2007 17.00,,,,,"30,7186908",,"1,042425"
15/01/2007 18.00,,,,,"26,7210699",,"1,079037"
15/01/2007 19.00,,,,,"24,4181616",,"1,092258"
15/01/2007 20.00,,,,,"23,1113169",,"0,9361485"
15/01/2007 21.00,,,,,"24,47088945",,"0,7865478"
15/01/2007 22.00,,,,,"23,4329508",,"0,633591"
15/01/2007 23.00,,,,,"27,06027975",,"0,88829865"
16/01/2007 0.00,,,,,"28,46579715",,"0,6284043"
16/01/2007 1.00,,,,,"26,8021467",,"0,720036"
16/01/2007 2.00,,,,,"26,4142788",,"0,9135711"
16/01/2007 3.00,,,,,"26,4034659",,"0,8120745"
16/01/2007 4.00,,,,,"22,70451645",,"0,7893954"
16/01/2007 5.00,,,,,"18,69204078",,"0,86155155"
16/01/2007 6.00,,,,,"13,45108202",,"0,99996525"
16/01/2007 7.00,,,,,"12,95779433",,"1,174635"
16/01/2007 8.00,,,,,"13,24160303",,"1,12887"
16/01/2007 9.00,,,,,"12,30368969",,"1,1578545"
16/01/2007 10.00,,,,,"11,70499817",,"1,410579"
16/01/2007 11.00,,,,,"14,76064391",,"1,9236555"
16/01/2007 12.00,,,,,"24,36004725",,"1,4751585"
16/01/2007 13.00,,,,,"28,64554665",,"1,1263275"
16/01/2007 14.00,,,,,"32,1147519",,"0,9512001"
16/01/2007 15.00,,,,,"35,09741655",,"1,069884"
16/01/2007 16.00,,,,,"33,9689448",,"1,0151694"
16/01/2007 17.00,,,,,"32,21879115",,"1,116666"
16/01/2007 18.00,,,,,"21,85444695",,"0,9292329"
16/01/2007 19.00,,,,,"12,29287479",,"1,151244"
16/01/2007 20.00,,,,,"7,90874459",,"1,655676"
16/01/2007 21.00,,,,,"6,33294197",,"2,228247"
16/01/2007 22.00,,,,,"5,71532588",,"2,697084"
16/01/2007 23.00,,,,,"7,37627111",,"2,081799"
17/01/2007 0.00,,,,,"15,12958923",,"1,957725"
17/01/2007 1.00,,,,,"16,90811777",,"1,1334465"
17/01/2007 2.00,,,,,"17,58249161",,"0,942759"
17/01/2007 3.00,,,,,"14,71469507",,"0,80968455"
17/01/2007 4.00,,,,,"11,01979946",,"0,9505899"
17/01/2007 5.00,,,,,"8,49122474",,"10,10440248"
17/01/2007 6.00,,,,,"7,7317043",,"1,5260085"
17/01/2007 7.00,,,,,"6,60864099",,"1,1196153"
17/01/2007 8.00,,,,,"7,52357991",,"1,4599035"
17/01/2007 9.00,,,,,"14,02139267",,"1,9236555"
17/01/2007 10.00,"0,02451173","57,20241296",,"0,71161928","37,1664909",,"3,177108"
17/01/2007 11.00,"0,00203705","36,99064184",,"1,64153044","48,0241188",,"1,9338255"
17/01/2007 12.00,"0,00067936","21,06834712",,"1,87862541","68,2352244",,"1,58652"
17/01/2007 13.00,"0,00067936","16,56343994",,"2,15860054","81,7363071",,"1,347525"
17/01/2007 14.00,"0,0013577","13,53031771",,"2,41875436","88,4611728",,"1,4192235"
17/01/2007 15.00,"0,01093275","13,93654888",,"2,65147476","90,4032255",,"1,2178575"
17/01/2007 16.00,"0,00339475","14,00792575",,"2,91167285","91,4681565",,"1,2717585"
17/01/2007 17.00,"0,03999454","15,00469533",,"3,02213233","92,2925703",,"1,3948155"
17/01/2007 18.00,"0,04257772","17,79772007",,"2,76749245","86,8110285",,"1,3398975"
17/01/2007 19.00,"0,10138778","20,41291352",,"2,34798527","76,32640575",,"1,564146"
