Stat,Arnesano,,,,,  ,
Parm,SO2,NO2,NOX,PM10,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,,,
06/01/2014 22.00,"0,2","24,5","31,0","25,1",,,
06/01/2014 23.00,"0,3","21,0","26,3","25,1",,,
07/01/2014 0.00,"0,2","15,3","19,5","25,1",,,
07/01/2014 1.00,"0,1","12,4","17,3","37,4",,,
07/01/2014 2.00,"0,3","9,6","14,5","37,4",,,
07/01/2014 3.00,"0,1","8,0","13,6","37,4",,,
07/01/2014 4.00,"0,3","7,7","13,7","37,4",,,
07/01/2014 5.00,"0,1","6,6","12,8","37,4",,,
07/01/2014 6.00,"0,1","8,9","15,4","37,4",,,
07/01/2014 7.00,"0,2","11,0","17,0","37,4",,,
07/01/2014 8.00,"0,1","16,5","24,5","37,4",,,
07/01/2014 9.00,"0,2","15,6","23,8","37,4",,,
07/01/2014 10.00,"0,1","8,6","14,6","37,4",,,
07/01/2014 11.00,"0,1","8,7","14,7","37,4",,,
07/01/2014 12.00,"0,2","10,9","17,0","37,4",,,
07/01/2014 13.00,"0,1","10,8","16,1","37,4",,,
07/01/2014 14.00,"0,2","9,6","13,7","37,4",,,
07/01/2014 15.00,"0,2","13,9","18,8","37,4",,,
07/01/2014 16.00,"0,1","14,2","18,0","37,4",,,
07/01/2014 17.00,"0,2","12,3","14,6","37,4",,,
07/01/2014 18.00,"0,1","13,3","14,9","37,4",,,
07/01/2014 19.00,"0,2","19,2","21,5","37,4",,,
07/01/2014 20.00,"0,3","28,8","37,7","37,4",,,
07/01/2014 21.00,"0,8","32,1","57,2","37,4",,,
07/01/2014 22.00,"0,4","25,0","41,9","37,4",,,
07/01/2014 23.00,"0,3","20,1","31,8","37,4",,,
08/01/2014 0.00,"0,3","17,1","26,2","37,4",,,
08/01/2014 1.00,,"14,7","19,7","28,3",,,
08/01/2014 2.00,"0,6",,,"28,3",,,
08/01/2014 3.00,"0,7","10,7","16,5","28,3",,,
08/01/2014 4.00,"0,4","9,5","16,1","28,3",,,
08/01/2014 5.00,"0,5","7,7","14,3","28,3",,,
08/01/2014 6.00,"0,4","7,7","14,6","28,3",,,
08/01/2014 7.00,"0,3","10,2","17,4","28,3",,,
08/01/2014 8.00,"0,5","13,4","23,7","28,3",,,
08/01/2014 9.00,"1,2",,,"28,3",,,
08/01/2014 10.00,,,,"28,3",,,
08/01/2014 11.00,"1,5","11,9","18,7","28,3",,,
