Stat,MOLFETTA VERDI,,,
02/01/2014 11.00,"6,5","32,9","93,4","29,1"
02/01/2014 12.00,"7,1","43,1","121,6","29,1"
02/01/2014 13.00,"7,2","48,0","125,5","29,1"
02/01/2014 14.00,"6,7","49,9","105,3","29,1"
02/01/2014 15.00,"6,0","49,5","81,0","29,1"
02/01/2014 16.00,"5,2","46,7","69,1","29,1"
02/01/2014 17.00,"5,2","40,3","57,6","29,1"
02/01/2014 18.00,"5,3","37,0","54,1","29,1"
02/01/2014 19.00,"5,2","41,2","61,4","29,1"
02/01/2014 20.00,"6,1","52,1","96,5","29,1"
02/01/2014 21.00,"7,2","54,9","147,1","29,1"
02/01/2014 22.00,"8,9","58,0","190,2","29,1"
02/01/2014 23.00,"8,5","46,3","142,3","29,1"
03/01/2014 0.00,"7,0","40,8","101,9","29,1"
03/01/2014 1.00,"6,1","34,9","70,4","39,5"
03/01/2014 2.00,"5,2","28,8","50,6","39,5"
03/01/2014 3.00,"5,2","30,6","51,6","39,5"
03/01/2014 4.00,"5,2","40,2","62,2","39,5"
03/01/2014 5.00,"5,1","36,3","54,4","39,5"
03/01/2014 6.00,"5,1","29,8","45,9","39,5"
03/01/2014 7.00,"5,1","22,9","38,5","39,5"
03/01/2014 8.00,"5,2","23,4","38,6","39,5"
03/01/2014 9.00,"5,1","28,4","47,3","39,5"
03/01/2014 10.00,"5,3","38,5","65,4","39,5"
03/01/2014 11.00,"6,4","45,1","96,6","39,5"
03/01/2014 12.00,"7,8","49,4","130,7","39,5"
03/01/2014 13.00,"8,0","52,7","150,5","39,5"
03/01/2014 14.00,"9,9","59,4","200,3","39,5"
03/01/2014 15.00,"9,6","61,4","184,9","39,5"
03/01/2014 16.00,"8,0","63,0","149,2","39,5"
03/01/2014 17.00,"7,2","63,0","121,4","39,5"
03/01/2014 18.00,"7,0","65,1","124,0","39,5"
03/01/2014 19.00,"7,6","67,8","156,6","39,5"
03/01/2014 20.00,"9,7","74,1","220,5","39,5"
03/01/2014 21.00,"10,0","73,0","238,5","39,5"
03/01/2014 22.00,"10,0","69,3","234,9","39,5"
03/01/2014 23.00,"9,7","62,1","211,0","39,5"
04/01/2014 0.00,"8,2","53,0","160,8","39,5"
04/01/2014 1.00,,"41,4","135,6","25,1"
04/01/2014 2.00,"8,1","50,4","159,9","25,1"
04/01/2014 3.00,"8,0","46,8","136,2","25,1"
04/01/2014 4.00,"6,5","40,9","98,4","25,1"
04/01/2014 5.00,"5,9","37,9","78,3","25,1"
04/01/2014 6.00,"5,6","35,0","62,6","25,1"
04/01/2014 7.00,"5,0","23,0","41,3","25,1"
04/01/2014 8.00,"5,1","22,6","41,9","25,1"
04/01/2014 9.00,"5,1","26,7","44,1","25,1"
04/01/2014 10.00,"5,0","32,3","56,3","25,1"
04/01/2014 11.00,"5,1","36,6","65,6","25,1"
04/01/2014 12.00,"5,7","37,6","74,5","25,1"
04/01/2014 13.00,"6,8","38,8","84,5","25,1"
04/01/2014 14.00,"7,0",,,"25,1"
04/01/2014 15.00,"6,9",,,"25,1"
04/01/2014 16.00,"6,5",,,"25,1"
04/01/2014 17.00,"6,1",,,"25,1"
04/01/2014 18.00,"5,7",,,"25,1"
04/01/2014 19.00,"5,5",,,"25,1"
04/01/2014 20.00,"5,3",,,"25,1"
04/01/2014 21.00,"5,3",,,"25,1"
04/01/2014 22.00,"5,2",,,"25,1"
04/01/2014 23.00,"5,2",,,"25,1"
05/01/2014 0.00,"6,5",,,"25,1"
05/01/2014 1.00,"6,1",,,"10,7"
05/01/2014 2.00,"5,8",,,"10,7"
05/01/2014 3.00,"5,7",,,"10,7"
05/01/2014 4.00,"5,8",,,"10,7"
05/01/2014 5.00,"5,3",,,"10,7"
05/01/2014 6.00,"5,8",,,"10,7"
05/01/2014 7.00,"5,7",,,"10,7"
05/01/2014 8.00,"5,8",,,"10,7"
05/01/2014 9.00,"6,1",,,"10,7"
05/01/2014 10.00,"5,9",,,"10,7"
05/01/2014 11.00,"5,9",,,"10,7"
05/01/2014 12.00,"6,3",,,"10,7"
05/01/2014 13.00,"6,4",,,"10,7"
05/01/2014 14.00,"6,6",,,"10,7"
05/01/2014 15.00,"6,5",,,"10,7"
05/01/2014 16.00,"7,2",,,"10,7"
05/01/2014 17.00,"7,0",,,"10,7"
05/01/2014 18.00,"6,7",,,"10,7"
05/01/2014 19.00,"6,6",,,"10,7"
05/01/2014 20.00,"6,3",,,"10,7"
05/01/2014 21.00,"6,1",,,"10,7"
05/01/2014 22.00,"6,5",,,"10,7"
05/01/2014 23.00,"6,5",,,"10,7"
06/01/2014 0.00,"6,4",,,"10,7"
06/01/2014 1.00,,,,"21,3"
06/01/2014 2.00,"6,0",,,"21,3"
06/01/2014 3.00,"6,3",,,"21,3"
06/01/2014 4.00,"6,1",,,"21,3"
06/01/2014 5.00,"6,0",,,"21,3"
06/01/2014 6.00,"6,6",,,"21,3"
06/01/2014 7.00,"5,7",,,"21,3"
06/01/2014 8.00,"5,6",,,"21,3"
06/01/2014 9.00,"5,8",,,"21,3"
06/01/2014 10.00,"5,4",,,"21,3"
06/01/2014 11.00,"5,6",,,"21,3"
06/01/2014 12.00,"5,7",,,"21,3"
06/01/2014 13.00,"6,3",,,"21,3"
06/01/2014 14.00,"6,0",,,"21,3"
06/01/2014 15.00,"5,6",,,"21,3"
06/01/2014 16.00,"5,3",,,"21,3"
06/01/2014 17.00,"5,2",,,"21,3"
06/01/2014 18.00,"5,1",,,"21,3"
06/01/2014 19.00,"5,2",,,"21,3"
06/01/2014 20.00,"5,1",,,"21,3"
06/01/2014 21.00,"6,2",,,"21,3"
06/01/2014 22.00,"6,5",,,"21,3"
06/01/2014 23.00,"7,3",,,"21,3"
07/01/2014 0.00,"6,6",,,"21,3"
07/01/2014 1.00,"6,4",,,"30,0"
07/01/2014 2.00,"5,9",,,"30,0"
07/01/2014 3.00,"5,2",,,"30,0"
07/01/2014 4.00,"5,0",,,"30,0"
07/01/2014 5.00,"4,9",,,"30,0"
07/01/2014 6.00,"4,8",,,"30,0"
07/01/2014 7.00,"4,9",,,"30,0"
07/01/2014 8.00,"4,8",,,"30,0"
07/01/2014 9.00,"5,0",,,"30,0"
07/01/2014 10.00,"6,0",,,"30,0"
07/01/2014 11.00,"9,1",,,"30,0"
07/01/2014 12.00,"9,1",,,"30,0"
07/01/2014 13.00,"7,3",,,"30,0"
07/01/2014 14.00,"6,6",,,"30,0"
07/01/2014 15.00,"6,0",,,"30,0"
07/01/2014 16.00,"5,2",,,"30,0"
07/01/2014 17.00,"5,2",,,"30,0"
07/01/2014 18.00,"5,2",,,"30,0"
07/01/2014 19.00,"5,3",,,"30,0"
07/01/2014 20.00,"6,6",,,"30,0"
07/01/2014 21.00,"8,3",,,"30,0"
07/01/2014 22.00,"8,1",,,"30,0"
07/01/2014 23.00,"7,8",,,"30,0"
08/01/2014 0.00,"6,6",,,"30,0"
08/01/2014 1.00,,,,"37,0"
08/01/2014 2.00,"6,2",,,"37,0"
08/01/2014 3.00,"5,3",,,"37,0"
08/01/2014 4.00,"5,0",,,"37,0"
08/01/2014 5.00,"4,9",,,"37,0"
08/01/2014 6.00,"4,9",,,"37,0"
08/01/2014 7.00,"4,6",,,"37,0"
08/01/2014 8.00,"4,6",,,"37,0"
08/01/2014 9.00,"4,4",,,"37,0"
08/01/2014 10.00,"4,9",,,"37,0"
08/01/2014 11.00,"6,6",,,"37,0"
08/01/2014 12.00,"11,3",,,"37,0"
08/01/2014 13.00,"9,3",,,"37,0"
08/01/2014 14.00,"8,0",,,"37,0"
08/01/2014 15.00,"6,5",,,"37,0"
08/01/2014 16.00,"5,4",,,"37,0"
08/01/2014 17.00,"4,7",,,"37,0"
08/01/2014 18.00,"4,7",,,"37,0"
08/01/2014 19.00,"4,6",,,"37,0"
08/01/2014 20.00,"6,5",,,"37,0"
08/01/2014 21.00,"7,7",,,"37,0"
08/01/2014 22.00,"7,8",,,"37,0"
08/01/2014 23.00,"7,5",,,"37,0"
09/01/2014 0.00,"6,2",,,"37,0"
09/01/2014 1.00,"5,6",,,"45,0"
09/01/2014 2.00,"4,4",,,"45,0"
09/01/2014 3.00,"4,7",,,"45,0"
09/01/2014 4.00,"4,4",,,"45,0"
09/01/2014 5.00,"4,3",,,"45,0"
09/01/2014 6.00,"4,3",,,"45,0"
09/01/2014 7.00,"4,3",,,"45,0"
09/01/2014 8.00,"4,1",,,"45,0"
09/01/2014 9.00,"4,2",,,"45,0"
09/01/2014 10.00,"4,2",,,"45,0"
09/01/2014 11.00,"5,1",,,"45,0"
09/01/2014 12.00,"6,0",,,"45,0"
09/01/2014 13.00,"6,2",,,"45,0"
09/01/2014 14.00,"6,0",,,"45,0"
09/01/2014 15.00,"5,4",,,"45,0"
09/01/2014 16.00,"5,0",,,"45,0"
09/01/2014 17.00,"4,7",,,"45,0"
09/01/2014 18.00,"4,7",,,"45,0"
09/01/2014 19.00,"6,2",,,"45,0"
09/01/2014 20.00,"7,7",,,"45,0"
09/01/2014 21.00,"8,6",,,"45,0"
09/01/2014 22.00,"7,8",,,"45,0"
09/01/2014 23.00,"7,6",,,"45,0"
10/01/2014 0.00,"7,1",,,"45,0"
10/01/2014 1.00,,,,"60,5"
10/01/2014 2.00,"6,1",,,"60,5"
10/01/2014 3.00,"6,0",,,"60,5"
10/01/2014 4.00,"5,2",,,"60,5"
10/01/2014 5.00,"4,9",,,"60,5"
10/01/2014 6.00,"4,6",,,"60,5"
10/01/2014 7.00,"4,7",,,"60,5"
10/01/2014 8.00,"4,1",,,"60,5"
10/01/2014 9.00,"5,0",,,"60,5"
10/01/2014 10.00,"5,5",,,"60,5"
10/01/2014 11.00,"7,0",,,"60,5"
10/01/2014 12.00,"7,3",,,"60,5"
10/01/2014 13.00,"7,7",,,"60,5"
10/01/2014 14.00,"6,6",,,"60,5"
10/01/2014 15.00,"5,9",,,"60,5"
10/01/2014 16.00,"5,9",,,"60,5"
10/01/2014 17.00,"5,1",,,"60,5"
10/01/2014 18.00,"5,4",,,"60,5"
10/01/2014 19.00,"5,9",,,"60,5"
10/01/2014 20.00,"7,0",,,"60,5"
10/01/2014 21.00,"9,2",,,"60,5"
10/01/2014 22.00,"9,5",,,"60,5"
10/01/2014 23.00,"9,2",,,"60,5"
11/01/2014 0.00,"9,2",,,"60,5"
11/01/2014 1.00,"7,8",,,"72,6"
11/01/2014 2.00,"6,6",,,"72,6"
11/01/2014 3.00,"5,8",,,"72,6"
11/01/2014 4.00,,,,"72,6"
11/01/2014 5.00,"4,8",,,"72,6"
11/01/2014 6.00,"4,1",,,"72,6"
11/01/2014 7.00,"4,1",,,"72,6"
11/01/2014 8.00,"3,9",,,"72,6"
11/01/2014 9.00,"3,9",,,"72,6"
11/01/2014 10.00,"4,6",,,"72,6"
11/01/2014 11.00,"5,5",,,"72,6"
11/01/2014 12.00,"7,2",,,"72,6"
11/01/2014 13.00,"6,8",,,"72,6"
11/01/2014 14.00,"6,2",,,"72,6"
11/01/2014 15.00,"5,3",,,"72,6"
11/01/2014 16.00,"5,5",,,"72,6"
11/01/2014 17.00,"5,2",,,"72,6"
11/01/2014 18.00,"4,8",,,"72,6"
11/01/2014 19.00,"5,6",,,"72,6"
11/01/2014 20.00,"2,3",,,"72,6"
11/01/2014 21.00,"5,8",,,"72,6"
11/01/2014 22.00,"6,4",,,"72,6"
11/01/2014 23.00,"6,4",,,"72,6"
12/01/2014 0.00,"6,8",,,"72,6"
12/01/2014 1.00,,,,"52,0"
12/01/2014 2.00,"5,3",,,"52,0"
12/01/2014 3.00,"4,2",,,"52,0"
12/01/2014 4.00,"4,3",,,"52,0"
12/01/2014 5.00,"4,4",,,"52,0"
12/01/2014 6.00,"4,4",,,"52,0"
12/01/2014 7.00,"4,3",,,"52,0"
12/01/2014 8.00,"4,3",,,"52,0"
12/01/2014 9.00,"4,3",,,"52,0"
12/01/2014 10.00,"4,4",,,"52,0"
12/01/2014 11.00,"4,8",,,"52,0"
12/01/2014 12.00,"4,9",,,"52,0"
12/01/2014 13.00,"4,6",,,"52,0"
12/01/2014 14.00,"4,9",,,"52,0"
12/01/2014 15.00,"5,0",,,"52,0"
12/01/2014 16.00,"5,1",,,"52,0"
12/01/2014 17.00,"4,9",,,"52,0"
12/01/2014 18.00,"4,7",,,"52,0"
12/01/2014 19.00,"4,6",,,"52,0"
12/01/2014 20.00,"4,6",,,"52,0"
12/01/2014 21.00,"5,1",,,"52,0"
12/01/2014 22.00,"5,8",,,"52,0"
12/01/2014 23.00,"6,2",,,"52,0"
13/01/2014 0.00,"6,2",,,"52,0"
13/01/2014 1.00,"5,9",,,"67,9"
13/01/2014 2.00,"5,4",,,"67,9"
13/01/2014 3.00,"5,1",,,"67,9"
13/01/2014 4.00,"4,7",,,"67,9"
13/01/2014 5.00,"5,2",,,"67,9"
13/01/2014 6.00,"4,7",,,"67,9"
13/01/2014 7.00,"4,6",,,"67,9"
13/01/2014 8.00,"4,7",,,"67,9"
13/01/2014 9.00,"5,0",,,"67,9"
13/01/2014 10.00,"6,3",,,"67,9"
13/01/2014 11.00,"6,4",,,"67,9"
13/01/2014 12.00,"7,7",,,"67,9"
13/01/2014 13.00,"7,8",,,"67,9"
13/01/2014 14.00,"6,8",,,"67,9"
13/01/2014 15.00,"6,4",,,"67,9"
13/01/2014 16.00,"6,0",,,"67,9"
13/01/2014 17.00,"5,3",,,"67,9"
13/01/2014 18.00,"5,4",,,"67,9"
13/01/2014 19.00,"4,9",,,"67,9"
13/01/2014 20.00,"4,7",,,"67,9"
13/01/2014 21.00,"5,9",,,"67,9"
13/01/2014 22.00,"6,4",,,"67,9"
13/01/2014 23.00,"6,8",,,"67,9"
14/01/2014 0.00,"6,7",,,"67,9"
14/01/2014 1.00,,,,"26,4"
14/01/2014 2.00,"6,3",,,"26,4"
14/01/2014 3.00,"6,3",,,"26,4"
14/01/2014 4.00,"5,3",,,"26,4"
14/01/2014 5.00,"5,3",,,"26,4"
14/01/2014 6.00,"5,2",,,"26,4"
14/01/2014 7.00,"5,7",,,"26,4"
14/01/2014 8.00,"4,6",,,"26,4"
14/01/2014 9.00,"5,4",,,"26,4"
14/01/2014 10.00,"5,9",,,"26,4"
14/01/2014 11.00,"6,1",,,"26,4"
14/01/2014 12.00,"6,3",,,"26,4"
14/01/2014 13.00,"5,8",,,"26,4"
14/01/2014 14.00,"6,4",,,"26,4"
14/01/2014 15.00,"6,5",,,"26,4"
14/01/2014 16.00,"6,4",,,"26,4"
14/01/2014 17.00,"6,3",,,"26,4"
14/01/2014 18.00,"6,4",,,"26,4"
14/01/2014 19.00,"6,4",,,"26,4"
14/01/2014 20.00,"6,2",,,"26,4"
14/01/2014 21.00,"6,1",,,"26,4"
14/01/2014 22.00,"6,2",,,"26,4"
14/01/2014 23.00,"6,1",,,"26,4"
15/01/2014 0.00,"6,2",,,"26,4"
15/01/2014 1.00,"6,1",,,"22,4"
15/01/2014 2.00,"6,2",,,"22,4"
15/01/2014 3.00,"6,1",,,"22,4"
15/01/2014 4.00,"6,3",,,"22,4"
15/01/2014 5.00,"6,0",,,"22,4"
15/01/2014 6.00,"6,2",,,"22,4"
15/01/2014 7.00,"6,3",,,"22,4"
15/01/2014 8.00,"6,3",,,"22,4"
15/01/2014 9.00,"6,1",,,"22,4"
15/01/2014 10.00,"6,4",,,"22,4"
15/01/2014 11.00,"7,0",,,"22,4"
15/01/2014 12.00,"7,8",,,"22,4"
15/01/2014 13.00,"7,7",,,"22,4"
15/01/2014 14.00,"7,0",,,"22,4"
15/01/2014 15.00,"6,4",,,"22,4"
15/01/2014 16.00,"6,3",,,"22,4"
15/01/2014 17.00,"6,3",,,"22,4"
15/01/2014 18.00,"6,1",,,"22,4"
15/01/2014 19.00,"6,3",,,"22,4"
15/01/2014 20.00,"6,6",,,"22,4"
15/01/2014 21.00,"7,7",,,"22,4"
15/01/2014 22.00,"7,9",,,"22,4"
15/01/2014 23.00,"7,9",,,"22,4"
16/01/2014 0.00,"7,6",,,"22,4"
16/01/2014 1.00,,,,"31,3"
16/01/2014 2.00,"6,2",,,"31,3"
16/01/2014 3.00,"5,4",,,"31,3"
16/01/2014 4.00,"5,8",,,"31,3"
16/01/2014 5.00,"5,1",,,"31,3"
16/01/2014 6.00,"5,5",,,"31,3"
16/01/2014 7.00,"5,0",,,"31,3"
16/01/2014 8.00,"4,9",,,"31,3"
16/01/2014 9.00,"5,3",,,"31,3"
16/01/2014 10.00,"5,4",,,"31,3"
16/01/2014 11.00,"7,2",,,"31,3"
16/01/2014 12.00,"8,2",,,"31,3"
16/01/2014 13.00,"6,9",,,"31,3"
16/01/2014 14.00,"6,3",,,"31,3"
16/01/2014 15.00,"6,2",,,"31,3"
16/01/2014 16.00,"5,5",,,"31,3"
16/01/2014 17.00,"5,2",,,"31,3"
16/01/2014 18.00,"6,1",,,"31,3"
16/01/2014 19.00,"5,9",,,"31,3"
16/01/2014 20.00,"5,5",,,"31,3"
16/01/2014 21.00,"6,1",,,"31,3"
16/01/2014 22.00,"6,3",,,"31,3"
16/01/2014 23.00,"6,1",,,"31,3"
17/01/2014 0.00,"5,9",,,"31,3"
17/01/2014 1.00,"5,5",,,"26,9"
17/01/2014 2.00,"4,2",,,"26,9"
17/01/2014 3.00,"4,9",,,"26,9"
17/01/2014 4.00,"4,9",,,"26,9"
17/01/2014 5.00,"4,3",,,"26,9"
17/01/2014 6.00,"4,7",,,"26,9"
17/01/2014 7.00,"4,3",,,"26,9"
17/01/2014 8.00,"4,5",,,"26,9"
17/01/2014 9.00,"4,6",,,"26,9"
17/01/2014 10.00,"4,9",,,"26,9"
17/01/2014 11.00,"5,4",,,"26,9"
17/01/2014 12.00,"6,9",,,"26,9"
17/01/2014 13.00,"6,8",,,"31,3"
17/01/2014 14.00,"6,3",,,"31,3"
17/01/2014 15.00,"6,4",,,"31,3"
17/01/2014 16.00,"6,4",,,"31,3"
17/01/2014 17.00,"5,6",,,"31,3"
17/01/2014 18.00,"6,0",,,"31,3"
17/01/2014 19.00,"6,3",,,"31,3"
17/01/2014 20.00,"5,6",,,"31,3"
17/01/2014 21.00,"6,2",,,"31,3"
17/01/2014 22.00,"6,3",,,"31,3"
17/01/2014 23.00,"6,1",,,"31,3"
18/01/2014 0.00,"6,2",,,"31,3"
18/01/2014 1.00,,,,
18/01/2014 2.00,"6,3",,,
18/01/2014 3.00,"6,2",,,
18/01/2014 4.00,"6,0",,,
18/01/2014 5.00,"6,2",,,
18/01/2014 6.00,"6,1",,,"26,9"
18/01/2014 7.00,"6,1",,,"26,9"
18/01/2014 8.00,"6,0",,,"26,9"
18/01/2014 9.00,"5,5",,,"26,9"
18/01/2014 10.00,"6,3",,,"26,9"
18/01/2014 11.00,"6,1",,,"26,9"
18/01/2014 12.00,"6,2",,,"26,9"
18/01/2014 13.00,"6,3",,,"26,9"
18/01/2014 14.00,"6,1",,,"26,9"
18/01/2014 15.00,"6,3",,,"26,9"
18/01/2014 16.00,"6,4",,,"26,9"
18/01/2014 17.00,"6,4",,,"26,9"
18/01/2014 18.00,"6,3",,,"26,9"
18/01/2014 19.00,"6,4",,,"26,9"
18/01/2014 20.00,"6,2",,,"26,9"
18/01/2014 21.00,"6,4",,,"26,9"
18/01/2014 22.00,"6,2",,,"26,9"
18/01/2014 23.00,"6,3",,,"26,9"
19/01/2014 0.00,"6,3",,,"26,9"
19/01/2014 1.00,"6,3",,,
19/01/2014 2.00,"6,4",,,
19/01/2014 3.00,"6,4",,,
19/01/2014 4.00,"6,4",,,
19/01/2014 5.00,"6,4",,,
19/01/2014 6.00,"6,6",,,"21,2"
19/01/2014 7.00,"6,5",,,"21,2"
19/01/2014 8.00,"6,4",,,"21,2"
19/01/2014 9.00,"6,4",,,"21,2"
19/01/2014 10.00,"6,4",,,"21,2"
19/01/2014 11.00,"6,5",,,"21,2"
19/01/2014 12.00,"6,4",,,"21,2"
19/01/2014 13.00,"6,4",,,"21,2"
19/01/2014 14.00,"6,4",,,"21,2"
19/01/2014 15.00,"6,4",,,"21,2"
19/01/2014 16.00,"6,8",,,"21,2"
19/01/2014 17.00,"6,6",,,"21,2"
19/01/2014 18.00,"6,5",,,"21,2"
19/01/2014 19.00,"6,5",,,"21,2"
19/01/2014 20.00,"6,4",,,"21,2"
19/01/2014 21.00,"6,6",,,"21,2"
19/01/2014 22.00,"5,7",,,"21,2"
19/01/2014 23.00,"2,9",,,"21,2"
20/01/2014 0.00,"3,0",,,"21,2"
20/01/2014 1.00,,,,
20/01/2014 2.00,"3,2",,,
20/01/2014 3.00,"3,2",,,
20/01/2014 4.00,"3,3",,,
20/01/2014 5.00,"3,2",,,
20/01/2014 6.00,"3,0",,,"23,3"
20/01/2014 7.00,"3,1",,,"23,3"
20/01/2014 8.00,"3,1",,,"23,3"
20/01/2014 9.00,"3,0",,,"23,3"
20/01/2014 10.00,"3,0",,,"23,3"
20/01/2014 11.00,"2,9",,,"23,3"
20/01/2014 12.00,"3,0",,,"23,3"
20/01/2014 13.00,"3,3",,,"23,3"
20/01/2014 14.00,"3,2",,,"23,3"
20/01/2014 15.00,"3,2",,,"23,3"
20/01/2014 16.00,"3,0",,,"23,3"
20/01/2014 17.00,"3,2",,,"23,3"
20/01/2014 18.00,"3,1",,,"23,3"
20/01/2014 19.00,"3,0",,,"23,3"
20/01/2014 20.00,"7,4",,,"23,3"
20/01/2014 21.00,"7,9",,,"23,3"
20/01/2014 22.00,"7,8",,,"23,3"
20/01/2014 23.00,"7,8",,,"23,3"
21/01/2014 0.00,"7,6",,,"23,3"
21/01/2014 1.00,"7,7",,,
21/01/2014 2.00,"7,6",,,
21/01/2014 3.00,"7,7",,,
21/01/2014 4.00,"7,7",,,
21/01/2014 5.00,"7,6",,,
21/01/2014 6.00,"7,4",,,"33,2"
21/01/2014 7.00,"7,5",,,"33,2"
21/01/2014 8.00,"7,6",,,"33,2"
21/01/2014 9.00,"7,6",,,"33,2"
21/01/2014 10.00,"7,5",,,"33,2"
21/01/2014 11.00,"7,8",,,"33,2"
21/01/2014 12.00,"7,2",,,"33,2"
21/01/2014 13.00,"6,8",,,"33,2"
21/01/2014 14.00,"7,5",,,
21/01/2014 15.00,"7,8",,,
21/01/2014 16.00,"7,6",,,
21/01/2014 17.00,"7,7",,,
21/01/2014 18.00,"7,4",,,
21/01/2014 19.00,"7,2",,,
21/01/2014 20.00,"7,5",,,
21/01/2014 21.00,"7,2",,,
21/01/2014 22.00,"7,7",,,
21/01/2014 23.00,"7,8",,,
22/01/2014 0.00,"7,9",,,
22/01/2014 1.00,,,,
22/01/2014 2.00,"7,2",,,
22/01/2014 3.00,"7,2",,,
22/01/2014 4.00,"6,7",,,
22/01/2014 5.00,"6,4",,,
22/01/2014 6.00,"6,8",,,
22/01/2014 7.00,"6,4",,,
22/01/2014 8.00,"6,6",,,
22/01/2014 9.00,"6,6",,,
22/01/2014 10.00,"7,7",,,
22/01/2014 11.00,"7,1",,,
22/01/2014 12.00,"6,4",,,
22/01/2014 13.00,"6,4",,,
22/01/2014 14.00,"6,8",,,
22/01/2014 15.00,"6,7",,,
22/01/2014 16.00,"6,6",,,
22/01/2014 17.00,"6,4",,,
22/01/2014 18.00,"6,4",,,
22/01/2014 19.00,"6,7",,,
22/01/2014 20.00,"7,9",,,
22/01/2014 21.00,"7,3",,,"6,3"
22/01/2014 22.00,"7,5",,,"6,3"
22/01/2014 23.00,"7,0",,,"6,3"
23/01/2014 0.00,"6,3",,,"6,3"
23/01/2014 1.00,"6,4",,,
23/01/2014 2.00,"6,3",,,
23/01/2014 3.00,"6,3",,,
23/01/2014 4.00,"6,3",,,
23/01/2014 5.00,"6,2",,,
23/01/2014 6.00,"6,3",,,"11,9"
23/01/2014 7.00,"6,2",,,"11,9"
23/01/2014 8.00,"6,0",,,"11,9"
23/01/2014 9.00,"6,3",,,"11,9"
23/01/2014 10.00,"6,9",,,"11,9"
23/01/2014 11.00,"8,3",,,"11,9"
23/01/2014 12.00,"9,1",,,"11,9"
23/01/2014 13.00,"7,0",,,"11,9"
23/01/2014 14.00,"5,6",,,"11,9"
23/01/2014 15.00,"5,9",,,"11,9"
23/01/2014 16.00,"6,8",,,"11,9"
23/01/2014 17.00,"5,8","65,0","78,8","11,9"
23/01/2014 18.00,"6,0","39,7","56,0","11,9"
23/01/2014 19.00,"6,0","35,7","55,3","11,9"
23/01/2014 20.00,"6,1","37,4","63,0","11,9"
23/01/2014 21.00,"6,2","38,6","67,0","11,9"
23/01/2014 22.00,"6,1","40,7","70,9","11,9"
23/01/2014 23.00,"6,0","42,1","70,8","11,9"
24/01/2014 0.00,"6,0","39,0","60,8","11,9"
24/01/2014 1.00,,"31,6","47,9",
24/01/2014 2.00,"6,0","23,9","39,4",
24/01/2014 3.00,"6,0","19,5","34,4",
24/01/2014 4.00,"6,0","15,8","30,7",
24/01/2014 5.00,"6,0","13,9","28,9",
24/01/2014 6.00,"6,0","12,7","27,3","35,1"
24/01/2014 7.00,"6,0","12,9","27,5","35,1"
24/01/2014 8.00,"6,0","13,4","28,2","35,1"
24/01/2014 9.00,"6,1","17,7","33,0","35,1"
24/01/2014 10.00,"6,9","25,3","42,3","35,1"
24/01/2014 11.00,"7,1","33,5","53,0","35,1"
24/01/2014 12.00,"6,2","39,4","62,3","35,1"
24/01/2014 13.00,"7,7","41,1","63,1","35,1"
24/01/2014 14.00,"7,6","41,7","67,7","35,1"
24/01/2014 15.00,"7,6","41,5","67,5","35,1"
24/01/2014 16.00,"7,7","41,8","67,0","35,1"
