,TARANTO,,,
,TA V.Archimede,,,
Parm,SO2,NO2,CO,PM10



09/01/2010 10.00,"1,190199","13,294097","1,583697","81,074471"
09/01/2010 11.00,"1,159496","17,808094","1,543248",
09/01/2010 12.00,"1,108926","18,64133","1,592772","101,587303"
09/01/2010 13.00,"0,99695","15,207164","1,660292",
09/01/2010 14.00,"0,872331","21,608256","1,639061","69,352852"
09/01/2010 15.00,"1,013204","15,661419","1,546483",
09/01/2010 16.00,"0,989725","13,566651","1,581645","39,56044"
09/01/2010 17.00,"1,018622","13,013759","1,623199",
09/01/2010 18.00,"1,202841","14,3947","1,548536","26,86202"
09/01/2010 19.00,"1,08906","10,992971","1,493052",
09/01/2010 20.00,"1,358164","11,73276","1,731127","32,234421"
09/01/2010 21.00,"1,034877","19,701687","1,922519",
09/01/2010 22.00,"1,390672","30,304013","1,614911","25,88522"
09/01/2010 23.00,"1,052938","8,520532","1,473006",
10/01/2010 0.00,"1,249799","4,537361","1,366655","31,25762"
10/01/2010 1.00,"1,3094","11,253848","1,414523",
10/01/2010 2.00,"1,616431","11,765206","1,640166","18,55921"
10/01/2010 3.00,,"10,887845","1,730023",
10/01/2010 4.00,"0,962634","11,998825","1,528607","15,14041"
10/01/2010 5.00,"1,040295","4,411466","1,461442",
10/01/2010 6.00,"1,280503","6,600977","1,599956","13,67521"
10/01/2010 7.00,"1,199229","6,20253","1,705871",
10/01/2010 8.00,"1,219096","12,540037","1,454262","10,25641"
10/01/2010 9.00,"1,397897","18,303891","1,52253",
10/01/2010 10.00,"1,354551","14,190926","1,619055","11,23321"
10/01/2010 11.00,"1,192005","13,282419","1,555402",
10/01/2010 12.00,"1,139629","12,445286","1,5732","18,07081"
10/01/2010 13.00,"1,392478","19,523872","1,514913",
10/01/2010 14.00,"1,182974","10,127296","1,564006","10,25641"
10/01/2010 15.00,"1,08906","24,90227","1,560099",
10/01/2010 16.00,"1,305787","20,145558","1,535356","14,16361"
10/01/2010 17.00,"1,132405","15,02286","1,49542",
10/01/2010 18.00,"1,448467","17,447289","1,437963","13,67521"
10/01/2010 19.00,"1,527934","24,690708","1,412194",
10/01/2010 20.00,"1,616431","35,561668","1,65315","16,60561"
10/01/2010 21.00,"2,799406","30,779031","1,766091",
10/01/2010 22.00,"2,250362","22,446687","1,470755","22,46641"
10/01/2010 23.00,"1,583922","24,580385","1,595062",
11/01/2010 0.00,"1,383448","19,244835","1,657135","28,327221"
11/01/2010 1.00,"1,338297","27,632988","1,782507",
11/01/2010 2.00,"0,594196","11,571821","1,658478","25,39682"
11/01/2010 3.00,"1,291339","14,2065","1,697664",
11/01/2010 4.00,"1,426794","10,279143","1,634681","16,60561"
11/01/2010 5.00,"1,356358","10,493289","1,580303",
11/01/2010 6.00,"1,343715","14,279188","1,484528","19,53602"
11/01/2010 7.00,"2,288288","33,16192","1,657372",
11/01/2010 8.00,"1,997512","33,351418","1,749832","15,62881"
11/01/2010 9.00,"2,378592","46,048493","1,883886",
11/01/2010 10.00,"1,95236","41,609765","2,107598","24,42001"
11/01/2010 11.00,"1,466527","37,062015","1,931714",
11/01/2010 12.00,"1,632686","29,753701","2,000102","34,67643"
11/01/2010 13.00,"1,75008","26,884115","1,882109",
11/01/2010 14.00,"1,641717","20,357102","1,700583","31,746031"
11/01/2010 15.00,"1,468333","13,562755","1,513533",
11/01/2010 16.00,"1,542382","18,555675","1,648375","25,88522"
11/01/2010 17.00,"1,555025","31,287796","1,662384",
11/01/2010 18.00,"1,533352","34,111954","1,584643","18,55921"
11/01/2010 19.00,"1,41957","34,912736","1,533106",
11/01/2010 20.00,"1,565862","47,406069","1,515584","16,60561"
11/01/2010 21.00,"1,499037","29,748521","1,605046",
11/01/2010 22.00,"1,674225","25,221536","1,665108","19,0476"
11/01/2010 23.00,"1,482782","40,540326","1,709818",
12/01/2010 0.00,"1,468333","30,011993","1,423085","12,21001"
12/01/2010 1.00,"1,573085","25,59273","1,415115",
12/01/2010 2.00,"1,535158","14,272699","1,475767","14,65201"
12/01/2010 3.00,,"8,247978","1,449487",
12/01/2010 4.00,"1,513485","7,876786","1,495103","17,094"
12/01/2010 5.00,"1,329267","5,711935","1,546563",
12/01/2010 6.00,"1,195618","9,220082","1,599995","10,74481"
12/01/2010 7.00,"1,417764","24,098886","1,670829",
12/01/2010 8.00,"1,195618","27,468154","1,658162","8,302809"
12/01/2010 9.00,"1,294951","34,041879","1,771735",
12/01/2010 10.00,"1,358164","24,915251","1,955313","13,67521"
12/01/2010 11.00,"1,112538","23,940534","2,261461",
12/01/2010 12.00,"1,193812","17,479737","1,709029","27,83882"
12/01/2010 13.00,"1,302175","11,702906","1,627065",
12/01/2010 14.00,"1,327461","11,654885","1,627934","26,86202"
12/01/2010 15.00,"1,390672","13,880737","1,672368",
12/01/2010 16.00,"1,314818","13,252565","1,506784","24,42001"
12/01/2010 17.00,"1,361775","14,619222","1,631367",
12/01/2010 18.00,"1,358164","16,782782","1,540051","17,582411"
12/01/2010 19.00,"1,513485","22,194896","1,695138",
12/01/2010 20.00,"1,607401","15,887243","1,782192","18,07081"
12/01/2010 21.00,"1,630879","30,130098","1,558284",
12/01/2010 22.00,"1,632686","38,350797","1,612543","25,88522"
12/01/2010 23.00,"1,616431","34,000349","1,849001",
13/01/2010 0.00,"1,69048","39,032197","2,027962","30,76923"
13/01/2010 1.00,"1,701317","27,028184","2,007363",
13/01/2010 2.00,"1,735631","26,27281","1,96423","23,44322"
13/01/2010 3.00,"1,665195","27,119023","1,753661",
13/01/2010 4.00,"1,495424","18,022252","1,603349","17,094"
13/01/2010 5.00,"1,616431","13,923569","1,576278",
13/01/2010 6.00,"1,444855","21,025517","1,535197","26,37361"
13/01/2010 7.00,"1,569473","25,656324","1,599561",
13/01/2010 8.00,"1,869281","31,01654","1,674538","18,07081"
13/01/2010 9.00,"2,629635","32,017185","1,89896",
13/01/2010 10.00,"2,564617","50,84413","2,141811","15,62881"
13/01/2010 11.00,"1,945136","33,45524","2,034749",
13/01/2010 12.00,"2,013767","37,365717","1,992328","39,56044"
13/01/2010 13.00,"1,645328","26,229981","1,951879",
13/01/2010 14.00,,,,
13/01/2010 15.00,,,,
13/01/2010 16.00,,,,
13/01/2010 17.00,,,,
13/01/2010 18.00,,,,
13/01/2010 19.00,,,,
13/01/2010 20.00,,,,
13/01/2010 21.00,,,,
13/01/2010 22.00,,,,
13/01/2010 23.00,,,,
14/01/2010 0.00,,,,
14/01/2010 1.00,,,,
14/01/2010 2.00,,,,
14/01/2010 3.00,,,,
