,Provincia di TARANTO,,,,,
,TA V. Machiavelli,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE
,,,,,,
,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,
05/01/2006 8.00,"3,037883","85,873694","1,122649","0,048748","14,1772","3,010828"
05/01/2006 9.00,"1,928131","66,880627","0,668107","0,624247","11,68521","4,351743"
05/01/2006 10.00,"1,842471","75,616613","0,623815","7,963553","10,79497","2,62386"
05/01/2006 11.00,"2,125372","87,754316","0,627576","5,440836","20,15933","2,320794"
05/01/2006 12.00,"1,539167","48,157525","0,476814","32,042412","10,67863","3,147615"
05/01/2006 13.00,"1,758118","51,975883","0,725143","43,029718","7,580509","2,089427"
05/01/2006 14.00,"1,48571","54,887","0,694056","42,16173","10,96442","2,520126"
05/01/2006 15.00,"1,307328","32,493215","0,352862","46,819917","7,262658","2,675727"
05/01/2006 16.00,"1,479665","46,950516","0,793797","19,194581","13,2465","1,633302"
05/01/2006 17.00,"1,741636","66,710618","0,941091","0,384568","18,25493","2,342659"
05/01/2006 18.00,"1,511957","58,948048","0,698067","5,447607","15,01517","3,632215"
05/01/2006 19.00,"2,362035","69,480736","1,175716","1,025135","18,046471","2,860821"
05/01/2006 20.00,"2,17747","64,508124","1,23618","0,682474","21,621981","4,927365"
05/01/2006 21.00,"1,652037","62,501612","0,853927","2,288454","17,64205","6,238278"
05/01/2006 22.00,"1,631107","52,153682","0,653231","2,77323","15,51171","4,139698"
05/01/2006 23.00,"1,467139","49,295776","0,733836","2,285747","14,07351","3,354066"
06/01/2006 0.00,"1,482859","45,342448","0,53452","0,671641","13,00033","3,24423"
06/01/2006 1.00,,"44,484552","0,480324","0,113745","12,78283","2,917264"
06/01/2006 2.00,"1,582417",,"0,476312",0,"12,94132","2,640132"
06/01/2006 3.00,"1,220798","43,996552",,"0,918089","15,30349","2,640132"
06/01/2006 4.00,"1,329889","32,027585","0,610983","1,673687","13,21193","3,541702"
06/01/2006 5.00,"1,559407","41,78108","0,625602","1,164539","15,40043","3,54933"
06/01/2006 6.00,"1,458051","41,747332","0,464262","0,119161","10,82869","4,380219"
06/01/2006 7.00,"1,580053","35,333262","0,481387","8,850498","10,1509","2,729628"
06/01/2006 8.00,"1,612694","38,44183","0,552654","4,572428","10,92817","2,372152"
06/01/2006 9.00,"1,612031","35,078869","0,4803","11,683307","11,97352","2,802343"
06/01/2006 10.00,"1,94803","35,979593","0,684198","22,727459","12,22222","2,495718"
06/01/2006 11.00,"4,841145","31,212518","0,63053","29,535955","13,03321","2,89845"
06/01/2006 12.00,"5,000546","30,655728","0,718445","36,838691","12,21716","2,995065"
06/01/2006 13.00,"4,609307","42,492938","0,868127","33,178565","12,61235","3,452715"
06/01/2006 14.00,"5,412575","41,577319","0,74342","34,902306","15,03877","4,851598"
06/01/2006 15.00,"4,316871","24,402588","0,512877","53,502429","13,14871","7,536479"
06/01/2006 16.00,"3,093548","24,540156","0,548378","47,580892","10,93154","3,051508"
06/01/2006 17.00,"2,958903","35,240741","0,76269","33,971819","13,16108","2,395543"
06/01/2006 18.00,"3,055263","53,295813","0,94402","12,521504","16,86224","2,367576"
06/01/2006 19.00,"2,55735","46,352195","0,748851","20,569008","19,30871","3,826971"
06/01/2006 20.00,"2,964106","60,186202","1,124152","5,511249","27,52655","4,062915"
06/01/2006 21.00,"2,626826","53,648825","0,784685","6,62027","25,29084","6,731523"
06/01/2006 22.00,"2,7338","57,407473","0,670165","2,571465","24,16287","3,922569"
06/01/2006 23.00,"2,704827","58,039541","0,530127","2,201792","22,36722","3,533566"
07/01/2006 0.00,"2,271316","52,162762","0,555854","4,755653","22,0553","2,857261"
07/01/2006 1.00,"2,300288","44,71946","0,540443","9,272981","22,66144","2,717424"
07/01/2006 2.00,"2,046085","39,58639","0,581372","18,050355","22,44562","2,483514"
07/01/2006 3.00,"2,318717","40,322281","0,488069","18,628565","19,53717","2,53233"
07/01/2006 4.00,"2,362275","34,520795","0,572686","31,024124","17,52401","2,234349"
07/01/2006 5.00,"2,153847","33,51495","0,39652","33,315284","19,72517","4,766171"
07/01/2006 6.00,"2,403616","34,589571","0,415731","31,37349","21,27887","2,214517"
07/01/2006 7.00,"2,362275","45,947271","0,645565","21,526349","23,07452","2,18655"
07/01/2006 8.00,"2,746562","58,556089","0,698357","6,277679","23,43281","2,640132"
07/01/2006 9.00,"3,361549","64,130449","0,792913","8,991325","25,320351","3,222364"
07/01/2006 10.00,"3,162828","51,917471","0,722873","26,217014","22,81823","3,404916"
07/01/2006 11.00,"3,86626","43,613254","0,610119","39,069022","22,313061","3,570687"
07/01/2006 12.00,"5,93399","40,786915","0,681108","44,096761","21,423031","3,221856"
07/01/2006 13.00,"7,339626","52,85194","1,250534","40,080448","22,00725","3,149649"
07/01/2006 14.00,"6,130889","48,158823","0,759458","44,83204","20,161011","3,19999"
07/01/2006 15.00,"3,977626","40,864429","0,5427","53,895502","16,0854","2,836921"
07/01/2006 16.00,"3,465468","29,896472","0,484644","69,750465","17,57881","2,198245"
07/01/2006 17.00,"2,738038","36,200239","0,549088","53,399526","22,79801","2,3391"
07/01/2006 18.00,"2,499207","39,431939","0,603383","40,521881","26,04451","2,689965"
07/01/2006 19.00,"2,298466","44,966071","0,677181","32,26721","24,45624","2,89489"
07/01/2006 20.00,"2,176333","51,624476","0,728144","23,129252","25,738831",
07/01/2006 21.00,"2,615494","70,968928","0,973339","8,655505","27,19945","3,175074"
07/01/2006 22.00,"2,770854","71,332337","1,080759","1,006108","35,78907","4,191565"
07/01/2006 23.00,"2,819881","66,009773","0,933746","3,298625","36,295731","4,609044"
08/01/2006 0.00,"2,335126","47,238635","0,798259","20,0382","32,72213","4,415305"
08/01/2006 1.00,,"29,778367","0,512585","35,938208","23,306351",
08/01/2006 2.00,"1,121637",,"0,495002","23,794504","18,322371","2,47792"
08/01/2006 3.00,"0,967808","40,892058",,"4,051514","19,41577","2,658438"
08/01/2006 4.00,"1,292151","45,168533","0,587164","1,02371","19,20249","3,499497"
08/01/2006 5.00,"1,240477","49,477473","0,43349",0,"18,61153","3,558483"
08/01/2006 6.00,"1,279799","46,999825","0,525969","0,054164","19,921591","2,718949"
08/01/2006 7.00,"2,504446","45,461853","1,245364",0,"26,0133","3,883414"
08/01/2006 8.00,"4,146221","61,342614","1,209699",0,"24,37109","6,164037"
08/01/2006 9.00,"2,909163","59,263432","1,056985",0,"24,27499","4,910076"
08/01/2006 10.00,"2,431627","76,705519","1,175452","0,010833","40,451012","4,511921"
08/01/2006 11.00,"1,781914","57,010313","0,692324","23,992209","23,772551","5,538073"
08/01/2006 12.00,"2,686279","42,496836","0,671637","36,43297","26,564461","4,447849"
