,ARPA Puglia,
,Capitaneria di Porto,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,
,,,,
11/01/2008 13.00,"3,48427391","23,96352618"
11/01/2008 14.00,"3,89627695","30,69624591"
11/01/2008 15.00,"3,57484293","36,23511375"
11/01/2008 16.00,"3,98507094","48,6535698"
11/01/2008 17.00,"3,90693307","49,03022124"
11/01/2008 18.00,"5,0505991","55,04409801"
11/01/2008 19.00,"4,7859931","46,93751469"
11/01/2008 20.00,"5,38801479","47,81468142"
11/01/2008 21.00,"6,25464392","48,18113784"
11/01/2008 22.00,"4,96713209","42,13408023"
11/01/2008 23.00,"5,39689493","41,20326738"
12/01/2008 0.00,"3,96908808","32,23227051"
12/01/2008 1.00,,"24,91474788"
12/01/2008 2.00,"3,25696111",
12/01/2008 3.00,"3,30668592",
12/01/2008 4.00,"3,3457551",
12/01/2008 5.00,"3,16106391",
12/01/2008 6.00,"3,37594509",
12/01/2008 7.00,"3,711586",
12/01/2008 8.00,"4,69719791",
12/01/2008 9.00,"4,48942089",
12/01/2008 10.00,"3,88384604",
12/01/2008 11.00,"3,33154798",
12/01/2008 12.00,"3,22677112",
12/01/2008 13.00,"3,13442492",
12/01/2008 14.00,"3,11489105",
12/01/2008 15.00,"2,94085503",
12/01/2008 16.00,"2,94618201",
12/01/2008 17.00,"3,09713197",
12/01/2008 18.00,"3,10423589",
12/01/2008 19.00,"3,07582092",
12/01/2008 20.00,"3,27827191",
12/01/2008 21.00,"3,09890795",
12/01/2008 22.00,"3,03320098",
12/01/2008 23.00,"2,9852519",
13/01/2008 0.00,"3,18414998",
13/01/2008 1.00,"3,17527103",
13/01/2008 2.00,"3,17704701",
13/01/2008 3.00,"3,10778689",
13/01/2008 4.00,"3,30313396",
13/01/2008 5.00,"3,15040898",
13/01/2008 6.00,"3,18059802",
13/01/2008 7.00,"3,04563189",
13/01/2008 8.00,"3,39547992",
13/01/2008 9.00,"3,58194709",
13/01/2008 10.00,"3,29247904",
13/01/2008 11.00,"3,12021899",
13/01/2008 12.00,"3,2871511",
13/01/2008 13.00,"3,36706591",
13/01/2008 14.00,"3,06161499",
13/01/2008 15.00,"2,98347592",
13/01/2008 16.00,"2,99057889",
13/01/2008 17.00,"3,06871796",
13/01/2008 18.00,"3,03320098",
13/01/2008 19.00,"3,47716999",
13/01/2008 20.00,"3,45941091",
13/01/2008 21.00,"3,65475798",
13/01/2008 22.00,"3,43632507",
13/01/2008 23.00,"3,23920202",
14/01/2008 0.00,"3,329772",
14/01/2008 1.00,,
14/01/2008 2.00,"2,96749306",
14/01/2008 3.00,"3,10245991",
14/01/2008 4.00,"3,16461492",
14/01/2008 5.00,"3,28182292",
14/01/2008 6.00,"3,13087392",
14/01/2008 7.00,"3,55353308",
14/01/2008 8.00,"4,15910721",
14/01/2008 9.00,"3,70981002",
14/01/2008 10.00,"3,38660002","32,61915459"
14/01/2008 11.00,"3,30313396","25,29781353"
14/01/2008 12.00,"3,11666703","22,96503495"
14/01/2008 13.00,"3,12909794","19,21881654"
14/01/2008 14.00,"3,12377","20,85060285"
14/01/2008 15.00,"3,04385591","22,24619199"
14/01/2008 16.00,"3,08825302","22,75436295"
14/01/2008 17.00,"3,23920202","20,69867448"
14/01/2008 18.00,"3,6103611","39,57785766"
14/01/2008 19.00,"3,7542069","46,54297494"
14/01/2008 20.00,"4,05610704","47,62061865"
14/01/2008 21.00,"4,06676102","44,84478933"
14/01/2008 22.00,"3,79327607","41,99616531"
14/01/2008 23.00,"3,69382691","38,02907988"
15/01/2008 0.00,"3,43987703","28,00724355"
15/01/2008 1.00,"3,23920202","20,18410812"
15/01/2008 2.00,"3,27116799","14,87250458"
15/01/2008 3.00,"3,11666703","8,4921902"
15/01/2008 4.00,"3,16283989","7,55883048"
15/01/2008 5.00,"3,21789193","12,66614049"
15/01/2008 6.00,"3,55708504","19,71039708"
15/01/2008 7.00,"3,76308703","27,58460166"
15/01/2008 8.00,"4,67588806","35,73459846"
15/01/2008 9.00,"5,17846203","42,97806612"
15/01/2008 10.00,"4,28697109","40,51250775"
15/01/2008 11.00,"3,42744493","32,71617657"
15/01/2008 12.00,"3,48249793","23,95968894"
15/01/2008 13.00,"3,182374","17,6215146"
15/01/2008 14.00,"3,296031","13,83827059"
15/01/2008 15.00,"3,35996199","19,03111155"
15/01/2008 16.00,"3,6654129","22,20403878"
15/01/2008 17.00,,"1,26661461"
15/01/2008 18.00,,"50,39005257"
15/01/2008 19.00,"4,0418992","72,19063566"
15/01/2008 20.00,"4,27098799","70,18347699"
15/01/2008 21.00,"4,23902178","70,12089612"
15/01/2008 22.00,"3,86786294","61,14224358"
15/01/2008 23.00,"3,84477711","55,98128745"
16/01/2008 0.00,"3,63522291","49,20897267"
16/01/2008 1.00,,"40,89171735"
16/01/2008 2.00,"3,16994309","28,54861416"
16/01/2008 3.00,"3,38482404","25,03221633"
16/01/2008 4.00,"3,22321892","15,50069839"
