Stat,Mesagne(RRQA),,,
,,,,,,,,,
Parm,SO2,NO2,NOX,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver,Aver
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,
08/01/2014 13.00,"2,7","11,2","18,1","16,8"
08/01/2014 14.00,"2,8","13,7","20,2","16,8"
08/01/2014 15.00,"2,9","9,9","15,9","16,8"
08/01/2014 16.00,"2,7","8,9","14,5","16,8"
08/01/2014 17.00,"2,9","10,2","15,6","16,8"
08/01/2014 18.00,"2,3","14,7","20,8","16,8"
08/01/2014 19.00,"3,1","14,2","20,7","16,8"
08/01/2014 20.00,"2,9","11,8","17,8","16,8"
08/01/2014 21.00,"2,9","11,2","17,2","16,8"
08/01/2014 22.00,"3,2","11,5","16,4","16,8"
08/01/2014 23.00,"2,5","11,9","17,0","16,8"
09/01/2014 0.00,"3,0","11,4","16,8","16,8"
09/01/2014 1.00,"2,6","10,7","16,5","34,1"
09/01/2014 2.00,"2,9","9,7","16,3","34,1"
09/01/2014 3.00,"3,0","8,8","15,0","34,1"
09/01/2014 4.00,"2,7","7,8","14,1","34,1"
09/01/2014 5.00,"2,6","6,4","12,7","34,1"
09/01/2014 6.00,"2,5","6,6","13,2","34,1"
09/01/2014 7.00,"2,7","8,8","15,2","34,1"
09/01/2014 8.00,"2,7","14,5","21,1","34,1"
09/01/2014 9.00,"2,3","21,4","30,1","34,1"
09/01/2014 10.00,"2,6","14,5","23,1","34,1"
09/01/2014 11.00,"1,7","9,8","16,4","34,1"
09/01/2014 12.00,"2,5","10,1","16,8","34,1"
09/01/2014 13.00,"2,0","9,9","16,1","34,1"
09/01/2014 14.00,"2,2","10,8","15,9","34,1"
09/01/2014 15.00,"2,0","9,8","14,2","34,1"
09/01/2014 16.00,"2,4","14,7","20,7","34,1"
09/01/2014 17.00,"2,7","18,1","24,0","34,1"
09/01/2014 18.00,"2,5","33,5","39,9","34,1"
09/01/2014 19.00,"2,7","51,1","66,6","34,1"
09/01/2014 20.00,"3,2","61,2","81,9","34,1"
09/01/2014 21.00,"3,2","65,8","94,1","34,1"
09/01/2014 22.00,"3,6","52,8","74,4","34,1"
09/01/2014 23.00,"3,3","48,9","69,1","34,1"
10/01/2014 0.00,"3,1","45,9","63,1","34,1"
10/01/2014 1.00,,"40,7","66,3","72,6"
10/01/2014 2.00,"3,5",,,"72,6"
10/01/2014 3.00,"2,9","16,0","23,4","72,6"
10/01/2014 4.00,"3,5","11,1","18,1","72,6"
10/01/2014 5.00,"3,1","9,3","15,9","72,6"
10/01/2014 6.00,"3,0","10,5","16,9","72,6"
10/01/2014 7.00,"3,0","16,5","23,0","72,6"
10/01/2014 8.00,"2,6","33,7","41,0","72,6"
10/01/2014 9.00,"3,0","45,8","70,5","72,6"
10/01/2014 10.00,"3,1","45,0","62,9","72,6"
10/01/2014 11.00,"2,8","27,4","36,4","72,6"
10/01/2014 12.00,"2,6","23,0","31,0","72,6"
10/01/2014 13.00,"2,4","18,4","25,1","72,6"
10/01/2014 14.00,"2,9","15,0","20,7","72,6"
10/01/2014 15.00,"2,4","15,7","21,1","72,6"
10/01/2014 16.00,"2,2","66,3","73,4","72,6"
10/01/2014 17.00,,,,"72,6"
10/01/2014 18.00,,,,"72,6"
10/01/2014 19.00,"5,0","93,3","123,0","72,6"
10/01/2014 20.00,"5,9","103,4","133,9","72,6"
10/01/2014 21.00,"5,1","85,9","137,0","72,6"
10/01/2014 22.00,"5,7","83,0","140,5","72,6"
10/01/2014 23.00,"4,8","71,1","117,1","72,6"
11/01/2014 0.00,"5,4","60,7","91,2","72,6"
11/01/2014 1.00,"4,5","47,3","64,3","65,5"
11/01/2014 2.00,"4,6","27,0","34,9","65,5"
11/01/2014 3.00,"4,6","16,9","22,7","65,5"
11/01/2014 4.00,"4,1","14,1","20,2","65,5"
11/01/2014 5.00,"4,7","14,0","21,1","65,5"
11/01/2014 6.00,"4,7","14,3","21,0","65,5"
11/01/2014 7.00,"5,0","22,8","32,8","65,5"
11/01/2014 8.00,"4,5","34,0","47,7","65,5"
11/01/2014 9.00,"5,2","45,3","83,3","65,5"
11/01/2014 10.00,"4,6","49,4","88,4","65,5"
11/01/2014 11.00,"4,6","32,0","46,3","65,5"
11/01/2014 12.00,"4,2","19,8","26,4","65,5"
11/01/2014 13.00,"5,1","15,4","20,5","65,5"
11/01/2014 14.00,"4,5","19,5","24,6","65,5"
11/01/2014 15.00,"4,0","12,9","16,8","65,5"
11/01/2014 16.00,"4,4","17,4","21,5","65,5"
11/01/2014 17.00,"4,2","15,0","18,5","65,5"
11/01/2014 18.00,"3,9","28,0","32,4","65,5"
11/01/2014 19.00,"4,5","55,7","68,6","65,5"
11/01/2014 20.00,"5,0","72,5","140,6","65,5"
11/01/2014 21.00,"5,8","82,7","186,2","65,5"
11/01/2014 22.00,"6,2","79,3","225,5","65,5"
11/01/2014 23.00,"5,6","65,9","171,4","65,5"
12/01/2014 0.00,"5,2","56,1","77,7","65,5"
12/01/2014 1.00,,"47,4","57,5","48,0"
12/01/2014 2.00,"4,4",,,"48,0"
12/01/2014 3.00,"4,8","34,3","41,2","48,0"
12/01/2014 4.00,"4,4","29,1","38,5","48,0"
12/01/2014 5.00,"4,9","24,6","31,4","48,0"
12/01/2014 6.00,"4,3","24,2","32,7","48,0"
12/01/2014 7.00,"4,5","26,2","36,3","48,0"
12/01/2014 8.00,"4,7","19,5","28,1","48,0"
12/01/2014 9.00,"4,8","24,3","34,6","48,0"
12/01/2014 10.00,"4,6","30,1","43,5","48,0"
12/01/2014 11.00,"4,9","17,0","25,8","48,0"
12/01/2014 12.00,"4,0","12,7","18,0","48,0"
12/01/2014 13.00,"3,6","10,8","14,6","48,0"
12/01/2014 14.00,"3,6","9,1","12,0","48,0"
12/01/2014 15.00,"3,8","8,8","12,1","48,0"
12/01/2014 16.00,"3,2","10,2","14,0","48,0"
12/01/2014 17.00,"4,2","13,6","17,7","48,0"
12/01/2014 18.00,"3,6","18,3","23,4","48,0"
12/01/2014 19.00,"3,7","16,9","21,3","48,0"
12/01/2014 20.00,"3,8","17,0","21,8","48,0"
12/01/2014 21.00,"4,2","16,6","21,4","48,0"
12/01/2014 22.00,"4,2","26,7","31,2","48,0"
12/01/2014 23.00,"3,9","40,6","46,2","48,0"
13/01/2014 0.00,"4,7","25,1","30,6","48,0"
13/01/2014 1.00,"4,1","13,5","18,3","39,4"
13/01/2014 2.00,"4,6","12,9","18,0","39,4"
13/01/2014 3.00,"4,3","9,7","14,6","39,4"
13/01/2014 4.00,"4,6","9,2","13,9","39,4"
13/01/2014 5.00,"4,3","8,4","13,0","39,4"
13/01/2014 6.00,"4,3","9,5","14,6","39,4"
13/01/2014 7.00,"4,6","16,7","22,8","39,4"
13/01/2014 8.00,"4,4","34,8","47,0","39,4"
13/01/2014 9.00,"4,5","35,3","50,6","39,4"
13/01/2014 10.00,"4,2","26,2","38,3","39,4"
13/01/2014 11.00,"4,4","15,4","23,0","39,4"
13/01/2014 12.00,"4,1","12,7","19,0","39,4"
13/01/2014 13.00,"3,9","14,1","19,6","39,4"
13/01/2014 14.00,"3,6","12,3","16,7","39,4"
13/01/2014 15.00,"3,4","15,6","20,4","39,4"
13/01/2014 16.00,"3,5","14,6","18,4","39,4"
13/01/2014 17.00,"3,3","22,9","27,7","39,4"
13/01/2014 18.00,"3,3","33,3","40,3","39,4"
13/01/2014 19.00,"3,7","51,1","67,6","39,4"
13/01/2014 20.00,"4,0","51,7","60,0","39,4"
13/01/2014 21.00,"3,9","62,6","76,5","39,4"
13/01/2014 22.00,"4,3","45,9","61,0","39,4"
13/01/2014 23.00,"4,3","20,3","24,6","39,4"
14/01/2014 0.00,"4,2","21,9","26,2","39,4"
14/01/2014 1.00,,"21,6","26,8","34,0"
14/01/2014 2.00,"4,1",,,"34,0"
