Stat,Mesagne(RRQA),,,
,,,,,,,,,
Parm,SO2,NO2,NOX,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver,Aver
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,
06/07/2014 20.00,"4,8","11,2","15,6","21,6"
06/07/2014 21.00,"3,9","10,3","13,9","21,6"
06/07/2014 22.00,"4,4","11,8","14,7","21,6"
06/07/2014 23.00,"3,8","13,6","15,2","21,6"
07/07/2014 0.00,"3,5","22,9","24,0","21,6"
07/07/2014 1.00,"4,1","26,9","28,0","27,5"
07/07/2014 2.00,"3,9","17,3","18,1","27,5"
07/07/2014 3.00,"3,8","13,4","14,6","27,5"
07/07/2014 4.00,"4,3","13,1","14,2","27,5"
07/07/2014 5.00,"4,3","14,1","15,4","27,5"
07/07/2014 6.00,"3,7","21,5","23,6","27,5"
07/07/2014 7.00,"3,6","27,2","30,4","27,5"
07/07/2014 8.00,"4,0","13,9","15,5","27,5"
07/07/2014 9.00,"4,3","9,3","10,6","27,5"
07/07/2014 10.00,"4,3","7,3","9,0","27,5"
07/07/2014 11.00,"4,8","9,1","12,4","27,5"
07/07/2014 12.00,"4,2","12,5","16,0","27,5"
07/07/2014 13.00,"4,7","8,7","12,0","27,5"
07/07/2014 14.00,"4,8","5,0","8,2","27,5"
07/07/2014 15.00,"4,7","15,1","20,3","27,5"
07/07/2014 16.00,"5,0","12,6","16,9","27,5"
07/07/2014 17.00,"5,8","9,3","13,3","27,5"
07/07/2014 18.00,"5,5","6,1","9,5","27,5"
07/07/2014 19.00,"5,8","6,1","10,0","27,5"
07/07/2014 20.00,"5,1","11,3","15,0","27,5"
07/07/2014 21.00,"5,3","12,4","15,8","27,5"
07/07/2014 22.00,"4,8","8,9","12,1","27,5"
07/07/2014 23.00,"5,2","7,6","10,7","27,5"
08/07/2014 0.00,"5,1","7,3","10,2","27,5"
08/07/2014 1.00,"4,4","5,5","7,6","22,3"
08/07/2014 2.00,"4,5","6,2","8,0","22,3"
08/07/2014 3.00,"4,8","6,1","7,7","22,3"
08/07/2014 4.00,"4,8","6,2","7,6","22,3"
08/07/2014 5.00,"4,9","9,4","10,8","22,3"
08/07/2014 6.00,"4,8","10,1","11,5","22,3"
08/07/2014 7.00,"5,0","11,6","13,1","22,3"
08/07/2014 8.00,"4,8","9,1","10,4","22,3"
08/07/2014 9.00,"4,6","10,3","12,3","22,3"
08/07/2014 10.00,"4,5","9,1","11,7","22,3"
08/07/2014 11.00,"4,2","6,5","10,0","22,3"
08/07/2014 12.00,"4,5","5,6","9,2","22,3"
08/07/2014 13.00,"4,6","6,0","9,8","22,3"
08/07/2014 14.00,"4,5","4,4","7,8","22,3"
08/07/2014 15.00,"4,3","4,0","7,0","22,3"
08/07/2014 16.00,"4,4","4,1","7,0","22,3"
08/07/2014 17.00,"5,2","4,6","8,2","22,3"
08/07/2014 18.00,"4,6","5,9","10,0","22,3"
08/07/2014 19.00,"4,7","5,8","10,0","22,3"
08/07/2014 20.00,"4,7","10,2","14,1","22,3"
08/07/2014 21.00,"4,9","12,3","15,9","22,3"
08/07/2014 22.00,"5,0","11,5","14,8","22,3"
08/07/2014 23.00,"4,7","8,8","12,1","22,3"
09/07/2014 0.00,"4,8","7,9","10,2","22,3"
09/07/2014 1.00,"4,8","5,9","7,1","6,7"
09/07/2014 2.00,"4,8","6,1","6,6","6,7"
09/07/2014 3.00,"5,2","4,3","4,8","6,7"
09/07/2014 4.00,"4,9","8,2","8,5","6,7"
09/07/2014 5.00,"4,9","7,1","6,9","6,7"
09/07/2014 6.00,"4,8","15,7","15,6","6,7"
09/07/2014 7.00,"5,4","13,6","13,6","6,7"
09/07/2014 8.00,"5,2","10,3","10,8","6,7"
09/07/2014 9.00,"5,0","8,4","8,9","6,7"
09/07/2014 10.00,,,,"6,7"
09/07/2014 11.00,,,,"6,7"
09/07/2014 12.00,,,,"6,7"
09/07/2014 13.00,,,,"6,7"
09/07/2014 14.00,,,,"6,7"
09/07/2014 15.00,,,,"6,7"
09/07/2014 16.00,,,,"6,7"
09/07/2014 17.00,,,,"6,7"
09/07/2014 18.00,,,,"6,7"
09/07/2014 19.00,,,,"6,7"
09/07/2014 20.00,,,,"6,7"
09/07/2014 21.00,,,,"6,7"
09/07/2014 22.00,,,,"6,7"
09/07/2014 23.00,,,,"6,7"
10/07/2014 0.00,,,,"6,7"
10/07/2014 1.00,,,,"5,7"
10/07/2014 2.00,,,,"5,7"
10/07/2014 3.00,,,,"5,7"
10/07/2014 4.00,,,,"5,7"
10/07/2014 5.00,,,,"5,7"
10/07/2014 6.00,,,,"5,7"
10/07/2014 7.00,,,,"5,7"
10/07/2014 8.00,,,,"5,7"
10/07/2014 9.00,,,,"5,7"
10/07/2014 10.00,,,,"5,7"
10/07/2014 11.00,,,,"5,7"
10/07/2014 12.00,,,,"5,7"
10/07/2014 13.00,,,,"5,7"
10/07/2014 14.00,,,,"5,7"
10/07/2014 15.00,,,,"5,7"
10/07/2014 16.00,,,,"5,7"
10/07/2014 17.00,,,,"5,7"
10/07/2014 18.00,,,,"5,7"
10/07/2014 19.00,,,,"5,7"
10/07/2014 20.00,,,,"5,7"
10/07/2014 21.00,,,,"5,7"
10/07/2014 22.00,,,,"5,7"
10/07/2014 23.00,,,,"5,7"
11/07/2014 0.00,,,,"5,7"
11/07/2014 1.00,,,,"9,7"
11/07/2014 2.00,,,,"9,7"
11/07/2014 3.00,,,,"9,7"
11/07/2014 4.00,,,,"9,7"
11/07/2014 5.00,,,,"9,7"
11/07/2014 6.00,,,,"9,7"
11/07/2014 7.00,,,,"9,7"
11/07/2014 8.00,"3,0",,,"9,7"
11/07/2014 9.00,"3,4",,,"9,7"
11/07/2014 10.00,"7,6",,,"9,7"
11/07/2014 11.00,"7,4",,,"9,7"
11/07/2014 12.00,"6,8",,,"9,7"
11/07/2014 13.00,"8,0",,,"9,7"
11/07/2014 14.00,"7,5",,,"9,7"
11/07/2014 15.00,"7,7","5,8","15,9","9,7"
11/07/2014 16.00,"7,4","4,9","11,7","9,7"
11/07/2014 17.00,"6,7","5,7","10,7","9,7"
11/07/2014 18.00,"6,1","5,3","10,4","9,7"
11/07/2014 19.00,"6,0","7,4","11,5","9,7"
11/07/2014 20.00,"5,6","11,5","15,3","9,7"
11/07/2014 21.00,"6,2","20,4","23,3","9,7"
11/07/2014 22.00,"6,4","18,8","20,4","9,7"
11/07/2014 23.00,"6,6","21,5","22,8","9,7"
12/07/2014 0.00,"6,9","22,8","23,5","9,7"
12/07/2014 1.00,"6,7","10,5","11,2","14,7"
12/07/2014 2.00,"6,5","10,5","11,6","14,7"
12/07/2014 3.00,"6,7","10,9","12,5","14,7"
12/07/2014 4.00,"5,8","10,6","12,0","14,7"
12/07/2014 5.00,"5,6","12,1","13,0","14,7"
12/07/2014 6.00,"5,9","21,5","23,3","14,7"
12/07/2014 7.00,"5,9","19,4","20,7","14,7"
12/07/2014 8.00,"5,2","9,8","10,8","14,7"
12/07/2014 9.00,"5,1","7,2","7,6","14,7"
12/07/2014 10.00,"4,8","6,6","7,0","14,7"
12/07/2014 11.00,"4,8","6,3","6,8","14,7"
12/07/2014 12.00,"4,9","5,9","7,3","14,7"
12/07/2014 13.00,"4,4","6,3","8,5","14,7"
12/07/2014 14.00,"5,3","5,1","7,2","14,7"
12/07/2014 15.00,"4,8","5,5","8,3","14,7"
12/07/2014 16.00,"5,6","6,2","8,7","14,7"
12/07/2014 17.00,"5,7","7,0","9,9","14,7"
12/07/2014 18.00,"5,6","6,3","9,6","14,7"
12/07/2014 19.00,"6,1","7,5","10,9","14,7"
12/07/2014 20.00,"6,4","9,3","12,0","14,7"
12/07/2014 21.00,"5,5","8,9","10,8","14,7"
12/07/2014 22.00,"5,8","10,2","11,6","14,7"
12/07/2014 23.00,"5,7","9,6","10,6","14,7"
13/07/2014 0.00,"5,5","7,3","8,2","14,7"
13/07/2014 1.00,"5,9","6,0","7,3","20,9"
13/07/2014 2.00,"5,5","5,8","7,0","20,9"
13/07/2014 3.00,"5,0","4,5","5,7","20,9"
13/07/2014 4.00,"5,3","4,8","6,2","20,9"
13/07/2014 5.00,"6,1","7,3","8,8","20,9"
13/07/2014 6.00,"5,9","8,1","9,7","20,9"
13/07/2014 7.00,"6,0","7,8","9,5","20,9"
13/07/2014 8.00,"4,6","5,6","7,1","20,9"
13/07/2014 9.00,"5,1","5,9","7,6","20,9"
13/07/2014 10.00,"3,8","5,9","7,4","20,9"
13/07/2014 11.00,"3,7","4,6","6,1","20,9"
13/07/2014 12.00,"4,5","4,6","7,2","20,9"
13/07/2014 13.00,"5,3","4,0","6,4","20,9"
13/07/2014 14.00,"5,2","3,4","5,2","20,9"
13/07/2014 15.00,"4,8","4,1","5,4","20,9"
13/07/2014 16.00,"5,0","3,9","6,0","20,9"
13/07/2014 17.00,"4,6","4,2","6,4","20,9"
13/07/2014 18.00,"4,8","4,8","6,2","20,9"
13/07/2014 19.00,"5,2","6,4","7,3","20,9"
13/07/2014 20.00,"4,3","7,6","8,1","20,9"
13/07/2014 21.00,"4,6","11,2","11,8","20,9"
13/07/2014 22.00,"4,6","11,7","11,8","20,9"
13/07/2014 23.00,"5,3","7,8","8,1","20,9"
14/07/2014 0.00,"5,3","8,3","8,8","20,9"
14/07/2014 1.00,"4,9","6,4","6,9","25,7"
14/07/2014 2.00,"4,8","16,9","17,5","25,7"
14/07/2014 3.00,"4,9","14,3","15,1","25,7"
14/07/2014 4.00,"5,6","10,4","11,2","25,7"
14/07/2014 5.00,"4,6","10,0","10,9","25,7"
14/07/2014 6.00,"5,7","16,5","18,1","25,7"
14/07/2014 7.00,"4,7","14,9","17,2","25,7"
14/07/2014 8.00,"4,5","8,7","10,1","25,7"
14/07/2014 9.00,"3,8","8,5","9,9","25,7"
14/07/2014 10.00,"4,0","7,5","8,8","25,7"
14/07/2014 11.00,"4,2","6,2","7,7","25,7"
14/07/2014 12.00,"3,8","6,0","7,9","25,7"
14/07/2014 13.00,"4,7","7,0","9,4","25,7"
14/07/2014 14.00,"4,5","7,4","10,2","25,7"
14/07/2014 15.00,"4,6","8,5","11,4","25,7"
14/07/2014 16.00,"5,1","17,5","21,4","25,7"
14/07/2014 17.00,"4,5","10,7","14,1","25,7"
14/07/2014 18.00,"4,6","6,7","8,9","25,7"
14/07/2014 19.00,"5,1","15,9","17,4","25,7"
14/07/2014 20.00,"5,3","18,9","20,4","25,7"
14/07/2014 21.00,"4,9","13,8","14,8","25,7"
14/07/2014 22.00,"5,0","12,4","12,9","25,7"
14/07/2014 23.00,"5,1","11,3","11,8","25,7"
15/07/2014 0.00,"5,2","8,4","8,8","25,7"
15/07/2014 1.00,"4,7","9,0","9,7","14,3"
15/07/2014 2.00,"5,1","6,7","6,9","14,3"
15/07/2014 3.00,"4,7","7,5","7,9","14,3"
15/07/2014 4.00,"4,4","7,6","8,0","14,3"
15/07/2014 5.00,"4,6","9,1","9,6","14,3"
15/07/2014 6.00,"4,5","10,7","11,8","14,3"
15/07/2014 7.00,"4,9","9,7","11,1","14,3"
15/07/2014 8.00,"4,4","6,8","7,9","14,3"
15/07/2014 9.00,"5,0","6,3","7,5","14,3"
15/07/2014 10.00,"4,5","8,8","10,2","14,3"
15/07/2014 11.00,"4,8","6,8","7,7","14,3"
15/07/2014 12.00,"4,7","6,3","7,0","14,3"
15/07/2014 13.00,"4,3","6,2","7,4","14,3"
15/07/2014 14.00,"4,5","6,1","8,3","14,3"
15/07/2014 15.00,"4,2","6,1","9,2","14,3"
15/07/2014 16.00,"4,8","4,9","8,5","14,3"
15/07/2014 17.00,"4,4","5,8","9,6","14,3"
15/07/2014 18.00,"4,3","6,1","8,9","14,3"
15/07/2014 19.00,"4,5","6,4","7,7","14,3"
15/07/2014 20.00,"4,5","5,3","6,4","14,3"
15/07/2014 21.00,"4,5","5,7","6,5","14,3"
15/07/2014 22.00,"4,4","4,3","4,7","14,3"
15/07/2014 23.00,"4,6","5,4","5,9","14,3"
16/07/2014 0.00,"4,3","4,8","5,4","14,3"
16/07/2014 1.00,"4,7","4,9","5,5","16,5"
16/07/2014 2.00,"4,7","5,6","6,1","16,5"
16/07/2014 3.00,"4,6","5,2","5,8","16,5"
16/07/2014 4.00,"4,5","5,0","5,5","16,5"
16/07/2014 5.00,"4,8","4,9","5,5","16,5"
16/07/2014 6.00,"5,3","6,4","7,3","16,5"
16/07/2014 7.00,"4,4","7,6","9,0","16,5"
16/07/2014 8.00,"4,7","7,2","8,8","16,5"
16/07/2014 9.00,"4,9","7,6","8,9","16,5"
16/07/2014 10.00,"4,5","7,2","9,1","16,5"
16/07/2014 11.00,"4,7","7,1","9,6","16,5"
16/07/2014 12.00,"4,8","7,2","10,9","16,5"
16/07/2014 13.00,"4,9","7,9","11,2","16,5"
16/07/2014 14.00,"4,8","5,4","7,1","16,5"
16/07/2014 15.00,"4,5","4,8","6,2","16,5"
16/07/2014 16.00,"4,7","5,6","7,6","16,5"
16/07/2014 17.00,"4,8","4,7","6,8","16,5"
16/07/2014 18.00,"4,8","5,3","7,9","16,5"
16/07/2014 19.00,"4,9","5,1","7,4","16,5"
16/07/2014 20.00,"4,8","5,3","7,9","16,5"
16/07/2014 21.00,"4,5","5,4","7,6","16,5"
16/07/2014 22.00,"4,7","5,4","6,3","16,5"
16/07/2014 23.00,"4,7","4,9","5,4","16,5"
17/07/2014 0.00,"4,9","5,1","5,5","16,5"
17/07/2014 1.00,"5,0","6,5","7,3","16,6"
17/07/2014 2.00,"4,8","4,6","5,2","16,6"
17/07/2014 3.00,"4,7","5,1","6,0","16,6"
17/07/2014 4.00,"5,2","4,0","5,0","16,6"
17/07/2014 5.00,"4,5","4,8","5,2","16,6"
17/07/2014 6.00,"4,7","6,1","6,3","16,6"
17/07/2014 7.00,"4,8","6,6","7,0","16,6"
17/07/2014 8.00,"4,8","7,0","7,7","16,6"
17/07/2014 9.00,"4,4","6,5","7,1","16,6"
17/07/2014 10.00,"5,0","7,1","8,5","16,6"
17/07/2014 11.00,"4,8","6,5","8,6","16,6"
17/07/2014 12.00,"3,8","6,7","9,3","16,6"
17/07/2014 13.00,"4,1","6,0","8,1","16,6"
17/07/2014 14.00,"4,5","5,2","6,5","16,6"
17/07/2014 15.00,"4,7","4,8","6,3","16,6"
17/07/2014 16.00,"4,4","4,5","5,7","16,6"
17/07/2014 17.00,"4,6","5,1","7,1","16,6"
17/07/2014 18.00,"4,5","6,9","9,3","16,6"
17/07/2014 19.00,"4,6","6,9","9,3","16,6"
17/07/2014 20.00,"4,7","7,1","9,7","16,6"
17/07/2014 21.00,"4,4","8,2","10,4","16,6"
17/07/2014 22.00,"5,3","7,9","8,8","16,6"
17/07/2014 23.00,"4,9","6,8","7,1","16,6"
18/07/2014 0.00,"4,3","5,4","5,2","16,6"
18/07/2014 1.00,"4,5","5,8","6,3","14,1"
18/07/2014 2.00,"4,5","4,7","5,2","14,1"
18/07/2014 3.00,"5,1","4,7","5,2","14,1"
18/07/2014 4.00,"4,4","4,7","5,1","14,1"
18/07/2014 5.00,"4,2","4,9","4,9","14,1"
18/07/2014 6.00,"4,4","5,9","5,8","14,1"
18/07/2014 7.00,"5,1","6,8","7,0","14,1"
18/07/2014 8.00,"4,7","7,2","7,9","14,1"
18/07/2014 9.00,"4,5","6,9","7,6","14,1"
18/07/2014 10.00,"4,8","7,1","8,0","14,1"
18/07/2014 11.00,"4,8","6,4","8,0","14,1"
18/07/2014 12.00,"4,5","6,1","8,4","14,1"
18/07/2014 13.00,"4,7","5,9","7,9","14,1"
18/07/2014 14.00,"4,4","5,1","5,9","14,1"
18/07/2014 15.00,"5,0","4,5","5,5","14,1"
18/07/2014 16.00,"5,0","4,1","5,5","14,1"
18/07/2014 17.00,"5,0","4,5","6,5","14,1"
18/07/2014 18.00,"4,9","5,6","8,1","14,1"
18/07/2014 19.00,"4,4","5,5","7,8","14,1"
18/07/2014 20.00,"5,5","5,6","7,7","14,1"
18/07/2014 21.00,"4,9","6,8","8,9","14,1"
18/07/2014 22.00,"4,9","6,3","7,7","14,1"
18/07/2014 23.00,"4,9","5,5","6,1","14,1"
19/07/2014 0.00,"5,0","5,4","5,8","14,1"
19/07/2014 1.00,"5,4","5,0","5,0","20,1"
19/07/2014 2.00,"4,4","4,8","4,9","20,1"
19/07/2014 3.00,"5,2","4,6","4,9","20,1"
19/07/2014 4.00,"5,1","4,1","4,6","20,1"
19/07/2014 5.00,"5,2","3,8","4,3","20,1"
19/07/2014 6.00,"5,2","4,6","4,9","20,1"
19/07/2014 7.00,"4,8","5,0","5,5","20,1"
19/07/2014 8.00,"4,7","4,8","5,4","20,1"
19/07/2014 9.00,"4,7","5,4","6,1","20,1"
19/07/2014 10.00,"5,4","5,8","7,2","20,1"
19/07/2014 11.00,"5,0","5,3","7,9","20,1"
19/07/2014 12.00,"4,7","5,7","8,1","20,1"
19/07/2014 13.00,"5,1","6,2","8,2","20,1"
19/07/2014 14.00,"5,6","4,1","4,8","20,1"
19/07/2014 15.00,"5,0","3,5","3,9","20,1"
19/07/2014 16.00,"5,7","3,4","4,3","20,1"
19/07/2014 17.00,"5,8","3,7","5,4","20,1"
19/07/2014 18.00,"5,6","6,7","9,1","20,1"
19/07/2014 19.00,"4,8","5,4","7,9","20,1"
19/07/2014 20.00,"4,3","5,6","8,1","20,1"
19/07/2014 21.00,"4,0","6,1","8,5","20,1"
19/07/2014 22.00,"4,3","6,6","8,5","20,1"
19/07/2014 23.00,"4,6","5,0","6,0","20,1"
20/07/2014 0.00,"5,0","5,5","5,9","20,1"
20/07/2014 1.00,"5,3","5,1","5,5","16,9"
20/07/2014 2.00,"4,5","4,7","5,1","16,9"
20/07/2014 3.00,"5,2","5,3","5,6","16,9"
20/07/2014 4.00,"4,7","4,5","4,7","16,9"
20/07/2014 5.00,"4,6","4,0","4,4","16,9"
20/07/2014 6.00,"5,2","4,4","4,9","16,9"
20/07/2014 7.00,"5,3","4,1","4,5","16,9"
20/07/2014 8.00,"5,2","4,1","4,6","16,9"
20/07/2014 9.00,"5,6","4,3","5,3","16,9"
20/07/2014 10.00,"5,3","5,2","6,9","16,9"
20/07/2014 11.00,"5,6","4,5","6,9","16,9"
20/07/2014 12.00,"5,1","4,7","6,9","16,9"
20/07/2014 13.00,"4,8","4,3","5,6","16,9"
20/07/2014 14.00,"5,5","3,4","4,0","16,9"
20/07/2014 15.00,"4,7","3,5","3,6","16,9"
20/07/2014 16.00,"5,1","3,6","4,3","16,9"
20/07/2014 17.00,"5,8","3,3","4,6","16,9"
20/07/2014 18.00,"5,6","3,7","5,5","16,9"
20/07/2014 19.00,"5,4","6,6","8,8","16,9"
20/07/2014 20.00,"4,6","10,5","12,8","16,9"
20/07/2014 21.00,"4,4","22,8","25,8","16,9"
20/07/2014 22.00,"4,8","32,3","36,5","16,9"
20/07/2014 23.00,"4,6","30,7","33,3","16,9"
21/07/2014 0.00,"4,4","24,1","25,7","16,9"
21/07/2014 1.00,"4,7","26,3","29,1","27,7"
21/07/2014 2.00,"4,7","25,7","26,9","27,7"
21/07/2014 3.00,"5,7","22,5","25,5","27,7"
21/07/2014 4.00,"5,7","18,8","19,3","27,7"
21/07/2014 5.00,"5,5","16,8","18,9","27,7"
21/07/2014 6.00,"5,7","28,1","30,2","27,7"
21/07/2014 7.00,"5,5","16,7","17,8","27,7"
21/07/2014 8.00,"5,3","14,1","15,2","27,7"
21/07/2014 9.00,"5,0","10,7","11,7","27,7"
21/07/2014 10.00,"5,4","9,8","11,5","27,7"
21/07/2014 11.00,"4,7","8,0","10,0","27,7"
21/07/2014 12.00,"4,9","8,2","9,8","27,7"
21/07/2014 13.00,"5,3","4,8","5,7","27,7"
21/07/2014 14.00,"5,4","5,0","5,6","27,7"
21/07/2014 15.00,"5,1","4,7","5,9","27,7"
21/07/2014 16.00,"5,5","5,5","6,9","27,7"
21/07/2014 17.00,"6,0","9,4","11,7","27,7"
21/07/2014 18.00,"5,7","7,3","10,3","27,7"
21/07/2014 19.00,"5,2","6,0","9,2","27,7"
21/07/2014 20.00,"5,7","12,9","16,2","27,7"
21/07/2014 21.00,"5,0","12,1","15,2","27,7"
21/07/2014 22.00,"5,2","14,5","17,6","27,7"
21/07/2014 23.00,"5,0","7,5","9,6","27,7"
22/07/2014 0.00,"5,5","4,7","5,5","27,7"
22/07/2014 1.00,"5,6","5,6","5,8","5,0"
22/07/2014 2.00,"5,1","5,5","5,6","5,0"
22/07/2014 3.00,,"7,2","12,2","5,0"
22/07/2014 4.00,"6,4","9,3","26,8","5,0"
22/07/2014 5.00,"6,9","9,5","23,7","5,0"
22/07/2014 6.00,"6,8","17,4","37,4","5,0"
22/07/2014 7.00,"6,3","16,7","38,8","5,0"
22/07/2014 8.00,"6,3","9,7","33,5","5,0"
22/07/2014 9.00,,,,"5,0"
22/07/2014 10.00,,,,"5,0"
22/07/2014 11.00,,,,"5,0"
22/07/2014 12.00,,,,"5,0"
22/07/2014 13.00,,,,"5,0"
22/07/2014 14.00,,,,"5,0"
22/07/2014 15.00,,,,"5,0"
22/07/2014 16.00,,,,"5,0"
22/07/2014 17.00,,,,"5,0"
22/07/2014 18.00,,,,"5,0"
22/07/2014 19.00,,,,"5,0"
22/07/2014 20.00,,,,"5,0"
22/07/2014 21.00,,,,"5,0"
22/07/2014 22.00,,,,"5,0"
22/07/2014 23.00,,,,"5,0"
23/07/2014 0.00,,,,"5,0"
23/07/2014 1.00,,,,
23/07/2014 2.00,,,,
23/07/2014 3.00,,,,
23/07/2014 4.00,,,,
23/07/2014 5.00,,,,
23/07/2014 6.00,,,,
23/07/2014 7.00,,,,
23/07/2014 8.00,,,,
23/07/2014 9.00,,,,
23/07/2014 10.00,,,,
23/07/2014 11.00,,,,
23/07/2014 12.00,,,,
23/07/2014 13.00,,,,
23/07/2014 14.00,,,,
23/07/2014 15.00,,,,
23/07/2014 16.00,,,,
23/07/2014 17.00,,,,
23/07/2014 18.00,,,,
23/07/2014 19.00,,,,
23/07/2014 20.00,,,,
23/07/2014 21.00,,,,
23/07/2014 22.00,,,,
23/07/2014 23.00,,,,
24/07/2014 0.00,,,,
24/07/2014 1.00,,,,"17,2"
24/07/2014 2.00,,,,"17,2"
24/07/2014 3.00,,,,"17,2"
24/07/2014 4.00,,,,"17,2"
24/07/2014 5.00,,,,"17,2"
24/07/2014 6.00,,,,"17,2"
24/07/2014 7.00,,,,"17,2"
24/07/2014 8.00,,,,"17,2"
24/07/2014 9.00,,,,"17,2"
24/07/2014 10.00,,,,"17,2"
24/07/2014 11.00,,,,"17,2"
24/07/2014 12.00,,,,"17,2"
24/07/2014 13.00,,,,"17,2"
24/07/2014 14.00,,,,"17,2"
24/07/2014 15.00,,,,"17,2"
24/07/2014 16.00,,,,"17,2"
24/07/2014 17.00,,,,"17,2"
24/07/2014 18.00,,,,"17,2"
24/07/2014 19.00,,,,"17,2"
24/07/2014 20.00,,,,"17,2"
24/07/2014 21.00,,,,"17,2"
24/07/2014 22.00,,,,"17,2"
24/07/2014 23.00,,,,"17,2"
25/07/2014 0.00,,,,"17,2"
25/07/2014 1.00,"6,1","10,9","14,8","20,6"
25/07/2014 2.00,"6,1","10,7","13,9","20,6"
25/07/2014 3.00,"5,7","8,2","11,6","20,6"
25/07/2014 4.00,"5,8","6,5","9,8","20,6"
25/07/2014 5.00,"5,4","6,7","10,0","20,6"
25/07/2014 6.00,"5,5","9,7","12,9","20,6"
25/07/2014 7.00,"5,6","12,2","16,6","20,6"
25/07/2014 8.00,"5,0","7,1","10,4","20,6"
25/07/2014 9.00,"5,4","5,2","8,6","20,6"
25/07/2014 10.00,"5,0","4,9","8,3","20,6"
25/07/2014 11.00,"4,9","4,3","7,9","20,6"
25/07/2014 12.00,,,,"20,6"
25/07/2014 13.00,"3,8",,,"20,6"
25/07/2014 14.00,"3,6","5,7","5,6","20,6"
25/07/2014 15.00,"3,9","6,3","8,3","20,6"
25/07/2014 16.00,"4,2","5,5","8,3","20,6"
25/07/2014 17.00,"4,7","5,0","8,0","20,6"
25/07/2014 18.00,"4,5","6,4","9,8","20,6"
25/07/2014 19.00,"4,4","7,1","10,3","20,6"
25/07/2014 20.00,"4,6","9,9","12,9","20,6"
25/07/2014 21.00,"4,1","17,8","20,5","20,6"
25/07/2014 22.00,"4,7","14,8","16,6","20,6"
25/07/2014 23.00,"4,6","13,1","14,0","20,6"
26/07/2014 0.00,"4,4","10,1","11,3","20,6"
26/07/2014 1.00,"3,1","10,8","12,0","20,7"
26/07/2014 2.00,"3,8","9,5","10,6","20,7"
26/07/2014 3.00,"4,1","7,8","8,8","20,7"
26/07/2014 4.00,"3,7","8,9","10,2","20,7"
26/07/2014 5.00,"3,5","10,9","12,4","20,7"
26/07/2014 6.00,"3,8","16,7","17,6","20,7"
26/07/2014 7.00,"2,8","21,6","23,6","20,7"
26/07/2014 8.00,"3,7","12,9","14,2","20,7"
26/07/2014 9.00,"3,3","10,0","10,8","20,7"
26/07/2014 10.00,"3,1","6,9","7,7","20,7"
26/07/2014 11.00,"3,4","6,6","8,3","20,7"
26/07/2014 12.00,"3,3","5,7","7,8","20,7"
26/07/2014 13.00,"3,7","5,9","7,5","20,7"
26/07/2014 14.00,"4,2","4,8","5,6","20,7"
26/07/2014 15.00,"4,1","5,7","5,7","20,7"
26/07/2014 16.00,"4,0","6,9","7,4","20,7"
26/07/2014 17.00,"4,3","7,2","8,6","20,7"
26/07/2014 18.00,"3,7","6,8","8,5","20,7"
26/07/2014 19.00,"3,8","10,3","12,2","20,7"
26/07/2014 20.00,"4,9","11,0","13,1","20,7"
26/07/2014 21.00,"4,1","17,2","19,4","20,7"
26/07/2014 22.00,"4,2","12,7","14,8","20,7"
26/07/2014 23.00,"4,1","11,2","14,1","20,7"
27/07/2014 0.00,"4,4","7,7","10,6","20,7"
27/07/2014 1.00,,"7,5","8,9","24,7"
27/07/2014 2.00,"3,9",,,"24,7"
27/07/2014 3.00,"4,3","7,4","8,0","24,7"
27/07/2014 4.00,"4,6","6,2","6,5","24,7"
27/07/2014 5.00,"4,1","7,1","7,1","24,7"
27/07/2014 6.00,"4,1","7,6","7,6","24,7"
27/07/2014 7.00,"4,4","5,0","5,4","24,7"
27/07/2014 8.00,"4,3","4,9","5,4","24,7"
27/07/2014 9.00,"3,9","4,5","5,0","24,7"
27/07/2014 10.00,"4,0","4,7","6,0","24,7"
27/07/2014 11.00,"3,5","4,7","7,6","24,7"
27/07/2014 12.00,"3,4","4,7","7,4","24,7"
27/07/2014 13.00,"3,6","4,5","6,5","24,7"
27/07/2014 14.00,"3,8","3,5","4,1","24,7"
27/07/2014 15.00,"3,9","3,2","3,4","24,7"
27/07/2014 16.00,"4,2","4,4","4,8","24,7"
27/07/2014 17.00,"4,1","4,7","5,7","24,7"
27/07/2014 18.00,"4,5","5,8","7,7","24,7"
27/07/2014 19.00,"5,1","7,7","10,2","24,7"
27/07/2014 20.00,"5,2","8,4","10,4","24,7"
27/07/2014 21.00,"4,9","11,3","12,6","24,7"
27/07/2014 22.00,"4,4","9,4","9,9","24,7"
27/07/2014 23.00,"4,3","7,4","7,3","24,7"
28/07/2014 0.00,"3,8","8,7","8,6","24,7"
28/07/2014 1.00,"3,5","7,6","7,6",
28/07/2014 2.00,"3,7","5,8","6,1",
28/07/2014 3.00,"4,0","5,5","5,9",
28/07/2014 4.00,"4,3","5,5","6,0",
28/07/2014 5.00,"3,7","7,8","8,4",
28/07/2014 6.00,"4,7","18,4","19,3",
28/07/2014 7.00,"4,6","16,5","17,8",
28/07/2014 8.00,"3,6","9,2","9,8",
28/07/2014 9.00,,,,
28/07/2014 10.00,,,,
28/07/2014 11.00,,,,
28/07/2014 12.00,,,,
