,Comune Bari,,,,
,Rione Japigia,,,,
Parm,SO2,NO2,CO,PM10,BENZENE
,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
09/01/2009 19.00,,"48,28733056","0,63861689","16,31067085","2,74516776"
09/01/2009 20.00,,"52,17184536","0,80493811","16,31134987","2,78374969"
09/01/2009 21.00,,"45,09715856","0,59088567","16,31067085","3,10699602"
09/01/2009 22.00,,"46,00306416","0,62848255","16,31081009","2,37863689"
09/01/2009 23.00,,"46,188662","0,59235124","16,31027031","2,52177964"
10/01/2009 0.00,,"45,63056832","0,51546823","16,31067085","2,46050234"
10/01/2009 1.00,,"40,20675968","0,43200064",,"2,11569459"
10/01/2009 2.00,,"28,86984248","0,29736858",,"2,01016152"
10/01/2009 3.00,,,"0,20182344",,"0,70566376"
10/01/2009 4.00,,"18,20783642","0,18954667",,"1,37144891"
10/01/2009 5.00,,"11,62243616","0,20262612",,"1,79212384"
10/01/2009 6.00,,"10,26746677",,"13,82553005","1,30725383"
10/01/2009 7.00,,"16,4712911","0,35155623","13,82592964","1,30336279"
10/01/2009 8.00,,"31,91986488","0,4936105","13,82701969","1,55398414"
10/01/2009 9.00,,"45,88365976","0,68543707","13,83230972","2,00221773"
10/01/2009 10.00,,"33,67976528","0,5286572","13,83135986","2,58678628"
10/01/2009 11.00,,"31,3371064","0,53006102","13,83108997","2,04015183"
10/01/2009 12.00,,"29,00354864","0,51775629","13,82878017","1,97206572"
10/01/2009 13.00,,"25,78091088","0,46268907","13,82865047","1,81011762"
10/01/2009 14.00,,"22,40255984","0,43027178","13,83162975","1,66032878"
10/01/2009 15.00,,"19,03329271","0,3958239","13,82892036","1,59921318"
10/01/2009 16.00,,"16,65429245","0,36846853","13,82660961","1,38717376"
10/01/2009 17.00,,"18,63355087","0,38294482","13,82946014","1,59775378"
10/01/2009 18.00,,"22,02358232","0,44458847","13,83257961","1,46822866"
10/01/2009 19.00,,"30,36888872","0,54530505","13,83312988","1,7485159"
10/01/2009 20.00,,"36,36247336","0,5982776","13,83150005","2,46342011"
10/01/2009 21.00,,"36,14442888","0,59700775","13,82660961","2,49730147"
10/01/2009 22.00,,"37,32289008","0,60634056","13,83055019","2,8584819"
10/01/2009 23.00,,"32,69468376","0,55278668","13,83366966","2,6598974"
11/01/2009 0.00,,"26,55964936","0,50774545","13,83055019","2,87858392"
11/01/2009 1.00,,"19,10856433","0,42190592",,"2,05555226"
11/01/2009 2.00,,"20,44666032","0,45380478",,"1,95374751"
11/01/2009 3.00,,,"0,42311519",,"2,16562523"
11/01/2009 4.00,,"27,77833904","0,38671127",,"2,03172192"
11/01/2009 5.00,,"17,82627197","0,40346397",,"2,43618587"
11/01/2009 6.00,,"17,23054822",,"6,03133917","1,97401124"
11/01/2009 7.00,,"18,14684936","0,41201157","6,03473091","2,42694541"
