Stat,Italgreen,,,,
,,,,,,,,,
Parm,NO2,NOX,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,,Aver
,,,,,,,
,,,,,,
,,,,,,,
15/01/2014 10.00,"46,7","114,8","16,6","1,1","11,1"
15/01/2014 11.00,"31,9","67,1","16,6","0,8","11,1"
15/01/2014 12.00,"22,8","45,7","16,6","0,7","11,1"
15/01/2014 13.00,"20,5","39,7","16,6","0,6","11,1"
15/01/2014 14.00,"13,3","27,3","16,6","0,8","11,1"
15/01/2014 15.00,"13,3","26,5","16,6","0,4","11,1"
15/01/2014 16.00,"20,2","33,4","16,6","0,4","11,1"
15/01/2014 17.00,"26,4","40,1","16,6","0,5","11,1"
15/01/2014 18.00,"22,8","37,4","16,6","0,6","11,1"
15/01/2014 19.00,"21,5","35,1","16,6","0,7","11,1"
15/01/2014 20.00,"16,9","29,5","16,6","0,6","11,1"
15/01/2014 21.00,"24,1","39,2","16,6","0,8","11,1"
15/01/2014 22.00,"24,8","39,1","16,6","1,1","11,1"
15/01/2014 23.00,"19,3","34,2","16,6","1,1","11,1"
16/01/2014 0.00,"15,0","28,6","16,6","0,9","11,1"
16/01/2014 1.00,"12,0","24,4","21,1","0,7","14,1"
16/01/2014 2.00,,,"21,1","0,7","14,1"
16/01/2014 3.00,"9,6","21,4","21,1","0,6","14,1"
16/01/2014 4.00,"9,3","19,8","21,1","0,6","14,1"
16/01/2014 5.00,"10,0","21,6","21,1","0,6","14,1"
16/01/2014 6.00,"12,0","23,3","21,1","0,6","14,1"
16/01/2014 7.00,"15,7","29,5","21,1","0,6","14,1"
16/01/2014 8.00,"24,3","42,1","21,1","0,6","14,1"
16/01/2014 9.00,"20,3","39,7","21,1","1,2","14,1"
16/01/2014 10.00,"18,1","37,1","21,1","1,0","14,1"
16/01/2014 11.00,"14,2","29,0","21,1","0,8","14,1"
16/01/2014 12.00,"10,1","21,6","21,1","0,7","14,1"
16/01/2014 13.00,"10,8","22,6","21,1","0,7","14,1"
16/01/2014 14.00,"8,6","20,1","21,1","0,9","14,1"
16/01/2014 15.00,"9,9","22,1","21,1","0,7","14,1"
16/01/2014 16.00,"10,0","22,1","21,1","0,6","14,1"
16/01/2014 17.00,"21,6","36,6","21,1","0,6","14,1"
16/01/2014 18.00,"48,4","84,9","21,1","1,5","14,1"
16/01/2014 19.00,"44,1","76,8","21,1","1,9","14,1"
16/01/2014 20.00,"49,0","92,6","21,1","2,7","14,1"
