Stat,Italgreen,,,,
,,,,,,,,,
Parm,NO2,NOX,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,,Aver
,,,,,,,
,,,,,,
,,,,,,,
30/06/2014 2.00,"6,4","14,4","20,4",,"9,9"
30/06/2014 3.00,"6,8","14,8","20,4",,"9,9"
30/06/2014 4.00,"13,6","22,5","20,4",,"9,9"
30/06/2014 5.00,"10,9","19,8","20,4",,"9,9"
30/06/2014 6.00,"6,3","14,5","20,4","0,1","9,9"
30/06/2014 7.00,"15,6","26,0","20,4","0,1","9,9"
30/06/2014 8.00,"20,3","31,9","20,4","0,2","9,9"
30/06/2014 9.00,"22,6","36,7","20,4","0,5","9,9"
30/06/2014 10.00,"15,1","29,5","20,4","0,2","9,9"
30/06/2014 11.00,"15,0","27,7","20,4","0,1","9,9"
30/06/2014 12.00,"16,1","28,3","20,4",,"9,9"
30/06/2014 13.00,"7,6","16,3","20,4",,"9,9"
30/06/2014 14.00,"4,3","12,5","20,4",,"9,9"
30/06/2014 15.00,"4,4","13,3","20,4",,"9,9"
30/06/2014 16.00,"4,3","12,9","20,4",,"9,9"
30/06/2014 17.00,"3,9","12,8","20,4",,"9,9"
30/06/2014 18.00,"5,6","16,6","20,4",,"9,9"
30/06/2014 19.00,"9,0","23,1","20,4",,"9,9"
30/06/2014 20.00,"7,3","16,8","20,4",,"9,9"
30/06/2014 21.00,"10,7","19,2","20,4",,"9,9"
30/06/2014 22.00,"12,6","21,0","20,4",,"9,9"
30/06/2014 23.00,"11,2","19,5","20,4",,"9,9"
01/07/2014 0.00,"14,5","24,0","20,4",,"9,9"
01/07/2014 1.00,"14,0","23,8","11,2",,"5,2"
01/07/2014 2.00,,,"11,2",,"5,2"
01/07/2014 3.00,"11,3","20,7","11,2",,"5,2"
01/07/2014 4.00,"13,6","23,2","11,2",,"5,2"
01/07/2014 5.00,"20,0","30,5","11,2",,"5,2"
01/07/2014 6.00,"23,3","35,0","11,2",,"5,2"
01/07/2014 7.00,"14,3","24,8","11,2",,"5,2"
01/07/2014 8.00,"11,4","21,5","11,2","0,1","5,2"
01/07/2014 9.00,"7,9","17,7","11,2",,"5,2"
01/07/2014 10.00,"6,0","16,3","11,2",,"5,2"
01/07/2014 11.00,"4,7","14,8","11,2",,"5,2"
01/07/2014 12.00,"5,3","16,7","11,2",,"5,2"
01/07/2014 13.00,"5,0","16,1","11,2",,"5,2"
01/07/2014 14.00,"5,0","16,8","11,2",,"5,2"
01/07/2014 15.00,"5,1","16,1","11,2",,"5,2"
01/07/2014 16.00,"4,8","15,1","11,2",,"5,2"
01/07/2014 17.00,"4,9","15,6","11,2",,"5,2"
01/07/2014 18.00,"6,0","17,0","11,2",,"5,2"
01/07/2014 19.00,"6,1","15,5","11,2",,"5,2"
01/07/2014 20.00,"9,9","18,2","11,2",,"5,2"
01/07/2014 21.00,"9,8","18,0","11,2","0,1","5,2"
01/07/2014 22.00,"14,9","23,7","11,2",,"5,2"
01/07/2014 23.00,"21,3","31,8","11,2",,"5,2"
02/07/2014 0.00,"21,7","32,6","11,2","0,1","5,2"
02/07/2014 1.00,"17,7","29,7","12,1","0,2","6,6"
02/07/2014 2.00,"14,8","26,8","12,1",,"6,6"
02/07/2014 3.00,"15,3","27,3","12,1","0,1","6,6"
02/07/2014 4.00,"21,7","34,3","12,1",,"6,6"
02/07/2014 5.00,"35,4","50,5","12,1",,"6,6"
02/07/2014 6.00,"30,9","46,7","12,1","0,5","6,6"
02/07/2014 7.00,"19,1","32,2","12,1","0,5","6,6"
02/07/2014 8.00,"15,6","28,8","12,1",,"6,6"
02/07/2014 9.00,"11,8","24,4","12,1","0,4","6,6"
02/07/2014 10.00,"5,5","15,6","12,1","0,3","6,6"
02/07/2014 11.00,"6,4","16,4","12,1",,"6,6"
02/07/2014 12.00,"6,1","15,6","12,1",,"6,6"
02/07/2014 13.00,"5,6","15,0","12,1",,"6,6"
02/07/2014 14.00,"6,6","16,1","12,1",,"6,6"
02/07/2014 15.00,"7,2","17,0","12,1",,"6,6"
02/07/2014 16.00,"7,8","18,7","12,1",,"6,6"
02/07/2014 17.00,"9,8","20,2","12,1",,"6,6"
02/07/2014 18.00,"9,0","19,2","12,1",,"6,6"
02/07/2014 19.00,"9,9","20,3","12,1","0,1","6,6"
02/07/2014 20.00,"14,2","24,1","12,1","0,1","6,6"
02/07/2014 21.00,"22,6","33,5","12,1","0,2","6,6"
02/07/2014 22.00,"26,5","38,3","12,1","0,8","6,6"
02/07/2014 23.00,"26,7","38,6","12,1","0,3","6,6"
03/07/2014 0.00,"18,7","29,8","12,1","0,2","6,6"
03/07/2014 1.00,"20,1","30,4","14,2",,"7,7"
03/07/2014 2.00,,,"14,2",,"7,7"
03/07/2014 3.00,"14,0","22,6","14,2","0,1","7,7"
03/07/2014 4.00,"13,7","22,4","14,2","0,1","7,7"
03/07/2014 5.00,"13,5","21,6","14,2","0,1","7,7"
03/07/2014 6.00,"16,9","26,5","14,2",,"7,7"
03/07/2014 7.00,"20,9","32,1","14,2","0,2","7,7"
03/07/2014 8.00,"13,4","23,7","14,2","0,1","7,7"
03/07/2014 9.00,"9,5","19,2","14,2","0,1","7,7"
03/07/2014 10.00,"6,3","15,0","14,2",,"7,7"
03/07/2014 11.00,"5,6","14,8","14,2",,"7,7"
03/07/2014 12.00,"5,8","14,9","14,2",,"7,7"
03/07/2014 13.00,"4,3","13,1","14,2",,"7,7"
03/07/2014 14.00,"4,0","13,4","14,2",,"7,7"
03/07/2014 15.00,"1,9","9,3","14,2",,"7,7"
03/07/2014 16.00,"4,7","13,6","14,2",,"7,7"
03/07/2014 17.00,"5,4","15,7","14,2",,"7,7"
03/07/2014 18.00,"5,7","16,4","14,2",,"7,7"
03/07/2014 19.00,"5,7","15,4","14,2",,"7,7"
03/07/2014 20.00,"9,4","18,6","14,2",,"7,7"
03/07/2014 21.00,"11,3","20,5","14,2",,"7,7"
03/07/2014 22.00,"8,7","17,4","14,2",,"7,7"
03/07/2014 23.00,"10,2","18,8","14,2","0,1","7,7"
04/07/2014 0.00,"10,9","19,2","14,2","0,1","7,7"
04/07/2014 1.00,"6,8","14,6","14,5",,"9,8"
04/07/2014 2.00,"5,8","13,4","14,5",,"9,8"
04/07/2014 3.00,"5,9","13,6","14,5",,"9,8"
04/07/2014 4.00,"12,4","21,0","14,5",,"9,8"
04/07/2014 5.00,"13,3","22,0","14,5",,"9,8"
04/07/2014 6.00,"16,6","26,3","14,5","0,1","9,8"
04/07/2014 7.00,"16,9","27,7","14,5",,"9,8"
04/07/2014 8.00,"9,2","18,4","14,5",,"9,8"
04/07/2014 9.00,"7,1","15,8","14,5",,"9,8"
04/07/2014 10.00,"4,1","12,2","14,5",,"9,8"
04/07/2014 11.00,"4,2","12,1","14,5",,"9,8"
04/07/2014 12.00,"4,8","13,0","14,5",,"9,8"
04/07/2014 13.00,"4,2","12,2","14,5",,"9,8"
04/07/2014 14.00,"3,9","11,8","14,5",,"9,8"
04/07/2014 15.00,"4,4","12,5","14,5",,"9,8"
04/07/2014 16.00,"4,2","13,3","14,5",,"9,8"
04/07/2014 17.00,"4,3","13,6","14,5",,"9,8"
04/07/2014 18.00,"6,3","16,8","14,5",,"9,8"
04/07/2014 19.00,"6,4","14,8","14,5",,"9,8"
04/07/2014 20.00,"7,4","15,4","14,5",,"9,8"
04/07/2014 21.00,"33,0","42,9","14,5",,"9,8"
04/07/2014 22.00,"62,8","77,8","14,5","0,5","9,8"
04/07/2014 23.00,"41,2","54,6","14,5","0,5","9,8"
05/07/2014 0.00,"28,2","39,8","14,5","0,3","9,8"
05/07/2014 1.00,"22,2","32,3","22,4","0,2","12,1"
05/07/2014 2.00,,,"22,4","0,2","12,1"
05/07/2014 3.00,"19,2","28,2","22,4",,"12,1"
05/07/2014 4.00,"26,2","35,4","22,4","0,2","12,1"
05/07/2014 5.00,"34,8","45,0","22,4","0,4","12,1"
05/07/2014 6.00,"63,3","97,5","22,4","0,3","12,1"
05/07/2014 7.00,"44,5","67,6","22,4","1,0","12,1"
05/07/2014 8.00,"18,7","31,7","22,4","0,3","12,1"
05/07/2014 9.00,"22,4","37,4","22,4","0,2","12,1"
05/07/2014 10.00,"23,4","37,5","22,4","0,5","12,1"
05/07/2014 11.00,"12,2","22,3","22,4","0,5","12,1"
05/07/2014 12.00,"14,8","24,5","22,4","0,3","12,1"
05/07/2014 13.00,"10,0","19,0","22,4","0,3","12,1"
05/07/2014 14.00,"6,7","15,1","22,4","0,1","12,1"
05/07/2014 15.00,"6,4","14,8","22,4","0,2","12,1"
05/07/2014 16.00,"7,6","16,3","22,4",,"12,1"
05/07/2014 17.00,"9,9","20,0","22,4","0,1","12,1"
05/07/2014 18.00,"11,4","22,3","22,4","0,1","12,1"
05/07/2014 19.00,"20,1","31,7","22,4",,"12,1"
05/07/2014 20.00,"15,7","27,3","22,4","0,1","12,1"
05/07/2014 21.00,"13,6","23,6","22,4",,"12,1"
05/07/2014 22.00,"14,2","24,0","22,4","0,1","12,1"
05/07/2014 23.00,"12,4","22,3","22,4","0,1","12,1"
06/07/2014 0.00,"15,1","25,3","22,4","0,1","12,1"
06/07/2014 1.00,"12,7","22,1","19,7","0,1","12,7"
06/07/2014 2.00,"10,1","19,2","19,7","0,7","12,7"
06/07/2014 3.00,"8,6","17,3","19,7","0,8","12,7"
06/07/2014 4.00,"6,1","14,5","19,7","0,5","12,7"
06/07/2014 5.00,"4,3","12,2","19,7","0,4","12,7"
06/07/2014 6.00,"4,6","12,5","19,7","0,2","12,7"
06/07/2014 7.00,"7,3","15,8","19,7","1,0","12,7"
06/07/2014 8.00,"9,0","18,6","19,7","1,4","12,7"
06/07/2014 9.00,"4,9","14,5","19,7","0,2","12,7"
06/07/2014 10.00,"5,0","14,8","19,7",,"12,7"
06/07/2014 11.00,"4,6","14,9","19,7",,"12,7"
06/07/2014 12.00,"5,0","15,6","19,7","0,1","12,7"
06/07/2014 13.00,"5,1","16,0","19,7",,"12,7"
06/07/2014 14.00,"5,0","16,0","19,7","0,1","12,7"
06/07/2014 15.00,"5,0","16,5","19,7",,"12,7"
06/07/2014 16.00,"7,0","19,7","19,7",,"12,7"
06/07/2014 17.00,"11,8","25,0","19,7",,"12,7"
06/07/2014 18.00,"7,0","19,9","19,7","0,1","12,7"
06/07/2014 19.00,"7,0","20,6","19,7","0,1","12,7"
06/07/2014 20.00,"7,7","19,3","19,7","0,1","12,7"
06/07/2014 21.00,"8,3","18,7","19,7",,"12,7"
06/07/2014 22.00,"21,5","33,0","19,7","0,1","12,7"
06/07/2014 23.00,"52,1","69,5","19,7","0,2","12,7"
07/07/2014 0.00,"41,8","57,5","19,7","0,5","12,7"
07/07/2014 1.00,"43,3","58,7","23,6","0,5","14,8"
07/07/2014 2.00,,,"23,6","0,4","14,8"
07/07/2014 3.00,"21,2","33,4","23,6","0,2","14,8"
07/07/2014 4.00,"24,6","35,8","23,6","0,3","14,8"
07/07/2014 5.00,"32,5","44,2","23,6","0,2","14,8"
07/07/2014 6.00,"51,4","73,3","23,6","0,4","14,8"
07/07/2014 7.00,"48,0","75,2","23,6","0,4","14,8"
07/07/2014 8.00,"26,2","42,2","23,6","0,5","14,8"
07/07/2014 9.00,"12,0","23,5","23,6","0,4","14,8"
07/07/2014 10.00,"14,1","26,2","23,6","0,2","14,8"
07/07/2014 11.00,"9,6","19,6","23,6","0,2","14,8"
07/07/2014 12.00,"8,4","17,6","23,6","0,2","14,8"
07/07/2014 13.00,"6,4","15,3","23,6","0,1","14,8"
07/07/2014 14.00,"7,3","16,3","23,6","0,1","14,8"
07/07/2014 15.00,"7,1","15,5","23,6",,"14,8"
07/07/2014 16.00,"6,5","15,3","23,6",,"14,8"
07/07/2014 17.00,"10,2","21,0","23,6",,"14,8"
07/07/2014 18.00,"10,4","20,4","23,6","0,1","14,8"
07/07/2014 19.00,"13,8","24,7","23,6","0,8","14,8"
07/07/2014 20.00,"15,8","26,8","23,6",,"14,8"
07/07/2014 21.00,"15,7","26,0","23,6","0,2","14,8"
07/07/2014 22.00,"13,7","23,9","23,6","0,2","14,8"
07/07/2014 23.00,"9,6","19,4","23,6","0,2","14,8"
08/07/2014 0.00,"12,4","23,1","23,6","0,1","14,8"
08/07/2014 1.00,"19,3","32,0","24,1","0,3","12,9"
08/07/2014 2.00,"19,2","31,3","24,1","0,2","12,9"
08/07/2014 3.00,"16,1","28,5","24,1","0,1","12,9"
08/07/2014 4.00,"14,6","26,0","24,1","0,1","12,9"
08/07/2014 5.00,"13,0","23,1","24,1","0,2","12,9"
08/07/2014 6.00,"9,9","18,7","24,1",,"12,9"
08/07/2014 7.00,"15,1","25,7","24,1","0,1","12,9"
08/07/2014 8.00,"19,6","31,9","24,1","0,3","12,9"
08/07/2014 9.00,"17,4","29,8","24,1","0,5","12,9"
08/07/2014 10.00,"12,1","22,2","24,1","0,1","12,9"
08/07/2014 11.00,"14,4","25,9","24,1",,"12,9"
08/07/2014 12.00,"8,9","18,5","24,1","0,3","12,9"
08/07/2014 13.00,"7,8","17,3","24,1","0,1","12,9"
08/07/2014 14.00,"7,2","16,0","24,1","0,2","12,9"
08/07/2014 15.00,"6,2","15,1","24,1","0,1","12,9"
08/07/2014 16.00,"10,9","23,1","24,1",,"12,9"
08/07/2014 17.00,"6,4","16,4","24,1","0,2","12,9"
08/07/2014 18.00,"9,4","19,5","24,1","0,2","12,9"
08/07/2014 19.00,"11,5","21,9","24,1","0,1","12,9"
08/07/2014 20.00,"15,4","25,9","24,1","0,1","12,9"
08/07/2014 21.00,"12,7","22,1","24,1",,"12,9"
08/07/2014 22.00,"11,2","20,0","24,1",,"12,9"
08/07/2014 23.00,"7,4","15,6","24,1",,"12,9"
09/07/2014 0.00,"17,7","27,4","24,1",,"12,9"
09/07/2014 1.00,"9,1","17,4","18,1",,"7,1"
09/07/2014 2.00,,,"18,1",,"7,1"
09/07/2014 3.00,"11,1","19,7","18,1",,"7,1"
09/07/2014 4.00,"18,6","28,7","18,1",,"7,1"
09/07/2014 5.00,"34,5","48,5","18,1",,"7,1"
09/07/2014 6.00,"27,0","40,4","18,1",,"7,1"
09/07/2014 7.00,"20,1","33,3","18,1",,"7,1"
09/07/2014 8.00,"10,3","20,4","18,1",,"7,1"
09/07/2014 9.00,"8,1","17,6","18,1","0,1","7,1"
09/07/2014 10.00,"4,6","13,3","18,1",,"7,1"
09/07/2014 11.00,"3,9","12,6","18,1",,"7,1"
09/07/2014 12.00,"3,9","12,8","18,1",,"7,1"
09/07/2014 13.00,"3,6","12,4","18,1",,"7,1"
09/07/2014 14.00,"4,0","13,4","18,1",,"7,1"
09/07/2014 15.00,"6,2","16,6","18,1","0,1","7,1"
09/07/2014 16.00,"5,7","15,2","18,1",,"7,1"
09/07/2014 17.00,"6,9","16,4","18,1",,"7,1"
09/07/2014 18.00,"8,0","17,1","18,1","0,1","7,1"
09/07/2014 19.00,"10,5","19,8","18,1","0,1","7,1"
09/07/2014 20.00,"13,2","22,9","18,1","0,1","7,1"
09/07/2014 21.00,"14,5","24,3","18,1","0,1","7,1"
09/07/2014 22.00,"16,6","27,9","18,1",,"7,1"
09/07/2014 23.00,"20,4","31,8","18,1",,"7,1"
10/07/2014 0.00,"17,8","29,2","18,1",,"7,1"
10/07/2014 1.00,"10,3","20,6","17,1","0,1","5,9"
10/07/2014 2.00,"9,7","19,8","17,1",,"5,9"
10/07/2014 3.00,"7,9","17,5","17,1",,"5,9"
10/07/2014 4.00,"9,1","18,3","17,1",,"5,9"
10/07/2014 5.00,"12,3","22,2","17,1",,"5,9"
10/07/2014 6.00,"13,3","23,7","17,1",,"5,9"
10/07/2014 7.00,"13,4","24,6","17,1",,"5,9"
10/07/2014 8.00,"15,1","29,4","17,1","0,1","5,9"
10/07/2014 9.00,"14,6","28,3","17,1",,"5,9"
10/07/2014 10.00,"13,1","26,0","17,1",,"5,9"
10/07/2014 11.00,"11,7","23,6","17,1",,"5,9"
10/07/2014 12.00,"10,8","21,6","17,1",,"5,9"
10/07/2014 13.00,"7,4","16,7","17,1",,"5,9"
10/07/2014 14.00,"6,1","14,9","17,1",,"5,9"
10/07/2014 15.00,"7,5","16,5","17,1","0,1","5,9"
10/07/2014 16.00,"14,9","26,2","17,1","0,1","5,9"
10/07/2014 17.00,"7,5","17,3","17,1",,"5,9"
10/07/2014 18.00,"8,1","17,6","17,1",,"5,9"
10/07/2014 19.00,"16,3","28,1","17,1",,"5,9"
10/07/2014 20.00,"9,8","20,2","17,1",,"5,9"
10/07/2014 21.00,"25,8","39,0","17,1",,"5,9"
10/07/2014 22.00,"17,1","29,3","17,1","0,1","5,9"
10/07/2014 23.00,"14,0","24,9","17,1","0,1","5,9"
11/07/2014 0.00,"13,6","24,4","17,1",,"5,9"
11/07/2014 1.00,"17,0","28,7","9,5","0,2","4,4"
11/07/2014 2.00,,,"9,5","0,1","4,4"
11/07/2014 3.00,"16,2","26,7","9,5","0,1","4,4"
11/07/2014 4.00,"16,9","27,2","9,5","0,1","4,4"
11/07/2014 5.00,"11,3","21,7","9,5",,"4,4"
11/07/2014 6.00,"12,3","22,8","9,5",,"4,4"
11/07/2014 7.00,"11,4","21,5","9,5",,"4,4"
11/07/2014 8.00,"10,7","20,5","9,5","0,1","4,4"
11/07/2014 9.00,"8,7","17,8","9,5",,"4,4"
11/07/2014 10.00,"6,8","15,4","9,5",,"4,4"
11/07/2014 11.00,"6,1","14,2","9,5",,"4,4"
11/07/2014 12.00,"5,4","13,6","9,5",,"4,4"
11/07/2014 13.00,"4,2","12,2","9,5",,"4,4"
11/07/2014 14.00,"3,9","11,8","9,5",,"4,4"
11/07/2014 15.00,"4,0","12,1","9,5",,"4,4"
11/07/2014 16.00,"4,1","12,2","9,5",,"4,4"
11/07/2014 17.00,"4,4","12,7","9,5",,"4,4"
11/07/2014 18.00,"4,6","12,9","9,5",,"4,4"
11/07/2014 19.00,"5,4","13,7","9,5",,"4,4"
11/07/2014 20.00,"6,8","14,9","9,5",,"4,4"
11/07/2014 21.00,"15,8","24,6","9,5",,"4,4"
11/07/2014 22.00,"13,2","22,2","9,5",,"4,4"
11/07/2014 23.00,"18,2","28,4","9,5","0,1","4,4"
12/07/2014 0.00,"19,6","30,2","9,5","0,1","4,4"
12/07/2014 1.00,"24,8","37,1","12,6","0,2","6,6"
12/07/2014 2.00,"16,7","29,0","12,6","0,1","6,6"
12/07/2014 3.00,"15,8","27,9","12,6","0,2","6,6"
12/07/2014 4.00,"21,3","33,1","12,6","0,2","6,6"
12/07/2014 5.00,"20,8","31,6","12,6","0,1","6,6"
12/07/2014 6.00,"24,1","35,8","12,6","0,1","6,6"
12/07/2014 7.00,"14,1","24,5","12,6","0,2","6,6"
12/07/2014 8.00,"8,6","17,7","12,6",,"6,6"
12/07/2014 9.00,"8,4","17,9","12,6","0,1","6,6"
12/07/2014 10.00,"8,6","19,2","12,6","0,1","6,6"
12/07/2014 11.00,"7,1","18,0","12,6",,"6,6"
12/07/2014 12.00,"7,1","19,1","12,6","0,1","6,6"
12/07/2014 13.00,"5,6","15,9","12,6",,"6,6"
12/07/2014 14.00,"5,2","14,8","12,6","0,1","6,6"
12/07/2014 15.00,"4,7","14,5","12,6",,"6,6"
12/07/2014 16.00,"10,5","21,4","12,6",,"6,6"
12/07/2014 17.00,"9,0","18,5","12,6",,"6,6"
12/07/2014 18.00,"8,0","17,4","12,6",,"6,6"
12/07/2014 19.00,"12,1","21,4","12,6","0,3","6,6"
12/07/2014 20.00,"15,4","24,0","12,6","0,1","6,6"
12/07/2014 21.00,"21,7","31,1","12,6","0,2","6,6"
12/07/2014 22.00,"19,6","29,3","12,6","0,2","6,6"
12/07/2014 23.00,"14,1","23,6","12,6","0,1","6,6"
13/07/2014 0.00,"12,4","22,1","12,6","0,1","6,6"
13/07/2014 1.00,"20,3","31,0","11,5","0,1","6,8"
13/07/2014 2.00,,,"11,5","0,1","6,8"
13/07/2014 3.00,"28,4","41,5","11,5","0,3","6,8"
13/07/2014 4.00,"28,1","42,8","11,5",,"6,8"
13/07/2014 5.00,"24,1","37,7","11,5",,"6,8"
13/07/2014 6.00,"17,5","30,8","11,5","0,1","6,8"
13/07/2014 7.00,"13,0","25,5","11,5","0,2","6,8"
13/07/2014 8.00,"6,5","18,3","11,5","0,1","6,8"
13/07/2014 9.00,"5,9","17,2","11,5","0,1","6,8"
13/07/2014 10.00,"5,3","16,1","11,5",,"6,8"
13/07/2014 11.00,"6,0","16,5","11,5",,"6,8"
13/07/2014 12.00,"5,3","14,8","11,5",,"6,8"
13/07/2014 13.00,"5,7","14,6","11,5",,"6,8"
13/07/2014 14.00,"5,4","13,9","11,5",,"6,8"
13/07/2014 15.00,"13,6","24,0","11,5",,"6,8"
13/07/2014 16.00,"7,2","17,3","11,5",,"6,8"
13/07/2014 17.00,"6,9","18,2","11,5",,"6,8"
13/07/2014 18.00,"12,2","22,8","11,5",,"6,8"
13/07/2014 19.00,"14,1","24,4","11,5","0,1","6,8"
13/07/2014 20.00,"17,5","27,4","11,5",,"6,8"
13/07/2014 21.00,"19,8","29,8","11,5",,"6,8"
13/07/2014 22.00,"17,4","27,2","11,5",,"6,8"
13/07/2014 23.00,"14,6","24,3","11,5","0,1","6,8"
14/07/2014 0.00,"14,2","24,3","11,5","0,1","6,8"
14/07/2014 1.00,"13,6","24,0","11,8",,"7,2"
14/07/2014 2.00,"16,5","26,5","11,8",,"7,2"
14/07/2014 3.00,"16,2","26,4","11,8",,"7,2"
14/07/2014 4.00,"15,3","25,3","11,8",,"7,2"
14/07/2014 5.00,"20,8","31,4","11,8",,"7,2"
14/07/2014 6.00,"15,8","25,9","11,8",,"7,2"
14/07/2014 7.00,"14,3","25,3","11,8","0,1","7,2"
14/07/2014 8.00,"10,1","20,2","11,8",,"7,2"
14/07/2014 9.00,"8,2","18,4","11,8","0,1","7,2"
14/07/2014 10.00,"7,3","18,2","11,8",,"7,2"
14/07/2014 11.00,"5,9","17,4","11,8",,"7,2"
14/07/2014 12.00,"4,5","14,7","11,8",,"7,2"
14/07/2014 13.00,"4,5","14,4","11,8","0,1","7,2"
14/07/2014 14.00,"5,2","15,0","11,8",,"7,2"
14/07/2014 15.00,"5,5","13,9","11,8","0,1","7,2"
14/07/2014 16.00,"8,3","16,8","11,8",,"7,2"
14/07/2014 17.00,"18,3","28,6","11,8","0,1","7,2"
14/07/2014 18.00,"25,4","37,7","11,8",,"7,2"
14/07/2014 19.00,"27,4","40,7","11,8","0,1","7,2"
14/07/2014 20.00,"27,4","40,0","11,8","0,1","7,2"
14/07/2014 21.00,"28,0","40,8","11,8","0,2","7,2"
14/07/2014 22.00,"21,9","36,5","11,8","0,2","7,2"
14/07/2014 23.00,"14,1","26,2","11,8","0,1","7,2"
15/07/2014 0.00,"15,1","27,1","11,8",,"7,2"
15/07/2014 1.00,"12,7","24,0","11,9",,"7,3"
15/07/2014 2.00,,,"11,9",,"7,3"
15/07/2014 3.00,"14,1","25,2","11,9",,"7,3"
15/07/2014 4.00,"11,8","22,8","11,9","0,1","7,3"
15/07/2014 5.00,"13,5","24,2","11,9",,"7,3"
15/07/2014 6.00,"15,6","26,2","11,9",,"7,3"
15/07/2014 7.00,"14,9","24,7","11,9",,"7,3"
15/07/2014 8.00,"23,1","34,4","11,9",,"7,3"
15/07/2014 9.00,"7,6","16,0","11,9",,"7,3"
15/07/2014 10.00,"4,7","12,5","11,9",,"7,3"
15/07/2014 11.00,"5,3","13,7","11,9",,"7,3"
15/07/2014 12.00,"6,5","15,3","11,9",,"7,3"
15/07/2014 13.00,"4,5","12,9","11,9",,"7,3"
15/07/2014 14.00,"4,0","12,2","11,9",,"7,3"
15/07/2014 15.00,"4,4","12,4","11,9",,"7,3"
15/07/2014 16.00,"4,0","12,0","11,9",,"7,3"
15/07/2014 17.00,"4,0","11,9","11,9",,"7,3"
15/07/2014 18.00,"4,3","12,2","11,9",,"7,3"
15/07/2014 19.00,"5,1","13,0","11,9",,"7,3"
15/07/2014 20.00,"6,0","14,3","11,9",,"7,3"
15/07/2014 21.00,"13,2","22,1","11,9",,"7,3"
15/07/2014 22.00,"8,6","17,3","11,9","0,1","7,3"
15/07/2014 23.00,"7,2","15,8","11,9",,"7,3"
16/07/2014 0.00,"8,2","16,9","11,9",,"7,3"
16/07/2014 1.00,"9,7","19,0","16,5","0,1","11,4"
16/07/2014 2.00,"7,5","16,3","16,5",,"11,4"
16/07/2014 3.00,"7,5","16,2","16,5","0,1","11,4"
16/07/2014 4.00,"7,9","16,4","16,5","0,1","11,4"
16/07/2014 5.00,"10,0","18,5","16,5",,"11,4"
16/07/2014 6.00,"12,5","21,9","16,5","0,1","11,4"
16/07/2014 7.00,"15,0","25,4","16,5","0,1","11,4"
16/07/2014 8.00,"11,4","21,9","16,5","0,1","11,4"
16/07/2014 9.00,"8,2","17,6","16,5",,"11,4"
16/07/2014 10.00,"9,6","19,3","16,5",,"11,4"
16/07/2014 11.00,"6,4","15,1","16,5","0,1","11,4"
16/07/2014 12.00,"4,7","13,3","16,5","0,1","11,4"
16/07/2014 13.00,"5,0","14,0","16,5",,"11,4"
16/07/2014 14.00,"4,2","12,9","16,5",,"11,4"
16/07/2014 15.00,"6,2","15,4","16,5",,"11,4"
16/07/2014 16.00,"6,5","15,5","16,5",,"11,4"
16/07/2014 17.00,"6,1","14,7","16,5",,"11,4"
16/07/2014 18.00,"6,2","14,8","16,5",,"11,4"
16/07/2014 19.00,"8,9","17,6","16,5",,"11,4"
16/07/2014 20.00,"10,8","18,9","16,5",,"11,4"
16/07/2014 21.00,"10,2","18,4","16,5","0,1","11,4"
16/07/2014 22.00,"8,4","16,5","16,5","0,1","11,4"
16/07/2014 23.00,"8,4","16,4","16,5",,"11,4"
17/07/2014 0.00,"8,4","16,6","16,5","0,1","11,4"
17/07/2014 1.00,"10,9","19,4","17,7",,"13,1"
17/07/2014 2.00,,,"17,7","0,1","13,1"
17/07/2014 3.00,"7,9","16,0","17,7",,"13,1"
17/07/2014 4.00,"9,6","18,0","17,7","0,1","13,1"
17/07/2014 5.00,"11,1","19,3","17,7","0,1","13,1"
17/07/2014 6.00,"12,4","20,6","17,7",,"13,1"
17/07/2014 7.00,"14,8","24,4","17,7","0,1","13,1"
17/07/2014 8.00,"16,3","26,7","17,7",,"13,1"
17/07/2014 9.00,"10,0","19,2","17,7",,"13,1"
17/07/2014 10.00,"8,2","16,9","17,7","0,1","13,1"
17/07/2014 11.00,"9,0","18,0","17,7",,"13,1"
17/07/2014 12.00,"7,2","15,8","17,7",,"13,1"
17/07/2014 13.00,"6,0","14,7","17,7","0,1","13,1"
17/07/2014 14.00,"6,0","14,6","17,7",,"13,1"
17/07/2014 15.00,"6,0","14,5","17,7","0,1","13,1"
17/07/2014 16.00,"5,2","14,1","17,7",,"13,1"
17/07/2014 17.00,"5,6","15,0","17,7",,"13,1"
17/07/2014 18.00,"7,8","17,3","17,7",,"13,1"
17/07/2014 19.00,"9,7","19,1","17,7",,"13,1"
17/07/2014 20.00,"11,5","20,0","17,7",,"13,1"
17/07/2014 21.00,"12,2","21,0","17,7","0,1","13,1"
17/07/2014 22.00,"8,5","16,9","17,7","0,1","13,1"
17/07/2014 23.00,"8,2","16,4","17,7","0,1","13,1"
18/07/2014 0.00,"8,2","16,3","17,7",,"13,1"
18/07/2014 1.00,"7,6","15,5","18,9",,"13,9"
18/07/2014 2.00,"8,1","16,1","18,9",,"13,9"
18/07/2014 3.00,"8,4","16,4","18,9",,"13,9"
18/07/2014 4.00,"9,0","17,3","18,9",,"13,9"
18/07/2014 5.00,"10,9","19,0","18,9","0,1","13,9"
