TARANTO -  v.Alto Adige,,,,,
,,,,,,
,SO2,NO2,PM10,PM2.5,BENZENE
04/01/2011 15.00,"2,857958","27,340969","26,1","13,8","1,254862"
04/01/2011 16.00,"2,188585","27,627788","26,1","13,8","1,343542"
04/01/2011 17.00,"1,850886","38,609071","26,1","13,8","1,268865"
04/01/2011 18.00,"1,86822","63,829329","26,1","13,8","1,486587"
04/01/2011 19.00,"1,638089","61,951325","26,1","13,8","1,866906"
04/01/2011 20.00,"2,083845","80,308417","26,1","13,8","2,014812"
04/01/2011 21.00,"2,350611","86,292914","26,1","13,8","2,916456"
04/01/2011 22.00,"2,253985","87,524586","26,1","13,8","3,28928"
04/01/2011 23.00,"2,113841","83,932074","26,1","13,8","3,142617"
05/01/2011 0.00,"2,363519","83,810087","26,1","13,8","3,19978"
05/01/2011 1.00,"1,89588","59,163493","26,9","19,6","2,336492"
05/01/2011 2.00,"1,638457","49,35937","26,9","19,6","2,064127"
05/01/2011 3.00,"1,671527","34,082108","26,9","19,6","1,913682"
05/01/2011 4.00,"1,639317","21,634222","26,9","19,6","1,582982"
05/01/2011 5.00,"1,755121","13,773017","26,9","19,6","1,372961"
05/01/2011 6.00,"1,660094","13,8418","26,9","19,6","1,023198"
05/01/2011 7.00,"1,602438","26,873732","26,9","19,6","1,010798"
05/01/2011 8.00,"1,593832","35,626582","26,9","19,6","1,362086"
05/01/2011 9.00,"1,930793","67,61004","26,9","19,6","2,77522"
05/01/2011 10.00,"1,858508","63,790417","26,9","19,6","2,69098"
05/01/2011 11.00,"2,027665","62,787154","26,9","19,6","3,288823"
05/01/2011 12.00,"1,822425","57,888245","26,9","19,6","3,15305"
05/01/2011 13.00,"2,11507","52,694889","26,9","19,6","2,937097"
05/01/2011 14.00,"2,212065","39,934223","26,9","19,6","2,429813"
05/01/2011 15.00,"1,902887","38,140556","26,9","19,6","1,715281"
05/01/2011 16.00,"1,723036","38,119791","26,9","19,6","1,51986"
05/01/2011 17.00,"1,520687","79,194844","26,9","19,6","1,800684"
05/01/2011 18.00,"1,619526","92,261838","26,9","19,6","2,408173"
05/01/2011 19.00,"1,460819","90,773172","26,9","19,6","3,224672"
05/01/2011 20.00,"1,326084","79,328516","26,9","19,6","2,795577"
05/01/2011 21.00,"1,578588","94,048984","26,9","19,6","3,286874"
05/01/2011 22.00,"1,613625","93,562283","26,9","19,6","3,794879"
05/01/2011 23.00,"1,47139","66,570447","26,9","19,6","3,448748"
06/01/2011 0.00,"1,014692","54,719584","26,9","19,6","2,57666"
06/01/2011 1.00,,"62,199216","31,5","23,1","2,426356"
06/01/2011 2.00,"0,701168",,"31,5","23,1","2,601372"
06/01/2011 3.00,"0,405325","46,082985","31,5","23,1","2,360459"
06/01/2011 4.00,"0,626195","33,224212","31,5","23,1",
06/01/2011 5.00,"0,481783","27,555112","31,5","23,1","1,852251"
06/01/2011 6.00,"0,51128","18,306484","31,5","23,1","1,45439"
06/01/2011 7.00,"0,388376","35,429302","31,5","23,1","1,633005"
06/01/2011 8.00,"0,423405","37,452695","31,5","23,1","1,618611"
06/01/2011 9.00,"0,541392","44,004353","31,5","23,1","1,564512"
06/01/2011 10.00,"0,560442","42,502708","31,5","23,1","1,869483"
06/01/2011 11.00,"0,637257","67,937105","31,5","23,1","2,452708"
06/01/2011 12.00,"0,654464","54,331504","31,5","23,1","3,579063"
06/01/2011 13.00,"0,569045","44,950488","31,5","23,1","3,038393"
06/01/2011 14.00,"0,468264","60,174539","31,5","23,1","2,488591"
06/01/2011 15.00,"0,464577","36,025022","31,5","23,1","2,322769"
06/01/2011 16.00,"0,241506","32,33387","31,5","23,1","1,219357"
06/01/2011 17.00,"0,344746","29,099587","31,5","23,1","1,312006"
06/01/2011 18.00,"0,382231","49,873313","31,5","23,1","1,577976"
06/01/2011 19.00,"1,054516","105,526009","31,5","23,1","5,117881"
06/01/2011 20.00,"1,841101","117,696213","31,5","23,1","6,870159"
06/01/2011 21.00,"1,370379","105,217092","31,5","23,1","7,628408"
06/01/2011 22.00,"1,100604","89,758224","31,5","23,1","5,080145"
06/01/2011 23.00,"0,730664","66,704112","31,5","23,1","3,892133"
07/01/2011 0.00,"0,58195","65,62689","31,5","23,1","3,672518"
07/01/2011 1.00,"0,663681","83,385666","29,700001","23,29999","3,38975"
07/01/2011 2.00,"0,540163","56,971383","29,700001","23,29999","3,079127"
07/01/2011 3.00,"0,446756","46,13155","29,700001","23,29999","2,093113"
07/01/2011 4.00,"0,485471","30,400053","29,700001","23,29999","1,71083"
07/01/2011 5.00,"0,438767","19,757498","29,700001","23,29999","1,360197"
07/01/2011 6.00,"0,471951","20,368803","29,700001","23,29999","1,440237"
07/01/2011 7.00,"0,531559","42,882986","29,700001","23,29999","1,400354"
07/01/2011 8.00,"1,045298","80,168247","29,700001","23,29999","2,186279"
07/01/2011 9.00,"1,519707","115,379464","29,700001","23,29999","5,519573"
07/01/2011 10.00,"1,463786","83,934678","29,700001","23,29999","5,565151"
07/01/2011 11.00,"1,068035","90,731627","29,700001","23,29999","5,437468"
07/01/2011 12.00,"0,76139","51,348997","29,700001","23,29999","3,211836"
07/01/2011 13.00,"0,705468","65,508791","29,700001","23,29999","2,724436"
07/01/2011 14.00,"0,497761","60,592446","29,700001","23,29999","2,931478"
07/01/2011 15.00,"0,35888","55,668319","29,700001","23,29999","3,1477"
07/01/2011 16.00,"0,218769","26,750429","29,700001","23,29999","1,809208"
07/01/2011 17.00,"0,175139","36,5883","29,700001","23,29999","1,332818"
07/01/2011 18.00,"0,318321","48,485891","29,700001","23,29999","1,491404"
07/01/2011 19.00,"0,264056","63,360176","29,700001","23,29999","1,753324"
07/01/2011 20.00,"0,328153","94,439664","29,700001","23,29999","2,991048"
07/01/2011 21.00,"0,765691","97,964666","29,700001","23,29999","4,724683"
07/01/2011 22.00,"0,719603","102,857645","29,700001","23,29999","5,622537"
07/01/2011 23.00,"0,408656","86,924964","29,700001","23,29999","4,290958"
08/01/2011 0.00,"0,224299","64,902684","29,700001","23,29999","2,645007"
08/01/2011 1.00,,"38,446859","22,700001","17,700001","1,519829"
08/01/2011 2.00,"0,824062",,"22,700001","17,700001","1,447022"
08/01/2011 3.00,"0,837005","47,678719","22,700001","17,700001","1,731711"
08/01/2011 4.00,"0,711628","36,981558","22,700001","17,700001",
08/01/2011 5.00,"0,728553","16,542677","22,700001","17,700001","1,166198"
08/01/2011 6.00,"0,661007","10,31029","22,700001","17,700001","0,894362"
08/01/2011 7.00,"0,508804","17,174735","22,700001","17,700001","0,945071"
08/01/2011 8.00,"0,644668","20,036535","22,700001","17,700001","1,01667"
08/01/2011 9.00,"0,663936","55,023268","22,700001","17,700001","1,285187"
08/01/2011 10.00,"0,993221","76,865171","22,700001","17,700001","3,523779"
08/01/2011 11.00,"1,015295","66,573029","22,700001","17,700001","2,551223"
08/01/2011 12.00,"0,874314","47,80711","22,700001","17,700001","2,339136"
08/01/2011 13.00,"0,66298","56,593707","22,700001","17,700001","1,98405"
08/01/2011 14.00,"0,747267","45,686379","22,700001","17,700001","2,121228"
08/01/2011 15.00,"0,751799","36,420866","22,700001","17,700001","1,912865"
08/01/2011 16.00,"0,551071","22,16635","22,700001","17,700001","1,069778"
08/01/2011 17.00,"0,483586","23,588821","22,700001","17,700001","0,953366"
